	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000043727	-0.033914853466992044	0.016692120625690324	-0.4509128408849916	-0.00502158955652432	-0.11546538668760394	-0.06915089009807955	0.03966087107163011	-0.08057122741687565
ENSMUSG00000058981	-0.09982921113568538	0.0065312795675744805	-0.4873185846030088	-0.06324551758896403	-0.06632573108320468	-0.0730107501992602	0.004977406848976518	-0.06367732753384907
ENSMUSG00000022184	-0.030912168880924944	-0.02130134732475864	-0.07528418778227548	-0.1014222366028622	-0.39827987736697373	0.0009993400329182944	-0.011747296272324063	0.1760632399704454
ENSMUSG00000098715	0.09846924205316215	0.030406879106061005	-0.4687334998733918	0.022591087387801537	0.35490606729918883	-0.04095103849569266	0.25386099630417563	-0.031042694577504915
ENSMUSG00000118581	-0.023758454234310025	0.01999263967357092	0.24681922430940761	0.10235307338286022	-0.3380884335381893	-0.2340681172405272	-0.04734830005646927	0.007168865908723232
ENSMUSG00000115449	-0.03540747246897109	0.013983752303085795	-0.2589206358637099	-0.035712111465850654	-0.269259107693084	-0.1617479046282265	-0.04210625427260987	-0.08494413307506445
ENSMUSG00000095773	-0.1597215953267473	0.06316897454321266	-0.42809614416259295	-0.06692478900296861	0.04518121636052767	-0.09560110359553793	0.03335382432148526	-0.08115226102267832
ENSMUSG00000109058	-0.08815375788374993	0.032871089756823735	-0.2939313021497337	-0.03873395958485141	-0.04493571335764543	-0.1325691876202031	-0.006428679924267433	-0.0803153568754758
ENSMUSG00000040429	0.01574717632877138	0.027159708537405403	0.23889863399246994	0.037384287396753715	-0.04776763293830627	0.09415527784732797	0.039607878951323235	0.04186388612742802
ENSMUSG00000059316	0.011161597170116054	0.020192224295313116	0.7086190714667796	-0.019698567888172258	0.03589933580642666	0.20842162572235565	0.06026975648527911	0.04724080377791442
ENSMUSG00000041530	-0.015979759215588394	-0.0054595062650763	0.9262349535128425	0.2123353844186888	0.06911689599852557	0.12471181865385783	0.032120831255845264	-0.00291180282853154
ENSMUSG00000021892	-0.030674187863024383	-0.0014037321986957452	0.07761391051932312	-0.015194429365500934	-0.03656701757326259	0.24300880142821396	0.07443437258939996	-0.09662083397663944
ENSMUSG00000089857	-0.003185364215445144	0.015777267769550022	-0.6031102488944144	0.026141530884539854	0.16365003790593524	0.11815731230504882	0.14722465079583763	0.04936650374551906
ENSMUSG00000116491	0.040094273550885316	0.011279959379352137	0.2929685565022579	0.0009653449979039885	0.03292143115648049	-0.12624857456989932	0.01226865871390006	-0.022603227230428718
ENSMUSG00000006281	-0.040305404440821875	0.029222313238104872	0.3173468058173446	0.23810873189157503	-0.13692586184972702	0.044620834837815884	0.010265391109924082	-0.024636548632913882
ENSMUSG00000024043	-0.02938642124995678	0.020110943890831817	0.33569750014761557	0.006203751272243596	-0.1733578507852073	0.11269825190507907	-0.013002288221761107	0.08954571047566441
ENSMUSG00000110834	-0.00876255064524006	0.049743699084050706	0.26396999481132855	0.007985396828722654	0.008309296883897845	0.0658052041607437	-0.006617573882759631	0.007137344879829858
ENSMUSG00000040220	0.06065520752573994	0.026547316936766596	0.5316845304376862	-0.0091815060713899	0.05728954661564198	0.049356020198290385	0.17560319394948168	0.08831866550306906
ENSMUSG00000073184	-0.04659882806668107	-0.0020029737402517123	0.7938257054616191	0.27334897065522096	-0.1734528980353865	0.008524007821820945	-0.08162092974959835	-0.010018969297294818
ENSMUSG00000022857	-0.07557076478488886	-0.002476364388668828	-0.3906252352292995	-0.0413141614379917	-0.11065006417614483	-0.1346352729454182	-0.016874415793277777	-0.09193800596398621
ENSMUSG00000110391	-0.036977777152847384	0.017467932789850815	-0.5032407170137226	-0.027206752352374654	-0.02421373420889168	-0.07841877181223196	0.042020341645136176	-0.03921311441251004
ENSMUSG00000037098	-0.009410360505454851	-0.0320131453299221	0.28116129050241173	-0.012290842357774485	0.11532023533071237	0.2479017960488774	0.09249319520890541	0.02158740604721754
ENSMUSG00000115965	0.025950930663754816	0.013129420758427712	0.28334381911461926	-0.013501548328850503	-0.15664494468185844	-0.15860488703227052	-0.03667541807120344	-0.01236062754393481
ENSMUSG00000045551	-0.0239497164946358	0.05224966375963778	-0.5566319541193433	-0.004109522239657104	-0.09512184884834904	-0.07128062829426424	0.012056516013542238	-0.05264933886536503
ENSMUSG00000090643	-0.0024357039229677135	0.028698546392644346	-0.5692935755425509	-0.02904637412300776	0.09876077828070391	0.011348033412501575	0.10102491873701377	-0.0051978730033149755
ENSMUSG00000025739	0.3168155887645744	-0.061876872574350594	0.4712614058990851	-0.06411466925448524	0.09404097109297314	0.1293213098511112	0.07165614131493092	0.14764636719967084
ENSMUSG00000093671	-0.01595556072043791	-0.018474289417327944	-0.39966933194012216	0.005636485237951794	-0.158654455061082	-0.08321721014928274	-0.018359303292466916	-0.11723864720266462
ENSMUSG00000002831	-0.01532781275161188	0.04095875399413347	0.953687132803603	-0.043453214386507746	0.15976720519847107	-0.07071152556605353	0.09706715657445845	0.05844868654207721
ENSMUSG00000028134	-0.17814194979616318	0.018966842125445305	0.5527709900983283	-0.09279808784843595	0.11214016009897045	0.042880023349477644	0.04269257196885873	0.09893660026915203
ENSMUSG00000115088	-0.030879342168319723	0.03741617238523578	-0.4830481399737552	-0.0020575827585146422	-0.1592875710552042	-0.051307207321317064	0.0159947208724239	-0.07180172360759485
ENSMUSG00000047084	-0.0258264379237807	0.023092723536030077	1.194571719478949	0.15088797406622034	0.19436519767818256	0.15814104903829868	0.04338106127763329	0.013503732285322428
ENSMUSG00000047797	0.22690887060391415	0.11902119981239892	-0.08097256604061646	0.17403677268714657	0.7048349304344163	-0.3250720600807935	0.2737279654078093	-0.051945006643041136
ENSMUSG00000092618	-0.04670394070680772	0.011770055457820505	-0.3869588615841664	-0.04154392883720427	-0.18841965819531523	-0.0933499448003186	0.03736661065080436	-0.044046945146054804
ENSMUSG00000028459	0.2097340449988591	0.0008458690537714308	-0.7727251866451725	-0.1690730968000469	0.13487523100837348	0.006283069099767108	-0.024739250243706885	0.14802257168869726
ENSMUSG00000085454	0.24946215301238076	-0.18499453441087815	-0.5973571394694155	-0.28920766890195937	0.7581877019984997	0.2378970987929968	-0.13632062668125547	0.02836408135668271
ENSMUSG00000073457	-0.014043344815477934	-0.0014701323658418142	-0.3378107773733083	0.018665290978928686	-0.12472647849238855	-0.2191651628866008	-0.21248942771513682	-0.07363366151041546
ENSMUSG00000020696	-0.07121951809800699	-0.0032537770585053805	-0.19906456103601444	0.007563084383163562	0.037458636621378126	0.10716719537889231	0.1044832011697782	0.07908319677887232
ENSMUSG00000021189	0.00696369309025595	0.04242226617323275	1.0552540517345004	0.12132814535697911	0.03371064347802001	0.13818192178089603	0.012870094754704919	-0.009475694851101668
ENSMUSG00000086959	-0.25821806875738856	-0.10525609641977225	0.22561830207828495	0.1146528276725085	-0.44623875498899246	-0.29286909664221267	-0.27473497977551986	-0.1377628072712207
ENSMUSG00000110055	-0.06395244260536219	0.05520231235091218	-0.38184025849759373	0.013431971770029527	-0.015217747026984974	-0.12962491825823416	0.018296464804967466	-0.05015769602145486
ENSMUSG00000022914	0.019374565810090418	0.019356953594271253	1.123160818959124	0.13909823626536416	-0.08824633473725707	0.16211264446441107	-0.05728199689313872	0.02415753345617897
ENSMUSG00000010461	-0.06202318447741851	0.05416865934583898	-0.3597234298076618	-0.04216826320090983	0.07903949713171897	0.020153215140536918	0.06167647497468296	-0.1090849227971418
ENSMUSG00000039693	-0.060001408891336934	-0.02328493393442142	0.3336522493955402	0.008305591831178072	0.28061433344756437	0.14094735006047487	0.12316383584370832	0.07522177485511587
