	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000031256	-0.041520638167604394	-0.00011880411008191594	0.8685371002249521	0.13816555530897393	-0.21357800942308533	0.05871285046324899	0.1554600150409296	0.07712571852455316
ENSMUSG00000017801	-0.09196883978546919	-0.029577922849011354	0.2730553181854001	0.19700643557987815	0.007339707929841843	0.6288471517784524	0.011974964957090948	0.16768833087857907
ENSMUSG00000111597	-0.03605003334407534	0.053400835547111614	-0.13788766283289383	0.10689740861136206	-0.09177656766470885	-0.6515345310663327	0.06706200088687223	-0.2710920504252029
ENSMUSG00000022184	-0.0579233859084668	-0.08130671724600899	-0.04007417739976479	-0.40088702604011517	-0.19759879216941337	0.14922076571758747	0.10274234326299367	0.3774088312719665
ENSMUSG00000031559	-0.034636494585550626	0.06757989707431894	-0.15267058891397803	0.06214302500915707	-0.05651106170802555	-0.6907616237732734	0.07717096715619022	-0.17412124459491143
ENSMUSG00000107022	-0.07935305129455279	0.08663761085113145	-0.17630977625579078	-0.07658159918230564	-0.04431572610363575	-0.4956990771248926	0.07892567326327393	-0.25855661001687696
ENSMUSG00000086959	-0.18834043210739695	-0.18009966780788564	0.10127708929466768	0.22270469828538678	-0.13744220016651948	-0.9196396970613538	0.03710563386487431	-0.2660638118822193
ENSMUSG00000094707	-0.04537407085076064	0.057478430520713594	-0.1522717867617234	-0.0008845510931445588	-0.07604730761459205	-0.691732428912055	0.07461303806539475	-0.1431740606319526
ENSMUSG00000041632	-0.027514941382241753	0.10998250236348374	0.3218860616337266	0.5108294137785646	0.009512083922192728	0.3249359188370992	0.08728467022583876	0.036288251602193636
ENSMUSG00000062380	-0.05060129627373882	-0.13452093695242687	0.1551128684746775	-0.058754894775482756	0.18899742984139206	0.8081028106487358	-0.03158134168870097	0.25869563745627994
ENSMUSG00000063975	-0.015860440642670226	0.054897283130885856	-0.16364600341713106	0.20367581633236215	-0.040036760778588906	-0.6059627635064718	0.06355064501486392	-0.2020664380983834
ENSMUSG00000028426	0.035734970583187975	0.060015823002773465	0.36275479312337994	0.6075831588763941	0.03866743311331442	0.49279596137243964	0.10630334000211641	0.03583229303664344
ENSMUSG00000033033	-0.09015416666613076	-0.10439126360841826	0.3756961732591134	-0.13895156800241584	0.050027113648835275	0.5567726254681526	0.06499172086998804	0.21704658637793803
ENSMUSG00000117375	-0.11228220643951646	0.10490866055480252	-0.09299147606531222	0.21820307441324174	0.06892406882300926	0.35308735048940076	0.07003697504019604	0.16672536428677123
ENSMUSG00000026826	0.8456909881237563	-0.011304331131335332	-0.34450892693126095	-0.641621791724679	0.3213294112381515	1.2477757825830076	-0.8799654541957482	0.06367154301943197
