	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000035278	0.06172848583879255	-0.04705278087185283	0.11382871127065414	0.33521069318053076	0.12680851572880883	0.9008885494232786	-0.20056117965875817	0.15320138035306485
ENSMUSG00000026923	-0.017988016740918298	0.010951281186274104	0.09335400076641036	0.01901715531705952	0.0021425567160600345	-0.3616280474942619	0.03631440243272021	0.031241503418041546
ENSMUSG00000093759	0.4581080275094188	0.031284913964474186	-0.22721857130640682	0.17952929107475118	0.08075537799859456	-0.1311358575864084	-0.3810646590634111	0.04658208825488828
ENSMUSG00000037818	0.032815039042028836	0.12437996296302593	-0.053060876778318944	0.08536608553162307	0.06900884632265473	0.5635777499410374	0.11630203158096258	0.3015196346455566
ENSMUSG00000039725	0.006051793320273058	-0.03174389328397824	0.2590283863071522	-0.19723478675868897	0.08287394371198882	0.6643835281307505	-0.043041195747220415	0.27298298800046955
ENSMUSG00000038172	-0.03460640749534116	-0.04025312510734969	0.21101441719910133	0.014994547641738753	0.07514539279061994	0.6930999670437691	0.09606695503255144	0.2798849709432145
ENSMUSG00000030117	0.002504503497470889	-0.04332989175369115	0.48348040534381803	0.4893872875438029	0.24979891450111774	0.6278998766046294	0.0430645680094063	0.013169319042174766
ENSMUSG00000051736	0.03228418391310112	0.12269608583972702	-0.04657281751512232	0.18679481552997648	0.061255635507949935	0.548511865900498	0.11571578676948391	0.2382409559002685
ENSMUSG00000051228	0.04436365084309041	0.10677570974021869	-0.10531251835423261	0.4668483998674109	0.17780223208908327	-0.8407824431353976	-0.10384551515229967	-0.2293122852466579
ENSMUSG00000030584	0.3231082784257723	-0.1653605143580626	-0.10800531617506737	-0.24018513440795783	0.1799844741509221	0.8763806174303761	-0.4133118962517518	0.37111757239461174
ENSMUSG00000073633	-0.018002493979441647	0.09666632902585401	0.09551207893685275	0.6244730690590102	0.123537280866489	0.7335302679923454	0.08959383083419781	0.0370394226754325
ENSMUSG00000091947	0.03053846028831391	0.12253801802678055	-0.03711520179278516	0.3725138616160328	0.04417073421186422	0.3635991358273348	0.1255746075190216	0.38488886653740806
ENSMUSG00000038538	0.020071646647867425	0.04937682986670138	0.10986766848849526	0.20217883067654063	0.06624320918912269	0.8151036604950628	0.12805715961520361	0.26696956645825065
ENSMUSG00000021738	-0.0007149136281918711	0.08651207188584623	-0.03635872462224865	-0.04988236636939719	0.06410911006075898	0.7045664824361795	0.09943330369119825	0.43783644464215227
ENSMUSG00000014905	0.007071244219253758	-0.03680583704447584	0.0892723621879385	0.14479982219945248	0.15131087494050643	1.0133891492987597	0.05095393436356294	0.18063345032403236
ENSMUSG00000051124	-0.07572705358443109	-0.015813781224297774	0.02946177091844045	0.5492144264335466	0.02689813266941739	0.3671996185745703	0.07748273296913523	0.016695066253616875
ENSMUSG00000063846	-0.03691678922135474	0.08169394208447422	-0.15101704463772753	-0.01774231308576535	-0.10807186303725114	-0.5282898142258083	0.07167854115172366	-0.1330586810520949
ENSMUSG00000032279	-0.0006195031957612063	0.035721542561267444	0.4647033788331624	0.1387521867471075	0.04869134631676697	0.5578823214934204	0.11192769721821871	0.13457059642004407
ENSMUSG00000100000	-0.048054224907151756	0.07099656200127036	-0.1312701205823685	0.08419065389711085	-0.06511032289568511	-0.6468994170316062	0.08481426926238031	-0.18540454071877915
ENSMUSG00000031683	-0.017964643968743976	0.06520487361394826	0.3353837054296626	0.01184924586549013	0.02803641848231365	0.5309368281191649	0.10203779335483625	0.21380668720854495
ENSMUSG00000100552	0.4467461247297791	-0.1220832989023631	-0.10273787674698587	-0.4813702094740706	0.2041670857075341	1.0046428528890874	-0.4791929752568053	0.3034683937615192
