	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000024037	-0.05429786071181297	0.1383199542760849	0.1404922902584076	0.45978495478630066	0.09806622564792633	0.2562564015388489	0.13155800104141235	-0.10877695679664612
ENSMUSG00000118293	0.04517705738544464	0.27672871947288513	0.12153789401054382	0.6806954145431519	0.04212862625718117	-0.7214758992195129	0.0375359021127224	-0.339847594499588
ENSMUSG00000042377	-0.15002764761447906	-0.3663628101348877	0.034344594925642014	-0.5552252531051636	0.051153723150491714	1.094913125038147	0.10084190964698792	0.27943581342697144
ENSMUSG00000109093	-0.0011161856818944216	0.19499865174293518	-0.16213160753250122	0.033541128039360046	-0.0018713640747591853	-0.7357974052429199	0.028623705729842186	-0.1528150886297226
ENSMUSG00000117569	-0.16469484567642212	0.12764722108840942	-0.12343649566173553	0.2515539824962616	0.09441787749528885	0.48986515402793884	0.13546907901763916	0.1288258135318756
ENSMUSG00000099531	0.15435566008090973	0.06403399258852005	0.14412973821163177	0.6153913736343384	-0.3054942190647125	-1.5430395603179932	-0.22309604287147522	-0.5902811288833618
ENSMUSG00000071773	0.014597050845623016	0.2183011770248413	-0.06463756412267685	0.20857463777065277	0.03300894424319267	-1.0765461921691895	0.05773850530385971	-0.3062199354171753
ENSMUSG00000041037	-0.1658678948879242	-0.007590794004499912	-0.06971924006938934	-0.10686667263507843	0.11265498399734497	0.8658897280693054	-0.01568593457341194	0.2934631109237671
ENSMUSG00000096576	-0.02311466634273529	0.15877214074134827	-0.18120470643043518	0.0037729782052338123	0.08366986364126205	-0.46782466769218445	0.05535102263092995	-0.2274707406759262
ENSMUSG00000030527	-0.10580778867006302	-0.3186098337173462	-0.05833343043923378	-0.7888573408126831	0.11541488021612167	1.2903764247894287	0.0707329511642456	0.09370926022529602
ENSMUSG00000092040	0.01865071803331375	0.22958114743232727	0.34637781977653503	0.6095954179763794	-0.38439151644706726	-1.4810198545455933	-0.2761392295360565	-0.8026567101478577
ENSMUSG00000035152	-0.01539240125566721	0.11426685005426407	-0.011152212508022785	0.2769286036491394	0.01755368337035179	0.7309296131134033	0.1636648327112198	0.11748559027910233
ENSMUSG00000114470	-0.13820034265518188	-0.35537394881248474	-0.16658052802085876	-0.8404808044433594	0.14755573868751526	1.03603994846344	0.09335501492023468	0.3100874423980713
ENSMUSG00000109244	0.03750662878155708	0.19701117277145386	-0.1775701642036438	0.3220326602458954	-0.0067189228720963	-0.8097794055938721	-0.017142046242952347	-0.3858398497104645
ENSMUSG00000002768	-0.09623423218727112	0.10312087088823318	0.20412050187587738	0.6342767477035522	0.35287803411483765	-0.3402859568595886	0.039572473615407944	-0.10960080474615097
ENSMUSG00000026984	0.026416415348649025	0.1976277381181717	-0.17391985654830933	0.18034164607524872	0.006936150602996349	-0.8310420513153076	0.0274412352591753	-0.2677896320819855
ENSMUSG00000108725	-0.03438469022512436	0.17641755938529968	-0.15420450270175934	0.07667131721973419	0.043353334069252014	-0.7780468463897705	0.05861061438918114	-0.16349133849143982
ENSMUSG00000012123	-0.17000339925289154	-0.030693287029862404	-0.0941196158528328	-0.04342951253056526	0.11471757292747498	0.5804716348648071	0.09820806235074997	0.18815846741199493
ENSMUSG00000064325	-0.12960855662822723	-0.2013462781906128	-0.09914407879114151	-0.6520335674285889	0.04487495496869087	1.0795761346817017	0.1936342865228653	0.28453734517097473
ENSMUSG00000113759	0.011310952715575695	0.19789941608905792	-0.10003253817558289	0.07974684983491898	-0.0481453575193882	-0.8986647725105286	0.020482350140810013	-0.20180325210094452
ENSMUSG00000058119	0.008845248259603977	0.1639222651720047	-0.15018011629581451	0.017754677683115005	-0.05582902580499649	-0.7378675937652588	0.009924455545842648	-0.20817895233631134
ENSMUSG00000096732	0.0398881733417511	0.2126728892326355	-0.0005087018362246454	0.29002997279167175	-0.020443977788090706	-0.991722047328949	0.012022709473967552	-0.39609307050704956
ENSMUSG00000045215	-0.14322404563426971	-0.036769017577171326	-0.07658715546131134	-0.5910531878471375	-0.12700821459293365	1.1113362312316895	0.2206459641456604	0.15039251744747162
ENSMUSG00000030806	-0.1583392471075058	-0.004465771373361349	-0.06460033357143402	-0.16812831163406372	0.06998664140701294	-0.07284129410982132	0.07924007624387741	0.2610286772251129
ENSMUSG00000059456	-0.13245154917240143	-0.1376272290945053	-0.069963738322258	-0.39385494589805603	-0.020444707944989204	0.3285628855228424	0.12924811244010925	0.34410762786865234
ENSMUSG00000115644	-0.08728990703821182	0.14942824840545654	-0.11457014828920364	0.029817497357726097	0.01953069120645523	-0.8847070932388306	0.055071111768484116	-0.29461637139320374
ENSMUSG00000045928	-0.008794300258159637	0.1862126588821411	-0.1086573377251625	0.16101525723934174	-0.02153799496591091	-0.8932831287384033	0.037144582718610764	-0.27019062638282776
ENSMUSG00000097557	-0.038505010306835175	0.10566036403179169	-0.07176125794649124	0.09564238786697388	-0.022571060806512833	0.7672001719474792	0.15157179534435272	0.2986493706703186
ENSMUSG00000040865	-0.07261820137500763	0.22789739072322845	-0.10598433762788773	0.559471070766449	0.06626038253307343	0.5542484521865845	0.1337105929851532	0.16634772717952728
ENSMUSG00000096750	0.08923604339361191	0.09501494467258453	0.36676692962646484	0.7386340498924255	-0.31616654992103577	-1.4165005683898926	-0.22726406157016754	-0.5316867232322693
ENSMUSG00000074628	-0.08723929524421692	0.05616931617259979	-0.09073273837566376	-0.007952271029353142	0.07124484330415726	-0.40181228518486023	0.06619102507829666	0.017219331115484238
ENSMUSG00000052298	0.03328627720475197	0.01928011327981949	0.06393584609031677	0.03219334036111832	0.036286912858486176	0.7399428486824036	0.21851865947246552	0.26541584730148315
ENSMUSG00000031493	-0.18757827579975128	0.06083354353904724	-0.12573665380477905	-0.09700581431388855	0.11609002947807312	0.691103994846344	-0.13497459888458252	0.34736546874046326
ENSMUSG00000005705	-0.20829051733016968	0.11933804303407669	-0.062079742550849915	0.32640063762664795	0.12176141142845154	0.8110849857330322	0.11488942056894302	0.23048365116119385
ENSMUSG00000043252	0.02268347702920437	0.007291347254067659	0.08929003030061722	0.11620035022497177	0.036639295518398285	0.7623934745788574	0.20031772553920746	0.19226883351802826
ENSMUSG00000028175	0.049992095679044724	0.12197838723659515	0.3122405707836151	-0.17390000820159912	0.03232960402965546	0.36636078357696533	0.16740769147872925	0.24264773726463318
ENSMUSG00000015605	-0.046906374394893646	-0.25800418853759766	0.011278083547949791	-0.41795167326927185	0.21042385697364807	1.2263232469558716	-0.1940072476863861	0.3394501209259033
ENSMUSG00000112452	-0.02401808090507984	0.1853906512260437	-0.08785676211118698	0.34561455249786377	-0.08078184723854065	-0.9792750477790833	0.009151443839073181	-0.32762157917022705
ENSMUSG00000096220	-0.026645062491297722	0.18349327147006989	-0.1687544286251068	-0.0008403719984926283	0.05771937966346741	-0.6124497056007385	0.033619094640016556	-0.30075985193252563
ENSMUSG00000046822	-0.2022697776556015	0.17314176261425018	-0.1059601902961731	0.12318358570337296	0.04008607938885689	0.453818678855896	0.1399664282798767	0.19360962510108948
ENSMUSG00000104436	-0.019749918952584267	0.18108181655406952	0.05855241417884827	0.37451237440109253	0.0945809856057167	-0.477484792470932	0.07474522292613983	-0.09330585598945618
ENSMUSG00000026604	-0.13683956861495972	-0.25936228036880493	-0.032164353877305984	-0.4618896245956421	0.12013908475637436	1.242169737815857	0.12465179711580276	0.16338224709033966
ENSMUSG00000023066	0.034461285918951035	0.1367575079202652	0.1422053426504135	-0.11445978283882141	-0.007880973629653454	0.35250401496887207	0.13215230405330658	0.2816377580165863
ENSMUSG00000070796	-0.007819045335054398	0.17857927083969116	-0.15130704641342163	0.061470434069633484	-0.01375410333275795	-0.7788680791854858	0.024474384263157845	-0.23552703857421875
ENSMUSG00000103542	0.040027569979429245	0.18733757734298706	-0.15439601242542267	0.1371147632598877	-0.03234976902604103	-0.8150627613067627	-0.0011761791538447142	-0.2761675715446472
ENSMUSG00000032297	-0.10956529527902603	-0.21710523962974548	-0.14914534986019135	-0.7032497525215149	0.10615658760070801	1.0855708122253418	0.09247046709060669	0.30268219113349915
ENSMUSG00000089828	0.01993251033127308	0.16648465394973755	-0.13768218457698822	0.07433736324310303	-0.025862600654363632	-0.9022388458251953	0.031834639608860016	-0.29037201404571533
ENSMUSG00000095899	0.01554374024271965	0.10158511996269226	0.0956098809838295	0.40990474820137024	-0.18180477619171143	-1.3114134073257446	-0.14621859788894653	-0.5362794995307922
ENSMUSG00000025241	0.060312673449516296	0.23001454770565033	0.02460734359920025	0.38213691115379333	-0.036222346127033234	0.4516451954841614	0.09700551629066467	0.06307505071163177
ENSMUSG00000020015	-0.10027597099542618	0.06687159836292267	-0.03892448544502258	0.03255978971719742	0.040712106972932816	0.8357076048851013	0.18133413791656494	0.260370135307312
ENSMUSG00000074577	-0.09251429885625839	0.16892652213573456	-0.06341391801834106	0.24219737946987152	0.08274232596158981	-0.6361318826675415	0.049303408712148666	-0.118757463991642
ENSMUSG00000024339	-0.07684795558452606	-0.21491903066635132	-0.20151853561401367	-0.5637962222099304	0.1141924113035202	0.3303263187408447	0.0017072668997570872	0.36058491468429565
ENSMUSG00000079025	0.0056505571119487286	0.17046356201171875	-0.14677247405052185	0.05970011651515961	-0.007017076015472412	-0.8544599413871765	0.04495697468519211	-0.191675066947937
ENSMUSG00000104210	-0.08520323783159256	0.14028030633926392	-0.13446791470050812	0.00104174530133605	0.052023228257894516	-0.6435443758964539	0.05337383225560188	-0.12693041563034058
ENSMUSG00000021797	-0.050629280507564545	0.13474376499652863	-0.021387815475463867	0.0452103316783905	0.08620448410511017	-0.5002245903015137	0.061543602496385574	-0.1809583157300949
ENSMUSG00000117994	-0.07070295512676239	0.1899222582578659	-0.07858791202306747	0.23840810358524323	0.06709180772304535	-0.8439980149269104	0.04179321229457855	-0.21801185607910156
ENSMUSG00000117375	-0.1594567894935608	0.1421690434217453	-0.15402138233184814	0.23439918458461761	0.06225426495075226	0.39667606353759766	0.13785408437252045	0.18472866714000702
ENSMUSG00000028943	0.17358985543251038	-0.4524030387401581	-0.30330589413642883	-0.9667627215385437	0.12761226296424866	1.0594803094863892	-0.21822625398635864	0.5661396980285645
