	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000024037	-0.04749958559490142	0.04145263143395478	0.35519281731079916	0.49382190666966014	0.07175974967043043	0.4220897092904362	0.055327259136085716	-0.059145113198416345
ENSMUSG00000118293	0.006989953479440578	0.07703351364844732	0.24396215497542362	0.5708536194642148	0.0056449140597347736	-0.34234079073307594	0.033957855381356365	-0.18202476161221864
ENSMUSG00000042377	-0.009294004305163974	-0.270768829489329	0.08217792379536265	-0.38652752619161623	0.026433178718079393	1.067004382694023	0.0008382836252263104	0.25080638508762243
ENSMUSG00000109093	0.0055448408383306225	0.08459869570009936	-0.12410113003946752	-0.035285844548387485	-0.03833390760616432	-0.4039042407049671	0.03146613007677838	-0.04495618159048907
ENSMUSG00000117569	-0.014522126858007578	0.09680469248335395	-0.0909921432604667	0.2689661883556859	0.10072850868916322	0.6143972489469667	0.10007873015017593	0.13578291465417047
ENSMUSG00000099531	-0.21876713099974995	-0.17337853137449916	0.25349620005812135	0.46011474325218393	-0.35641196287688454	-0.955368570693331	-0.10734653527734805	-0.31474212716536587
ENSMUSG00000071773	0.007215262458772494	0.06341259009108703	-0.00937333378781846	0.09624576862290536	0.008461029996755272	-0.7022419696383667	0.04298258332108008	-0.15028871939034222
ENSMUSG00000041037	0.17500173077838763	0.034826282361840204	-0.11885252652031772	-0.03857261826547753	0.11355252320820873	0.8512269628700163	-0.09166240797141745	0.252353452647983
ENSMUSG00000096576	0.001954572279122435	0.07351574602554663	-0.12802449500926716	-0.05447008926665794	0.033738856324364144	-0.19076616818631714	0.04557465161426995	-0.10797572018499112
ENSMUSG00000030527	0.013135934297582197	-0.2108198796568596	-0.033201144017680775	-0.4575109878095678	0.07401774653350437	1.0785963252663295	-0.03111623979864351	0.137119963586627
ENSMUSG00000092040	-0.27649183609030975	-0.25112179233087095	0.4510885295703417	0.45607796069005807	-0.3802843480160783	-0.8400338902412527	-0.10086291673095071	-0.5267776427636867
ENSMUSG00000035152	-0.0025694656951495976	0.05396308951182666	0.16773181710038337	0.3082774770796062	0.025431092622031234	0.9722663527283584	0.06300309992547888	0.07777736209858972
ENSMUSG00000114470	-0.017144141942285047	-0.2745213548836841	-0.11110983770227774	-0.5990078280715032	0.1265640828788798	0.9725784592580884	-0.0006342457141399471	0.2612733639616341
ENSMUSG00000109244	0.016951391174967648	0.06682521980730351	-0.13571013857378753	0.1829845873578929	-0.05238446284169147	-0.43432852219847007	0.006844775844602413	-0.22008644950465486
ENSMUSG00000002768	-0.031218038377089585	0.012183315849658207	0.3517482626025752	0.6461535584669685	0.23864795260493488	-0.1293675300070656	0.00014583225671982447	-0.0288494362706632
