	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000024037	-0.051090363413095474	0.07806766778230667	0.8753063678741455	0.13465695083141327	0.21020948886871338	0.11627697944641113	0.11654798686504364	-0.014134916476905346
ENSMUSG00000118293	-0.01849447935819626	0.15780001878738403	0.5636122226715088	0.33631742000579834	-0.19640982151031494	-0.09444990754127502	-0.04836481437087059	-0.0547105111181736
ENSMUSG00000042377	-0.100542813539505	-0.109559066593647	0.27389442920684814	-0.05418301001191139	-0.04901161044836044	0.2698223888874054	0.15739580988883972	0.045128364115953445
ENSMUSG00000109093	-0.06658495217561722	0.09218437969684601	-0.26295170187950134	0.01290679071098566	-0.3539547324180603	-0.1341816633939743	0.010480322875082493	-0.014528484083712101
ENSMUSG00000117569	-0.04322930797934532	0.06630214303731918	-0.44383326172828674	0.10956400632858276	0.637302041053772	0.17293089628219604	0.3302370309829712	-0.04891551658511162
ENSMUSG00000099531	-0.17980645596981049	-0.000812114158179611	0.48264968395233154	0.3218349516391754	-1.3301773071289062	-0.3297763764858246	-0.56789630651474	-0.20226629078388214
ENSMUSG00000071773	-0.0517512783408165	0.11519117653369904	0.0840594545006752	0.06613892316818237	-0.17002461850643158	-0.2948228716850281	0.10392898321151733	-0.10065466165542603
ENSMUSG00000041037	0.12491428107023239	-0.012164625339210033	-0.7905458807945251	-0.01897626742720604	1.0451977252960205	0.31340301036834717	0.25853127241134644	0.07989545911550522
ENSMUSG00000096576	-0.08823208510875702	0.060820072889328	-0.31265851855278015	-0.006458724848926067	-0.04287329316139221	-0.03714149817824364	0.05788988620042801	-0.03943211957812309
ENSMUSG00000030527	-0.12209351360797882	-0.09997238218784332	-0.10665933787822723	-0.16210685670375824	0.12398692965507507	0.07722719013690948	0.14934448897838593	0.006266530137509108
ENSMUSG00000092040	-0.47217923402786255	0.161281019449234	0.8405130505561829	0.4269427955150604	-1.3628780841827393	-0.38216346502304077	-0.6986634731292725	-0.17934037744998932
ENSMUSG00000035152	-0.07904493063688278	0.06485139578580856	0.5895378589630127	0.07866235077381134	-0.11952825635671616	0.22861820459365845	0.0671490728855133	-0.0003167154500260949
ENSMUSG00000114470	-0.15378685295581818	-0.12908166646957397	-0.3844641447067261	-0.13173680007457733	0.29342129826545715	0.2900201380252838	0.15862436592578888	0.031929995864629745
ENSMUSG00000109244	-0.05428554490208626	0.12655773758888245	-0.2767905592918396	0.09553956985473633	-0.36334729194641113	-0.14546719193458557	-0.09441110491752625	-0.0622640885412693
ENSMUSG00000002768	-0.1236666589975357	0.06415121257305145	0.8916947245597839	0.15421825647354126	1.180812954902649	-0.011775875464081764	0.1793227195739746	-0.021888289600610733
ENSMUSG00000026984	-0.07411447167396545	0.11437945067882538	-0.28600171208381653	0.044004179537296295	-0.3636493682861328	-0.14592468738555908	0.015658318996429443	-0.047342438250780106
ENSMUSG00000108725	-0.06709852069616318	0.07297015935182571	-0.38655269145965576	0.022359058260917664	-0.1020667627453804	-0.1561836302280426	0.11269756406545639	-0.02349912002682686
ENSMUSG00000012123	-0.0751802921295166	0.01510462537407875	0.01730099879205227	-0.020973877981305122	0.5752171874046326	0.17644737660884857	0.19474275410175323	-0.006366634741425514
ENSMUSG00000064325	-0.20426315069198608	-0.05938013643026352	-0.16175006330013275	-0.10424964129924774	-0.08484095335006714	0.2876224219799042	0.14021626114845276	0.07133542001247406
ENSMUSG00000113759	-0.0379251092672348	0.10307992249727249	-0.0602155365049839	-0.00126204255502671	-0.47683361172676086	-0.19421155750751495	-0.059033557772636414	-0.03941230848431587
ENSMUSG00000058119	-0.04535509645938873	0.07473991066217422	-0.24847637116909027	0.025475187227129936	-0.4247150719165802	-0.12328977882862091	-0.11468739807605743	-0.002687121042981744
ENSMUSG00000096732	-0.05839572474360466	0.12049926072359085	0.22164186835289001	0.10560331493616104	-0.3967515826225281	-0.23572444915771484	-0.10319305211305618	-0.10452649742364883
ENSMUSG00000045215	-0.25154757499694824	0.0035721049644052982	-0.1619657725095749	-0.11034607142210007	-0.4332277178764343	0.08666219562292099	0.09414049237966537	0.07791177183389664
ENSMUSG00000030806	-0.09020881354808807	0.04921424016356468	0.04163976013660431	0.021845513954758644	0.09376450628042221	-0.011596070602536201	0.14146006107330322	0.02600463666021824
ENSMUSG00000059456	-0.14965872466564178	-0.005056638270616531	-0.021040745079517365	-0.021576019003987312	-0.2973061501979828	0.07189232110977173	0.05849652364850044	0.05487426742911339
ENSMUSG00000115644	-0.2957306504249573	0.008614175952970982	-0.10856471210718155	-0.013798742555081844	-0.302924245595932	-0.12981954216957092	0.004158406518399715	-0.07356099039316177
ENSMUSG00000045928	-0.03843049332499504	0.08793877810239792	-0.04261769726872444	0.006732168607413769	-0.3626578152179718	-0.2062813937664032	-0.03684304282069206	-0.05611040070652962
ENSMUSG00000097557	-0.13887014985084534	0.05773015320301056	-0.02440769597887993	0.0016691118944436312	-0.2674217224121094	0.26573216915130615	0.022136704996228218	0.10441575944423676
ENSMUSG00000040865	-0.1040138453245163	0.16547517478466034	-0.07606189697980881	0.2859780192375183	0.16893382370471954	0.20436491072177887	0.09604062139987946	-0.005219117272645235
ENSMUSG00000096750	-0.1434655487537384	-0.004949430003762245	0.9714311361312866	0.42525714635849	-1.2518000602722168	-0.32204192876815796	-0.658214271068573	-0.12667511403560638
ENSMUSG00000074628	0.02456219680607319	0.05836521461606026	-0.0485425665974617	0.0006741774850524962	-0.1931946724653244	-0.05914862081408501	0.172237828373909	-0.027427369728684425
ENSMUSG00000052298	-0.06677908450365067	0.06512567400932312	0.7428044080734253	-0.01711854711174965	-0.08153738081455231	0.21391820907592773	0.08544054627418518	0.07165014743804932
ENSMUSG00000031493	0.18618136644363403	0.0255691297352314	-1.1649624109268188	-0.008699066936969757	0.9818513989448547	0.2553185224533081	0.1394590437412262	0.12175090610980988
ENSMUSG00000005705	-0.08715882897377014	0.05837605893611908	-0.3409663736820221	0.14277173578739166	0.5286998152732849	0.301990807056427	0.3233683407306671	0.016512556001544
ENSMUSG00000043252	-0.046946026384830475	0.06857103109359741	1.1298450231552124	0.0097654452547431	-0.03977649658918381	0.20659108459949493	0.1487470120191574	0.014138865284621716
ENSMUSG00000028175	-0.0741553008556366	0.10059741884469986	0.9538437724113464	-0.03630447015166283	-0.16803394258022308	0.16005313396453857	-0.010138949379324913	0.07526447623968124
ENSMUSG00000015605	0.2894466519355774	-0.12193253636360168	-0.7610632181167603	-0.143265962600708	1.0813733339309692	0.0753430500626564	0.18040329217910767	0.14801572263240814
ENSMUSG00000112452	-0.041916392743587494	0.10571718215942383	-0.0033068207558244467	0.11607234179973602	-0.6173702478408813	-0.231862872838974	-0.06186613067984581	-0.04549815133213997
ENSMUSG00000096220	-0.1372792273759842	0.04687944054603577	-0.25445178151130676	-0.019737625494599342	-0.11690573394298553	-0.06784472614526749	-0.017404478043317795	-0.06095472350716591
ENSMUSG00000046822	-0.06966881453990936	0.09276462346315384	-0.13804227113723755	0.0334608219563961	0.102007657289505	0.16267819702625275	0.27280640602111816	-0.017362238839268684
ENSMUSG00000104436	-0.05574147403240204	0.08542090654373169	0.4645846486091614	0.08918050676584244	0.01655053161084652	-0.017796816304326057	0.06225105747580528	-0.02156413346529007
ENSMUSG00000026604	-0.07242695987224579	-0.06840076297521591	0.007304730825126171	-0.04884486272931099	0.148503378033638	0.14252933859825134	0.16750222444534302	0.03857531398534775
ENSMUSG00000023066	-0.0774959921836853	0.09066636115312576	0.559329628944397	-0.028695905581116676	-0.2902001440525055	0.14683176577091217	-0.034469280391931534	0.08269672095775604
ENSMUSG00000070796	-0.04346280172467232	0.08983118087053299	-0.25379499793052673	0.004466590471565723	-0.29560649394989014	-0.15691490471363068	-0.04167042300105095	-0.03128369152545929
