	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000024037	-0.05119095370173454	0.1408604383468628	0.14675970375537872	0.5276361703872681	0.10512269288301468	0.22559480369091034	0.13771316409111023	-0.1135949119925499
ENSMUSG00000118293	0.04463467746973038	0.278183251619339	0.12814536690711975	0.7550141215324402	0.05573445186018944	-0.7600307464599609	0.04327575862407684	-0.3449785113334656
ENSMUSG00000042377	-0.13626256585121155	-0.34879550337791443	0.037163473665714264	-0.5191951990127563	0.060887571424245834	1.0678802728652954	0.10287080705165863	0.28202301263809204
ENSMUSG00000109093	-0.0008862233371473849	0.2074265480041504	-0.15558068454265594	0.08131957799196243	0.010750857181847095	-0.7593536376953125	0.03197020664811134	-0.15471619367599487
ENSMUSG00000117569	-0.1505962312221527	0.14409156143665314	-0.13509050011634827	0.3275796175003052	0.09908349066972733	0.44623029232025146	0.1420326977968216	0.12381500005722046
ENSMUSG00000099531	0.13011763989925385	0.06891772150993347	0.1463950276374817	0.6516082286834717	-0.29338863492012024	-1.5363879203796387	-0.20887130498886108	-0.5848928689956665
ENSMUSG00000071773	0.01200788002461195	0.2240046262741089	-0.05777626484632492	0.2605433762073517	0.04778958857059479	-1.0963187217712402	0.05964403599500656	-0.30757954716682434
ENSMUSG00000041037	-0.14012402296066284	0.008416998200118542	-0.08585111796855927	-0.035909783095121384	0.11105139553546906	0.8256455063819885	-0.010706939734518528	0.2912531793117523
ENSMUSG00000096576	-0.025716297328472137	0.16985663771629333	-0.1745780110359192	0.05959435924887657	0.09785018861293793	-0.49851319193840027	0.059002991765737534	-0.22804756462574005
ENSMUSG00000030527	-0.09634718298912048	-0.3018661141395569	-0.06028616800904274	-0.7620471715927124	0.12501731514930725	1.2863450050354004	0.07030729949474335	0.09500036388635635
ENSMUSG00000092040	-0.0064686741679906845	0.23735743761062622	0.346190869808197	0.6407701969146729	-0.36976733803749084	-1.4801461696624756	-0.26286953687667847	-0.7875703573226929
ENSMUSG00000035152	-0.014588954858481884	0.12401589751243591	-0.010373968631029129	0.332895964384079	0.027845876291394234	0.7074748277664185	0.16879189014434814	0.11572099477052689
ENSMUSG00000114470	-0.13066570460796356	-0.3268396258354187	-0.16981962323188782	-0.7846372127532959	0.15712285041809082	0.9941951632499695	0.096308134496212	0.308236688375473
ENSMUSG00000109244	0.034012142568826675	0.20196789503097534	-0.17070598900318146	0.37710392475128174	0.007530861534178257	-0.836394727230072	-0.012669194489717484	-0.38384684920310974
ENSMUSG00000002768	-0.08815012127161026	0.10139352083206177	0.21059061586856842	0.7073053121566772	0.35584667325019836	-0.37317463755607605	0.04412158578634262	-0.11258715391159058
ENSMUSG00000026984	0.023103732615709305	0.20670217275619507	-0.16701644659042358	0.23503588140010834	0.019890766590833664	-0.8550219535827637	0.030335240066051483	-0.26951971650123596
ENSMUSG00000108725	-0.030808936804533005	0.18524980545043945	-0.14937958121299744	0.12363070249557495	0.057029709219932556	-0.798448383808136	0.05972955375909805	-0.16457916796207428
ENSMUSG00000012123	-0.15841679275035858	-0.015015180222690105	-0.09717390686273575	0.02350226417183876	0.11741182208061218	0.5388031601905823	0.10429592430591583	0.1874009072780609
ENSMUSG00000064325	-0.1297677755355835	-0.18068434298038483	-0.10043252259492874	-0.6042130589485168	0.05662151426076889	1.0536330938339233	0.19693465530872345	0.28589701652526855
ENSMUSG00000113759	0.01217805128544569	0.2063978910446167	-0.09235227853059769	0.12068741768598557	-0.035169266164302826	-0.9169230461120605	0.02547401376068592	-0.20200105011463165
ENSMUSG00000058119	0.007176331244409084	0.1724192202091217	-0.14216186106204987	0.04671495780348778	-0.04296077415347099	-0.7496592998504639	0.01577633246779442	-0.2014158070087433
