	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000039086	-0.05506518337150226	-0.007437902464340507	0.37328123628232995	-0.04142719026911798	-0.0639573919084475	0.29917643938350796	0.0570053132252534	0.13033985719459462
ENSMUSG00000029236	-0.07133021959834303	0.007472727493599868	-0.17766633441408133	-0.1235962870325437	-0.0357464783300468	0.17115144421431128	0.08514976268128872	0.07148221609393876
ENSMUSG00000087532	-0.1030579369098693	-0.024195885569881392	0.9766541018655784	0.012118360938307537	-0.16404857560994676	0.13849598385268538	0.029406344273675486	0.08886850481996003
ENSMUSG00000050947	0.6854267755132354	0.14415987617457637	-0.882984992905919	-0.3068312344060665	0.6493358584373145	0.21318320201288493	-0.18608680945206532	0.10409491535322457
ENSMUSG00000087441	0.09188285614091479	-0.001091091749743034	-0.36661370197075227	0.017839413423387997	0.028812737423291032	-0.12171803634310983	0.09008582453776637	-0.0031440219981185473
ENSMUSG00000054715	-0.07232177121950381	-0.013643078320830122	1.0999736888821245	-0.008710449552452593	0.1370732568552569	0.1209632585893603	0.08650397922418478	0.017385203113534996
ENSMUSG00000033255	-0.027128772540792545	-0.0006854001132362564	-0.020734418496381867	-0.01243097813405708	0.12798133950191756	0.13239627981147367	0.10805464699570999	0.03187094760189288
ENSMUSG00000101386	0.3813822870363718	0.02910973119031177	-0.40824310136445724	0.015605364587182273	0.5299605941680757	0.0355129722776757	0.22318212574744478	0.007908231121896425
ENSMUSG00000084790	-0.0364190868289445	-0.0005898752565569598	0.8710335387857084	0.3716050242212782	-0.21275773033541162	-0.06295198561367249	-0.059294983647337984	-0.0008006102392244389
ENSMUSG00000033032	0.03454672455969981	0.0022585243064377207	-0.2951628025937641	-0.13390371167978143	-0.0017252324488932491	0.1894057011598589	0.04768776591799288	0.03778124156802708
ENSMUSG00000063802	-0.05721906892244139	0.01296897440882551	0.7679453065901697	0.11384010100237561	-0.012563284022881538	0.05489274569377523	0.03350022957120948	-0.014888496847426663
ENSMUSG00000113515	-0.006911837563687198	-0.0021542561320394144	0.1364070866145708	0.042283226697430495	-0.11457690918264789	-0.11474742056859696	-0.008772178269182798	-0.0061766975948853295
ENSMUSG00000024683	-0.044788527938481724	-0.029091724357975603	1.0413024545072123	0.017789394266656045	0.10893577053116062	0.1563300993022991	-0.06024467067879111	0.053453203789139356
ENSMUSG00000019214	0.11432027600844552	0.0016470717875178842	1.1330814801043216	0.008241272884866441	0.28878051515954345	0.20132351575146523	0.06434447758455429	-0.013453462788564987
ENSMUSG00000106028	-0.2784965994304012	-0.278383991679078	3.3110031386132155	0.3103641455396139	-0.11665351367556795	-0.07552922395582799	-0.3069796788885355	-0.06717939002371232
ENSMUSG00000030000	-0.05189431740244491	-0.028119864293579017	-0.07089906557366622	-0.14481996878066875	-0.18894835241876448	0.13295868838750238	0.06308346041736572	0.062171248312948985
ENSMUSG00000020878	0.07551241963550379	0.04107569269891335	-0.09352347690544051	0.010637748630870546	0.004408283059399443	0.08039650121206601	0.2517246057168962	0.0681718570494833
ENSMUSG00000026200	0.10444037624116705	0.0059137172030303	-0.3942949433160519	-0.03640880152987798	0.1356121681402863	0.15091653037017305	0.1861551913499226	0.08754330931987112
ENSMUSG00000001576	-0.08909359331057083	0.008253776699157162	0.8887108543572667	-0.007191931103499805	-0.05299437053740257	0.18460473486245488	0.04580646846223201	0.05038155583418853
ENSMUSG00000041540	-0.10371986750748212	0.011676369453781088	-0.026824696086182803	-0.11834227534241358	-0.1084985340975598	0.1296193685590067	0.07161716606484274	0.07560273379921688
ENSMUSG00000039372	-8.591543931235623e-05	0.0088488022638791	-0.36108810404949243	-0.18509393613620215	0.12164174585301876	0.14746451382628525	0.08203931923520505	0.0068359319090234155
ENSMUSG00000027649	-0.053883954572640454	0.004389309104179784	0.7832778480599863	0.0466080660930018	-0.014803636784056152	0.07032743294001544	0.026426988904000356	0.008996693772299807
ENSMUSG00000111532	-0.02977133029779624	0.015460164941392684	-0.10088735332102501	0.05396914668501582	-0.22643461764742923	-0.14662689963928774	0.023602389359077377	-0.04013103967243013
ENSMUSG00000026433	-0.07108373822483931	-0.014402831485722347	0.17179600121167668	-0.0038357285683308096	0.048304672493618604	0.13559747764334285	0.1536619693554098	0.10664503591316471
ENSMUSG00000035754	0.0015863213568296786	0.009777162859053149	0.5940741745456621	0.07031027723203452	0.1474045431955211	0.038415886627452274	0.14903919578339292	-0.02545014429347
ENSMUSG00000116072	0.22702334724327605	0.04018563742779786	-0.6161482834181139	-0.10600261928630554	0.22619190524567404	0.13991360911673342	0.057833724208422754	0.05380880563335369
ENSMUSG00000058925	-0.03435712811031519	-0.011374499913585134	-0.10795348269387423	-0.005567771842564628	-0.24199695133315705	-0.10938924674350861	-0.011532727493358246	-0.05057304603798197
ENSMUSG00000067722	-0.010974323066716751	-0.04905062760573128	0.3760909214804703	0.053152887863517954	0.35100136699997475	0.30907601379508753	0.12759977121478813	0.08362770897094848
ENSMUSG00000001062	0.03067017780410895	0.010066922609393125	0.5574589750559873	-0.06325629814748594	-0.03660285109705121	0.2872713533938571	0.12209308394957617	0.09110769511146348
ENSMUSG00000113949	-0.017131254569484475	0.01484931111970873	0.9986114496449235	0.07690419173420926	0.2861423489728949	0.17173083018707985	0.10412411810765168	-0.004424357621279684
ENSMUSG00000060441	-0.6242603295721604	-0.20608655771889206	1.1701335958272259	1.2806416296487817	-0.7004545870929327	-0.26137389378766146	-0.43136438996897936	-0.22337127748667684
ENSMUSG00000101214	0.020251982657928547	0.01319504870160182	-0.15248673592236536	0.024967698770017626	0.16029710756482807	0.08504009941720952	0.07434735812115137	0.024383451411303953
