	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000115478	-0.1671811655589278	0.053595345964445484	-0.10785949183732715	-0.06715149126256137	-0.0564458556058634	-0.42216870776509696	0.10313852119144133	-0.10581277775614256
ENSMUSG00000038379	-0.013281353073957503	0.07912296751162787	0.5349844774808646	0.40195597904348757	0.059543200661183085	0.5586082363711846	0.1465970211406478	0.06996816486172917
ENSMUSG00000035640	0.5945843061805555	-0.08567535267716665	-0.1379806142872404	-0.10008740698009394	0.09693581018193304	0.3279944478410172	-0.1572990848332591	0.05522864097625102
ENSMUSG00000020474	-0.04603735022782208	0.05353652949395714	0.25653717293566963	-0.07838346521163868	0.03820579793042782	0.6219906893435015	-0.003679047485701359	0.3086483905518139
ENSMUSG00000001151	-0.048012719412063865	0.06662925472079669	0.4634701651910245	0.21269685027362897	0.04005326576841471	0.6649235784692712	0.09433865660468367	0.08564930602852683
ENSMUSG00000097641	-0.0209128270625438	0.06685200804291624	0.09939485793559687	0.42448206682609557	0.08684008298407728	-0.5391356531501436	0.0939346535488157	-0.1498978666957008
ENSMUSG00000084771	-0.14397555051216293	0.07923669990526297	0.2161079226819469	0.7031922157943888	-0.171101403435202	0.46954507632326203	0.16077419247685276	0.041476138357755765
ENSMUSG00000105490	-0.050656599030466216	0.059913982855191124	-0.06722898792958568	-0.004446960745656314	-0.0673896007197215	-0.5099794506656322	0.08161930769059625	-0.12910939036604646
ENSMUSG00000062168	-0.25980670624588753	0.04125206241850417	0.008462833981372153	0.10572179525119658	-0.12279377893942031	-0.568478947222102	0.12187223325050167	-0.19716155622174134
ENSMUSG00000021576	-0.023699153836471476	0.053354216386022044	0.46111273326979624	0.06877171295710649	0.07889743576398209	0.40748667874781885	0.1223209065372829	0.22750679509376612
ENSMUSG00000027936	-0.08373410559872507	0.05528927385067354	0.3382855067798561	0.25851857646105014	0.027975325436586776	0.6529102700007052	0.064587766253504	0.1532483499652585
ENSMUSG00000097798	-0.01111702373960402	0.06646256119945877	-0.11257013249003303	0.0454055417276218	0.04740738942638809	-0.187504787053395	0.08126756594935855	-0.11643961644564522
ENSMUSG00000035067	-0.026247414557753316	0.11076681400090595	0.009327480310672653	0.6802974193933814	-0.03607927845329606	0.8205219777801782	0.09730892836357155	0.1808062963473342
ENSMUSG00000025279	-0.07948015121483235	0.020929536564946703	0.002916983564941411	0.16922281119875474	-0.05479616977541271	-0.21770646034323066	0.044436880498492363	-0.0643222986094315
ENSMUSG00000104638	-0.10801073317234637	0.051265140762880135	-0.062491739288988817	0.05224090704467822	-0.06691191158349864	-0.56780030631903	0.1002583152631752	-0.14702614415682572
ENSMUSG00000000339	-0.02236627039219341	0.054043596665201324	0.2788599070298567	0.12566576004325392	0.07909118207236791	0.6008048804700258	0.10508990398509342	0.3144674876506339
ENSMUSG00000040875	-0.04045156651739845	-0.06403945927084946	0.24537089758983777	-0.38443306317483217	0.01658964863626089	0.9921885484769097	0.12231362757226781	0.3716136551848259
ENSMUSG00000021945	-0.05348374507296638	0.03928774395935207	0.33109011975567676	0.3929612971474809	0.05537091282818164	0.7831730301792885	0.1787270428484871	0.23313154816112933
ENSMUSG00000026473	-0.09557572520880472	0.0026239089642272617	0.3350922749883423	0.13499559163701902	0.08267517034259335	0.7982315255614537	0.025075252285219587	0.1906406434717673
ENSMUSG00000059842	-0.0354321556678312	0.033215701662251	0.15949501966859922	0.26448558257623406	0.036229075439768076	0.7905724281931984	0.08293443703773654	0.2204168637252608
ENSMUSG00000032413	-0.020964381335243587	-0.029966162009906108	0.10109566147246182	-0.3133145460299197	0.05327535187443464	0.992933868081207	0.12614335394675194	0.5028277228683266
ENSMUSG00000112533	-0.032682076163959295	0.05494383850368836	-0.08524382920004103	0.036330153308458395	0.06050279759579628	-0.32205670670273984	0.05407854494595749	-0.17376809126465725
ENSMUSG00000109754	-0.03745410981654105	0.03681374753246194	0.127214992792133	0.24419981957274917	-0.0451473389580105	-0.4224561257667486	0.08382992689924477	-0.164994683571895
ENSMUSG00000087667	-0.05720407922748833	0.03392608779065842	0.6148756132020288	0.20276222916032785	-0.030175147012089315	-0.5598864581985358	0.06959241099683719	-0.15399394696268304
ENSMUSG00000116305	0.5015176752749354	0.025524427569219965	-0.1599556109584845	-0.0025066709587648894	0.06204486635063218	0.3808548779646564	-0.25726411040231423	0.10557250858503564
ENSMUSG00000046897	-0.019736572761165843	0.07774016665130024	0.37300298189617875	0.6656456133006985	0.09934781805699132	0.5801675738195972	0.015986471335850343	-0.00552270868177529
ENSMUSG00000038742	0.023834297050568547	-0.03956441210494965	0.09501535321351175	0.32946988242743475	0.0727300601323283	0.22295595252826397	0.024139163381608125	0.023010635367016724
ENSMUSG00000092541	-0.02895749100766376	0.06545841862518216	0.09721181363452823	1.2132111768037308	0.04509931773577659	-0.19453875111991398	0.09313648964370767	-0.14076049508569047
ENSMUSG00000022853	-0.03137492478123326	-0.03104128372153265	0.013394151615885195	-0.2585841818935827	0.013381996165709342	0.8019895889271438	0.11525279084320478	0.43103990916728013
ENSMUSG00000048175	0.005266537861122633	-0.024839865600874474	0.005877778000488618	-0.2475771880289629	0.06243946436506667	-0.19836606383451674	-0.012590177923345084	0.23130660546690418
ENSMUSG00000026915	-0.04284500556724935	0.01693639018972804	0.22365568495116542	0.08128113504238098	0.046791881615763406	0.7986484869161843	0.1712199552290058	0.38667664217868863
ENSMUSG00000030319	-0.06681929056678904	0.02422718554244025	0.5281335543343441	0.09774534733409841	0.0473019049347751	0.38556196070570886	0.0715398158437203	0.10488607515473232
ENSMUSG00000064280	-0.012773469684711818	0.006958718164435857	-0.01332615040160614	0.016974155445111213	0.004512190793974025	1.0736905593063755	0.09421371288238226	0.38472040488229364
ENSMUSG00000022883	-0.058952830771824775	0.04696071792691717	-0.06696729300826279	-0.03840613237433079	-0.004320686015640174	-0.5062066355785042	0.08649245324868474	-0.11123221336161578
ENSMUSG00000024516	-0.032118735929976966	0.0524050812500181	-0.00831639687726885	-0.002244222469818924	0.03142742501969857	0.845060060065704	0.030878956898577524	0.32954047724507596
ENSMUSG00000006369	-0.0898525753735476	-0.011928227766089927	0.2617083480815587	-0.07571313757621437	0.03719081441210747	0.7437637158485693	0.04808781559705413	0.32650305902955007
ENSMUSG00000036053	-0.03889760377457496	-0.05531826414536133	0.20692768694598404	-0.40727021001837593	0.04470326561249176	1.1120185935964364	0.16827953325677902	0.3595318220682666
ENSMUSG00000033902	-0.041124203168361184	0.03848123726900067	0.1430935221399871	0.08156755587604168	0.026696511470633837	0.7806121365815466	0.0745608323083486	0.25143111441415533
ENSMUSG00000026940	0.6987911571415256	-0.11269879609876156	-0.36498889341078905	-0.6028884870119886	0.08579805332543716	0.4107169824739122	-0.34554511024868384	0.09849889267914681
ENSMUSG00000035722	0.1810656422662733	0.07497090435880327	-0.09867193050056522	0.23912309534214188	0.1164446683943697	0.6943940202480642	-0.1161841283653604	0.10092867791214183
ENSMUSG00000026223	-0.022417244721182016	-0.01505626651602876	0.1930150618665233	-0.11130573456304647	0.08391007212619077	0.7395565521470031	0.03354149245013448	0.2796593921065015
ENSMUSG00000087455	0.10678048591963563	0.07417817739035461	0.10615666216427765	0.7573604152416542	0.12003347996638261	-0.06200319015677813	0.09355370645001974	-0.1604765277143879
ENSMUSG00000061894	-0.03407171559973578	0.11161377529379521	0.5031312454181945	0.34029509770431793	0.005832223654860247	0.23543255294285598	0.07521550765802407	-0.0901329471483478
ENSMUSG00000114278	-0.008709084231188213	-0.09142798986210444	0.223988247931987	-0.08111171693768526	0.052644540144315966	0.6053683955729898	-0.010103130446080539	0.21156422863798555
ENSMUSG00000018102	-0.009121760001991941	0.02924185036627532	0.1045942651016839	0.4647029725981642	0.10551913987071064	0.844280299681675	0.06741972874659788	0.1355885401341275
ENSMUSG00000010045	0.2060687487659915	-0.02029109593984657	0.11057161709259264	0.010664231283949643	0.036248754306401995	0.779929827578736	-0.14775975737980365	0.28763115719259347
ENSMUSG00000017204	-0.0035266002579183997	0.02884612468934622	-0.10845910484337606	0.019919104219812623	0.024608495743522214	-0.2848012572019089	0.040851126394265816	-0.13911974544347142
ENSMUSG00000078489	-0.0045788530125874805	0.07357987647178171	0.23442352976946063	0.22473988065108702	0.05833228373454549	-0.2185623699006523	0.09352754975939821	-0.022605500190986692
ENSMUSG00000085154	0.017806766742297787	0.09049579713440635	0.025922802696255774	0.1832537909782675	0.03036102613091917	0.9685535993800459	-0.011861693740885304	0.23815177705994459
ENSMUSG00000026587	-0.09043201258193644	-0.07548171363277618	-0.0672216599222849	-0.49551565444155243	-0.09366775840742123	0.7331062384289946	0.16557770958670262	0.38182833399070804
ENSMUSG00000031090	-0.0757120211782157	0.03221523740011923	0.34841213159282364	0.251498419618987	-0.06170217216902296	0.42845706040844944	0.06114061153622336	0.07367754705487431
ENSMUSG00000029816	-0.007098980403700772	-0.10576775799639565	-0.05824626508305042	-0.26197109524484186	0.046978715692843676	0.439310107549298	0.028733197424492023	0.39479383696592435
ENSMUSG00000051207	-0.07232919721159585	0.045675952753225765	0.09203684277164287	0.19031493026642493	-0.07612528828420435	-0.32133454521189997	0.036673369406117706	-0.10036505179665439
ENSMUSG00000059363	-0.041702316617591384	0.04735192533638145	0.08171777196271263	0.2434063154840009	0.058641709918831816	0.9593547643713796	0.045637965828740516	0.2086648726195646
