	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000048249	0.02560588442065909	0.021785004889404217	0.1462923240907258	0.004926799344807001	0.0022056511124864397	0.09231891827770765	0.017016320043177074	0.014412351399838744
ENSMUSG00000056617	-0.015065896514683184	0.015859206962816095	-0.2898207235928138	-0.04139709084083429	-0.19214866570374023	-0.15459909479239373	0.07732304152916435	-0.002974939831471568
ENSMUSG00000032115	-0.05959602293255961	0.031054640907646033	1.0792196658833448	0.13696743479061574	0.25338987607718766	0.1894046032978323	0.06304530785763596	0.01864842688487771
ENSMUSG00000086389	0.33439653748466674	-0.017999827732336326	-1.049019846791795	0.053733590212324	0.9584854043690931	0.18914462468307092	0.2548634579329559	0.04273034384685214
ENSMUSG00000064225	0.4307267058764206	-0.08344139658781753	-1.1514397444647786	-0.3448573742260128	1.0869954517861582	0.00965418660222378	-0.05142343204426396	-0.14966775231659957
ENSMUSG00000114926	-0.026711622503689036	0.005713187181814904	-0.0926301836799886	0.15969550033556454	0.08576951097462918	-0.05837816588365383	0.08036990876000606	0.0006106248547894932
ENSMUSG00000094443	-0.02734583924035842	0.024358203800405015	-0.37322389958698643	-0.07111803425191185	-0.07810693786977445	0.1575496539497323	0.008027350081829254	0.05103459503662989
ENSMUSG00000030711	-0.0042213897253318144	0.01532169969545384	0.7412110310369592	0.2301396661808773	-0.23309675137012204	-0.06944440034331735	0.02087557750634735	0.04306526375895031
ENSMUSG00000110685	-0.004282920941866775	0.02143995715934143	-0.6277511672705287	-0.009347400783911327	0.07059757629670264	-0.09504554765445554	0.045282378290554995	0.010004726207883797
ENSMUSG00000115735	-0.009435961541254766	0.014726997173604928	-0.3020650650657856	-0.01904905934432307	-0.23585218034527744	-0.2101992251332573	-0.05507013564813306	-0.008955757206617466
ENSMUSG00000111749	-0.02293824056668104	0.0020157904246323605	-0.2748448741957703	-0.03272395497408601	0.23368030884799465	-0.08753818573256351	0.10453059511308657	-0.012442358192230158
ENSMUSG00000056394	0.05740893161018878	0.021589033500332488	1.2482853202935944	0.08097181520748238	-0.02324151098267291	0.043445808568480855	-0.07130649770594469	0.04229888048068609
ENSMUSG00000019763	0.001713831984031522	0.022350554178323906	1.033116919465179	0.05547726328494947	-0.18829376933476247	0.15587252569898902	-0.05706730841438662	0.016613509257528355
ENSMUSG00000094806	-0.0328736454240174	0.01639433172598881	-0.07671299972281558	-0.03563019067956012	-0.4600348289336181	-0.14522240442194534	-0.0057981859928242325	-0.011504140717610703
ENSMUSG00000115955	0.010185994947567705	0.02450134650851375	0.36764146116001195	0.15605225570573847	-0.001300562302782693	-0.13015734983566865	-0.01141189793580629	0.0074216633245484135
ENSMUSG00000117554	-0.07673803520049695	-0.0048032046246935245	-0.32543641423140646	-0.013839579331586799	-0.31503974468755164	-0.19273134460870633	-0.06911228853899268	-0.01547053642380337
ENSMUSG00000101489	-0.5634571225703483	-0.20089540123800595	0.4939308581369359	0.1114990274191931	-0.9868286337059039	-0.3460139652216244	-0.6028816050697611	0.04845686716392272
ENSMUSG00000054027	-0.03101156259586437	0.026470003984222036	0.44535049114963615	-0.007512018873563786	-0.16520815431538186	0.18989963213955746	0.019290016108523322	0.07731818405159283
ENSMUSG00000107989	-0.022482446660925026	0.011437867561085696	0.41637230052027796	0.016806632051703616	-0.6445301650493025	-0.12662832121037026	-0.13532675226281135	0.01066721852035274
