	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000048249	-0.03356710821390152	0.07888251543045044	0.4534591734409332	-0.0046669901348650455	-0.22750577330589294	0.14112704992294312	0.05963001772761345	-0.02678389474749565
ENSMUSG00000056617	-0.040738776326179504	0.07061651349067688	-0.022750942036509514	-0.04236384481191635	-0.35307562351226807	-0.13748402893543243	0.08445756137371063	-0.04547319933772087
ENSMUSG00000032115	-0.07158419489860535	0.03133464232087135	1.2751163244247437	0.1316945105791092	0.051048193126916885	0.2532111704349518	0.15376225113868713	0.0035629195626825094
ENSMUSG00000086389	0.20002581179141998	-0.03072378784418106	-0.8887110948562622	0.08064872026443481	0.8835391402244568	0.25348469614982605	0.33254796266555786	0.05153479054570198
ENSMUSG00000064225	0.5219249129295349	-0.23414473235607147	-1.1362402439117432	-0.34886273741722107	1.0425223112106323	-0.15499481558799744	0.03892640024423599	0.133427232503891
ENSMUSG00000114926	-0.035320378839969635	0.05934680625796318	0.15943141281604767	0.2037574201822281	-0.08998248726129532	-0.06439913064241409	0.09438302367925644	-0.056766219437122345
ENSMUSG00000094443	-0.1613493114709854	0.05422401428222656	-0.06681253761053085	-0.09978390485048294	-0.26588135957717896	0.1840936243534088	0.06736432015895844	0.09533210098743439
ENSMUSG00000030711	-0.0043826596811413765	0.08672452718019485	1.0504413843154907	0.25966694951057434	-0.486093670129776	-0.05947167053818703	0.04092109203338623	-0.027943594381213188
ENSMUSG00000110685	-0.1055803894996643	0.059829410165548325	-0.32113155722618103	0.003208752255886793	-0.07676061242818832	-0.09124834090471268	0.0709156021475792	-0.01232354436069727
ENSMUSG00000115735	-0.05427621677517891	0.09865915030241013	-0.02609415352344513	-0.01752568408846855	-0.4016171991825104	-0.18679776787757874	-0.044547248631715775	-0.07768949866294861
