	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000048249	0.02260387588953586	0.023680461867956592	0.2053433038257022	0.013230517613651148	0.009234929283397086	0.10823407027275435	0.020679100025097995	0.021210127866990794
ENSMUSG00000056617	-0.011860873344726929	0.017915466935641215	-0.22880923705619866	-0.03441347031510257	-0.1845509154296162	-0.14045217981975924	0.07848192069986502	0.0005182586122209898
ENSMUSG00000032115	-0.05383324804173206	0.03360327279288684	1.1335079226455853	0.14538482656651683	0.2586620840602044	0.20610704190668921	0.06843085861311285	0.019924307289597216
ENSMUSG00000086389	0.3433880007074248	-0.016176558066285374	-0.991050856197076	0.06447029625188581	0.9500441542464474	0.20658116237826282	0.26165191568108637	0.0470793020693655
ENSMUSG00000064225	0.43428579862031785	-0.08053168825265171	-1.0957164639148114	-0.336437382489719	1.084161877898104	0.026211879270820193	-0.04053955719750082	-0.14523468624294908
ENSMUSG00000114926	-0.020749519506778998	0.006467379351146913	-0.03249599550832046	0.16953469825465434	0.08738577021590731	-0.04254108700435115	0.0827806986040357	0.0037099486994589537
ENSMUSG00000094443	-0.03299976224319816	0.02721498184242437	-0.30545048777714445	-0.06827583026001985	-0.07077905991469614	0.17356263985982393	0.012231141953021302	0.0553246015256342
ENSMUSG00000030711	-0.0017760935606361272	0.017058238308296902	0.7954936688692034	0.24096971553326899	-0.2196709758290546	-0.057262179440984204	0.02419337862359371	0.04449807730240858
ENSMUSG00000110685	-0.0057501683443176976	0.02364552579073342	-0.5539165682139837	-0.003511237488144525	0.07069605710537427	-0.08210530673340186	0.04794846715472387	0.01354396509901671
ENSMUSG00000115735	-0.011881886688626992	0.017379806093486994	-0.24284492135387162	-0.012167754718650024	-0.22788342941012635	-0.19209567997397198	-0.05180051472516787	-0.004952873267835842
