	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000048249	0.02477689792216708	0.022143580102552737	0.15199648036815094	0.00758171939033578	-0.0020585713127522776	0.08966060202120257	0.015853178144554145	0.013974759217692432
ENSMUSG00000056617	-0.015618012424842155	0.015930576943670404	-0.2842396484662973	-0.03943558293610203	-0.19590392722401268	-0.15767192555349632	0.075749625937071	-0.0022698767848499113
ENSMUSG00000032115	-0.05893919186272445	0.030661289337725522	1.082945517597709	0.13738933135368564	0.2487802475459636	0.18736839815737524	0.06233997959744161	0.020953753314502162
ENSMUSG00000086389	0.3355690031718451	-0.016556075518242896	-1.0451726263022831	0.05783449344413783	0.9547412391609655	0.18574271655745045	0.25140144672055253	0.042139479045503365
ENSMUSG00000064225	0.43172953089626254	-0.08298040342505839	-1.1489070565977422	-0.34123269929490857	1.0828186780347182	0.006631222197773345	-0.05404579208926466	-0.14810144282135276
ENSMUSG00000114926	-0.026719897217409593	0.006174425317171704	-0.08700646799971895	0.16136709127219215	0.08187229688320868	-0.06180246593397394	0.07871989041357216	0.0011992795795278677
ENSMUSG00000094443	-0.028765225570823283	0.02451554711773562	-0.36796587857742435	-0.06867381289506427	-0.0819628000321725	0.154818351217476	0.007273908473122426	0.05130039446181307
ENSMUSG00000030711	-0.004703142598188048	0.015384432321078082	0.7458325357856804	0.2311846223359908	-0.2372467111453907	-0.07169761812365665	0.019542478580649725	0.04491949185875056
ENSMUSG00000110685	-0.005215824168695815	0.021765928198225707	-0.6238078448836121	-0.007213279554508465	0.0673058625231158	-0.09752318742865435	0.044139618928385506	0.010811719964561617
ENSMUSG00000115735	-0.0106449630763577	0.014481973878113119	-0.2970202829927984	-0.016743100193321297	-0.2396029868808943	-0.21287471004672068	-0.05599143235210225	-0.008139493171865008
