	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000048249	-0.004386032000184059	0.06421154737472534	0.23193466663360596	-0.03215603530406952	-0.13310056924819946	0.11970312148332596	0.06121391803026199	-0.025692231953144073
ENSMUSG00000056617	-0.03103742189705372	0.06019582599401474	-0.21651606261730194	-0.06235288456082344	-0.29250502586364746	-0.15044642984867096	0.09596183896064758	-0.048958919942379
ENSMUSG00000032115	-0.0709732323884964	0.03239373490214348	1.0869017839431763	0.10330423712730408	0.15400780737400055	0.22545801103115082	0.13546723127365112	0.0027395510114729404
ENSMUSG00000086389	0.18519526720046997	-0.04163637012243271	-1.0726248025894165	0.043011754751205444	1.0043573379516602	0.2275816798210144	0.332157701253891	0.04545683041214943
ENSMUSG00000064225	0.5497041940689087	-0.2341650128364563	-1.3474098443984985	-0.3744351863861084	1.17441725730896	-0.19430966675281525	0.010944562964141369	0.1189650446176529
ENSMUSG00000114926	-0.027883555740118027	0.048039600253105164	-0.048177048563957214	0.16233499348163605	-0.0021096868440508842	-0.07266948372125626	0.10461147129535675	-0.05254244804382324
ENSMUSG00000094443	-0.110545814037323	0.04345185309648514	-0.2866016924381256	-0.11456877738237381	-0.19501346349716187	0.16119562089443207	0.06023699417710304	0.09018560498952866
ENSMUSG00000030711	0.007334656547755003	0.07329943031072617	0.8310614228248596	0.21787460148334503	-0.39459750056266785	-0.06540791690349579	0.04881516471505165	-0.017363984137773514
ENSMUSG00000110685	-0.07235462218523026	0.049607306718826294	-0.5185610055923462	-0.017613530158996582	-0.015524444170296192	-0.11072546988725662	0.071335069835186	-0.01810053549706936
ENSMUSG00000115735	-0.02464195527136326	0.08508122712373734	-0.2111581414937973	-0.04038117825984955	-0.34593474864959717	-0.20963628590106964	-0.0408443957567215	-0.08121983706951141
ENSMUSG00000111749	-0.04288581758737564	0.02274184301495552	-0.22670207917690277	-0.044716693460941315	0.16303138434886932	-0.08840601146221161	0.1375780701637268	-0.053736452013254166
