	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000048249	0.041372694075107574	0.17739880084991455	0.04302043095231056	0.15572723746299744	-0.0012075931299477816	0.13280215859413147	0.11954960972070694	0.0057100760750472546
ENSMUSG00000056617	-0.03123786672949791	0.16149064898490906	-0.1384284347295761	0.01995210535824299	-0.030163628980517387	-0.8158785104751587	0.06730791926383972	-0.2276490330696106
ENSMUSG00000032115	-0.05732111632823944	-0.043370701372623444	0.13177244365215302	0.32922476530075073	0.036438893526792526	0.8361265659332275	0.11851317435503006	0.10091935098171234
ENSMUSG00000086389	-0.09016750007867813	-0.042277127504348755	-0.037648800760507584	0.17555013298988342	0.11216210573911667	0.6417168974876404	-0.007416004315018654	0.2209528088569641
ENSMUSG00000064225	0.333255410194397	-0.4764711260795593	-0.15487533807754517	-0.8763604760169983	0.18660613894462585	1.4663299322128296	-0.4453026056289673	0.2030453085899353
ENSMUSG00000114926	-0.025811094790697098	0.16137497127056122	-0.08925410360097885	0.5285703539848328	0.029808353632688522	-0.554095447063446	0.07670989632606506	-0.17723798751831055
ENSMUSG00000094443	-0.08786036819219589	0.10829286277294159	-0.13939501345157623	-0.4495749771595001	-0.018694056198000908	0.45178958773612976	0.13902637362480164	0.3019444942474365
ENSMUSG00000030711	0.03958502411842346	0.19857454299926758	0.27707695960998535	0.6344044208526611	-0.06276953965425491	-0.6951566338539124	0.08355613052845001	-0.23768407106399536
ENSMUSG00000110685	-0.042756374925374985	0.14691226184368134	-0.163976788520813	-0.005904575809836388	0.046515092253685	-0.701091468334198	0.0757010206580162	-0.11761560291051865
ENSMUSG00000115735	0.01074068434536457	0.1640872359275818	-0.1282532513141632	0.11285948753356934	-0.043237172067165375	-0.99620521068573	0.05754462629556656	-0.29477179050445557
ENSMUSG00000111749	-0.05813547223806381	0.06171180680394173	-0.1439095288515091	0.0519086979329586	0.06474221497774124	-0.5835412740707397	0.07548115402460098	-0.11352898925542831
ENSMUSG00000056394	0.15598449110984802	0.06607373058795929	0.46414443850517273	0.33395031094551086	-0.032701876014471054	-0.13164788484573364	0.12012495845556259	-0.1968168020248413
ENSMUSG00000019763	0.06227893382310867	0.08565936237573624	0.18623758852481842	0.2174549102783203	-0.10735494643449783	0.5908207297325134	0.1487034112215042	0.118856281042099
ENSMUSG00000094806	-0.016470175236463547	0.18590475618839264	-0.07165615260601044	0.08133230358362198	-0.0924881249666214	-0.8743600249290466	0.06213180720806122	-0.2709801495075226
