	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000039157	-0.036038696915316644	-0.003923041015774028	0.63983251957122	0.012595937377253515	0.08713464464828057	0.21842502673690822	0.04218710759877078	0.024308428672832505
ENSMUSG00000024430	-0.007816654533183151	0.0041984510332050765	-0.2119572732967104	0.07605498569963466	-0.055092675232819084	0.00816970223968383	0.008600632359489931	0.017433201456307352
ENSMUSG00000002307	0.15075294802492342	-0.004438760020795078	0.8081336249761599	0.23009714577230106	0.7546947297060147	0.28043294866105756	0.0950788477437527	0.04476950042574442
ENSMUSG00000035437	-0.019545200274400747	0.003771676405761225	0.8754985592911128	0.14223878128858425	0.07679928502693656	0.06089347129906985	0.012809224990519397	0.010680468508715941
ENSMUSG00000112331	-0.0017092299142469917	0.020116472368525658	-0.00938805827588242	0.10358098128074614	-0.12398790912047844	0.10088539775596084	-0.004937205716539341	0.00802442686170772
ENSMUSG00000050628	-0.004508986617500861	0.02922263763923963	1.2456300956930915	0.1382749942548149	0.554772053493798	0.23407493575302527	0.05551310046698096	0.029371054819473233
ENSMUSG00000001444	0.23367999122019684	0.029459159870176724	-0.595353442267203	-0.3279391710348656	0.43344683662110456	0.18153974533509296	0.06726871866579001	-0.051944432469878975
ENSMUSG00000115142	-0.02674301170456082	0.01706633808207698	-0.3527273182193832	0.01421842126125869	-0.20891726352752552	-0.08540799680985012	0.007076743678667948	0.02088274230128653
ENSMUSG00000011837	0.03516509149693385	0.00980903360276508	1.143432090312334	0.0012147411403670308	-0.010117409446996005	0.14291646799954053	0.05056257534823609	0.005929607478174148
ENSMUSG00000078903	-0.0920379119793714	0.021794822043999115	0.9675549544282798	0.13764414369112013	-0.30125438581653724	-0.11814005687005452	-0.014864211781657234	0.06799186511073328
ENSMUSG00000062729	0.0593870213124319	-0.008639610367286618	0.23541033848591075	0.026936950097297085	0.04528191005177048	0.2378876057512181	0.05109870545618053	0.02320140530926957
ENSMUSG00000001985	0.047489031875686906	-0.005913087901769489	0.32914675694519246	-0.11905066632947897	0.13744970843355467	0.1456726462539726	0.011856073067039168	-0.025344706498227815
ENSMUSG00000055446	0.03321255433080036	0.007041528912460697	-0.07123874120666837	0.018239989579056523	-0.3330155756694564	-0.18879406751376726	0.025807533925087358	0.021100391625285347
ENSMUSG00000021963	-0.011328073438978339	0.006630183010253989	1.129065991806835	0.03243729329801032	0.08153819419146333	0.1832332979145576	0.045456216077270385	0.016109516685537527
ENSMUSG00000004552	0.004678599998650108	0.011334175122153413	-0.3557147541832819	-0.016258687364149538	-0.2292516326488112	-0.19571176880885366	0.07688728842170219	0.01972456344727626
ENSMUSG00000046442	-0.07547891619183897	0.010136316367944737	-0.12615029833006183	-0.15626985948347283	0.08811230573077669	0.19046274024097198	0.019497699599378394	-0.028134394493931073
ENSMUSG00000063146	0.061073274656103294	-0.007662330479797674	-0.06594381042112737	-0.05236848061891319	0.16634140626969643	0.31178857286119765	0.0292624199412655	0.019642420987344977
ENSMUSG00000046201	0.008530572247296472	0.01199458948935249	0.9381220246762886	0.13159796995771883	-0.11810843856073916	0.2493518165858924	-0.008028742861954794	0.005204980966664152
ENSMUSG00000064141	-0.045420480937069185	0.00964308077631618	0.02857438015671505	0.02748817397807995	-0.15333103571548626	0.2521434208750309	0.020026652618149194	0.01350874871682858
ENSMUSG00000096992	-0.0015557272681430083	0.007499159471782539	0.8950990204517438	0.021019490714284723	0.28881038749771376	0.16274016070227454	0.05187013975061875	0.015989897895737418
ENSMUSG00000028613	0.0984186072603604	0.008860502970648148	-0.2534181746206741	-0.23165229196056317	0.35957825570437435	0.21153676153709447	0.09744412814657803	-0.010569544480261227
ENSMUSG00000108811	-0.021139771830504677	0.00956648933118101	-0.24939365485983478	-0.021292805052196075	-0.2521660848600732	-0.1551371030320297	-0.004036315715555767	0.020613885770165194
ENSMUSG00000102080	-0.05495630761776868	0.02911940253190031	-0.15455349778276287	0.05063571108715093	-0.34425090452184254	-0.21696005065553306	-0.04547691952196017	0.0211717084117741
ENSMUSG00000041143	-0.020466194171344147	-0.001142463129976282	0.21678964112751212	0.02341956237820081	0.01363326890589503	0.28420408488496574	0.00543482464553173	0.02595587432588218
ENSMUSG00000115121	-0.01832931796239531	0.008561871221536422	-0.2823348271893337	0.01007072393404087	-0.04284810670313683	0.009912666429383016	0.03691439327937717	0.012529847755337999
ENSMUSG00000032087	0.023365287083496306	-0.00039481485491705827	-0.20066463039864693	-0.0025911376364612286	-0.04256103481457103	-0.16433390676746576	0.07690707846127874	0.01818890935308965
ENSMUSG00000092074	-0.02769488376512267	0.00012072543920242295	0.5219498551238108	0.0014385360393394616	0.23829934928819838	0.1543192120848419	0.0572273727897222	0.022215131956285664
ENSMUSG00000032572	0.010125572583222362	0.016102133857410602	-0.040739320378062466	-0.02250211422391918	-0.25850975126377307	-0.14852192414255114	0.018379834792410423	0.022423906861929157
ENSMUSG00000097055	-0.045325159668313325	-0.004775213232850157	0.8970640370198193	0.21569567940841808	0.4779525189828876	0.2115698808928885	0.05782740677386755	0.016584787482601573
ENSMUSG00000021340	-0.01452648235702197	0.0102627727885452	-0.3151067704878577	0.007665835975577855	-0.11465810599994646	-0.10589350046585813	0.035164737386055224	0.01529403794598433
ENSMUSG00000046179	0.026495076511335876	-0.007738784951808546	0.2725558092719439	0.026097927240256728	0.2793985707329609	0.27106074060253116	0.014738430006608334	0.026170169275636517
ENSMUSG00000042514	-0.10867312312168775	0.0015947267724446387	-0.4246389819345495	-0.3493525133563318	0.4057504100470136	0.17107232204725734	0.09051761375755762	0.010060004156444587
ENSMUSG00000017707	0.013632890943180037	0.01178989668010867	0.9968514293782521	0.12510472451696322	-0.2547100466459857	0.19378949447454943	0.006112502797311338	0.002570433848346251
ENSMUSG00000027239	0.19343097428848394	-0.0030419139113031894	-0.30019668422812956	0.2860620475531115	0.8931567587028569	0.31108356320484226	0.08711019374635985	-0.0012837536458911408
ENSMUSG00000026113	-0.03421712415708628	0.011272694777081987	0.10717090779024667	0.00953743327889762	-0.2371837215980382	0.25148986697583625	0.011483640254300553	0.02320010591023934
ENSMUSG00000037197	-0.023627159745124766	0.017697763475786943	1.2084861542678222	-0.0030549402975468963	0.20890884598338744	0.1106585255023674	0.05714449415900162	0.020550814868433267
ENSMUSG00000066607	0.3229040595670085	0.013113678599984269	-0.34007740183972474	-0.3094662259650379	0.47238378526555086	0.18770771368020048	0.08682034938517193	-0.04823717717486683
ENSMUSG00000032750	-0.14366357286645715	0.01620600811022866	-0.1270801961516554	-0.010909341974911512	-0.4797174698411774	-0.17902795971978255	-0.07338463047168002	0.025677806828545206
ENSMUSG00000085185	0.3041790240545067	-0.001414814963261181	-0.3793137946229503	-0.29035197832350346	0.4798686350941872	0.20487608918462813	0.07254736151101367	-0.04058442391615245
ENSMUSG00000007812	0.07130276806851076	0.003101185968054259	1.3195120232898	0.04066962363057038	0.24107860931794026	0.27285287113835305	0.022922703186174787	0.028765055418209937
ENSMUSG00000060733	-0.044545754528319645	-0.00493511667004246	-0.0599407499863446	0.06616839878461178	0.06553353527592012	0.2802496055634817	-0.006577721619916182	0.022666198351985908
ENSMUSG00000039230	-0.04824830179412467	0.007621374442533124	0.7695166134353972	-0.002427512038723632	-0.1693205709497436	0.17634107938959329	-0.020139096637077664	0.019011975003481243
