	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000084771	-0.1314593109238818	-0.010459233028658282	0.44540018695915934	0.30958752065884515	-0.5731568405494077	0.14728183937841094	-0.05505812573267446	0.006510716466540803
ENSMUSG00000072582	0.004577083285767003	0.007885354622339946	1.1236096605129984	-0.00764360733394694	-0.07962597586509738	0.16182588850767518	-0.0036236516743623983	-0.00021736463942423662
ENSMUSG00000115121	-0.028988739035880177	0.0059816201417041675	-0.30967414877710064	0.007636382185488141	-0.0704593398763661	-0.012206235766123947	0.03484871199460551	0.00808253000349006
ENSMUSG00000035799	0.27438231505823624	0.0612600485783852	-0.9107775396201759	-0.3009859197504089	0.7372870166317236	0.1572103255534395	-0.006600019194463259	-0.07239522103258683
ENSMUSG00000002043	0.07267570767897788	-0.009600545619468904	0.22951515599192396	0.0138892053134571	0.22299200800849317	0.2723748062536678	0.16834430402640074	0.015874721044591363
ENSMUSG00000055446	0.020178648961206948	0.002659021965623002	-0.08840356622796597	0.0178730701618146	-0.36797706418723725	-0.20389185971902668	0.01708556812918687	0.015573322895423708
ENSMUSG00000033987	0.04137231393641352	-0.0058088612952945234	0.2860204812394971	0.041568518405983926	0.0642252911803163	0.0533854585469401	0.028345746039147864	0.011930695021666387
ENSMUSG00000027306	0.02646773011646084	0.004872833355225988	1.066175105228779	0.10459201088758294	-0.08982861321731304	0.1662607340167077	0.012581332512075149	-0.0041419099999724755
ENSMUSG00000096401	0.04444772689748788	0.03753586638408056	0.2790603787103984	0.06799487373760453	0.15630179466742058	-0.15923972983686585	0.015827133378895398	0.012272968920712758
ENSMUSG00000056260	-0.06014403358759799	0.018154251261148602	-0.42347734647763513	0.009472871815887629	-0.10759022064469588	-0.042634880349318595	0.010607663003767292	0.010575697546508828
ENSMUSG00000105085	-0.07312023150500734	0.004008337655302187	-0.09216524577106092	0.04399640842215636	-0.12242032793520984	0.21296379911779825	-0.0017186328381025564	0.009800847065188073
ENSMUSG00000078908	-0.021131368814634958	0.010012146912673155	0.36733088262533004	0.09111456261359438	-0.07234044552949075	0.14958611727280577	0.0038272660603979602	0.007728550127649214
ENSMUSG00000041073	0.17071274804527223	-0.005954190142801963	-0.43386433604474794	-0.08716875875452387	0.14819077839575975	0.124876643805432	0.10117663860065866	0.01146782443496964
ENSMUSG00000026880	-0.041179332797556915	0.0030522575766164144	-0.11133752829123945	0.012102107399264891	-0.18226296738804584	0.22055413614143618	0.024803282500007687	0.013229447605512437
ENSMUSG00000095199	-0.22287474192235096	-0.01966733398289112	0.8886478034394844	0.2650274399347836	-0.8210505072830658	-0.29987743866222444	-0.09600568694204412	-0.01544670046797754
ENSMUSG00000022432	-0.019569869337335278	-0.0011144836905649365	0.21045170125533852	0.0137016448679008	-0.06440998986883122	0.20614825763217856	0.019149847245197246	0.014114466544093115
ENSMUSG00000007279	-0.08058458933373913	-0.00848264846686756	-0.2584675782199546	-0.13281764161342186	-0.03900961791961371	0.17560223595074995	0.05302190783742325	-0.026154712317864842
ENSMUSG00000109865	-0.008756194467527427	0.00769942834345524	1.157548625923768	0.019068235361035996	-0.17203209663265234	0.19682891046208428	0.010613411451725238	-0.0033508781584844524
ENSMUSG00000004988	-0.018130711309952727	0.008824055660079466	0.018409481989147027	-0.0328518191038581	-0.19953424446482262	-0.20642571791104275	0.027812777141038428	0.010806371695278878
ENSMUSG00000030319	-0.05211308198366688	-0.0011742358501058852	0.9263670232157373	-0.007442167455467695	-0.024858723947545514	0.07026551002397485	0.03387197534320876	0.013051885491066579
ENSMUSG00000041360	-0.034221038078248965	0.005614120885833732	0.9172091399343376	0.1531283726948459	-0.2895422958283494	0.17705221428654372	-0.02417015821764445	0.003930052917608659
ENSMUSG00000018379	0.06485325872771293	0.014818223086539156	1.2023258703182884	0.175697694770601	0.682410272994561	0.2319446818502911	0.05726077192812227	0.022986139292022145
ENSMUSG00000056367	-0.04501226140980309	0.0070488911325810475	0.07695777010173645	0.02819523791435391	-0.3187304432596388	0.22847332195212533	-0.0012074975323879958	0.015259331472459182
ENSMUSG00000031506	0.012676720664551664	-0.010205687726686717	-0.3360889398631116	0.08360555625185953	-0.0811002966574701	0.023604885202699474	0.13056531877105693	0.016579987701334176
ENSMUSG00000037363	-0.06807874329060723	-0.00384039152938515	-0.15381985281611768	0.04679385295096706	-0.04456836176738891	0.24256745991245096	0.0035594732467351215	0.015169754295337562
ENSMUSG00000039639	0.08456029786580725	-0.011739735874626994	-0.3436744735962878	-0.027139704266353093	0.29387535683625693	-0.21896216446298888	0.12967307974397824	0.015279608255826003
ENSMUSG00000039086	-0.006030212763289455	-0.00079214361519137	0.2858770114879527	0.013392861505547313	-0.17424146360301945	0.18371767504488942	0.024757004119601335	0.008203380650333462
ENSMUSG00000028126	0.014996533158046077	0.01313168914265199	1.0815172140345177	0.0933573722690718	-0.13347991727423505	0.048853508818553694	0.031150684680843758	0.003471320517253064
ENSMUSG00000055373	-0.08455994863512127	0.008396026185073424	-0.15265393634778904	0.008472967452274003	-0.3085999430365129	0.2347185465363769	-0.032477945977838575	0.017623552772732053
ENSMUSG00000030711	-0.007596613811775958	-0.0016291611765544595	0.7261764533021571	0.2544177678602864	-0.17885885020415507	-0.022826296051997427	0.03938908128080324	0.038447475002924746
ENSMUSG00000031549	-0.0011721510198965137	-0.0001842740651357287	-0.4159914286424672	-0.011475190071671802	-0.18012713239139494	-0.14843209769314852	0.07136270068921087	0.013731393018887112
ENSMUSG00000035476	-0.041490727854865586	0.02395671912049043	0.8959242307184988	0.12006044134073558	-0.7447047676067087	0.10659084136714228	-0.10796481162885486	0.01596430083778354
ENSMUSG00000003955	-0.05358518903574025	-0.0008579784406590209	0.6394592090132522	0.057179171427508536	-0.03355921496279604	0.14923266770019836	0.01699471110270159	0.007699531900289003
ENSMUSG00000109831	-0.015923775539080712	0.01917790605699078	-0.28388450512653174	-0.00936593421465659	-0.31497418434820634	-0.23877633846615418	0.016874531358137445	0.017721242638383827
ENSMUSG00000078903	-0.1001101248714154	0.01791064625348164	0.9685106721839735	0.14064158462528473	-0.35292783249769855	-0.13684965833017487	-0.02983120877449567	0.06208866877080124
ENSMUSG00000109739	-0.03535305957198683	-0.000803011076641269	0.32885405583651195	0.11458088958471697	0.15416216281872558	0.18831406600968745	0.006641982209215972	0.007671372178551142
ENSMUSG00000028804	-0.08154996458064748	-0.007574047502566827	-0.09640500754212553	-0.12818466881944915	-0.3314778044057935	0.1331236002958966	-0.0023884876418118696	-0.05238395618570004
ENSMUSG00000025894	0.06210338017943806	-0.001961307609391432	1.0624614274090813	0.2071733510622185	-0.08498631007512034	0.15520663744661892	-0.026122389793662087	-0.007121730881356468
ENSMUSG00000064141	-0.051454405871793694	0.005691578655803044	0.01867426391436311	0.02591552019327667	-0.1900385941651101	0.2227498955754397	0.012757178400560017	0.00908103374271637
ENSMUSG00000027157	-0.08343760952255772	0.011264936748713289	-0.36101126458732846	-0.01836878087207359	-0.18596544298551246	-0.21607853150812195	-0.014070765292074482	0.020107694058138545
ENSMUSG00000024054	-0.045070231296007734	0.010214405768316023	0.5934193074363845	0.010781810474976996	-0.035165147358514205	0.15693745840357484	0.011026968470105203	0.01509001180882998
ENSMUSG00000042133	-0.04231690983677774	-0.0019317446664769834	0.6702876593347485	0.016255098885033348	0.09241134925853528	0.12540920467737512	0.0010552674825053795	0.013504725624235497
ENSMUSG00000020096	0.0758068330808393	0.008585676064883176	-0.3826933365221651	-0.006064448030416055	-0.1443669406089092	-0.1921390663369883	0.08075885305102669	0.01573563138933553
ENSMUSG00000064179	0.037961799431286636	-0.0014650139925704154	-0.21690943963751905	0.02603779243956004	0.20768975857759608	-0.11084486165584946	0.1502331951936867	0.012335865340095812
ENSMUSG00000094622	-0.09145312583418022	-0.012721837809554668	0.8971245718149086	0.2548253971374444	-0.46838266486652824	0.03911720330922565	-0.040409162429776706	0.010794118014226634
ENSMUSG00000043872	0.007561608227011415	0.00996733454220313	1.1712500349676702	0.0273885820281326	0.19187962783668938	0.07162951471805822	0.03080343787784971	0.010894254923810617
ENSMUSG00000034931	-0.017133982117333548	0.014884338149983835	1.276832132781627	0.11803978359717543	-0.08755639059246667	0.07415557632983628	0.02436621579898721	0.011151472481703553
ENSMUSG00000027984	-0.04535457591586497	0.00284302495877325	0.8351439796915656	-0.005380832968720435	-0.15043536181962866	0.17029721600556513	0.0053064555419821	0.008115213287133624
ENSMUSG00000031737	0.2654778385711584	0.05247024792385803	-0.8896267464292448	-0.3529305461047053	0.7293666657017769	0.12801048539596585	-0.0011803307913266638	-0.1261718583977719
ENSMUSG00000041644	-0.10743457288912656	0.002415327355473502	-0.32233972235434133	-0.021851417702367013	-0.25412921834379504	-0.22972162322912482	-0.023175588792063145	0.016047625698411137
ENSMUSG00000085653	0.3036596119657458	0.00399170377225216	-0.5989209641833441	-0.19390009983890194	0.5201221819316353	0.2312348760882222	0.013847061780610861	-0.03507230262839585
ENSMUSG00000026219	0.08279996918775266	0.0043278068629401135	1.0533906444188947	0.1985928841762091	0.16181013976227923	0.18434071587014061	-0.04276670531700282	0.012879536657419522
ENSMUSG00000108885	-0.06583645181214837	0.011277628991384908	-0.2935301493343494	-0.01618050846045662	-0.2811889489364278	-0.13002553688191776	-0.047923234236805	0.014829112781548507
ENSMUSG00000087478	-0.06258691466022616	0.008888394160645215	-0.17098409374838022	0.052632020102464594	-0.24806562190632186	0.12821635049383207	-0.0072903207485589	0.010826987574026654
ENSMUSG00000036206	-0.04035312992631849	-0.010670813709865407	0.4274780582374141	0.022783353671054232	0.25950903794613883	0.2236596866045147	0.03669182357157946	0.01993075321235145
ENSMUSG00000101660	-0.008529244159217342	0.01042993535894701	-0.26477277238544566	0.013941091219697098	-0.26264071224972474	-0.23515724957968423	-0.023286106589252346	0.02373236783501592
ENSMUSG00000027327	-0.008112099028221565	-0.002172516462971024	0.8266616519287968	0.049283561955858854	-0.037351317491785656	0.14217354525587456	0.017035130952275983	0.00900721709118183
ENSMUSG00000000134	-0.018701323769398315	0.011185911900663216	1.2464933067538368	-0.0063907327563876085	-0.16293636242044157	-0.08309850692603504	0.04039196058926921	0.004787676899806164
ENSMUSG00000094132	-0.06616063846558973	-0.00714038470073969	-0.2633962097148989	0.029872228059866758	0.25634048878247473	0.2786668902053082	0.05076029219614741	0.02367141833892674
ENSMUSG00000078901	-0.08685298211374694	0.013035364835689376	1.0292699114957942	0.11377812744976837	-0.38187564339041274	-0.16926611746260148	-0.040198879172281266	0.06494843591915145
ENSMUSG00000053158	0.2263818590633621	-0.008141669424990792	-0.5260532871984261	-0.1431417540324089	0.4459560403571231	0.22539883863501017	0.048914138824147815	0.00965419013238196
ENSMUSG00000097466	0.13645951925313315	0.054699446053876145	-0.8389303671294849	-0.3490943835474744	0.8028993846731672	0.10611580388420927	-0.03140398147107979	-0.04074224003805804
ENSMUSG00000084925	-0.04528107651328485	-0.0007923596466883152	0.5778959505897157	0.059377201745675325	-0.04526280860300176	0.17333325429525367	0.01047539967195397	0.007484349431303729
ENSMUSG00000102234	0.13849457402388257	-0.008600292114845485	-0.3189922414883248	-0.023256248619405336	0.4005728164732448	-0.13802198363607335	0.14132654618247864	0.024573325787683384
ENSMUSG00000032268	-0.02113801869594941	0.009989572285069569	0.0690556878885088	0.09840735972455669	-0.16764409755217327	-0.142776386420467	0.02093717233292409	0.014197991271170654
ENSMUSG00000022351	-0.04118097302338616	-0.00027964530584410695	1.0573008175441438	-0.0028268609293653365	-0.049432902980022064	0.12623205325715908	0.03232157044268596	0.00014222178667426175
ENSMUSG00000078689	-0.04037490239336746	0.009958887735099	-0.34190103693929685	0.14065976573037914	-0.20068517626994956	-0.12736993095428	-0.0053259223766092744	0.01738480115870646
