	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000055436	0.12529780429800408	0.061227348366706534	0.3101371726745648	0.4819708269658609	0.08516250519600622	0.7446284813909447	0.040731413716483596	0.007094218668706682
ENSMUSG00000060657	0.08870204439403356	0.017448883659718768	0.23992452498246816	0.22511827924980546	0.048249409131104974	0.7496591089207608	0.03900627130091639	0.05070839029639111
ENSMUSG00000097493	0.04180101652616161	-0.028302550523923335	-0.22140398683072168	-0.7134820893300068	0.047869829498657576	0.7042160278018076	-0.06226083407642104	0.12064777922254767
ENSMUSG00000035239	-0.03242918851756258	0.06114485962992019	-0.1371942829683186	0.14576227995224014	0.015413493398955324	-0.015636581573900393	0.00935663411603725	-0.011057032416231648
ENSMUSG00000028373	-0.014840871573116081	-0.006406853610808737	-0.14950090067221547	-0.5384500847709335	-0.07180614615520296	0.8489341074179849	0.03957623731766944	0.11384085444435965
ENSMUSG00000047963	0.006851264050419558	0.003421995268165899	-0.13454490743700132	-0.40375322100166416	0.0677129092805574	0.7429090783522821	-0.02441878496423929	0.08552950915096257
ENSMUSG00000086821	0.010590430989811597	-0.0020334454081551356	-0.1431338951361405	-0.414079470440512	-0.026097175054019317	0.8717299215943057	0.04036369270844651	0.14976039868826255
ENSMUSG00000054003	0.02749336669377434	0.00408884345732596	0.054465395451734365	-0.22010146404705405	0.10922190959666166	0.7439345635368747	0.012301263999896556	-0.04858075872167059
ENSMUSG00000090707	0.014053319484966258	-0.004568380708821808	-0.08362080546277346	-0.1209390604302046	0.07334469301152109	0.865695018869779	0.034125048184068876	0.19102840177734573
ENSMUSG00000028907	-0.016171055399900068	0.02193264373272541	0.22409872007098913	-0.005262412218741831	0.08023591224841116	0.7220436317109749	0.0194966509141003	0.07321863779933276
ENSMUSG00000101386	-0.000991542887459218	-0.028829543159372407	-0.13097440189485496	-0.11929893242431718	0.035166320935552775	-0.14860998510724	0.020902641351650736	-0.017617558289410747
ENSMUSG00000021870	0.08202664005366386	0.05297328868639722	0.13294325451552141	0.15439750889256953	0.04557243435208095	0.8533006437619666	0.041321356740601396	0.06908796297856108
ENSMUSG00000031936	0.002559232323099942	0.03352832697793409	-0.14225619697624228	0.1171571513757434	-0.07589475618211249	-0.7328874912167521	0.006823997779533134	-0.06396380845523839
ENSMUSG00000027827	0.0025664560689100265	0.032358687361089065	-0.13729769049501295	-0.20870765246857964	-0.04439953424052874	-0.4902143655130723	0.021651680817116617	0.09299953525546048
ENSMUSG00000024194	-0.07187033400846952	0.04092831517903375	0.13913252342120228	0.36642789729823044	0.04516084041367451	0.7204952471352694	0.005880097695574347	0.049379929763173486
ENSMUSG00000085779	-0.007080020843412578	-0.058635989611814564	-0.14471473489097011	-0.2716800589114947	0.017403963911471823	0.11177834546958496	0.03078349571920366	0.0842669250399922
ENSMUSG00000073804	0.011636643003969636	0.03529953288400845	-0.1344092590231282	0.024711249154747098	-0.05617222494681755	-0.6673559243448316	0.006868393858374995	-0.08590108148803535
ENSMUSG00000023973	0.002583666412205535	0.09563721961551762	0.11878613828911122	0.5853731141391368	-0.05613492902323612	0.6139880716742872	0.019721389825800933	-0.0140151973308353
ENSMUSG00000038705	0.06194661987953753	0.09604167900948336	0.2111489554758009	0.24852552531182093	0.05845154730408727	0.5983653617477103	0.02056799568646446	0.029082804668048214
ENSMUSG00000043832	0.002380611228597575	0.035482927356913156	-0.053839380545468885	0.04466682626905042	0.02990103446858744	-0.6592929645701329	-0.0013634096963089958	-0.10496360688245789
ENSMUSG00000020290	0.1160995143306666	0.0829411651726072	0.3177290430652647	0.5922295789656931	0.07411689974926827	0.7083666263486131	0.03671217586595178	0.022544547272835707
ENSMUSG00000067649	-0.01865040968285549	-0.0031687816939665937	-0.0367954735976647	0.14353633749862119	-0.2083548288709218	-0.8659561051240027	-0.017082023489794144	-0.10337659829762873
ENSMUSG00000042109	-0.019125928627545363	0.005000360196520758	-0.11687799203157608	-0.09877448949647649	0.04715364262130087	0.24323638480771997	0.013189565170926341	0.09398837876641275
ENSMUSG00000061702	-0.009010264568288611	-0.021081362281048704	-0.1358390819846006	-0.45322422360550263	0.0663178485581219	0.39624463329086473	-0.0012946484483109088	0.03725939117731676
ENSMUSG00000009535	0.1108656804066933	0.05992212744926551	0.267201308069681	0.1841977660251879	0.056738383151917204	0.764191601850689	0.06356829116983655	0.05051487967814735
ENSMUSG00000020100	-0.046144913062588395	-0.02008062908836499	0.28017896047770463	0.045389476613646756	0.04371168638114926	0.28931904122748947	0.010949349393610776	0.023070100247631283
ENSMUSG00000106095	-0.009879209903426401	0.04401942442138014	-0.13090645472579387	0.045328271067735064	-0.010694882846707644	-0.6031211795160224	0.008199796693536753	-0.013749961134141944
ENSMUSG00000115479	0.0004280722242453651	0.046266269104775604	-0.17177589764063927	-0.12960139124739467	-0.062475372657500625	-0.3534000958915515	0.008762093787559674	-0.17117653406239697
ENSMUSG00000089682	-0.02723856773081934	0.09692542409445326	-0.09991841561490479	0.25968707151713327	0.06619329536328483	0.4293822814396533	-0.0019463228697142248	0.05127915019641348
ENSMUSG00000028619	0.0007213531324980847	0.2303897082578	-0.002560220740061985	0.5210642388274729	0.06112171938709383	0.35412005731310015	0.02385912589057365	0.03460007969442813
ENSMUSG00000020532	0.07715172950546341	0.04076628991551843	0.12008925476849462	0.054533823032813546	0.057409215407408606	0.7019688745373319	0.0378442642524273	0.06496169372439908
ENSMUSG00000087109	-0.033445307248933076	0.0248354154331277	-0.15129536917525652	0.09614999169170915	0.0750987691555825	-0.5476829263117646	-0.02261048551704984	0.016088147657969135
ENSMUSG00000095030	0.01996781176395806	0.04054797785689256	-0.129390840754838	0.08027295457089037	-0.08072657181978034	-0.7806322275885448	0.007636863359740735	-0.06318174343770287
ENSMUSG00000024798	0.008708544982281248	-0.00776393656703606	-0.16268165830055556	-0.5791197413387635	-0.055291955563630577	0.8146171994877347	0.014478917477962178	0.09404997012134117
ENSMUSG00000036968	0.014837155330938653	0.2138092045360411	0.061315878198573565	0.41341744731477903	0.028246946226240004	0.2552450193084821	0.019671941059121827	-0.011613591098908468
ENSMUSG00000022000	0.08526742284546864	0.07356761729585871	0.27731392258208093	0.03952667341566537	0.044242324666317605	0.5977032862474776	0.052628110645049936	0.07156223485658951
ENSMUSG00000047721	-0.06346639779034637	0.06121824159851842	0.14746330892571027	0.547675232959708	0.04621354040105611	0.6830828385331967	0.019200120411655267	0.012874990016280207
ENSMUSG00000036832	-0.006546871407200732	-0.006172442714133857	-0.11488294347605656	-0.49490878501934016	0.03920351119928195	0.8296753866457168	0.011582796985541271	0.12229898589852642
ENSMUSG00000117715	-0.005435403251664995	0.06416417237716295	-0.16068572372829035	0.19674413379096742	-0.07044835659221138	-0.48264960954360764	0.006617017372108031	-0.03832806617273101
ENSMUSG00000110573	0.01028866799648053	0.04387091085071526	-0.1390600915835551	0.0016984324724684744	0.006041433857275739	-0.6158386225363106	0.011948171997210011	-0.06751220355207417
