	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000030226	-0.061830786301308005	0.035072754502229804	-0.17221427697633793	-0.035230818093847455	-0.13901811135739486	-0.14282338870580716	-0.00819975663578848	0.022971852697597304
ENSMUSG00000047824	-0.03321540719461649	0.04900308480392778	0.9896211100047929	-0.007599206377685297	0.38349221503482056	0.17243470452068693	0.11218225175325958	0.06548880566318771
ENSMUSG00000118448	-0.018574104079724953	0.02322584845967933	0.0947182607687789	-0.06881958020720771	0.2559475476388175	-0.049893781690980826	0.11298100169585712	0.009438516888404691
ENSMUSG00000073102	-0.23380420129299262	0.014795726503060047	1.086770533356132	-0.03537210978542914	-0.9750712979644207	0.015664977284991503	-0.12698847171425326	0.09213636273861174
ENSMUSG00000101298	0.7825880516114464	0.026957562377949384	-1.5828215795931744	-0.23292015288094153	1.5311170765060411	0.36797790045377576	-0.4825229275000535	-0.2068641108552556
ENSMUSG00000070369	-0.038349315863969044	0.014444692722780678	-0.19137364908813626	-0.06109342036897562	-0.07339289861177224	0.03590140356260744	0.051578651400047706	0.04505226060843476
ENSMUSG00000118062	0.05574693025367537	0.02319945634226187	-0.024144221614405048	-0.12186805103421053	0.3047968514962358	-0.08720530048425851	0.19766972930058888	0.024364019906677303
ENSMUSG00000097569	-0.015606560522832158	0.0371600330975759	1.3433975067376098	-0.05830062007652733	0.8874228390971365	-0.04380484974701034	0.24261599471031914	0.03760024397444389
ENSMUSG00000027244	-0.03927319794257416	-0.0238830307869519	0.9598217122071286	0.15705633744536052	-0.0699278181554618	0.15187567170040894	0.01473425225957592	0.043040335465921876
ENSMUSG00000032363	0.008400577858229837	-0.12983294681600568	0.033226332418103806	0.002003604555796734	0.09991889192596048	0.3278235232303622	0.07484234449855036	-0.06539993015208982
ENSMUSG00000038991	-0.051628347322206926	0.003157785786275902	0.9550504634380524	0.006777761320085923	0.033777789870677276	0.12348848951153327	0.03483218094362841	0.04299151645153953
ENSMUSG00000029004	0.004671962118098616	0.013567168871577521	0.725222507554031	0.052746600043748204	0.07464211880984462	0.2075273025127141	0.033725369233135113	0.061581512591726596
ENSMUSG00000013846	-0.03127932466183405	-0.12492135661459793	0.024003069837887775	-0.08374972521894254	0.10145061888128433	0.19710564013476334	0.08993878894796342	-0.04232946620562109
ENSMUSG00000032905	-0.024453724385409364	0.0043308532654871	0.8683818800004299	-0.04206660171830075	0.012741522103619257	0.21023318488225726	0.10437553492681607	0.025833075457566582
ENSMUSG00000111109	-0.07090829187415966	-0.027799241983009097	-0.3243915299099399	-0.02795757465073629	-0.20823353509623546	0.1522011798071394	0.0334797505737125	0.11835889404901152
ENSMUSG00000104108	-0.009586628748119903	0.03939070842370963	0.14855599463326083	0.027321710560267595	-0.1931422894469939	-0.12391978026598743	-0.0029780109736439464	-0.021331170595638816
ENSMUSG00000049232	0.026288064360433384	0.007313379788713575	-0.27389658150719814	-0.034171516663612574	0.03490221926693143	0.19107822666649335	0.08165385933563073	0.036965163457060926
ENSMUSG00000108563	-0.006431627492912373	-0.11372196559658294	1.1387623870502932	0.4210711752852764	0.15349579358636514	0.027301838455626636	0.0838146400743258	-0.03180291255076062
ENSMUSG00000039611	-0.014848699617352246	-0.028405473066240652	-0.5905427234674918	-0.10468913361404755	0.03156854330355497	0.3077212235775509	0.0521526336151228	-0.21024309328418458
ENSMUSG00000021492	0.20113677534755584	0.05696137022848683	-0.661874323894369	-0.018783853837881753	0.7022733620519944	-0.2163718738718431	0.04922471930354643	0.07318993778546595
ENSMUSG00000033581	0.12931137517427407	-0.13765330448308283	-0.2848838669239315	-0.028114143878353676	0.6264802232721352	0.06968249141909734	-0.0023216637712143995	-0.21903214231438242
ENSMUSG00000116358	-0.049968347213395825	0.02695278862566071	0.6725683800670915	0.14164535438610237	0.49888674196750676	0.24248617107029627	0.10073379954584695	0.04481822466360408
ENSMUSG00000021147	0.02502209739493105	-0.0021045247576871873	0.7059375838090926	0.07952465187774176	0.035967283583053664	0.11071663814483018	0.04849307236785768	0.08571861364448109
ENSMUSG00000037112	-0.09439957961705968	-0.025991816826545833	0.24207037754213329	-0.053361388011129295	-0.040158364251281164	0.2987236739159945	0.0756141605625339	0.0360782673730462
ENSMUSG00000111353	-0.0712385101747733	0.04840554301403017	-0.2734785478108195	-0.04861036078593688	-0.10100167686426803	-0.09042904833093283	0.003735663993959637	0.012962016788359194
ENSMUSG00000109667	-0.023527299514366527	0.02641298854348786	-0.03408804035844905	0.06087370935840191	0.04114992427978679	-0.10780056264245877	0.08634681032960016	-0.00032476092103286835
ENSMUSG00000029678	-0.08921560286084057	0.05416539732050124	-0.235036494747137	-0.03923972980892705	-0.1773012645941102	-0.1301465873775341	-0.019201574113612077	0.01903759957257467
ENSMUSG00000043602	-0.06323758583961556	-0.007374877607467134	0.30420995845481796	-0.013512192550684077	0.03529944635257493	0.28320383817977346	0.10086262771026731	0.0905227903433652
ENSMUSG00000092232	-0.015581581307793302	0.0287765209346433	0.33387984127967274	-0.030177536466671987	0.551941061993457	0.22244982303738178	0.1280572474424353	0.08767445023890867
ENSMUSG00000085561	-0.11389426616934208	0.050268345785983284	-0.15037503087924983	-0.03134338555729532	-0.24245171388134384	-0.16549973292609377	-0.05652992706781543	0.01716594491694512
ENSMUSG00000021725	-0.06789887405738983	-0.11432713763968702	-0.062417432777537266	-0.12779690806782362	-0.10353912699867132	0.14323672261060888	0.08896883979212983	-0.09314924529886129
ENSMUSG00000085637	-0.02037522189548905	-0.017932910423344103	0.4653578064684182	0.00038365828638198263	-0.05710394957864371	-0.10561563106858134	0.06337644014383129	-0.0019051182887304076
ENSMUSG00000102450	-0.02676525883652734	0.05264824779574218	-0.16629847079480709	-0.01007549197705948	-0.22379105892658166	-0.12130181793802183	-0.01888764716598482	0.027505609977704223
ENSMUSG00000021416	-0.021114295756921475	-0.08614003279263684	-0.1172343893946892	-0.05025488318531199	-0.03612611908134135	0.31117125654354916	0.046468509157376194	0.023389783614215953
ENSMUSG00000029245	-0.11049490037769827	-0.09275766678882888	-0.3044810590142702	-0.14912538008677662	-0.06261897716295026	0.23377718709518366	0.09507273114232817	-0.15587155846216205
ENSMUSG00000028015	-0.07280128062117709	0.03560676760836334	-0.1902241699656315	-0.06226604553761515	-0.2848813475787337	0.03575409736878767	0.04021061128819036	0.10159240126661011
ENSMUSG00000114875	0.0033952896225419105	-0.016147544984734124	0.9580415997932824	0.2765523882038136	0.018407475189711704	0.016683812329017854	0.002329329068042618	0.024474196227956498
ENSMUSG00000063172	-0.05772624164588911	-0.0036889044189652165	-0.11779600765347356	0.06037959464800767	-0.006546376209293573	0.21376588772065974	0.09926512078089474	0.01842547442736892
ENSMUSG00000028645	-0.09911428794406607	0.045479608676644995	1.490284365006044	0.07811165150450879	0.3206652057006611	0.2178654699517189	0.07441981883940293	0.05326571913887761
ENSMUSG00000022817	-0.04440887786503881	-0.08241423217115246	0.25600360941858646	0.024652943155376833	0.04471756848697898	0.34053827487497357	0.052082842501601216	-0.0014778341682920582
ENSMUSG00000118198	-0.04200237278345128	0.04469647741473963	-0.25932660750392406	-0.02399730177689504	-0.15101896593343248	-0.13309168067168803	-0.02069296071350002	0.03513022187011794
ENSMUSG00000042363	-0.011107304000342433	-0.05691837834414027	0.05061403009384251	-0.06014236896609399	0.02992379043455237	0.3455968067444585	0.07763617848395402	0.028686087959452992
ENSMUSG00000110310	-0.05714681293153756	0.005486091285211192	0.222876880849153	0.06436778915818528	-0.11762779520850608	-0.07255095496907488	-0.030854858655374594	-0.014537641569349625
