	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000027244	-0.018103764075351858	0.06137717485197655	0.17786784001607808	0.5071695021120952	0.021695568456351885	0.8488626677311842	0.14371652083428796	0.14419267815905093
ENSMUSG00000085419	-0.03584771615296761	0.05867447522887576	0.14954525920657383	0.0744263983630962	0.065766909900784	-0.05186707872504551	0.04595055250535969	-0.05503979973177724
ENSMUSG00000021047	-0.14002576546396198	0.0029020118872208345	-0.07313923977048999	-0.30286247214027484	-0.15083611179460119	0.9492448150358573	0.23549586762037883	0.3272765054677485
ENSMUSG00000031825	0.08029381542758507	-0.457884089459797	0.018091299144856805	-0.6201224093053741	0.049293537915580665	0.956837887597373	-0.02280268108361183	0.350625307153498
ENSMUSG00000045672	0.057805293812809765	-0.3201759294116968	0.001968502525221294	-0.6537963755975303	0.09583502191677061	1.1729276915324827	-0.014222692256764846	0.2894106850720281
ENSMUSG00000087497	-0.10768900365970951	0.04431585215271187	0.005291283145943515	0.4024600164500434	0.02691334525926507	0.4912192601283384	0.0486209942799428	0.1755022401894747
ENSMUSG00000097125	-0.025448447031926946	-0.04351873893987282	0.034282142952578386	-0.031084874862610173	0.16099484201776534	1.0116600501940212	-0.09031502277249803	0.34263470863696915
ENSMUSG00000058252	-0.16636100393286957	-0.026366651327429436	0.09454339842011511	0.3004734896072129	-0.23484469466793279	-0.6998172229064133	0.1948504816711779	-0.18421650242848517
ENSMUSG00000104283	-0.032321747205628526	0.0590548186178997	-0.07568709835489287	0.16890727946677753	-0.06331662256041728	-0.5513664814774992	0.07083465722898603	-0.11047351533842761
ENSMUSG00000071573	-0.056335701429744714	0.06880002391153685	-0.05124429356838074	0.030394371279695617	-0.04131862946549281	0.9399213824815091	0.1393837966685278	0.2543996031405731
ENSMUSG00000044066	-0.08610182828073443	0.02308515556130055	0.21843388563964036	0.281922921625719	0.10087714216414145	0.8427806845897226	0.07016620647813673	0.22260880417331613
ENSMUSG00000048280	-0.043157143417621446	0.10709102576474404	0.01878347500519231	-0.126164984438675	0.03400453695673267	0.12168159080501863	0.13623044180431781	0.09500446446035483
ENSMUSG00000026775	-0.0493696136206756	0.016113166592462008	0.4829276573191017	0.6324389023888071	0.03759248786061636	0.4627113025508143	0.24929455149066632	0.05771530989070639
ENSMUSG00000097851	0.2756506804245179	0.03195540140415848	-0.07727632425562185	-0.261706003817643	0.05717600574810095	-0.11220270881038497	-0.316829976388692	0.16520535600482622
ENSMUSG00000105317	-0.029483552020672717	0.03697266795324741	-0.0712718009748004	0.08421502441827551	0.002815279583315733	-0.5779082802517369	0.07240317290750715	-0.16607448954524723
ENSMUSG00000029004	0.0017343964234635134	0.0698868773936464	0.1899708489218134	0.26694486371649107	0.08827002596909442	0.7796945638124626	0.16517270909064857	0.1649604991826053
ENSMUSG00000008129	-0.06538979662948224	-0.1728200683924207	0.06937469786628159	0.12309796594050793	0.023101373396644975	0.992013865887978	0.059365886364179825	0.21728479825621308
ENSMUSG00000090881	-0.11500511827937475	0.025357536456047103	0.0827139498620806	0.2439428250232626	-0.21913708638194754	-0.8229178718626511	0.13562623552087003	-0.1844035533112532
ENSMUSG00000030792	0.09739939135668173	-0.083775066690091	-0.08575184374006642	-0.20108843668527238	0.09451530311645352	0.5108327745038713	-0.0612312487401514	0.18985332721441975
ENSMUSG00000053253	-0.02248428370837252	0.07675347198604156	0.0914437025111122	-0.08364703782841228	0.06555912526105166	0.8226409484582687	0.16708946543440992	0.37708936127726383
ENSMUSG00000030583	-0.06964487891848611	-0.03581651546209308	0.17825998902070264	-0.0530231187809054	0.07809061938719952	0.8469544952828102	0.06805076658120549	0.3847148123353246
ENSMUSG00000023235	-0.06185532390812674	-0.0147151160510074	0.0758188947163845	0.35272036948932983	-0.009412941172310063	0.9868694915470182	0.07921284956309393	0.27641334822581093
ENSMUSG00000006930	0.0017487291845204034	-0.06649666348987991	0.08327581092316078	-0.11723721692483897	0.12660062571471709	0.9244032041678084	-0.04641572405575339	0.3311911887144203
