	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000027833	1.2534304069480766	-0.11232174269344421	-0.10529729751341779	-0.7850754287534861	0.5207755517370901	1.189324293113895	-1.710807395231205	-0.14606659587665408
ENSMUSG00000101224	-0.08388407568785237	0.012402474073331893	0.05973710073179311	0.03801822437398675	-0.0809908698700359	-0.3461793552711671	0.0396748229738104	-0.014019612204617256
ENSMUSG00000022371	-0.04749780556276214	-0.40977242960777077	-0.1407601120908837	-0.953451158686636	-0.012641248177910902	1.0033246848115265	0.042984813082802255	0.1957486167136598
ENSMUSG00000029328	0.049546799328065896	0.03019104127350336	0.29890780463222516	0.3825648996958277	0.102871592921841	0.6988493761346606	0.13300372997474544	0.17505863187511791
ENSMUSG00000020405	-0.0026406814213297825	0.06764017442288854	0.07911111902407808	0.21622578959468344	-0.05065672694523531	-0.5055824569335653	0.0754650326495333	-0.18942211534064549
ENSMUSG00000087179	-0.07283214404859817	0.017276239843160544	0.21986716677467513	0.23429238332628113	0.02284842971501233	0.6616206531146602	0.08432083075741424	0.17482034352273787
ENSMUSG00000109327	-0.00808006493708291	0.04691118609799683	0.08648414817907576	0.3686086463296761	0.09416673494665745	0.4785730869795973	0.08166166435955664	0.034146132009899625
ENSMUSG00000040040	-0.02198933887238997	0.04527728207890002	0.01962156929725908	0.0003128905354830014	0.041201900804477685	0.3902247035687675	0.09564743150354156	0.35481129100986447
ENSMUSG00000029138	-0.031051060799666463	0.04661299934265622	0.15817135749232952	0.8539935986137173	0.10962116244660935	-0.24540007598121272	0.05416497805327152	-0.07281492288037726
ENSMUSG00000029227	0.029134912511441513	0.05016554507071846	0.2399656658275891	0.28660594934393524	0.05072124824478817	0.5373831061450717	0.1624710287154278	0.1365270028263699
ENSMUSG00000030866	-0.04351996963050001	0.03978581766873021	-0.1545277796567947	-0.11095373144230827	-0.052876277811740736	-0.432228602769708	0.010811393401394587	-0.08533928851669213
ENSMUSG00000030270	0.0444843300703531	-0.30768671010664206	-0.10546296701132256	-0.6000264755271076	0.09777582836797419	0.6162485640102339	-0.085462492715664	0.25659275241629065
ENSMUSG00000026341	0.03798032156735247	0.09124364532507151	0.218754864569972	0.522819983093308	0.02436698799978032	0.28097305015975904	0.1743807569424419	0.12329689205320783
ENSMUSG00000101711	-0.0968662187656204	-0.01962678777342619	0.24006699185559305	0.9153825764894451	0.11767383599287795	-0.8265909509219918	0.043714094995633564	-0.11913901885578647
ENSMUSG00000042213	-0.03125492259666209	-0.004224137032347833	-0.056583651752928975	-0.20381178579428905	-0.000685856355006953	0.6248783847199529	0.1043918085682231	0.3956021368298744
ENSMUSG00000048827	-0.05321046128865299	0.14549003593470564	-0.08330943656380951	-0.17918112083476143	0.002184019198570253	-0.04892767076756894	0.07827830403389553	0.16386613863060223
ENSMUSG00000029345	-0.0716523873482827	0.05240991992642621	0.4133381170488066	0.20139375885111563	-0.006066818719704603	0.4786077006713812	0.05797797530923087	0.10230277722474415
ENSMUSG00000047115	-0.02752571335579776	-0.07795445389169241	-0.0157654254698687	-0.09938143599512811	0.07040183081593025	0.688898556838812	0.05068508111304698	0.09881649280604411
ENSMUSG00000087589	0.49401096236720565	-0.14307522566773553	-0.04780092808266079	-0.5171876552220431	0.30339471901376686	1.0923030185177378	-0.6055003628930796	0.1508619565787652
ENSMUSG00000085556	-0.21902633901816546	0.08045016886103358	-0.10253844083301467	-0.2109539909893111	-0.23836154292765382	-0.028088944376849168	0.16600517969873793	-0.2596028355199557
ENSMUSG00000097827	-0.05928677956928101	-0.046355894394412	-0.02958330298315469	-0.024151595177122287	0.11694733352045121	0.8250639053247211	-0.048376722975865	0.31315171169926115
ENSMUSG00000037455	-0.08006338755313856	-0.11719756311844155	0.04938747409989308	-0.26482240401349527	0.06642517899019615	0.24320882786386738	0.04164995666442403	0.2695232150880097
ENSMUSG00000030917	-0.07163005916348894	0.006426962005252834	-0.046971505794457524	-0.2294864367394833	-0.011112576795468577	0.558145952351944	0.07030269510145722	0.31231493101594243
ENSMUSG00000028273	-0.009130629670996315	0.017636123928601585	0.050833294211106876	0.26889403139801754	-0.022767882992914813	0.5709433149888455	0.1582226761737295	0.23201417399485255
ENSMUSG00000097164	-0.03902678957430917	0.024830736868685244	-0.0279663352909183	0.03722221377172565	0.015159838882084609	0.8519721223983843	0.09981546551328858	0.31891882318266257
ENSMUSG00000028145	-0.009914053023143465	0.010109949989045365	-0.08424790829742604	0.025382674716236613	0.029185278339993036	0.2415720426683878	0.09289613365868528	0.13445372444048517
ENSMUSG00000026893	-0.03485023074936701	0.0522816774744755	0.26961658502212194	-0.014272741563041702	-0.05519630785135261	0.5424580946334653	0.1554813163378016	0.15092859638561332
ENSMUSG00000028949	0.6931529478356528	-0.07059562146528633	-0.14976522747796162	-0.6460150556820137	0.10797999761434816	0.5006353938927792	-0.7733097459127329	0.07692029379794055
ENSMUSG00000087411	-0.07849009098425215	0.012694519432059657	0.14928008752119815	0.49907974451001674	0.1261350120822206	0.4167172321262333	-0.012556410043224275	0.048284480007573675
ENSMUSG00000051989	-0.10117116539702492	-0.016150839214012613	0.1242266905146075	0.11754248599430292	-0.004660883912675162	0.2224115585500902	0.027569554072917096	0.19760719383159575
ENSMUSG00000060675	-0.05136195561715251	-0.07502262495751891	0.10316925902742538	-0.18070744246413534	0.04508856805136997	0.4322469324190478	0.07274656610392641	0.26064219564113494
ENSMUSG00000014867	-0.008697029401238288	0.032640688062365524	0.21757232481702177	0.16731508640241136	0.0678020342302599	0.5992429099269703	0.09562243692851892	0.18019989057862704
