	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000040025	0.03425304964184761	0.11165725439786911	0.1940624862909317	0.12283940613269806	0.03699513152241707	0.6131516695022583	0.14985579252243042	0.18445853888988495
ENSMUSG00000038712	-0.10131679475307465	0.23160336911678314	0.08259309083223343	0.3847058117389679	0.13679853081703186	0.12145433574914932	0.08408607542514801	0.004834220744669437
ENSMUSG00000111811	-0.05535056069493294	0.1987847089767456	-0.13720542192459106	0.17894519865512848	0.02575482800602913	-0.8223926424980164	0.06371603161096573	-0.1671142727136612
ENSMUSG00000085240	-0.05748609080910683	0.20243757963180542	-0.05072672292590141	0.026860689744353294	0.0015114155830815434	-0.9788656830787659	0.05623603239655495	-0.15779584646224976
ENSMUSG00000100886	-0.048014335334300995	0.1893431693315506	-0.1244516372680664	0.047959838062524796	0.015805544331669807	-0.644931972026825	0.030227169394493103	-0.37465694546699524
ENSMUSG00000073728	-0.15857604146003723	-0.08654250204563141	-0.07256411761045456	-0.07140606641769409	0.15278278291225433	0.9366002082824707	0.06866772472858429	0.2952984571456909
ENSMUSG00000043631	0.0403665266931057	0.2617093622684479	0.07712257653474808	0.49209845066070557	0.007962937466800213	-1.154026746749878	0.04311034828424454	-0.22194471955299377
ENSMUSG00000087273	-0.10165571421384811	-0.050375424325466156	-0.10279406607151031	0.08703675866127014	0.06681247055530548	0.0745515450835228	0.08604805916547775	0.17272569239139557
ENSMUSG00000001729	-0.09096203744411469	-0.23334504663944244	-0.0595146082341671	-0.4498947858810425	0.2279030680656433	1.265516757965088	-0.13552087545394897	0.23578420281410217
ENSMUSG00000030107	-0.09249646216630936	-0.0762246772646904	-0.10757351666688919	-0.5361023545265198	-0.08134767413139343	-0.13048683106899261	0.10437452048063278	0.30363619327545166
ENSMUSG00000033933	-0.11452201753854752	-0.06145036220550537	-0.01629709079861641	-0.21289272606372833	0.07139852643013	0.8266140818595886	0.07661303877830505	0.3289441168308258
ENSMUSG00000035901	-0.03343529999256134	0.0022636197973042727	0.1649739295244217	-0.47352153062820435	-0.025927161797881126	0.7623787522315979	0.1858406513929367	0.36970844864845276
