	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000040025	0.018977746726311917	0.046011836864668317	0.2701033145072501	0.15108332065286925	0.06215629451462906	0.6769899355619693	0.05472013656704455	0.14428817264317748
ENSMUSG00000038712	-0.10969408268615324	0.12856533679738053	0.1538289761238411	0.37786704442898483	0.12655614966797238	0.18840532698016232	0.04225417336695911	0.014033351814278339
ENSMUSG00000111811	-0.025012998822761374	0.07724941038751719	-0.15810917846440517	0.04816611159756125	-0.0015527246490321112	-0.6285750791530891	0.03482203173987302	-0.08479247524608968
ENSMUSG00000085240	-0.03100291483052238	0.08013642597910546	-0.07146729622741799	-0.06661248595242163	-0.00902827466334366	-0.847445470377785	0.027580318301000505	-0.0629313203137423
ENSMUSG00000100886	0.0018689997435632488	0.024855281323103877	-0.17422091248264698	-0.06369458348337376	-0.008175001186277056	-0.42967508991966474	-0.0011304621106138534	-0.281490029464457
ENSMUSG00000073728	-0.11776895214381859	-0.10485482548625535	-0.0327260660146709	-0.03617129481547243	0.1821915062581267	0.9494515889742741	-0.003467166822151313	0.20466295806286322
ENSMUSG00000043631	0.03373377558679759	0.06817616911616078	0.032433519569641606	0.30937519347810843	-0.017205471221169277	-0.8275246311295709	0.0139605852075512	-0.0894925800526624
ENSMUSG00000087273	-0.09657924836477298	-0.12622349923204676	-0.06535213267235294	0.07146459063958485	0.05949287520116492	0.14566623497736347	0.04047244170182676	0.18046550303412376
ENSMUSG00000001729	-0.00868312744345423	-0.21735820354003416	-0.04342468931530208	-0.31368019465219243	0.2530064935306129	1.0982490161392806	-0.18290248854101362	0.1518174881416085
ENSMUSG00000030107	-0.01944015436469336	-0.1232673216437078	-0.14122153253076863	-0.587274295681342	-0.055315448046807825	-0.05509383888819784	0.0362912346540456	0.30615802827382776
ENSMUSG00000033933	-0.06116610519273144	-0.09031277380088813	0.004352258536150844	-0.15858771557753204	0.09155856707043063	0.8422183327521967	-0.007689809230925054	0.2550924467642995
