	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000040025	0.012136879377067089	0.07331797480583191	1.1092374324798584	-0.0194845087826252	0.01187216304242611	0.17829637229442596	0.09463334083557129	0.03808020427823067
ENSMUSG00000038712	-0.0649687647819519	0.06963150203227997	0.47765880823135376	0.1340763121843338	0.6005223989486694	0.058253709226846695	0.18627016246318817	0.012006795033812523
ENSMUSG00000111811	-0.04929734393954277	0.0686734989285469	-0.23999881744384766	0.009984166361391544	-0.15828385949134827	-0.213200181722641	0.07733134925365448	-0.012159731239080429
ENSMUSG00000085240	-0.023944538086652756	0.0705450102686882	0.09385981410741806	-0.045578405261039734	-0.20955978333950043	-0.31737038493156433	0.08426616340875626	-0.017292192205786705
ENSMUSG00000100886	-0.14748874306678772	0.025888998061418533	-0.1546671837568283	-0.052170801907777786	-0.18787698447704315	-0.13059251010417938	-0.07745704054832458	-0.06004898622632027
ENSMUSG00000073728	-0.06144066900014877	0.016635682433843613	-0.005366258788853884	-0.03102933242917061	0.6023800373077393	0.28287485241889954	0.2063492238521576	0.08273392915725708
ENSMUSG00000043631	0.008332527242600918	0.0936550721526146	0.29682475328445435	0.20845507085323334	-0.26570284366607666	-0.2962283492088318	-0.04925765097141266	-0.019861266016960144
ENSMUSG00000087273	-0.017205877229571342	0.02436992898583412	-0.0665886178612709	0.003236827440559864	0.2637566924095154	0.01652156561613083	0.20975324511528015	0.0225989930331707
ENSMUSG00000001729	0.032999396324157715	-0.022294742986559868	-0.057452492415905	-0.11472725868225098	0.733422040939331	0.18913744390010834	0.18738165497779846	-0.023575816303491592
ENSMUSG00000030107	-0.08300147205591202	-0.02129599079489708	-0.30592840909957886	-0.021314647048711777	-0.42295917868614197	-0.05839285999536514	0.10770706087350845	0.03003206104040146
ENSMUSG00000033933	-0.09217040985822678	0.017312821000814438	0.16076414287090302	-0.039423223584890366	0.1887851357460022	0.2558821737766266	0.2001936286687851	0.09212462604045868
ENSMUSG00000035901	-0.08487366884946823	0.0458073765039444	0.5052470564842224	-0.09023193269968033	-0.1526481956243515	0.23857519030570984	0.11151140928268433	0.10849163681268692
ENSMUSG00000034403	0.08379274606704712	-0.003021910088136792	2.005056142807007	0.20044413208961487	-0.6521499752998352	0.025567447766661644	-0.08958156406879425	0.05659376457333565
ENSMUSG00000033184	-0.0720401257276535	0.06417980790138245	-0.1896199733018875	0.3017171621322632	0.22335697710514069	0.22006070613861084	0.1653067171573639	0.027725033462047577
ENSMUSG00000029138	-0.0012041125446557999	0.07452315092086792	0.7130084037780762	0.326443076133728	0.3442712128162384	-0.0308481864631176	0.06488963961601257	0.015454698354005814
ENSMUSG00000086061	-0.011587897315621376	0.04889283329248428	0.05561554431915283	-0.044362425804138184	-0.09073582291603088	-0.11282144486904144	0.0896221175789833	-0.007638049311935902
ENSMUSG00000060152	-0.05626513436436653	-0.0020380234345793724	0.2127789855003357	-0.0634874776005745	0.8672158122062683	0.2518019378185272	0.2020922601222992	0.061593376100063324
ENSMUSG00000097241	-0.07292282581329346	0.09227582812309265	-0.31060492992401123	0.07345873862504959	-0.34356623888015747	-0.15457157790660858	-0.05246083810925484	-0.016949623823165894
ENSMUSG00000044487	-0.23587696254253387	0.004527796059846878	-0.1853056102991104	-0.08543601632118225	-0.174669086933136	-0.1750965714454651	-0.05706551671028137	-0.022848106920719147
ENSMUSG00000110282	-0.05228812247514725	0.06575866788625717	0.8500939011573792	0.048100799322128296	0.4500834345817566	-0.00493745319545269	0.13427099585533142	0.0040853009559214115
ENSMUSG00000046351	0.028052082285284996	0.07143261283636093	0.9434795379638672	-0.0543346107006073	-0.1815415769815445	0.1912730634212494	0.06471647322177887	0.07331819832324982
ENSMUSG00000032816	0.24974580109119415	-0.08704434335231781	-0.6633602380752563	-0.24070917069911957	0.7099695801734924	0.2599855065345764	0.224864661693573	-0.05150144174695015
ENSMUSG00000040618	-0.024623654782772064	0.036812737584114075	0.3523625433444977	-0.02426275983452797	0.13005924224853516	0.14221952855587006	0.15985605120658875	0.03478127345442772
ENSMUSG00000026078	-0.0037244008854031563	0.0827799066901207	0.3892059624195099	-0.06475996226072311	0.16873899102210999	-0.23477382957935333	0.14161434769630432	-0.0345253050327301
ENSMUSG00000060416	-0.020064041018486023	0.08197725564241409	0.15227536857128143	-0.025700850412249565	-0.2606733441352844	-0.18797315657138824	0.03878199681639671	-0.034772638231515884
ENSMUSG00000081859	-0.028620906174182892	0.0730956494808197	-0.04380004480481148	-0.04405469074845314	-0.28549662232398987	-0.21771240234375	0.005733679048717022	-0.02505016326904297
ENSMUSG00000104606	-0.051748767495155334	0.0482710637152195	-0.3019983768463135	-0.020703939720988274	-0.2071142941713333	-0.16699543595314026	-0.006743934936821461	0.0013013097923249006
ENSMUSG00000107563	-0.1151236891746521	0.07646546512842178	-0.06343577802181244	-0.029236674308776855	-0.3650363087654114	-0.17669254541397095	-0.0645754486322403	-0.04428185522556305
