	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000040025	0.017222775794536238	0.0494972781629795	0.2733130210205994	0.15848186989218094	0.06151727782574821	0.6679487082665515	0.05788317153028794	0.14699792154400362
ENSMUSG00000038712	-0.10920752407785797	0.13226359305144408	0.15658049036474497	0.3852279942819307	0.12650719214136366	0.17848222435723796	0.04370715805388079	0.016786414319648446
ENSMUSG00000111811	-0.02595820800427935	0.08023907420024162	-0.1544576852897717	0.05503006810230597	-0.002999649781159741	-0.635477370121972	0.036812595780318355	-0.08246246149714172
ENSMUSG00000085240	-0.03153105833327531	0.0829858543191069	-0.06895290903288838	-0.06023584246718416	-0.010476935178126867	-0.853493348806365	0.029723140411304038	-0.06025865299873095
ENSMUSG00000100886	-0.0015981006938537259	0.02768373092281818	-0.16979282054614972	-0.0551455256296448	-0.009662451183056543	-0.4400406783396524	0.001929890983460858	-0.2765045770953207
ENSMUSG00000073728	-0.11662959728367313	-0.10047751045101472	-0.030925317072470374	-0.02621702101436476	0.18210631350743955	0.9366306916312171	-0.001240847439103021	0.20660230213383193
ENSMUSG00000043631	0.031316983369486184	0.07124939392073219	0.036017675712793004	0.31497294172946627	-0.01857494178810043	-0.8311785699781896	0.016410293434176798	-0.08822594984653997
ENSMUSG00000087273	-0.09565114029678165	-0.12168124694169308	-0.06226663772019983	0.08077362783633737	0.058946903952193215	0.13442289890264061	0.04194447012745477	0.18144915542390702
ENSMUSG00000001729	-0.007257022231691113	-0.2132798186091213	-0.04095744903761343	-0.3044029584061911	0.25265456747715476	1.0871154947754815	-0.1813045771839562	0.1529873235344098
ENSMUSG00000030107	-0.020095672476622986	-0.11907230681581729	-0.13760387496177334	-0.5760515414122369	-0.05683932288797517	-0.06756602027855238	0.039023271296078965	0.3075734053082225
ENSMUSG00000033933	-0.061263133261534125	-0.08577130816096591	0.007049533201315938	-0.1479446863237858	0.09094945749435276	0.829639017259769	-0.0053235338416058875	0.25666112095242233
ENSMUSG00000035901	0.018447244963640447	-0.02929518045467394	0.14006941391330094	-0.3286922587471635	0.01730125502591816	0.7398760230675424	0.07390227855579093	0.3062613491758495
ENSMUSG00000034403	0.002935459335010382	0.08316270914871199	0.8428104896320069	0.49921975165047927	-0.09670738358446594	-0.2763487733848679	-0.009595739796091253	-0.02422401941280987
ENSMUSG00000033184	-0.03213096509180958	0.09453770942650454	-0.02893605140676825	0.5623702966487277	0.09645256649269456	0.8198269834853492	0.03983817280465011	0.0806964120345945
ENSMUSG00000029138	-0.043682834012820915	0.09565775461538956	0.23868399487311193	0.7555159389393586	0.10612270632861753	-0.2368929383831655	0.0366864534918855	-0.10232686732910018
ENSMUSG00000086061	-0.0844158673693337	-0.004959559736802198	-0.07002123622206077	-0.10039486567411633	0.009175823194674693	-0.2939023496546793	0.04274293390507199	-0.014382405683027798
ENSMUSG00000060152	-0.06555941708063631	-0.14327727558019734	0.029736121066990417	-0.3508656308816471	0.2790488008919656	0.8631676571130399	-0.10953609975660879	0.28255949603345104
ENSMUSG00000097241	0.0340260086179415	0.0852882733507668	-0.21883976646549871	0.18831040797911747	-0.04813023144714648	-0.5005913458930995	0.011925460251099862	-0.14792470687487888
ENSMUSG00000044487	-0.05833489406817084	0.01620691370917933	-0.1618185385068747	-0.1321799134592396	-0.004746297245943776	-0.6508141363892284	0.018669275133784826	-0.1172562856340562
ENSMUSG00000110282	-0.10341538760029101	-0.020115986907862315	0.3218519974918259	0.2704064394511532	0.1008278712129194	-0.09043356670947288	0.041928924044845134	0.052659296797361095
ENSMUSG00000046351	0.07880414162181318	0.07358504983862436	0.2750583978625456	0.040065108232842456	0.012328984853239078	0.6480470992555062	0.06339750798029581	0.19515885569176405
ENSMUSG00000032816	0.11912973901761277	-0.29583751196055436	-0.08223951954593771	-0.44133364328843133	0.21580603782211488	1.1695434973773282	-0.21835556342448514	0.07171036365722089
ENSMUSG00000040618	-0.11662427392848464	-0.12118474415157753	0.07439346686524821	0.057772761200041475	0.05880203895728798	0.5297880525784369	0.030104391629963256	0.1564373731795202
ENSMUSG00000026078	-0.02133314101186623	0.08972280227574878	0.026453637622863416	-0.08629721743525642	0.07880087211074294	-0.6788090068254737	0.027994078525695947	-0.1042481901217467
ENSMUSG00000060416	-0.013501663568999098	0.09190916156758507	-0.044631917933223964	0.0019555665217921847	-0.020547496089409572	-0.5434641917531011	0.03460928302083801	-0.15606200648210394
ENSMUSG00000081859	0.009079015160936232	0.08113426888213902	-0.10801400636112314	-0.04580826688379729	-0.028402188241641618	-0.6846103468325105	0.03621600752075834	-0.13146227850566441
ENSMUSG00000104606	-0.005411850696314335	0.06378219701332596	-0.1490313306550162	-0.046536908565464656	-0.011169041339127208	-0.5739948372356797	0.03539998460868164	-0.09520304456226833
ENSMUSG00000107563	0.017979253052233926	0.07395238555664257	-0.13512857305370904	-0.015701052734909012	-0.05183821279777113	-0.5884109940286089	0.015294020484977855	-0.19674682140864388
ENSMUSG00000065968	0.0504432433457625	0.08037034229907566	0.23099485298578898	0.476383325635917	0.052634805839579905	0.19218666225033765	0.01962498371024003	0.015320906320710481
ENSMUSG00000099759	-0.008248695375515647	-0.10071066054261663	0.18082366921319235	0.05823578606119232	0.13135301100962143	0.8366798218400306	0.05339454689391072	0.15697302989190595
ENSMUSG00000026958	-0.11185508277634726	0.043999085473187476	0.4266097527181616	0.1395477989447174	0.04610519618978791	0.21290928107502177	0.04715150871207883	0.008984982147697829
ENSMUSG00000020941	-0.08573718163468709	-0.07414140872183078	0.017499545240221126	-0.12718653233833643	0.023876918702174912	0.84646065541759	0.019729175904711644	0.20852371901312539
ENSMUSG00000072553	-0.03417890792837536	0.06866296186259115	0.16053302852114684	0.12868213689373895	-0.038532790855803085	-0.5764295422523044	0.037164259543392884	-0.04938673746634127
ENSMUSG00000063260	-0.028808968062922616	-0.30166990275315586	-0.1865429181740929	-0.8104100864073698	-0.08052687261287073	0.9271079647418583	0.04451791690686252	0.09487035407503099
ENSMUSG00000029456	-0.035858746796643005	-0.010865969992880586	0.08315742491660322	0.10561174354391689	-0.011999873349629825	0.8130434932158432	0.057584205397513015	0.19551496148815042
ENSMUSG00000117800	-0.030112805551568946	0.07649803274638925	-0.011280453285307131	0.08712612676135205	-0.011062119687151761	-0.6564423663671941	0.03436321461477091	-0.12376902565415031
ENSMUSG00000111163	-0.005768405597349033	0.07874260155442707	-0.13992450445228094	-0.025854504139135596	0.00637331220298043	-0.7216017094232089	0.02548400310472849	-0.09344889237077561
ENSMUSG00000087381	-0.05805160831264894	0.03605640349584549	0.18779021183166508	0.44012764704304663	-0.028782490102531935	0.0027986090090067473	0.04464362262456817	0.014616782359526617
ENSMUSG00000024970	-0.03551377086812143	-0.028026925850898055	0.18406456730220572	0.1862261135433668	0.023778697994806846	0.7796452574579287	0.05971046821080313	0.12612630551681495
ENSMUSG00000090713	0.014034609376573415	0.08326742840622316	-0.14523999406503887	-0.08522506918127583	-0.011674390205915179	-0.6394779190884604	0.03477624836229235	-0.09565980265344888
ENSMUSG00000113619	0.16970294061238914	-0.00832123430559003	-0.2395170804423643	-0.04700311773817542	0.1472668261415368	-0.6322807592059924	-0.13334299171686062	0.006052307826038272
ENSMUSG00000044288	0.05808866787530929	-0.28507227126676754	-0.14574973182654397	-0.6284878604954158	0.04816919435435146	1.168424545691144	-0.07486514202889194	-0.11200336292835414
ENSMUSG00000085345	-0.07733399677180788	0.07460955866844597	0.21964330588763417	0.10290209280411373	0.06618475426304761	-0.5138829887315127	0.03254273545187375	-0.10219707674179362
ENSMUSG00000022033	0.04418510453313873	0.052395064832169075	0.22954961375563784	0.06946869334062765	0.04815555441484266	0.8375622192321965	0.06486261387477735	0.07466710208535761
ENSMUSG00000116850	-0.013725089205485961	0.06740165380589448	-0.1215875532633384	-0.05377116423700321	-0.0007021196667581497	-0.5613683566074118	0.03606679739930915	-0.10266955046120707
ENSMUSG00000038457	-0.037855360983567087	-0.013611618975204243	-0.1089337921132397	-0.23162673589684482	-0.0460150077848085	-0.5123226629927355	0.03935757037846027	0.04347044817783705
ENSMUSG00000086268	-0.09974676452930238	-0.008994294838466976	0.08290231131226905	-0.03143577802428021	0.02586343875844893	0.1577741126076617	0.04027571755931599	0.14260283069456764
ENSMUSG00000033396	0.05984055368665906	0.11158235266837117	0.45497072780923836	0.33682887407749185	-0.015027256347637491	0.14192768538167885	0.031090954376190836	-0.0055555085529106485
ENSMUSG00000033981	-0.05300092866185513	-0.23164580808471713	-0.2161327951487308	-0.8176251368823031	-0.008960151514987413	0.6940061070966902	0.03831797382311449	0.2021111660433432
ENSMUSG00000109866	0.007012360152253483	0.07968523956781971	-0.13007479188833426	-0.03248778729564509	-0.11286326707411432	-0.6500267786454337	0.012378595764672418	-0.1640454811375318
ENSMUSG00000097277	0.02862922658334699	0.08500514969040536	0.4462289479885278	0.16538774523437189	0.06588962226276558	0.5060576356765352	0.05334208877833721	0.0781838533822895
ENSMUSG00000041164	-0.02725743125785307	0.11421281055265076	0.3690387572727391	0.24121875973309645	0.038168031648112215	0.4564347113603283	0.04384512293083796	0.07499016312601645
ENSMUSG00000008682	0.05666693204299839	0.0957662001083519	0.4913896386322918	0.6678760388556689	-0.054969956972450155	0.011587585533497218	0.005670939468221725	-0.17003510838480546
