	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000040025	0.017119081178711415	0.052592846684670104	0.294610013043971	0.17311294220613632	0.06678920031695419	0.7302034231048106	0.06539511114944109	0.15991823101949623
ENSMUSG00000038712	-0.10103450292478233	0.13209136042884217	0.1742552289821834	0.40409687218300444	0.12674455238632995	0.23935661673920908	0.05283754957340754	0.02887868979150212
ENSMUSG00000111811	-0.02292493074065867	0.08341114467920403	-0.13895438233507848	0.06744451035515185	-0.001001541009577056	-0.5601834947681454	0.04172429418370338	-0.07191041230875468
ENSMUSG00000085240	-0.026542208139284824	0.08653235831672985	-0.059520675670689534	-0.04660881478305563	-0.007245450802210507	-0.772226477819119	0.035014630700033605	-0.05476428922125992
ENSMUSG00000100886	-0.006155720288770754	0.029227997775720944	-0.14854700603636228	-0.03751955647741467	-0.00892210750293278	-0.37437556024750135	0.005791196702177981	-0.25575095083901234
ENSMUSG00000073728	-0.10736334599058565	-0.09607049879569096	-0.02650640398013349	-0.012982271928996291	0.1826940398717382	1.0073701659603953	0.009743136837064181	0.21984301670537498
ENSMUSG00000043631	0.029403604505058707	0.07252671479740498	0.05275002358771629	0.3284469424635802	-0.015244609978919188	-0.7521801700509151	0.020086836247981674	-0.07692269035077942
ENSMUSG00000087273	-0.08701657292609011	-0.11595992273421112	-0.05049488438232569	0.09606128467400743	0.05970571124589711	0.19452998716351463	0.051822006127730344	0.1961692467826394
ENSMUSG00000001729	0.0	-0.20892060188596603	-0.03309107966313518	-0.2917343187024688	0.254355102473722	1.149571130340576	-0.16659029709298637	0.1688444495160349
ENSMUSG00000030107	-0.01781770584858966	-0.11402036290368986	-0.11960265797944448	-0.547964938179353	-0.051552963371618084	-0.021808354036172407	0.04678868375274325	0.32222506100475107
ENSMUSG00000033933	-0.0553472832267475	-0.08247940557201328	0.01518621828296823	-0.1367062926689167	0.09374710699049398	0.8958983960194672	0.006281316231347311	0.2742952359306726
ENSMUSG00000035901	0.018768789188501393	-0.025576197366563802	0.15775754128294628	-0.3199072609143937	0.023701700017968296	0.7998225363249264	0.08250179431404414	0.3276800473200797
ENSMUSG00000034403	0.004833654561010148	0.08552153693548134	0.8834906431465926	0.5148610106127766	-0.08752965699988617	-0.23103014170553815	-0.00595208377483739	-0.01606364452032181
ENSMUSG00000033184	-0.029073903105780508	0.09588585998024889	-0.026495141079045936	0.5842364327449486	0.09917488612519645	0.8966718616556123	0.04942151045318249	0.08971244228688433
ENSMUSG00000029138	-0.03871570249753842	0.09706980435629267	0.2591013209212682	0.778087411609918	0.10762485302323066	-0.17765794180768518	0.042101454877151445	-0.0909681672920575
ENSMUSG00000086061	-0.07551240279958404	0.0004484597304239002	-0.055993016943324585	-0.08438634206351128	0.010835695351522658	-0.23131128342095325	0.04835606769822896	-0.0017158801257720951
ENSMUSG00000060152	-0.05637873373198697	-0.13942894137620285	0.04100364360319564	-0.33944383261934513	0.27923322479443546	0.9217204327360295	-0.09521071512056536	0.30065739818810094
ENSMUSG00000097241	0.02877448469003591	0.0876494879430821	-0.1969767178984695	0.2003088135157086	-0.04512190643083787	-0.42787007469264643	0.01638639057596769	-0.1322075535172349
ENSMUSG00000044487	-0.06419794791742123	0.01897599371108204	-0.14080097466422034	-0.11183222343205129	-0.004355412641231182	-0.5785007701321091	0.022912663729359642	-0.10559638044665429
ENSMUSG00000110282	-0.0958277386627415	-0.01607544131567562	0.34469896915518655	0.2865871879450631	0.10162417463486279	-0.034818443760812716	0.04919611091523491	0.06520359353666462
ENSMUSG00000046351	0.07574395916362689	0.0767160573872679	0.297155594859866	0.051578795636315525	0.019109723098333253	0.7110791389637982	0.07054461733124663	0.2113960835634801
ENSMUSG00000032816	0.12609735424730556	-0.2907940261695795	-0.07141141461816525	-0.42455311019606595	0.2166583024235847	1.2272744277736003	-0.2036288328386487	0.08565952370014071
ENSMUSG00000040618	-0.10833694737153268	-0.11639291559257303	0.08586031427173708	0.07204931562755092	0.06125527399462003	0.5924788635842971	0.03972325396994325	0.16973073251369658
ENSMUSG00000026078	-0.017364263419610393	0.09260590726916663	0.03951244200789942	-0.07105606533474579	0.08070036991984343	-0.6050990026716343	0.034090858366897646	-0.09422758632980488
ENSMUSG00000060416	-0.011020789711168792	0.09391862777894688	-0.030382078628832764	0.016456625004694914	-0.017231422093207906	-0.47237197473295117	0.03945549438910169	-0.14167892205590144
ENSMUSG00000081859	0.0091774365602032	0.0853359127290302	-0.09412552917271065	-0.030991531655633207	-0.02504662717425565	-0.6101721620780896	0.04110729443246625	-0.12027376423461039
ENSMUSG00000104606	-0.003390240316155979	0.06966069265016527	-0.13126328698734366	-0.03135182580980832	-0.008748508643817052	-0.5060957901590158	0.040414980827337986	-0.08451202832592154
ENSMUSG00000107563	0.012460437150721093	0.07576420319964325	-0.11664135414883667	0.0	-0.0489260635935631	-0.5157659014172301	0.019835731195414374	-0.18044822264863278
ENSMUSG00000065968	0.049508078563110736	0.08198955137909268	0.25297111255719174	0.49717805678605653	0.05632088874787773	0.2537432366712111	0.02440975907908216	0.028717263271093068
ENSMUSG00000099759	-0.007365685140201084	-0.09583870056497502	0.195790432886236	0.07112379241855851	0.13438367196474982	0.9062720911824758	0.06207078133644403	0.1689429495757368
ENSMUSG00000026958	-0.1042616275297957	0.046360538762446994	0.4533818839661401	0.15385313283665547	0.04915617939493274	0.26705370788259847	0.05505692381057789	0.01973060802805293
ENSMUSG00000020941	-0.07826505667558571	-0.0707801162707598	0.024394149592820602	-0.11611302832363526	0.028894392699561934	0.9148592746829093	0.02996447926858262	0.22294962127637874
ENSMUSG00000072553	-0.03088828282537978	0.07135985380828377	0.17791150667008943	0.1426721868183556	-0.033997351593384455	-0.5086507188871895	0.04248120093424172	-0.03749516193966747
ENSMUSG00000063260	-0.030961044138868882	-0.2966982210149173	-0.1641641609044446	-0.7889276933930583	-0.07379586896027915	0.9744396494882822	0.05291563051787701	0.11260802078605256
ENSMUSG00000029456	-0.033596029725909665	-0.007943590712468317	0.09170260440517505	0.11928982055912707	-0.004993224302088484	0.8816209697987102	0.06512882539505215	0.21185668767257929
ENSMUSG00000117800	-0.026520498734960065	0.07995037913210466	0.002688134309679957	0.10018512448654852	-0.007410797317429415	-0.5832114677371855	0.03930411098110487	-0.11278555687541948
ENSMUSG00000111163	-0.004210312466889077	0.08166729241936058	-0.12033228866186813	-0.011081354310569051	0.007994474630862555	-0.6494462393271567	0.02997551271929606	-0.08368635945634677
ENSMUSG00000087381	-0.05438071072695566	0.03813177840436151	0.20683637412168682	0.45922282129575176	-0.023515189080551613	0.06139976706652678	0.051104838106899586	0.027278323428062242
ENSMUSG00000024970	-0.03352681015764823	-0.024271481646385595	0.19891305651458463	0.201586067554236	0.030020567095104776	0.846517773488989	0.06686194041046829	0.13678842471486136
ENSMUSG00000090713	0.012595166493918453	0.08649662418849705	-0.12757135115909365	-0.06815253494909296	-0.009712566529684425	-0.5665222183486877	0.039652868367080124	-0.08510605244468357
ENSMUSG00000113619	0.17773429195028345	-0.0020241432047685137	-0.22196066642588977	-0.0320139115584199	0.15106375662204333	-0.5733919762138019	-0.1215041166190321	0.011532481287870546
ENSMUSG00000044288	0.059282571961433	-0.2800591429865232	-0.1285956342051063	-0.6079055214648598	0.05178357093686972	1.2213522853776515	-0.064846291376099	-0.09562897420123107
ENSMUSG00000085345	-0.06849647222264756	0.0775163805687319	0.237885989313254	0.11707155947072852	0.067906019658365	-0.44994413951466133	0.03870494698830479	-0.09129707476477072
ENSMUSG00000022033	0.04335621921154198	0.0560421223356986	0.2479527458330869	0.0826201083625006	0.05444029971380916	0.9097030628324352	0.07113913135110955	0.08247110109586898
ENSMUSG00000116850	-0.011178812138457502	0.07195135454034064	-0.10680065839041736	-0.03845597397193653	0.0016488321092125169	-0.4907878197411538	0.041121768244282576	-0.09097524822056784
ENSMUSG00000038457	-0.03324068619079615	-0.007022228700822031	-0.09523210695339611	-0.21080795157913274	-0.04261016981056956	-0.4480481062600711	0.04505831682346396	0.05124459714852468
ENSMUSG00000086268	-0.0914918335353265	-0.005671245346853204	0.09881378607401238	-0.0176134793410414	0.028836972040194194	0.21836111228279376	0.04626919598411571	0.15861589004962243
ENSMUSG00000033396	0.05792844471964424	0.11286398588833385	0.48591943096407014	0.35421862729322867	-0.00825582814129211	0.19792022428492406	0.036488182466192086	0.0054541402912849386
ENSMUSG00000033981	-0.057164389404403604	-0.22664457885600633	-0.19219365174969616	-0.7924168826242719	-0.004897471047103474	0.7417344818258206	0.04717809546966546	0.2183536477238533
ENSMUSG00000109866	0.0075990845734204004	0.0822988040226396	-0.11528313346748545	-0.01811964271455519	-0.10659604382793908	-0.5798196850944732	0.017105998818909732	-0.15072846819952654
ENSMUSG00000097277	0.028650175674180378	0.08763144608361534	0.4767151457269456	0.17976004621704827	0.07093101693877588	0.5642366142068983	0.06030430080940849	0.08737434860701092
