	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000062510	-0.039117060273539596	0.010112733163363632	1.1310954681296996	0.010209698878523861	-0.026391003773356455	0.12734681437473877	0.0814442051619283	0.023538493981348958
ENSMUSG00000055991	0.008859666987700621	0.05350205528707842	0.6656372743927932	0.08845437359809044	0.5781481902318774	0.06336435223347507	0.19234049626809013	-0.01097412665777873
ENSMUSG00000060675	-0.06624919214023715	-0.004897901292549379	0.461064469671276	0.013585935746128338	-0.08067589627005094	0.16684409792526692	0.06121034628574437	0.02437098987684294
ENSMUSG00000029227	-0.0375882477867825	-0.0011687181185282367	0.870046700839053	0.04612773729895707	0.01438313920246271	0.15251738081278746	0.04803339854718485	0.028546798448665606
ENSMUSG00000114639	-0.05825176681610174	0.009201205069543254	-0.43050043970911894	-0.009667770703163114	-0.0944679266268005	0.08713642113237126	0.04478831006303413	0.041877975445874786
ENSMUSG00000028645	-0.05944759098014661	0.03705548703437671	1.2513995892708147	0.17929987654019247	0.25445139083292034	0.2640866886159139	0.05438697666073235	0.008052090886927285
ENSMUSG00000032611	-0.030140911870174543	0.008800883514881466	0.576280780284495	0.07888502765355432	-0.07402491682192444	0.1226670054337384	0.04906249134967636	0.014681422146064245
ENSMUSG00000025754	-0.0756212574080564	0.003252266963370078	-0.17819002329696168	-0.026628234822419473	-0.2855217079553768	-0.22895102810268456	-0.056660787704978635	0.011613404502505935
ENSMUSG00000021615	-0.03030030839072424	0.02165838244545739	-0.09355017343165985	0.19732558417641224	-0.20727772491747082	0.2433463858700374	-0.054653708869123616	-0.0038877060831250024
ENSMUSG00000024007	0.004504981726599258	0.019671709732938324	1.070736307646335	0.17324696351222105	0.27498824046862347	0.2621537839995913	0.04882602901083633	0.0015803870826078179
ENSMUSG00000097569	0.13472717257458758	0.0017481271191042782	1.0778420277454384	0.002889517497169436	0.712360257165996	-0.2486590219802955	0.2094968830074192	-0.019997291020575046
ENSMUSG00000073197	-0.23457442569519377	0.013677569031278836	0.5838524855721127	0.1727444031889328	-0.9775300678240976	-0.2038862642176225	-0.0002849457991292833	0.013040615184477897
ENSMUSG00000061099	0.05781588742237156	0.002455375566829129	0.47709956499872663	-0.02899237511238815	0.1665321231083778	-0.11745883513358421	0.0912604925085491	0.0009182305935480275
ENSMUSG00000001138	-0.02149641763836761	0.02175075791954961	0.6762837739700834	0.07952651972695353	0.1641257603775427	0.22050190049734997	0.09987591078804274	0.04657106690345764
ENSMUSG00000026207	0.34482514973393075	0.09335023530064583	-0.6351291725855844	-0.2858958663269212	0.8962500079937464	0.30994497334239507	-0.026298553442133457	-0.08677176494332213
ENSMUSG00000114875	-0.010792529607819493	-0.016366188492559428	0.9876038532932788	0.23485487461262633	-0.0032933242276028197	0.06701748130123764	0.046118464358940923	0.012347785389699441
ENSMUSG00000040025	-0.03489268121508888	0.018536931452399586	1.1579673282731424	0.0420443393462587	0.07640985651690113	0.24902169111072517	0.08912192827836926	0.01801564763063652
ENSMUSG00000087176	-0.06427743638071531	0.003353930004855751	-0.1795641252850016	0.04708978994042679	-0.23443076306055965	0.2379958967420472	0.002878479543661732	0.02553893547691197
ENSMUSG00000027253	-0.030180011802440277	-0.01018309525409547	0.47639247695998554	0.005961557368781152	0.1320471003098646	0.2519990323204963	0.06595966497594158	0.007853364422823817
ENSMUSG00000024231	-0.09351308100244751	0.0026407400918937386	0.8939059719881958	-0.009863066146889261	-0.2868382043761293	0.15057023219924304	-0.03326781681742952	0.01503559849123641
ENSMUSG00000043639	-0.063003177039978	-0.04154954431776007	-0.0853832137513174	-0.25328804992313964	0.15910976252998807	0.16318395393499746	0.041214800317642845	-0.028947707961976578
ENSMUSG00000022805	-0.0012899682881002913	0.014346713657557433	-0.019389663923253204	0.025681564986734885	0.16183554495200952	0.04775741953406915	0.11154056866268677	0.02934559376610975
ENSMUSG00000024154	-0.04627721307640188	0.008646692491493014	-0.17760381861901675	-0.002137993769117332	-0.0610580897357847	0.1771903989291916	0.04216011444981892	0.034946055441157246
ENSMUSG00000097855	-0.08723730179824218	-0.002677098084989536	-0.16447753597333628	-0.04676236763355389	-0.047808609897245856	0.23850726665633765	0.026682620288816645	0.03132648973868137
ENSMUSG00000052812	-0.011999260458937247	0.010971898362913634	0.5456400908259509	0.032056989917431826	-0.06772534732548853	0.20757977906614541	0.011926225200035593	0.028424721988838948
ENSMUSG00000030352	-0.04037394098621527	-0.018066985259377232	0.2729868019188871	0.03519642643472513	-0.029688552482236577	0.26205174717532437	0.09158242171397432	0.019116835951873717
ENSMUSG00000021139	-0.003270525775276058	0.010104794274957385	0.163382227782027	0.05451387583057762	-0.0542801181937518	0.17378282915992063	0.013638636753811235	0.018543259347435587
ENSMUSG00000035505	-0.0058760216404542525	0.0057965112667131636	0.9197617364518269	0.11453781316803154	0.02271441811629172	0.12214379307219393	0.06630793491557208	0.015105492686935966
ENSMUSG00000006526	-0.022737086085648377	0.004653738059278112	0.6811504627155955	-0.004656194664338338	-0.15453920881742045	0.09512904764020018	0.011280660346840575	0.02135315677894271
ENSMUSG00000029166	-0.02536233200646945	-0.005303308815928176	-0.03794199374346395	0.047225153037912346	-0.08372918852827362	0.22503267450041936	0.0016828815484976596	0.023319030855210646
ENSMUSG00000066621	-0.04227090381890386	-0.02647830052457201	0.6101853509215289	-0.036403637058849976	-0.07954693519526959	0.17034615505919126	0.13058159159575422	0.030647409330153356
ENSMUSG00000022974	-0.053773918206362785	0.020140674302820117	1.1236314824441382	0.06916068873813076	0.010998339410746537	0.21810008300277073	0.062412523117278136	0.022553452502766698
ENSMUSG00000103499	-0.044733473979639324	-0.014964079523425815	-0.3033174259145328	-0.012493116058924768	-0.1952805661926894	-0.20061086282907387	0.027344318799337738	0.006349096715088568
ENSMUSG00000031487	0.024617783288548318	0.012030525691703329	1.006724854845379	0.014524029380325893	0.1141307499881285	0.1284394585843464	0.1530795231392923	0.029697520311622483
ENSMUSG00000112110	-0.053935098120564365	0.002904403541989658	-0.45142630435792463	0.0262339154035934	-0.046800146583492665	0.05278988198499844	0.04621557169146919	0.01641033587101057
ENSMUSG00000114136	-0.018845731671275904	-0.000631331729320144	-0.031405857217032464	-0.0278802778512597	-0.3358059714446686	-0.259574753716983	-0.005695277739661313	0.016227050244612785
ENSMUSG00000038239	0.06999359349813727	0.002361052363786647	-0.28064406424600746	-0.02672731351787141	0.1644253297445175	-0.17478132705208346	0.09994013612553578	0.01247565135750587
ENSMUSG00000045106	-0.002255065794348151	0.02341581973554899	-0.14450857871519734	0.023017937829406167	-0.1133872848093493	0.06533833364561101	0.027905841871688607	0.004017426458865105
ENSMUSG00000085768	0.008371850319235818	-0.005110811643992617	0.13345579201247476	-0.025877909125223857	-0.01142202409685394	-0.23361740524872274	0.05813952663135881	0.02166619677487428
ENSMUSG00000111109	-0.07996663244301609	-0.0052524656298503815	-0.37528661585331846	0.04791350048588876	-0.3068626788176646	0.11908692165660406	0.02285080915992564	0.022095862921923982
ENSMUSG00000079427	-0.03243045403661589	0.020462320215301588	-0.008969408681150527	0.08660848887593602	-0.10350982444942929	0.06997311061942517	0.011150052897469972	-0.0065705607517364635
ENSMUSG00000025432	0.07551774616243034	-0.01555938225044104	-0.24158388300597186	0.02389609634304049	0.27209038752108816	-0.09518913320789579	0.15141020769442548	-0.004899410076593215
ENSMUSG00000094004	-0.15536235146843994	0.030289697512801337	-0.13102686000014988	0.008939962722070049	-0.4021448109875564	-0.23887977326625592	-0.07422549867790491	0.010265695309603222
ENSMUSG00000028825	0.06320804624426403	-0.01771349022954902	-0.1300371715887325	-0.003834525484385917	0.3764479333113091	-0.06174295850609529	0.155323277838761	0.014008365789985483
ENSMUSG00000021076	-0.0011061544228661141	0.004808547072337075	0.8707816964803247	0.05530981844089443	-0.0037837644276026237	0.085612964828033	0.04016739651165803	0.011150132869209172
ENSMUSG00000112865	-0.09271358114690104	-0.020779331437993927	-0.2412166409296333	0.017069691778721918	-0.31939436807323157	-0.2115029931758597	-0.0035378734980310712	0.01854126213116355
ENSMUSG00000013338	0.008847134067972157	0.0070253764296856905	-0.18094726517208204	-0.001329512583158378	-0.043929210437246576	-0.21134631242208082	0.0918217743832169	0.008541264086839613
ENSMUSG00000021951	-0.000992430114378554	0.030241335888630212	0.05549602568841822	0.03816681222805138	-0.06211396998634362	0.11140395710390294	0.07166368146894715	0.015181959970089207
ENSMUSG00000021928	-0.016647921621123326	0.008780682431617087	0.5719598062943467	0.016815813068699625	-0.21473471865236726	0.14239174155154616	0.03740514447168347	0.0144217226337787
ENSMUSG00000000214	0.052864900488410575	0.028514173408517047	-0.3150240094266857	-0.003993169668761506	-0.13735724364464008	-0.19983901496847725	0.07130710341319042	-0.0007934874958274512
ENSMUSG00000031290	-0.1715688601439719	0.011954945232719182	0.9232549472915708	0.0279763916511521	-0.7082063303741701	0.00025674699250625315	-0.07076172408004433	0.01777923438140923
ENSMUSG00000097391	0.00969429626649279	0.008575646683623615	0.7819513305994665	0.018293491072524506	-0.0005902805881435468	-0.05542964728634355	0.0251754153498041	0.01843900262330343
ENSMUSG00000032724	-0.11537203630110265	-0.014305211838447057	-0.08131903255478912	-0.2013183228212126	0.07516018719865575	0.15006840054156134	0.06774257070449363	-0.05901011217226499
