	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000024660	-0.0038204386210834076	0.05447558361655475	0.32271689832892403	0.35805595144546326	-0.010620147909815256	0.40415108985388154	0.04704015760528689	0.024323887772334275
ENSMUSG00000020457	0.09133380194211245	0.1125434721970253	0.23748298615474986	0.46783963972541515	0.02659933164676269	0.32884867025664527	0.035326300351256834	0.008997172683510662
ENSMUSG00000038708	-0.04105157578971037	0.009395251221056762	0.17107069158352844	0.08955828974524463	0.04516118437043458	0.6335561423907555	0.03415736098000447	0.09820717513674546
ENSMUSG00000090841	-0.07347332961986207	-0.05251597641113871	0.2166603412560237	0.4626324866374489	0.07064924972468621	0.27633012574702404	0.02355895565186594	0.009451335829362506
ENSMUSG00000029208	0.08747923205404991	0.049418036467665974	0.2901744231350936	0.013822274728175087	0.03681852860453156	0.7145818583933371	0.0822349163052942	0.09257545496002421
ENSMUSG00000000605	-0.017299016124057483	-0.07862417871188622	-0.2201024298944893	-0.6502188191886878	0.05212221905728386	0.33194144324120967	0.008589098197366444	0.09560944316700833
ENSMUSG00000029074	-0.029179209512533687	0.07507901808328045	-0.10081559678084366	0.33121341351392664	0.02788500070133263	0.12502657232627307	0.023551637647532125	0.053926083699168105
ENSMUSG00000019969	0.03721914291277894	0.0688455190636887	0.20154626867681924	0.22354650128067338	0.04242241956276952	0.6398834087794447	0.06071522514560326	0.04471373600099469
ENSMUSG00000034807	-0.08085963943802718	0.006366077846697797	0.16659472765999714	0.09356688654432739	0.05199101699649223	0.7315656277374988	0.00438279005923375	0.0690176180799816
ENSMUSG00000111638	-0.0014929419208783655	0.0842412296443529	-0.1274814796359091	0.08991107005484601	-0.05727501590164528	-0.8364539235913461	0.01262534144376072	-0.12760382661269562
ENSMUSG00000027134	-0.01816639985492137	0.024068983260596203	-0.06588578611429381	0.001963994632439738	0.04657065281072781	0.8680849746973504	0.0050354774567365115	0.11565284952874728
ENSMUSG00000039354	0.0063050235068658365	0.1190081500528322	0.2348978699723375	0.3344103384991675	0.06297698754393163	0.30154556848844677	0.05739647066012757	-0.035039481188869105
ENSMUSG00000100009	0.021226089814652887	0.07111028943691053	-0.12632438626211037	0.06231350039722331	0.011751968178058243	-0.7814217477698029	0.025649865249579306	-0.1074442816987617
ENSMUSG00000062732	0.02695401371934817	-0.031182324907630184	-0.11000167999445694	-0.3646940104565147	0.09743216723353336	0.9457887611626314	-0.005384688983654736	0.08489090456652255
ENSMUSG00000031600	0.07691523522787196	0.06043264360513214	0.19195392070094905	0.22286910353681638	0.026609344286199692	0.6436944849606204	0.06542930952460406	0.07629049591092293
