	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000006920	-0.07915641846716225	0.016011993393741347	0.5242521396284892	0.0011388505959143425	0.05062961894556556	0.18082229895598564	0.054456901877703405	0.06206955496355062
ENSMUSG00000032382	-0.03516354648714781	0.020289218491516926	0.6767463801504341	0.04621846901025899	0.18922806277430018	0.18486431382650625	0.02446166634944459	0.026127452427957918
ENSMUSG00000117748	-0.04113575622463818	0.029646532696613638	0.8762865044774224	0.2513235060931343	0.2605033357330568	0.15255589914893625	0.011348524062062654	0.004467368880096911
ENSMUSG00000040189	-0.050796870693021856	0.0268842348890039	0.440291193144256	0.12390620814576203	0.03971096106404626	0.19607980311908904	0.021080171419085705	0.014869275513652535
ENSMUSG00000036661	-0.08016390052593803	0.015896244440646745	0.4974836980667668	-0.035821187004519105	-0.08075109431477312	0.16016863254668304	0.02669609167251157	0.07861229430705803
ENSMUSG00000038126	-0.025452601062695715	0.02003395046220939	0.7592391130025259	0.10699334997979987	0.001773159848601047	0.1247522613224983	0.01291329311187314	0.007328266401859825
ENSMUSG00000116843	0.4339072045336937	0.0554509442280454	-0.8757883794219181	-0.048426132983449006	0.6931786480388936	-0.18838490210349848	0.18522734251296655	-0.006024638943250921
ENSMUSG00000038005	-0.02584148896523473	-0.0010799659183511334	0.753103850766009	-0.03152674101749833	0.03940102107535179	0.06699295416031982	0.04638261218814313	0.04426190161093546
ENSMUSG00000046318	0.002760307074096968	0.024542846703042413	-0.42805362261535546	-0.015778582007742188	0.1176333561951438	-0.12046279674993458	0.08446175149779547	-0.023258912678528622
ENSMUSG00000030616	-0.040075758084396486	-0.017936222741544716	-0.49061441505032244	-0.251044442361179	-0.06402238795026009	0.1690224376127405	0.05012957429258565	0.037600274767694876
ENSMUSG00000031216	-0.07343141457480763	0.009609742139912725	0.42353244370136883	0.060705673180400474	-0.6011093295436036	-0.2315150680660949	-0.06136807621903653	-0.05678321838662812
ENSMUSG00000028964	-0.0012598983899247962	0.05042108545721947	0.8944391603772404	-0.022935282304649026	0.7013122645596384	0.21202844159799272	0.040432553615616366	0.08301991274139785
ENSMUSG00000106594	0.03117385552794876	0.02494888037213051	-0.5509348906888951	0.1278949425301505	0.4755577724459358	-0.006223463059634837	0.08589515747777464	-0.03750186663989726
ENSMUSG00000114959	-0.022130203641244746	0.019449912464846508	-0.3463632801165981	-0.02543017637455169	-0.1072364432544509	-0.12842952210037176	-0.02474118841020883	-0.05227295123906797
ENSMUSG00000025068	-0.026337114789156988	-0.004607279788505614	0.15148080370843503	-0.02317361659766201	0.11063203285847732	0.21958206494003837	0.07289996448177528	0.15774005401469934
ENSMUSG00000025978	0.005267437445806544	0.037570248785387686	-0.1534213576161119	0.07101394285634605	0.2125148938207272	0.049076512593087325	0.0893312937792802	0.05629198572209362
ENSMUSG00000095990	0.04630530730606355	0.00770571089185057	0.6474794209318376	0.1775619668030431	0.1773765833004413	0.13904862923319938	-0.04730657536846075	0.014135770643480369
ENSMUSG00000102011	-0.14877871636638773	-0.1040351177807548	0.46625584455569674	0.29350210463330634	-0.15857905808956624	-0.29572471746256807	-0.1937971357234018	-0.2161570522918545
ENSMUSG00000030265	0.010007530510467806	0.008904031561532846	0.6390457181732834	-0.022449403870206552	0.14970857087133108	0.12026799481644301	0.0490367495988439	0.17663485086468378
ENSMUSG00000092204	-0.30351694858661005	-0.040469122835970844	-0.043220069509449933	-0.08637343877766776	-0.13261749754455393	-0.03028145463020071	-0.12607787254562866	-0.12991670064495983
ENSMUSG00000025968	0.03401996174384103	0.018222741425516817	1.2333309911159247	0.15287319385839707	0.08182101447949426	0.13085705547018464	-0.06083371934207671	0.017729615372534174
ENSMUSG00000025223	0.02617536782767549	0.03460342889593938	0.6450313117923226	0.22598255470662967	0.644313224564106	0.26043490634206956	0.04914665068569893	0.03570698417273815
ENSMUSG00000074282	-0.08023483681791149	0.07684761952796598	0.9222511652232754	0.004092292092652494	-0.06544883712271368	0.10928385461249272	0.018775674219706603	0.05745193576913545
ENSMUSG00000033960	-0.11473168719554759	0.013444901263186065	0.18423023345419384	-0.042402503933106066	-0.4482924896954304	0.15495225517398648	-0.06809959051519728	0.11019305969299895
ENSMUSG00000034949	0.25704595894668286	0.0283618616596549	-0.5403686161115936	-0.0007041496221315002	0.43712571442867687	0.08209140684555075	0.2549855567181219	0.05701476667632819
ENSMUSG00000026890	1.2038632259782316	0.011671938240880697	-1.4994838994369106	-0.5757756436808138	0.8451941996207173	0.09985538889113871	0.13450042573920504	0.02982726390398836
ENSMUSG00000022472	-0.02523107914320758	0.023689009844951415	0.7714637429824445	0.18949596250515838	0.07814792629254268	-0.03786999601440088	0.044189708460740024	-0.001895306510653283
ENSMUSG00000021065	-0.0851356702414899	-0.014363026860083014	-0.1590724791981223	-0.049107847683858445	-0.05084274301501823	0.1600865453975433	0.016754514130292164	0.21381011796976102
ENSMUSG00000047213	0.0019725888423673117	0.0054238720573168975	1.1308140436347316	-0.03541723361861566	-0.002886636027793932	0.10075736558944758	-0.03394978369279532	0.0862595880610542
ENSMUSG00000113621	-0.057283985181873796	0.016928537158826022	-0.12996421013123086	0.010322307363957443	-0.08677568411118437	0.17985178508549762	0.005582053686410904	0.18024734559785108
ENSMUSG00000017007	0.6986934865734891	0.040437027497320976	-1.2773298810820097	-0.25921599618089225	0.6706197807761294	0.23182112231651428	0.19754670625695805	0.04999732637498528
ENSMUSG00000020629	-0.07389736274391764	0.016168234700545195	1.0859559688808527	0.04054479339103894	-0.2808260645901202	0.09240346579771866	-0.0471563771006918	0.006328199871137641
ENSMUSG00000040432	0.9199787230896542	0.0817834429116316	-1.3859894148828573	-0.3247458567788136	0.7038619709531855	0.3073128354083027	0.17982814153336282	0.011670259696682839
ENSMUSG00000033770	0.00012106551623866646	-0.00857070722375021	-0.19875679194054585	-0.053211822538844385	0.022373688874036256	-0.0492707025915905	0.060400958596849665	0.0044729500830579996
