	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	-0.029475674033164978	0.1157425120472908	-0.1090959832072258	0.05176074430346489	-0.47451838850975037	-0.1551245152950287	-0.11426255106925964	-0.03262139484286308
ENSMUSG00000024050	-0.1318722665309906	0.04505613446235657	0.34524089097976685	-0.05068312585353851	0.2941040098667145	0.24221432209014893	0.12157417088747025	0.1143689751625061
ENSMUSG00000085524	0.03409417346119881	0.05807085335254669	0.8072174191474915	0.1631157547235489	0.2909071743488312	-0.08957485109567642	0.042790550738573074	0.01977577432990074
ENSMUSG00000116009	0.13402366638183594	0.06284547597169876	0.29360222816467285	0.1480695903301239	0.19267740845680237	-0.05419743061065674	0.1807500720024109	-0.010863039642572403
ENSMUSG00000090129	-0.03666217625141144	0.09199139475822449	-0.15976184606552124	-0.005656457971781492	-0.23510600626468658	-0.1653880625963211	-0.002061086241155863	-0.02847779355943203
ENSMUSG00000116339	-0.09017958492040634	0.04264318570494652	0.4060729146003723	0.07267697900533676	0.12668856978416443	0.19204139709472656	0.060816798359155655	-0.00766220036894083
ENSMUSG00000108869	-0.013027075678110123	0.11980677396059036	-0.15803563594818115	-0.024684883654117584	-0.371597558259964	-0.09207871556282043	-0.06824596226215363	-0.0559665821492672
ENSMUSG00000053773	-0.015924202278256416	0.07088299840688705	0.2749999761581421	-0.005915855057537556	-0.2641000747680664	-0.26713988184928894	-0.02197021245956421	-0.0442340150475502
ENSMUSG00000112640	0.013993671163916588	0.12103123962879181	0.6997230648994446	0.3356817960739136	-0.8886206150054932	0.07037652283906937	-0.280086874961853	-0.03624291718006134
ENSMUSG00000034039	-0.05812004208564758	0.06624948233366013	-0.2131810039281845	-0.025975272059440613	-0.2698221802711487	-0.1344098597764969	-0.0038570743054151535	-0.03064611367881298
ENSMUSG00000113012	-0.008191106840968132	0.0575462244451046	-0.5607925057411194	-0.020410479977726936	1.0041568279266357	-0.11699189245700836	0.30398762226104736	-0.03507724404335022
ENSMUSG00000029530	-0.20328737795352936	0.05321262776851654	-0.2725423574447632	-0.30740901827812195	-0.07693872600793839	0.11316173523664474	0.13170985877513885	0.05225462093949318
ENSMUSG00000097917	-0.0911911278963089	-0.09552697837352753	-0.4575825035572052	-0.1391187310218811	0.12391359359025955	0.2987852096557617	0.14835745096206665	0.06233988329768181
ENSMUSG00000097393	-0.010469596832990646	0.10808304697275162	0.04365430027246475	0.019200924783945084	-0.18871831893920898	0.15934258699417114	-0.042197249829769135	-0.0036115117836743593
