	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	-0.02132400875090238	0.015342225281238853	-0.23711069714585473	0.03463856058809156	-0.3196036792040837	-0.11627616826404315	-0.05486949334888301	-0.03500027611212966
ENSMUSG00000024050	-0.05969288978403641	0.02749461040421544	0.31696282901939815	-0.011295371805828625	0.3556471204066296	0.16900613254413216	0.08172452891289421	0.11354799167687016
ENSMUSG00000085524	0.028214729446574945	0.03649582826531052	0.7792027181643701	0.1717185679493563	0.33463107463190844	-0.07304870037050983	0.01074551067235996	0.05182886742462741
ENSMUSG00000116009	0.12719483986750246	0.04592967863093566	0.2906826271955241	0.15467949472505552	0.20282235847659422	-0.03573676888280253	0.14593165619389867	0.028796003388544437
ENSMUSG00000090129	-0.03920916618196214	0.01600634431511372	-0.28246831145522033	-0.01749790744775047	-0.10107149636350461	-0.12257770164605163	0.02735159041013493	-0.008263538062423277
ENSMUSG00000116339	-0.06285368717357243	0.017594511205268833	0.3738727620111264	0.07327015712982038	0.19113343075611636	0.15164314934204218	0.05190252239691667	0.01992683131538223
ENSMUSG00000108869	-0.013826382570096695	0.03419476993931714	-0.28948567999069996	-0.025621299607023744	-0.2267988103665039	-0.057544250472513485	-0.03251537957806855	-0.038840818752658005
ENSMUSG00000053773	-0.02080338351711008	0.016384676781521137	0.10978462808365098	-0.00899385052088114	-0.14394205525444245	-0.20342053150122114	-0.0037510889442334827	-0.005267792841677913
ENSMUSG00000112640	-0.04599495287532496	-0.012246229507276284	0.5605621636799343	0.30286516700118876	-0.6218780105092228	0.04986848396269208	-0.18206377467432183	-0.0018649274576498232
ENSMUSG00000034039	-0.042984824616745854	0.012752330405091925	-0.3459212281122097	-0.028523759294734493	-0.16268404512201612	-0.08673772828531523	0.003512142556940212	-0.005783129619107685
ENSMUSG00000113012	0.19675901620059	0.037250057239469433	-0.5736955722582275	-0.005166735977517711	0.8709903839935346	-0.0938682195087358	0.19590102326099515	0.00944928450357348
ENSMUSG00000029530	-0.07129695016106914	0.01602784194764667	-0.3311855925232006	-0.20698753639049078	-0.014716592132784805	0.08315994258409083	0.05062954932775342	-0.022077470482535323
ENSMUSG00000097917	0.043366607877485155	-0.06143861695416382	-0.505793676427526	-0.08822502935511628	0.15917471800398061	0.21116386516585745	0.10364026141062993	0.0014804662673474356
ENSMUSG00000097393	0.007682001845076201	0.035975649314111735	-0.042742208705361585	0.027832277380647537	-0.06791096610067583	0.12884188672494634	-0.002578675580514528	0.011575851479841958
ENSMUSG00000104470	-0.0174898673416963	0.02982751065299538	-0.4553510492817166	-0.02725321898097631	-0.1780055649301244	-0.04092595935983954	-0.016905201370591275	-0.011716836449139864
ENSMUSG00000107742	0.43182251364190816	-0.09143127766188291	-0.9178107987968983	-0.11134364226779829	0.4510347279582334	0.23856792753705078	0.11274156904476061	0.04132683206276311
ENSMUSG00000034573	-0.0653907739399431	0.07071086263068041	0.07531895131075188	-0.1415731666222657	0.022306497186876273	0.07798485038232959	0.049798310178111156	0.07230486760801137
ENSMUSG00000028049	-0.05516465205219623	0.02792182185212552	0.9077729741878297	0.16842601656685838	0.564960485223554	0.13556666514310087	0.11542449881489167	0.020459504633258695
ENSMUSG00000104937	0.008259978233885468	0.03438240517232653	-0.4353161927428281	0.026915518390134067	0.03754358481657432	-0.0596162582083436	0.016681874882709412	-0.01660703930171407
ENSMUSG00000047347	0.02597717333786246	0.04055000282869848	0.1014323602255308	-0.040633009341585924	0.17153713769322118	-0.06416920862822406	0.0884846434996582	0.026025227402843812
ENSMUSG00000034902	-0.03136543862333871	0.04371120644003161	0.6753147220317544	-0.016780957666730822	0.27678994434474347	0.13671837698828304	0.10612473102628116	0.054788821396391595
ENSMUSG00000096918	0.06735928163074595	0.02639870287009584	-0.48270668274148737	-0.01762947461156716	0.5659738868379798	-0.06198013810747016	0.22218647141895484	0.008770858703106454
ENSMUSG00000082754	-0.3807250074632322	-0.06053810670988146	0.045278132972459896	0.032919697699095085	-0.5189452425799643	-0.16599966053396165	-0.11689508831830224	-0.1465561336505869
ENSMUSG00000031024	-0.05279107316962796	0.050020005766266404	0.3677557173244101	-0.019817227492214817	0.04234895480123904	0.1564250291592484	0.01840798068029181	0.06935432780869005
ENSMUSG00000052563	-0.07091237155513874	0.04160428689804855	0.794825896213709	0.019948709720153307	0.19087798528660516	0.16514823798453337	0.09284717343652496	0.03795798129251844
ENSMUSG00000082988	-0.016768569203756117	0.05967604118085051	-0.11401753670025663	-0.01493209124860874	-0.2915364476976127	0.000875356720086734	0.13618755469244379	-0.005288994735571288
ENSMUSG00000106802	-0.025058901031688043	0.009884721043175837	-0.03723472456861942	0.023885954094866824	-0.3325380229988519	-0.0883448203713374	-0.14213252715738992	-0.04732257985832376
ENSMUSG00000091049	-0.03421175844205382	0.02178748392243829	-0.44559044421687966	0.011748509076976887	-0.21489886764748267	-0.08059152063985428	0.04887094694957873	0.027769202148772935
ENSMUSG00000017858	0.03708546447404665	0.02077115634465818	0.9115815115371376	0.06953090953921177	0.19860424057420153	0.11033113420228778	-0.05045701436818839	0.02837975951632387
ENSMUSG00000096141	-0.009090490723258071	0.025449656775704908	-0.2087672468148268	-0.03384800215487641	-0.11931675567975358	0.12066439138147167	-0.055131606126688895	0.01802931047020976
ENSMUSG00000071771	-0.15527717595413607	-0.07210158026319662	0.2806137872486757	0.05408714212638088	-0.8344969164845266	-0.17109150722542774	-0.16999344665183813	-0.09177742263061049
ENSMUSG00000037849	-0.08043960546477594	-0.009026046238806032	-0.06784124491681771	0.004677544422770685	-0.39439167062671854	-0.12250311145123041	-0.12328310453312642	-0.10590702507657285
ENSMUSG00000031935	0.01915078521331558	0.023324992647370767	1.334740195690082	0.005757023683426121	-0.08513562356003541	0.05544348157563229	-0.05935766730663657	0.016920200645017487
ENSMUSG00000038132	0.16231224147152765	-0.11599725892122485	-0.8354942745615713	-0.17070237350873543	0.47613093322460764	0.12471509590152738	0.07010579083416918	-0.07483171818748552
ENSMUSG00000002032	0.08161959185824111	-0.10740955201844805	-0.4200696259495188	-0.11245938637272786	0.15052884426760457	0.21936142499970807	0.13819957241034111	-0.0069924205827662095
ENSMUSG00000041068	-0.048071627954011695	0.017228146384786435	0.15858415881075427	0.07808917657770087	-0.6556692706842259	-0.1329935943220636	0.003235471828758496	-0.07354326347122049
ENSMUSG00000026409	-0.012058129369380666	0.027603486052572433	0.2973584881991097	-0.03905560723879203	0.3323654356426196	-0.09166196427868212	0.06483655589989021	0.010921365278964527
ENSMUSG00000109764	0.005507002283555162	0.02870392147198012	-0.36576873288534595	-0.022372508503162056	-0.16018878477708579	-0.1158658662377331	0.02122580460426147	-0.01754762770811053
ENSMUSG00000035086	-0.047705033406767836	0.036692512000542084	1.129032308260853	-0.012625178381545643	0.13740881034331026	0.042515707134714725	0.047895563099199595	0.03603064179097933
ENSMUSG00000112246	-0.05292797241747329	-0.005642225539469631	-0.4067603246737435	-0.0011651816229878431	-0.181083518718264	0.0435810488278071	0.049479699322586675	0.04313134554548959
ENSMUSG00000112458	-0.029312201797744932	0.019199152702428755	-0.006630632534795358	0.09928444960720625	0.06763232070882119	-0.16771940659322504	0.10002522916414844	0.013961417997770311
ENSMUSG00000072595	-0.013003216709139953	0.035886872223139	-0.263690032446394	0.047931665502848074	-0.3103417812772953	-0.09836843860850494	-0.06749846356305467	-0.04718587932563153
ENSMUSG00000108456	0.018432276987791235	0.019056203724185705	-0.18236610521296878	0.0678247411392539	0.23960632167216211	-0.18803770027638958	0.01794525266803493	-0.016679167155439104
ENSMUSG00000015134	0.0935637274861422	-0.06920235118565782	-0.4974623655677883	-0.17971613453523805	0.026053464172819618	0.10410016532368527	0.08503519856480944	-0.09809636367093544
ENSMUSG00000026602	0.01284311743387545	-0.1243580372647095	-0.5512832422559201	-0.15217817799537406	-0.05241099495765122	0.12278027378745252	0.09412391705334933	-0.044856853061848986
ENSMUSG00000058835	0.049999111384884824	0.02338279764018246	0.6224394410004574	0.017687588709928488	0.026552954047049087	0.07467071774716627	-0.022716332429632002	0.0620350539276196
ENSMUSG00000066263	-0.019398231396260145	0.023101971481536154	-0.4398742120885527	-0.04546179667680625	-0.07175931584034137	-0.037985698192525216	0.014820636064889148	-0.043201382782108166
ENSMUSG00000072294	0.01940129827862804	0.01978587222899243	0.2217368840482497	0.3315818951159275	-0.08935206976882547	0.1259143915789147	-0.05996775936953248	0.016850617831714154
ENSMUSG00000017485	-0.01701572664617601	0.05921274407396924	0.13312896713563707	-0.05055950820169758	-0.054441886738229486	0.10114224674814876	0.012681949497808966	0.14879788254773674
