	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	-0.0184932928532362	0.10974300652742386	-0.1509578675031662	0.04237475246191025	-0.4907911419868469	-0.17569932341575623	-0.1172136664390564	-0.02910882793366909
ENSMUSG00000024050	-0.12122191488742828	0.03681335970759392	0.3090348243713379	-0.046211618930101395	0.27484118938446045	0.22331257164478302	0.11144930124282837	0.1094343364238739
ENSMUSG00000085524	0.027091648429632187	0.05224970728158951	0.764618992805481	0.158910870552063	0.279302716255188	-0.09580007195472717	0.033361077308654785	0.02411072514951229
ENSMUSG00000116009	0.12294147163629532	0.055511441081762314	0.25937414169311523	0.14308729767799377	0.17681552469730377	-0.05759848654270172	0.17337076365947723	-0.009145352989435196
ENSMUSG00000090129	-0.03233852609992027	0.08236055076122284	-0.20210151374340057	-0.009491484612226486	-0.2510591447353363	-0.17661863565444946	-0.0070272935554385185	-0.02739725261926651
ENSMUSG00000116339	-0.08475995063781738	0.03480265289545059	0.3676360249519348	0.06614168733358383	0.10824062675237656	0.18108013272285461	0.05337301269173622	-0.005967342760413885
ENSMUSG00000108869	-0.002931240014731884	0.11261913180351257	-0.20083202421665192	-0.02963162213563919	-0.38975146412849426	-0.10864894837141037	-0.07327911257743835	-0.05392548441886902
ENSMUSG00000053773	-0.01859838142991066	0.06276442855596542	0.22726956009864807	-0.008792531676590443	-0.2772689163684845	-0.2724389135837555	-0.029398852959275246	-0.03948873654007912
ENSMUSG00000112640	0.028679363429546356	0.11598685383796692	0.6595308780670166	0.31805741786956787	-0.907458484172821	0.05359400808811188	-0.28631511330604553	-0.028770141303539276
ENSMUSG00000034039	-0.057049404829740524	0.057070616632699966	-0.2558622658252716	-0.027898864820599556	-0.2861569821834564	-0.14257584512233734	-0.010360518470406532	-0.029479937627911568
ENSMUSG00000113012	-0.024358568713068962	0.04757159575819969	-0.5872968435287476	-0.02498924545943737	0.9919610023498535	-0.12635289132595062	0.2997386157512665	-0.03459728881716728
ENSMUSG00000029530	-0.1884060502052307	0.044168777763843536	-0.31458017230033875	-0.30283480882644653	-0.10164517164230347	0.10635274648666382	0.11923238635063171	0.04532255977392197
ENSMUSG00000097917	-0.08544864505529404	-0.10759612172842026	-0.4931851625442505	-0.1331057846546173	0.1008690893650055	0.29262015223503113	0.13956916332244873	0.05370277911424637
ENSMUSG00000097393	0.00807905662804842	0.10110752284526825	0.004800055641680956	0.012261521071195602	-0.21156616508960724	0.1397019624710083	-0.04855477809906006	-0.003096293192356825
ENSMUSG00000104470	-0.04014222323894501	0.09504025429487228	-0.36624541878700256	-0.023151881992816925	-0.3142045736312866	-0.10045713186264038	-0.05193309485912323	-0.012668979354202747
ENSMUSG00000107742	0.3358014225959778	-0.24365614354610443	-0.9856744408607483	-0.16196051239967346	0.4668068587779999	0.3369635343551636	0.25379282236099243	0.05689127370715141
ENSMUSG00000034573	-0.18011775612831116	0.08628658205270767	0.12214748561382294	-0.21627666056156158	-0.05715096369385719	0.054883480072021484	0.12754665315151215	0.12819860875606537
ENSMUSG00000028049	-0.1217162236571312	0.020746437832713127	0.8928585052490234	0.1538742482662201	0.5278913378715515	0.1766654998064041	0.143567755818367	-0.004463468678295612
ENSMUSG00000104937	-0.0010213436326012015	0.1001916378736496	-0.3648329973220825	0.0412479005753994	-0.09746059775352478	-0.09399214386940002	-0.03683054819703102	-0.03100109100341797
ENSMUSG00000047347	0.03405912220478058	0.11550156772136688	0.1838006228208542	-0.05745898187160492	0.01873069629073143	-0.09200744330883026	0.050262678414583206	0.0003730317985173315
