	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	0.02358419718077286	0.02264852334127548	-0.13017965754554914	0.1043268679741153	-0.09307947003774272	-0.7016658912657714	0.007441346825600936	-0.23862773493953923
ENSMUSG00000024050	-0.06568125545004383	0.0046184799299844315	0.05249647685809862	-0.08894318095490789	0.11769767172269809	0.7593178104420449	0.024845143561648943	0.26222437764776
ENSMUSG00000085524	-0.023103726638142308	0.05658611843823478	0.26711764570518404	0.4603310093682831	0.05814478648154771	-0.4609948568314693	0.031643641859957085	-0.05980361466110192
ENSMUSG00000116009	-0.0010644074846307139	0.012958499021181064	0.05473556868980608	0.4362158551011759	0.01643241084785353	-0.2626948196248503	0.025175101630122727	0.017420627115321254
ENSMUSG00000090129	-0.039912885419769506	0.06855326962702875	-0.14663171948364315	0.06440031340778644	-0.011937668566903148	-0.6142426291633798	0.025588713534061766	-0.09542591406217536
ENSMUSG00000116339	-0.09264104937040003	0.011764101108427294	0.07147822475249102	0.2752717116706155	0.07677553249487626	0.7128310763583366	0.03389111865040307	0.05518592248004565
ENSMUSG00000108869	0.003157096696014494	0.07368512321012013	-0.15899718352958037	0.015093917813468067	-0.05198348264017008	-0.4911890126130835	0.01183585654556671	-0.19640593830097988
ENSMUSG00000053773	-0.066471041686734	0.07057437957213686	-0.03075441756861081	0.06289924281329203	-0.02727319964076546	-0.7793739918275284	0.02231443447159598	-0.06259430885544247
ENSMUSG00000112640	0.04670130612161985	0.10997812086627269	0.2643914781223942	0.6024323216191374	-0.15121594741891886	-0.015711042647196583	-0.041053167213742685	-0.10182134787734129
ENSMUSG00000034039	-0.06919799936505332	0.0594527300272427	-0.1783817036255322	0.03523053240413849	-0.032445787099169114	-0.4910452889341825	0.020232352063566106	-0.09220809535935685
