	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	-0.007439452223479748	0.15995505452156067	-0.08497051149606705	0.28078755736351013	-0.054178930819034576	-0.8392521739006042	0.027944929897785187	-0.3216110169887543
ENSMUSG00000024050	-0.09097392112016678	0.0380849689245224	-0.00923054851591587	-0.08720068633556366	0.1192769929766655	0.8077773451805115	0.11252310872077942	0.3431053161621094
ENSMUSG00000085524	-0.022276973351836205	0.17003579437732697	0.279878169298172	0.6509808897972107	0.10715952515602112	-0.6112759113311768	0.0680563747882843	-0.1458498239517212
ENSMUSG00000116009	0.026272153481841087	0.12038625776767731	0.013065136969089508	0.5954094529151917	0.06915369629859924	-0.3791986405849457	0.06311248987913132	-0.04223455861210823
ENSMUSG00000090129	-0.03594003990292549	0.2108622044324875	-0.1168876588344574	0.2596425414085388	0.0178765207529068	-0.7777118682861328	0.04438279569149017	-0.18504592776298523
ENSMUSG00000116339	-0.07329805195331573	0.06112706661224365	-0.004214148502796888	0.3674253225326538	0.08140649646520615	0.7109817266464233	0.09153396636247635	0.07638125866651535
ENSMUSG00000108869	-0.0011127794859930873	0.22998195886611938	-0.11321016401052475	0.19395051896572113	-0.012205719016492367	-0.6666742563247681	0.025983009487390518	-0.2847293019294739
ENSMUSG00000053773	-0.05642354115843773	0.18676096200942993	0.01829247549176216	0.2439011037349701	0.007371420972049236	-0.9270887970924377	0.04652642831206322	-0.16323207318782806
ENSMUSG00000112640	0.12530849874019623	0.281825453042984	0.22107422351837158	0.8017482161521912	-0.1681952327489853	-0.15858718752861023	-0.0413176529109478	-0.18136762082576752
ENSMUSG00000034039	-0.06474556773900986	0.18668296933174133	-0.13275593519210815	0.21181826293468475	0.005966812372207642	-0.6529333591461182	0.0397021621465683	-0.17531150579452515
ENSMUSG00000113012	-0.017027927562594414	0.14149805903434753	-0.13905934989452362	0.18644480407238007	0.2228570431470871	-0.5690758228302002	0.0370822511613369	-0.07905475795269012
ENSMUSG00000029530	-0.13968424499034882	-0.2545523941516876	-0.14351671934127808	-1.2119724750518799	0.04635149985551834	1.4363758563995361	0.15864431858062744	0.2312854379415512
ENSMUSG00000097917	-0.0741281509399414	-0.30014342069625854	-0.14821264147758484	-0.7585381865501404	0.10251197218894958	1.3377691507339478	0.08834947645664215	0.3253997564315796
ENSMUSG00000097393	0.0496387854218483	0.21761292219161987	-0.06241483986377716	0.2836887538433075	0.0544801726937294	0.45859089493751526	0.07196568697690964	0.05999179929494858
ENSMUSG00000104470	-0.04215697944164276	0.19046872854232788	-0.10636506229639053	0.046497248113155365	0.005240425933152437	-0.6001320481300354	0.04114870727062225	-0.22295229136943817
ENSMUSG00000107742	0.09076656401157379	-0.4381701350212097	-0.05070136860013008	-0.4515412449836731	0.11068623512983322	1.5455372333526611	-0.05921837314963341	0.3193734288215637
ENSMUSG00000034573	-0.10245360434055328	-0.15390947461128235	0.023864803835749626	-0.8156141042709351	0.07244520634412766	1.3626536130905151	0.17904356122016907	0.3008725643157959
ENSMUSG00000028049	-0.11297474056482315	-0.012544610537588596	0.1924731284379959	0.5462191104888916	0.10263391584157944	0.6762239933013916	0.03615780547261238	0.0908685028553009
ENSMUSG00000104937	-0.013674983754754066	0.22475653886795044	-0.1572221964597702	0.36820974946022034	0.080362468957901	-0.6139018535614014	0.045735497027635574	-0.23005075752735138
ENSMUSG00000047347	0.00430884025990963	0.2592887580394745	0.013352811336517334	0.052478861063718796	0.09750021994113922	-0.6720279455184937	0.0708351731300354	-0.0589233934879303
ENSMUSG00000034902	-0.1315947026014328	-0.021168580278754234	0.08585292100906372	0.03259836509823799	0.07942968606948853	0.7586821913719177	0.05833069980144501	0.245249941945076
ENSMUSG00000096918	-0.06853370368480682	0.14730173349380493	-0.12236497551202774	0.18633092939853668	0.1568494737148285	-0.47160106897354126	0.07653883099555969	-0.06591616570949554
ENSMUSG00000082754	-0.185152068734169	0.14455296099185944	0.030080489814281464	0.28692638874053955	-0.07690005004405975	-0.9769730567932129	-0.014906346797943115	-0.39075908064842224
ENSMUSG00000031024	-0.01952851563692093	-0.0023039961233735085	-0.003346951911225915	0.0042806752026081085	0.06510554999113083	1.0011502504348755	0.1374741494655609	0.19696229696273804
ENSMUSG00000052563	-0.10772883147001266	-0.1029210314154625	0.08071684837341309	0.14738130569458008	0.08067885041236877	0.8954529762268066	0.07755234092473984	0.22963151335716248
ENSMUSG00000082988	0.007217507343739271	0.29555371403694153	-0.07523129880428314	0.2195712924003601	0.010096357204020023	-0.38903287053108215	0.08165918290615082	-0.11516261100769043
ENSMUSG00000106802	0.06054671108722687	0.20873881876468658	0.0011897677322849631	0.34241268038749695	-0.05638492479920387	-0.7859289050102234	0.029096558690071106	-0.25724804401397705
ENSMUSG00000091049	-0.0680045336484909	0.1769242137670517	-0.09750988334417343	-0.08903622627258301	-0.026307934895157814	-0.6072497367858887	0.07149400562047958	-0.021481214091181755
