	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	-0.0008639993611723185	0.17633743584156036	-0.10213590413331985	0.2655453383922577	-0.03988197445869446	-0.8298977613449097	0.029936866834759712	-0.32421475648880005
ENSMUSG00000024050	-0.10116025060415268	0.045539628714323044	-0.032713621854782104	-0.1344662457704544	0.1473894566297531	0.8525246381759644	0.11366285383701324	0.35617581009864807
ENSMUSG00000085524	-0.003509191330522299	0.20204195380210876	0.23340649902820587	0.5853356719017029	0.1284901350736618	-0.5732548832893372	0.07555093616247177	-0.13776344060897827
ENSMUSG00000116009	0.0472903773188591	0.15463565289974213	-0.02611483633518219	0.5223256945610046	0.07907616347074509	-0.3339417576789856	0.07007381319999695	-0.03378947451710701
ENSMUSG00000090129	-0.03583197668194771	0.23478910326957703	-0.14069391787052155	0.22342655062675476	0.03673788160085678	-0.7572876811027527	0.04974529147148132	-0.18011705577373505
ENSMUSG00000116339	-0.07688063383102417	0.07534544169902802	-0.03143571317195892	0.3019474446773529	0.10439927130937576	0.7590239644050598	0.09798124432563782	0.09455210715532303
ENSMUSG00000108869	-0.002589442068710923	0.24472296237945557	-0.1349629908800125	0.16599524021148682	0.003689394798129797	-0.6449050903320312	0.03174172714352608	-0.2781188189983368
ENSMUSG00000053773	-0.047391511499881744	0.22116921842098236	-0.01626436784863472	0.20876489579677582	0.0271598007529974	-0.9154723882675171	0.051734138280153275	-0.16000188887119293
ENSMUSG00000112640	0.12063010036945343	0.2815746068954468	0.17806510627269745	0.7313578724861145	-0.14810286462306976	-0.09157394617795944	-0.022863898426294327	-0.15500864386558533
ENSMUSG00000034039	-0.062234267592430115	0.21420422196388245	-0.15587230026721954	0.1730279177427292	0.01955828256905079	-0.6324503421783447	0.04573451355099678	-0.16995464265346527
ENSMUSG00000113012	-0.01086511742323637	0.16897612810134888	-0.1590632051229477	0.1357974112033844	0.24340446293354034	-0.5433769822120667	0.03833874315023422	-0.07595774531364441
ENSMUSG00000029530	-0.12493281066417694	-0.23186233639717102	-0.17958073318004608	-1.2497737407684326	0.08523501455783844	1.4384655952453613	0.1502104103565216	0.2487604022026062
ENSMUSG00000097917	-0.07148191332817078	-0.28539833426475525	-0.1691710352897644	-0.801994800567627	0.13181599974632263	1.3578736782073975	0.08684578537940979	0.33810845017433167
ENSMUSG00000097393	0.044706325978040695	0.21934033930301666	-0.09639237076044083	0.22041846811771393	0.07214546948671341	0.5168203711509705	0.08601938933134079	0.0840858444571495
ENSMUSG00000104470	-0.040605273097753525	0.20132118463516235	-0.11903940141201019	0.03596815466880798	0.015216239728033543	-0.5899983048439026	0.042555805295705795	-0.22008003294467926
ENSMUSG00000107742	0.09180554747581482	-0.42599567770957947	-0.05092070251703262	-0.5071958303451538	0.12970727682113647	1.5691996812820435	-0.05282645672559738	0.3265478014945984
ENSMUSG00000034573	-0.09463562071323395	-0.1285865604877472	-0.013367966748774052	-0.8584274053573608	0.11773719638586044	1.3701549768447876	0.1709904819726944	0.3166270852088928
ENSMUSG00000028049	-0.11079314351081848	0.007368622347712517	0.16276052594184875	0.4838080108165741	0.1279882937669754	0.7213271260261536	0.03735543042421341	0.10283184796571732
ENSMUSG00000104937	-0.006833044812083244	0.23920179903507233	-0.18363092839717865	0.32554686069488525	0.09517383575439453	-0.5827574133872986	0.052082814276218414	-0.22097980976104736
ENSMUSG00000047347	0.0025786675978451967	0.2671150863170624	-0.022664867341518402	0.02584431692957878	0.11755169928073883	-0.6407611966133118	0.07561276108026505	-0.04487378150224686
ENSMUSG00000034902	-0.13008645176887512	-0.0036812317557632923	0.059708744287490845	-0.01782972365617752	0.1022009402513504	0.7973942756652832	0.05796559154987335	0.25529804825782776
ENSMUSG00000096918	-0.06525027006864548	0.1724122166633606	-0.14119908213615417	0.1356675922870636	0.17434269189834595	-0.4429701566696167	0.08000187575817108	-0.06081019714474678
ENSMUSG00000082754	-0.17521697282791138	0.14431270956993103	0.011260240338742733	0.28409790992736816	-0.06570619344711304	-0.9654977321624756	-0.013252684846520424	-0.38953840732574463
ENSMUSG00000031024	-0.03168020769953728	0.012325835414230824	-0.024234944954514503	-0.04725940525531769	0.1012873649597168	1.030728816986084	0.1406080722808838	0.21160773932933807
ENSMUSG00000052563	-0.11599292606115341	-0.08618888258934021	0.06270912289619446	0.10064653307199478	0.11618930101394653	0.9259427785873413	0.07582800090312958	0.23521952331066132
ENSMUSG00000082988	0.004124399274587631	0.30149519443511963	-0.10678523778915405	0.17111922800540924	0.021537497639656067	-0.338993638753891	0.09139470010995865	-0.09563145041465759
ENSMUSG00000106802	0.06093207001686096	0.22693580389022827	-0.03382430225610733	0.3075932264328003	-0.03758935630321503	-0.7553865313529968	0.03475995361804962	-0.2474088817834854
ENSMUSG00000091049	-0.07203537970781326	0.19355978071689606	-0.11387621611356735	-0.09848783165216446	-0.011936868540942669	-0.6006078720092773	0.07230580598115921	-0.01650303602218628
ENSMUSG00000017858	0.09149301797151566	0.18629054725170135	0.14691075682640076	0.281523734331131	0.09817226231098175	0.565842866897583	0.11382438987493515	0.17913523316383362
ENSMUSG00000096141	-0.001105996547266841	0.16698774695396423	-0.13514037430286407	-0.07670977711677551	0.04076901450753212	0.6031663417816162	0.0722307413816452	0.11391603201627731
ENSMUSG00000071771	0.04623997211456299	0.18137384951114655	0.10028403252363205	0.3210594952106476	-0.19725553691387177	-1.1697331666946411	-0.009767916053533554	-0.29870152473449707
ENSMUSG00000037849	-0.016910521313548088	0.17668825387954712	-0.038766805082559586	0.2398071140050888	-0.039741918444633484	-0.8675645589828491	0.004170539788901806	-0.3412522077560425
ENSMUSG00000031935	0.09158849716186523	0.14675968885421753	0.3388967514038086	0.09567561745643616	0.013198424130678177	0.4203821122646332	0.1449441909790039	0.1963043361902237
ENSMUSG00000038132	0.057459644973278046	-0.3659631609916687	-0.2195771336555481	-0.9749423861503601	0.17334431409835815	1.5532032251358032	-0.050068192183971405	0.23038235306739807
ENSMUSG00000002032	-0.06077750027179718	-0.38006505370140076	-0.14498886466026306	-0.7698370218276978	0.12184527516365051	1.3551400899887085	0.02265561744570732	0.32294604182243347
ENSMUSG00000041068	0.05979510769248009	0.25415706634521484	0.03870301693677902	0.3792893588542938	-0.12271668761968613	-1.026054859161377	0.032331131398677826	-0.3421306610107422
ENSMUSG00000026409	-0.021816108375787735	0.25234946608543396	0.019860683009028435	0.10942935198545456	0.15098972618579865	-0.700431764125824	0.07212334871292114	-0.1287546008825302
ENSMUSG00000109764	-0.01807689480483532	0.20117348432540894	-0.11484833806753159	0.133612722158432	0.014274314977228642	-0.7971382737159729	0.04651197791099548	-0.24049228429794312
ENSMUSG00000035086	-0.021951420232653618	0.13627910614013672	0.3636060059070587	0.09627502411603928	0.0765407532453537	0.09738475829362869	0.12170710414648056	0.06330408900976181
ENSMUSG00000112246	-0.09530690312385559	0.08898792415857315	-0.15119272470474243	-0.19655604660511017	-0.013681446202099323	0.1409325748682022	0.09644429385662079	0.24607694149017334
ENSMUSG00000112458	-0.04458238556981087	0.24730940163135529	-0.08892860263586044	0.4309447407722473	0.09187378734350204	-0.8811901807785034	0.05635299161076546	-0.15401625633239746
ENSMUSG00000072595	0.0108391884714365	0.2231188714504242	-0.1254836916923523	0.3320562243461609	-0.012043510563671589	-0.8360445499420166	0.011677189730107784	-0.30966928601264954
ENSMUSG00000108456	0.007374131586402655	0.22303320467472076	-0.10242364555597305	0.3794678747653961	0.1375063806772232	-0.8799745440483093	0.06265060603618622	-0.2337835729122162
ENSMUSG00000015134	0.0009487327770330012	-0.5003002285957336	-0.19940565526485443	-1.0879806280136108	0.11190108954906464	1.643135666847229	0.03209554776549339	0.1761685311794281
ENSMUSG00000026602	-0.07837230712175369	-0.3314317464828491	-0.13217896223068237	-0.8535171747207642	0.03571489825844765	0.5968101024627686	0.07373035699129105	0.28897392749786377
ENSMUSG00000058835	0.11240767687559128	0.1813916563987732	0.09732760488986969	0.20154090225696564	0.07303321361541748	0.28068020939826965	0.11976518481969833	0.26393821835517883
ENSMUSG00000066263	-0.05677810683846474	0.20088624954223633	-0.13573232293128967	6.913133256603032e-05	0.07057572901248932	-0.5542871356010437	0.05290864408016205	-0.26712727546691895
ENSMUSG00000072294	0.11280835419893265	0.15617865324020386	-0.06574183702468872	0.6025336384773254	0.010865088552236557	0.7014637589454651	0.06771919876337051	0.1998492032289505
ENSMUSG00000017485	-0.026022959500551224	0.031047455966472626	-0.005533326882869005	-0.38939881324768066	0.08445180952548981	1.0869098901748657	0.18276235461235046	0.37821894884109497
ENSMUSG00000017969	-0.11868207156658173	-0.0731794610619545	-0.057653192430734634	-0.4819893538951874	0.07458771020174026	0.2600533366203308	0.08275672793388367	0.3786529302597046
ENSMUSG00000115834	-0.06187373772263527	0.15638838708400726	-0.017680304124951363	0.20086614787578583	0.12071962654590607	-0.0401775985956192	0.0768876001238823	-0.11629237979650497
ENSMUSG00000023122	-0.020205149427056313	0.21873721480369568	-0.11758165061473846	0.0198986679315567	-0.031902559101581573	-0.6921003460884094	0.044894199818372726	-0.16676372289657593
ENSMUSG00000105987	0.24929223954677582	0.15038132667541504	0.569786548614502	0.4961181581020355	-0.44327133893966675	0.3543601334095001	0.06593020260334015	-0.015803663060069084
ENSMUSG00000109042	0.02638668566942215	0.23861272633075714	-0.09178780764341354	0.27360737323760986	0.024791019037365913	-0.9179854393005371	0.029101090505719185	-0.2023869752883911
ENSMUSG00000030203	-0.057100068777799606	0.009038402698934078	-0.010526717640459538	-0.4177304208278656	0.13362668454647064	1.091737151145935	0.16758455336093903	0.3926245868206024
ENSMUSG00000055197	0.8328990340232849	-0.6404291391372681	-0.7723265290260315	-1.490059494972229	0.06391335278749466	1.8859164714813232	-0.5101305842399597	0.4201037883758545
ENSMUSG00000022997	0.6160017848014832	-0.5278739929199219	-0.7644180059432983	-1.4414325952529907	0.42119187116622925	1.5626912117004395	-0.5961384773254395	0.42263370752334595
ENSMUSG00000036557	-0.09656795859336853	0.041173305362463	-0.08597977459430695	-0.13415414094924927	0.05764080956578255	0.4595777094364166	0.1048755869269371	0.18028764426708221
ENSMUSG00000027628	0.06720878183841705	0.24941934645175934	0.3246717154979706	0.21269561350345612	0.08282177895307541	0.22992318868637085	0.11087779700756073	0.08278664946556091
ENSMUSG00000024727	-0.11955663561820984	-0.14579029381275177	-0.16588133573532104	-0.9424781799316406	-0.1710883527994156	0.6509053707122803	0.1593990921974182	0.3789743483066559
ENSMUSG00000048763	0.25734490156173706	-0.5002492070198059	-0.31657594442367554	-1.0280487537384033	0.4518277645111084	0.8643552660942078	-0.43040549755096436	0.40171748399734497
ENSMUSG00000037568	-0.0633101761341095	-0.14132478833198547	-0.12161629647016525	-0.6660218834877014	0.21636070311069489	1.4026031494140625	0.05592389032244682	0.27668267488479614
ENSMUSG00000030579	-0.0425596609711647	0.21468116343021393	-0.012752527371048927	0.1629299521446228	0.02627839520573616	-0.8803988695144653	0.059178635478019714	-0.1157219186425209
ENSMUSG00000052656	-0.08666060119867325	0.020560024306178093	-0.14724664390087128	-0.2693639099597931	0.13927359879016876	1.1130558252334595	0.11625172942876816	0.4129226803779602
ENSMUSG00000044860	0.006875861901789904	0.2293488085269928	-0.06847959011793137	0.44146373867988586	0.060060370713472366	-0.3407617509365082	0.06193753331899643	-0.16263367235660553
ENSMUSG00000044081	0.0772615596652031	0.21322964131832123	-0.01580153964459896	0.25560763478279114	0.08767242729663849	0.39125633239746094	0.08970470726490021	-0.015577936545014381
ENSMUSG00000029054	-0.0573217049241066	-0.29751691222190857	-0.13196225464344025	-0.8221027851104736	0.05663195624947548	0.733249306678772	0.06567879766225815	0.3222246468067169
ENSMUSG00000025051	-0.2974702715873718	0.14456413686275482	0.10764727741479874	0.37431514263153076	-0.11181678622961044	-1.0701302289962769	0.009991825558245182	-0.4366954565048218
ENSMUSG00000115557	-0.03530392795801163	0.22781461477279663	-0.03150136396288872	0.4143247902393341	0.12191949039697647	-0.7107901573181152	0.061581388115882874	-0.12329962849617004
ENSMUSG00000112732	-0.03212829306721687	0.19772928953170776	-0.13630670309066772	0.14346005022525787	0.04022707790136337	-0.722385585308075	0.04122323915362358	-0.2662718594074249
ENSMUSG00000104435	-0.02011703886091709	0.20102451741695404	0.11938462406396866	0.5176162719726562	0.13379718363285065	-0.5295916795730591	0.05203311890363693	-0.13945110142230988
ENSMUSG00000099685	-0.13515295088291168	0.08194591850042343	0.1723175048828125	0.7804595828056335	-0.30524712800979614	-1.5976301431655884	-0.09186003357172012	-0.4828958213329315
ENSMUSG00000090942	-0.029746267944574356	0.1792653650045395	-0.12061981111764908	0.07967497408390045	-0.005942766088992357	-0.679398775100708	0.038723185658454895	-0.2510494291782379
ENSMUSG00000019235	-0.06286703795194626	-0.2884407341480255	-0.11983711272478104	-0.6574886441230774	0.18136698007583618	1.2934706211090088	0.006962418090552092	0.357334703207016
ENSMUSG00000022999	-0.10826621949672699	0.17011968791484833	0.10199202597141266	0.2868196964263916	0.08556392788887024	0.6427971124649048	0.08660199493169785	0.14599181711673737
ENSMUSG00000118502	0.08057121187448502	-0.037542685866355896	0.07881662249565125	-0.18577446043491364	0.05472054332494736	-0.18060936033725739	-0.026898520067334175	0.25914466381073
ENSMUSG00000052783	-0.11290931701660156	-0.053716469556093216	-0.2219415158033371	-0.5246598720550537	0.0956275686621666	1.2197598218917847	0.13866983354091644	0.3891702890396118
ENSMUSG00000117574	-0.048787862062454224	0.18576595187187195	-0.09830957651138306	0.1774458885192871	0.012713695876300335	-0.7851412296295166	-0.008786792866885662	-0.2669210135936737
ENSMUSG00000059668	-0.08280498534440994	-0.012837680988013744	-0.1363617181777954	-0.2672845125198364	0.005092949140816927	-0.027882203459739685	0.08363591879606247	0.2866593897342682
ENSMUSG00000021638	-0.06980106234550476	-0.280150830745697	-0.21535050868988037	-1.1669865846633911	0.28242117166519165	1.602406620979309	-0.008458936586976051	0.2088043987751007
ENSMUSG00000046922	0.2765549421310425	-0.33670660853385925	-0.31047287583351135	-1.0634297132492065	0.003047613427042961	1.0811954736709595	-0.31682315468788147	0.4963550269603729
ENSMUSG00000114288	-0.03829706832766533	0.1779284030199051	-0.11336193978786469	0.13674244284629822	-0.039735935628414154	-0.32855361700057983	0.04877191036939621	-0.052027225494384766
ENSMUSG00000100302	0.004911983385682106	0.23687975108623505	-0.07635863125324249	0.13367323577404022	0.03543242812156677	-0.8282803893089294	0.050102319568395615	-0.2244521528482437
ENSMUSG00000106350	-0.01827492192387581	0.2707807719707489	-0.1441202014684677	0.9800478219985962	0.05836127698421478	-0.8391891717910767	0.055496130138635635	-0.17403915524482727
ENSMUSG00000095044	0.042180754244327545	0.18157945573329926	0.037469491362571716	0.12829084694385529	-0.04288496822118759	-0.855898380279541	0.028809286653995514	-0.3421069085597992
ENSMUSG00000101270	-0.23475828766822815	0.14539779722690582	-0.005026512313634157	0.4426327645778656	-0.09109782427549362	-1.2082302570343018	-0.04955308139324188	-0.463439404964447
