	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000053950	-0.008564772744726465	0.0815523890849103	0.19867458740076732	0.29526962741235496	0.06907719003777726	0.6573894326372413	0.027281266259862085	0.023643128818262735
ENSMUSG00000091556	-0.05258668326641782	0.027823229070366193	-0.12383580166897445	0.489502992675885	-0.2031519107834486	-0.9807277729539887	-0.01858941498063099	-0.10453403847199556
ENSMUSG00000025102	0.03995954284491745	0.05520863829556869	0.1834422221827221	0.3342074474688291	0.03869640321416747	0.7055415157084228	0.043763862488361026	0.048444475176490545
ENSMUSG00000025876	0.049237205504264886	-0.04255057281544786	-0.15291101109723967	-0.48000372486135995	0.08635964169877428	0.873285459532365	-0.030243621420621432	0.08175898705100865
ENSMUSG00000005950	-0.04403283130439247	-0.0376092794165483	-0.09359232767222109	-0.5306597028023784	0.09359316980283308	0.5806080870542376	0.0036932495136820114	0.12459327264662404
ENSMUSG00000045210	0.07353255774926636	0.029480321096343687	0.1925052937540126	0.2559363941949414	0.04228378254903353	0.6225540333448277	0.07129691772588558	0.05389602302093408
ENSMUSG00000021639	0.072141320206148	0.12690483997471996	0.2915950135851745	0.21608296082688735	0.05230990594474341	0.462207245575103	0.06080256806321164	0.038016849948845834
ENSMUSG00000085402	-0.011656614891009148	-0.039014509965610546	-0.11060568195171072	-0.31473839092052786	0.009646610519991685	0.14626173811900248	0.0016308109382277638	0.12794153819392834
ENSMUSG00000035329	0.04392671496742488	0.026656468191114464	0.0854169069137632	0.11013982847590731	0.09884467909447008	0.8444566168232995	0.05238423391445914	0.14470303081798191
ENSMUSG00000036557	-0.03686450468030021	-0.02733420727207496	-0.027010199987541585	-0.09221488270954328	0.054698142931101756	0.4248807009689959	0.02497383718294129	0.03624146503849001
ENSMUSG00000064030	0.07888908992125444	0.1267916774609018	0.31491618137754684	0.42602796647915964	0.03851633926928376	0.4434022274318392	0.044557220571134946	-0.002458486645316173
ENSMUSG00000074673	-0.04462769066522014	0.0651375746994745	-0.07298543035566192	-0.24752236309245096	0.04949028102928423	0.5077560433106295	0.012967921941240742	-0.019352752379303898
ENSMUSG00000039067	-0.006810204634634179	0.17952341944567576	0.37172427556818416	0.5710407576108991	0.0942452702662974	0.34722378747176535	0.03414990878359926	0.013799840922833288
ENSMUSG00000028965	0.006046558376400364	0.041825532283837674	-0.06271037254134301	0.1829042110050068	0.07264287940118136	0.812307874329937	0.026805548276206535	0.10307459252856331
ENSMUSG00000066839	-0.04423007778647323	0.03903870944684188	0.2619200096525934	0.06110687083902511	0.06190214793536403	0.28460957887197896	0.010791119085245425	0.06298059932487376
ENSMUSG00000097006	0.08953976281587919	-0.1710917878206601	-0.29900523838134957	-0.7483206963775176	0.10121028902971635	0.6716719944151139	-0.04632695034418118	0.10217799137416088
