	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000073147	0.028264258532622728	0.10727196697137385	-0.012422764109370682	0.478874629863068	0.08586503347152237	0.7985488326266932	0.026019258432643255	0.0220871671331614
ENSMUSG00000026455	0.047477109109461575	0.09281492853427023	0.3605017602933263	0.010471846340078628	0.07883852306393757	0.583501295590109	0.10299237876422142	0.09244167816084103
ENSMUSG00000024479	-0.04005589047181794	-0.0322411806877426	-0.17523103543415866	-0.610231271567058	-0.09320393767739006	0.5310774806154898	0.039530188008835204	0.1643563850891691
ENSMUSG00000032458	0.047109988132329556	0.09646731144239311	0.32424650333960015	0.23746121505391785	-0.023172951428413007	0.6390871238526545	0.086517305754491	0.06919644838911024
ENSMUSG00000023939	-0.012474788607596566	0.001192039569130949	-0.011676859745369127	0.1205710544360045	0.07556798883386234	0.8535900873613302	-0.003584172426157498	0.18152059571641854
ENSMUSG00000033770	-0.008036718726751652	-0.011375739036312942	-0.05154378946759347	0.009579726066606651	0.04912575148468932	-0.15690538082251027	-0.0012719273435193048	-0.014770743558775784
ENSMUSG00000030638	0.004789009277218221	-0.0802169397567403	0.0903818510684297	0.0047607147104177525	0.04256189393685028	0.03971318717948244	0.018239465856666876	0.0304943709217436
ENSMUSG00000097523	-0.047190156447205873	0.047597370622055934	0.09428567931037313	0.08403352332445918	0.050875481730658326	0.7592761492000136	0.015399455217266222	0.1595987959417211
ENSMUSG00000028567	0.024074213677236653	0.09148084567256903	0.16789114920294587	0.3861765741936584	0.10479609485389249	0.7945359667054748	0.02845380164510841	0.01861370728428093
ENSMUSG00000091808	-0.013574616655179332	0.03788337576952472	-0.14087445811081645	-0.00968783165023654	0.015207417393425463	-0.6006737725381495	0.02083265123242849	-0.18219113130232603
ENSMUSG00000027353	0.019505545764435996	0.05520971053197822	0.2459126929476562	0.2621353168555028	0.011843070957697169	0.8140454785918336	0.09118888988014077	0.06250854171220063
ENSMUSG00000024981	-0.00619779160887057	0.0037262478164588435	-0.07862642570497493	-0.09112884852183925	0.0527807614538103	-0.250294088143346	0.011950302885010648	0.06075981678035792
ENSMUSG00000009350	0.03981580711234918	0.04491204002479208	-0.12108140255082357	-0.018107678740177238	0.069118114867732	-0.5254308458001885	0.013077103205822433	-0.05957745164715951
ENSMUSG00000042118	-0.02079560331169757	0.020865896933979198	-0.04926925303641058	-0.3689274346806737	0.08232385478778659	0.7670493778170826	0.026493183819496023	0.2309101997084976
ENSMUSG00000059706	-0.01902069508812149	0.12317977312580167	0.07446765931001989	0.4234682907133122	0.1011321491153337	0.6495947406087778	0.019400400935852043	0.06702238284363245
ENSMUSG00000015312	0.1513182803012764	-0.08561454951203425	-0.1957859954680316	-0.39677758579190203	0.12034621477687324	0.8700044185669218	-0.11492486360200149	0.174420434073597
ENSMUSG00000116339	-0.013432974071201897	0.05314307276317517	0.1265518783382244	0.3999515512168208	0.06021458621177252	0.7518469498820195	0.021614477482035	0.0049982025429406865
ENSMUSG00000029513	-0.04341243576625077	0.0525977514983554	0.20806656670507176	0.09522573710512786	0.07897042122273368	0.7994304343995932	0.0184869598055749	0.11982117039769946
ENSMUSG00000086544	-0.0033508726195058056	0.03721593775231408	0.031708885762834274	0.031356352714439185	0.09644090363053043	0.41334208716050075	0.022901877113456846	0.04771122362913697
ENSMUSG00000112129	-0.019526880271158526	-0.0006496571138476221	-0.051576970499705305	0.08703589121671809	0.054269319626441104	-0.3457725684371586	0.009866646014675748	0.0519248808093315
ENSMUSG00000040189	0.013768011217481606	0.08066358385487027	0.13210584162126388	0.43852511840440067	0.05152585691529177	0.821404598800083	0.023707961355233106	0.013211551463609795
ENSMUSG00000037126	0.20676920602068094	-0.0067353673452609135	-0.2501417583593658	-0.2532614338073472	0.06386453307298195	0.5474388079794673	-0.13780430120979353	0.1565112757796409
ENSMUSG00000044465	0.03964937786908455	0.1501600392581687	0.38818285260547003	0.49306307447508774	0.024438439518832768	0.4201779441878768	0.055789993150210646	0.0050337263967126745
ENSMUSG00000029530	-0.03457155948090076	-0.05338761705817368	-0.18436645964570095	-0.7324580126136945	0.03476796742382118	0.8065697595037169	0.04450885706048991	0.18197523322373205
ENSMUSG00000040687	0.02174747722196376	0.13829518354853332	-0.008129858321470756	0.31849533163798954	0.06505066832692787	0.6850929068254897	0.026567259245686207	0.08447227551244266
ENSMUSG00000000826	0.04660258129354458	0.0539280562138239	0.24766733144299777	0.28132706895994486	0.09629389327478748	0.7734594347483446	0.07934308549886607	0.08452024957524762
ENSMUSG00000020580	0.07652285094795193	0.07718113354323057	0.2075247819665362	0.1346088485872315	0.08890285741848467	0.7924830527295333	0.08800937494091028	0.08626655402087116
ENSMUSG00000097424	-0.01119437517262278	0.007867391667917088	-0.1238591816654142	0.08555378052561927	-0.010247403540604084	-0.3600028616725467	0.021396369569135588	-0.05504926462786638
ENSMUSG00000111056	-0.01368463667666739	-0.0032650907736491977	0.06866911925104173	-0.005894111099613448	-0.062012991935450505	-0.1383452109443689	0.009731215657042672	0.09177589137143513
ENSMUSG00000049658	0.04172235469102036	0.1290117453253645	0.42537160887830916	0.2829408285374354	0.007383501878731684	0.38706755524794323	0.07488818472918085	0.020680887193261048
ENSMUSG00000085492	0.016655127012251927	0.03917806436210022	0.0369608475376091	0.045819005033990834	0.07916945432243015	0.8977544153884602	0.07779399745101857	0.16717542771132554
ENSMUSG00000091450	-0.013812613044917401	0.0847594486836897	-0.137577225500302	-0.056715777497603474	-0.002622130036044317	-0.3233421522099109	0.042557201389328315	-0.22588403382105754
ENSMUSG00000075184	0.004636283093038531	0.042229709232040995	-0.13888453931124656	-0.0021033185920844386	-0.0015292584808581262	-0.44313453012686554	0.0186923996632426	-0.07731749674437327
ENSMUSG00000079108	0.012891533717577529	0.10612153727218226	0.4731800408405044	0.5328289247282165	-0.017226781975581876	0.2006996833969814	0.049900012729319446	0.01145270532101027
ENSMUSG00000044367	0.0515659788118098	-0.022835301474255436	-0.07264607899908566	0.03609768455966592	0.10480427678282597	0.7996539162306622	-0.029959034133727462	0.24939899172059085
ENSMUSG00000053979	0.006368334157585715	0.06650307683994469	-0.14436226481494877	0.17764421832045107	0.018200273235977095	-0.5041630066623579	0.041886642823166245	-0.05253713732714199
ENSMUSG00000019487	-0.02693323242718699	0.074705469471311	0.21796359325126105	0.2989688278092217	0.050589285729542355	0.7389259157218475	0.028497673614479677	0.021599928691388673
ENSMUSG00000073012	-0.09740397613241579	0.05764524998838689	-0.07749220242951976	0.2733227733217583	-0.16901552442520498	-0.8064894364819338	-0.007842264052617664	-0.12554563047332132
ENSMUSG00000009376	-0.025491283827484168	-0.09620441552345126	-0.09898738493024471	-0.6187369619773173	-0.03908894673757979	0.7674593967635831	0.04489513681910466	0.1607819109376578
ENSMUSG00000025787	0.003228401376067528	0.007975417106094288	-0.09937356848796688	-0.019953473258491224	0.019354374849873627	-0.5040346593658407	0.02035826534190294	0.010781937680388052
ENSMUSG00000029064	0.06839419496074177	0.058046502158634085	0.2975041892152928	0.2302809977682565	0.07794216686126804	0.7593949616364626	0.08443764078206836	0.050052465393153917
ENSMUSG00000027857	-0.01888873391170429	0.10541308908468636	-0.10898531371567514	0.0411461590332952	-0.061231809415923114	-0.36587100185918514	0.0306891075659483	-0.2205014437886088
ENSMUSG00000053007	0.0012870394603721382	-0.0877316450008688	-0.10125073926558668	-0.4966998267327394	-0.04462883685451483	0.9164997455049421	0.022192070477935238	0.13145232545580907
ENSMUSG00000018171	0.0768286725780724	0.0916692090748776	0.23890419658351414	0.10851781649674064	0.10637595032265901	0.669416565757014	0.07656739132157132	0.09166294201220028
ENSMUSG00000038507	0.01066689045975571	-0.008010934706830345	-0.01345101041718278	-0.3946429380336797	0.054197552142224076	0.9794076654210845	0.01872290719085348	0.1087309273115222
