	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000094918	-0.04781130090117845	0.028888559193585805	-0.12629573777178718	0.022013708104090517	-0.42835369876743895	-0.20355775162258527	-0.05226052237921976	0.023333658845824955
ENSMUSG00000093847	-0.06032007522579599	-0.021894255996435925	-0.3348286284270476	0.1761251677447165	-0.2072959322810805	-0.1576769569202692	-0.04574501978069228	0.009899472536043114
ENSMUSG00000030275	-0.037254032731704814	0.014218414592245867	0.6216559544751882	0.020579810063801624	0.32909234910679774	0.27352334192712857	0.08403974232704578	0.06561781725675765
ENSMUSG00000107458	-0.017380677446427788	-0.0004006721388837572	0.6503407552467252	0.11601606384953941	-0.149334979761105	-0.11361784441609675	-0.005895805465531469	-0.0033483647679531715
ENSMUSG00000021090	-0.0673999628582221	0.010669852278442703	-0.20456434251349753	0.023158469223354978	-0.048132167078750045	0.23718936966719673	0.011062674000589011	0.03285914731708804
ENSMUSG00000032109	0.06225866943303637	0.005580170871637945	-0.101462021367271	0.0025087301597523036	-0.05142116862698458	0.18960030950734758	0.08131976886117108	0.027942671240660796
ENSMUSG00000044667	-0.10504583272439569	-0.00969154809291857	-0.42916849123898176	-0.15108429262571527	-0.1982235717405274	0.1497762743292177	0.03465054208749539	0.027479111688132565
ENSMUSG00000046008	-0.019668208122727394	0.014191207298699738	-0.2366041845926832	0.0962182028119839	-0.2693383888275483	-0.1539726934855675	-0.022109614021506525	0.009546386247270026
ENSMUSG00000033960	-0.12417999915633118	-0.004011099495190657	0.2130297035557825	0.016820710957134517	-0.487163774531239	0.21955271180829317	-0.0332918855911495	0.042722539486047546
ENSMUSG00000055061	0.06544190601551755	0.001003784040066031	-0.4621255793065627	0.4907660971619147	0.214436300719899	0.03865472198049247	0.0449668196557468	0.0029787092655689257
ENSMUSG00000079700	-0.03554870619326331	0.024332696746205328	-0.4402350576534185	-0.041021693627096414	-0.11712322505461219	-0.05048186251338588	0.06585182529587265	0.00028147297219090564
ENSMUSG00000055421	-0.12412719581303204	0.004628204737829427	-0.3920975735042053	-0.15513820106046167	-0.1846644780666663	0.16751140019571592	0.01171909224441541	-0.014232990183310383
ENSMUSG00000000216	-0.03952419708210592	-0.013783345776028	-0.37234689498779644	-0.12016127697523708	-0.07884716942654839	0.18169383632859015	0.03411115405854486	0.018427979263755594
ENSMUSG00000037101	-0.03969808828769601	0.016899452296690598	-0.18737225016541612	0.004886888529758185	-0.1180558961965809	0.026834960138096775	0.015705049926015947	0.008718854874937928
ENSMUSG00000025328	-0.00574131952920912	0.036350870915196405	0.0957340343994604	-0.0026867520961656867	-0.1296765336666015	-0.15457528976315058	0.003121262290889198	0.005678125425765757
ENSMUSG00000113246	0.0010811496279659748	0.019652795686878173	0.3995418613700687	0.35559115972739946	-0.17803044022649764	-0.03789044635117794	-0.02959578439253424	-0.0009048693500517402
ENSMUSG00000112407	-0.08030470559736257	-0.029239790341034678	-0.3108328997804035	0.012454056257099312	-0.25370466841715306	-0.2195138377024185	-0.013106618100261714	0.018844507892520467
ENSMUSG00000105337	0.00038454798985705044	0.0247617624245452	0.027877089018251613	0.012420622059653396	-0.18343761830988764	-0.15225421666114666	-0.026021759520101894	0.019762836616532047
ENSMUSG00000003436	0.23567074479209882	-0.08415552224263852	-0.8197414360640063	-0.02222257770653024	0.9897529960140933	0.3237307669851621	0.030121851114641426	0.03649106485401197
ENSMUSG00000074165	-0.029117655244876264	0.023497215169027186	0.6081838752218963	0.15281491743647035	-0.05468053777362262	0.16293326141660924	-0.07181926118885583	-0.004486199356428447
ENSMUSG00000030365	0.0116652393894453	0.009857115109194377	-0.06281933383808272	-0.013581394478231751	0.18385632993922627	-0.24270112659931847	-0.01844147816601825	0.01427599742424458
ENSMUSG00000114720	-0.054037943010163354	0.02188042160266507	0.34119863142820706	-0.029646844239375372	-0.393406418610175	-0.16072683480311492	-0.12138000610575546	0.009305662165258712
ENSMUSG00000027803	-0.017854696929654374	0.010897622010465317	0.3670897570256784	0.021989007784577554	-0.21642477898369958	0.21001467945555174	-0.006953166095523297	0.03262627767482107
ENSMUSG00000084803	0.03325716106992331	0.018891419405580173	-0.17984428228768853	0.6542219153695831	0.32489753596019	0.03838848098452478	0.09098195502920134	0.019528336231763074
ENSMUSG00000028549	-0.09480965522161569	0.021629580480618773	0.4339827076204529	-0.0012535750555148946	-0.2557359702391425	0.284681266143785	-0.013104854347433761	0.03838048606329331
ENSMUSG00000039375	-0.06031006770281237	0.03171138306327391	-0.3760339381763645	-0.03106917695258744	-0.17664056362399216	-0.12828464755408017	-0.021526975577788626	0.021464553277369954
ENSMUSG00000044562	0.23886570571771049	-0.028980563471018937	-0.3683300733509116	-0.1713239256029088	1.0570824119693498	0.2810144599161244	0.13269096521227247	0.039130610416240025
ENSMUSG00000049630	0.24947865570133476	0.05050761284476591	-0.9678624048998504	-0.36989149524306414	0.8524279443872209	0.10845014532023925	0.05722485898498105	-0.06319966120330979
ENSMUSG00000025733	0.017588200573092242	0.0014188684707733047	1.0712220165285025	0.04716276858395888	0.10621189131790224	0.14792725183015137	0.030295823624744245	0.005301754873185668
ENSMUSG00000115304	-0.16754557000565132	0.02289324718415498	-0.1444698268182817	0.002248354532171756	-0.39817588008944377	-0.1915713748232	-0.08039223370173464	0.01714212311562733
ENSMUSG00000040138	-0.16417328395928052	-0.026783714228778472	0.1372516026194457	-0.017762561677071582	-0.7363921041961086	-0.17572465663231143	-0.184502136226573	0.011929460737883346
ENSMUSG00000041488	0.0048646850950068	-0.011898262946436132	-0.20194265451843552	-0.09317447776463399	0.027157490334918422	0.20646007591037363	0.047647211305125635	-0.02828044856515979
ENSMUSG00000104520	-0.016069249833006845	0.00842954677565493	0.13340245810624246	-0.044387819184287636	0.1060372035443184	-0.14490022996651533	0.050583613877513145	0.01490818231780265
ENSMUSG00000032872	-0.0056859446208233876	0.03415472233694215	0.45814029602708095	0.011406520098794967	-0.10127129469120909	0.0714974276491765	-0.007461849058433602	0.0265648247473499
ENSMUSG00000111533	0.2123866569016952	0.0014184115217046513	-0.41920987062476345	0.0006471350568712556	0.3913494492616987	0.009913239108677122	0.11305497558387287	0.049719343451579336
ENSMUSG00000029710	0.09396711721960206	-0.03556304392784244	0.13247018498867483	0.0125565922838827	0.227579113487965	0.3062512512767301	0.04638594435611074	0.03702914124847406
ENSMUSG00000105991	-0.02276631302333304	-0.006000138066623809	-0.0007132772686808104	0.06052926289433214	0.5319011638959636	0.25145116159266245	0.03445313992914245	0.029824589733263046
ENSMUSG00000030276	0.01934691999350824	0.0010330389772466983	0.17927140881885342	0.19458475295598743	0.2044628481145732	-0.0641938069873504	0.0992399302339306	0.017035499786600537
ENSMUSG00000109761	-0.048946569054533026	0.02731046432045332	-0.2345048251226087	-0.02051518148629319	-0.27811230127585335	-0.1449806647290513	-0.02528882865174507	0.008985376921711058
ENSMUSG00000057789	-0.016346804100300816	0.04335641835097184	1.1940030008295643	0.1285088361365654	-0.12761594374938534	0.08953971767020578	0.016032322984080694	-0.014264417576487175
ENSMUSG00000068117	-0.006450067840445887	-0.03123914907467094	-0.20534525693188438	-0.22715627735675037	0.11703976831898087	0.18162450567158106	0.06222553445357854	0.007752538140006696
ENSMUSG00000032846	-0.05841212454532589	0.002786391198761911	0.18099639972351725	0.020517378850750643	0.2847167687912588	0.15816972888346104	0.03291473632000686	-0.08417430334811797
ENSMUSG00000022596	0.09694136451299917	0.01776100699350666	0.419111032282048	-0.08301399374816226	0.055809387179137304	-0.107974004675998	0.07297079850458041	0.009810408220801037
ENSMUSG00000043207	-0.037194948747128365	0.0016949941829937285	1.0704435717754157	-0.0216984085747494	-0.03279789171262694	0.12121884801111134	-0.018828586113314876	0.010640983192258448
ENSMUSG00000036523	-0.07255326882940218	0.009979816007450739	-0.14749257707641975	-0.136969287822233	-0.48722557328099875	0.16323955229620749	-0.0333947176854833	0.017100274554936082
ENSMUSG00000021987	-0.01687310292098638	0.02064344972994669	0.20304144237909766	0.02324972664942574	-0.13067160553400753	0.13979220930247852	0.009797995274857385	0.029210357065832276
ENSMUSG00000085600	-0.04969306539553924	0.01486898052550844	-0.16450558088721923	0.00775119886264812	-0.2646291321289027	0.0443171903030556	-0.0245545470102765	0.021153971075545997
