	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000052414	0.05718819215514616	0.04905750167256753	0.1328094020404803	0.3060741968004939	0.02974833475593966	0.8279360152605347	0.06655437522806876	0.00012726638056587296
ENSMUSG00000044365	0.024213826223474046	-0.006958157763152225	-0.15761599516756958	-0.36966364015653586	0.1143067255977907	0.9530840720733197	-0.05065198150974278	0.1515490761518127
ENSMUSG00000118590	-0.0027997714511522123	0.08896461231129901	-0.032244151866897094	0.0296692334373282	0.08560336369607414	-0.4321395629430689	0.025283718745341893	-0.10634143803919349
ENSMUSG00000026121	0.06833546379558746	-0.052221641532716086	-0.1614405507282624	-0.5657845158190736	0.10369696302597212	0.8391081945511489	-0.013886523082614335	0.10645425962117899
ENSMUSG00000030897	0.01133161584589938	0.060374761247554226	-0.12573012156047167	-0.021684812124710462	0.001086580682281887	-0.5721838670690756	0.021105406742909897	-0.07301945683097334
ENSMUSG00000001249	0.009953259092851243	-0.02934326502163458	-0.098286143608753	0.005867271955451413	0.041985548794855276	0.20260253985179588	0.017072557941433582	0.14201472676707325
ENSMUSG00000063275	-0.03649332073660584	0.03362889428223882	-0.10378680370600445	-0.018130960045320017	0.03196865286216572	0.8076372073834396	0.06463666435696983	0.32210683981174953
ENSMUSG00000018899	-0.039014570424842535	-6.625419318879721e-05	0.12643234369554973	0.05112493061341021	0.03881710115709731	0.730507012471831	0.005593534864757593	0.19589649136022283
ENSMUSG00000091649	-0.037927169541970736	0.06040353157441132	0.1299827792158924	0.35274490838455674	-0.2257110337105717	-0.9477417363807555	0.03182159696700962	-0.1787732423734269
ENSMUSG00000116339	-0.017179290215199216	0.05430196981105837	0.12324099467659835	0.3956245228959493	0.052656506112219045	0.7086587260950182	0.018088021531242962	0.007013391916448849
ENSMUSG00000098008	-0.018878391856885304	0.06593151921629864	0.04821638998754289	0.02318462512562941	0.08081185292425548	-0.6582053610983816	0.011308773003526897	-0.10964694811165308
ENSMUSG00000085338	-0.0022400839338972997	-0.0662884319753305	-0.10418437318242338	-0.12469378180576314	0.08090569813148249	0.5961100011024557	0.006415341787084929	0.16192567374361846
ENSMUSG00000024063	0.046799701203651366	-0.045159683314523136	-0.14441577415299045	-0.5547652609417127	0.082149724032206	0.8532471941112817	-0.012005278083103933	0.10819280669623238
ENSMUSG00000116069	0.013537816927574957	-0.09861022121042749	0.022223503013499013	-0.17035708535212116	0.14213254112494594	0.6642826871640863	-0.02546095178336795	0.21232281098054956
ENSMUSG00000023978	-0.008829937020319839	0.01533295996450761	0.013982174900801121	0.05254887066714998	0.04294838606473214	-0.37053501737578437	0.01106615522975127	0.015540399125737688
ENSMUSG00000060012	0.06063173459798626	0.07602483156572687	0.45128807516032665	0.2690736337794598	0.06518947078875499	-0.2895786415685247	0.050700184609877394	-0.06780429552995233
ENSMUSG00000055109	-0.14928369282203804	4.9576195202202405e-05	0.017155831945482144	-0.38809223503610285	-0.5107148766510883	0.7290021257001952	0.13170152334974514	0.07917103258314455
ENSMUSG00000090690	-0.01190947875636214	0.05414607889277769	-0.14903760010726858	-0.06757619959160885	-0.032608429397026024	-0.5094680230704398	0.03821910959559318	-0.1445589943293661
ENSMUSG00000019988	-0.01952250734140242	0.09850817050641386	0.22261346737510135	0.07288742777298986	-0.12636855433146202	0.5682520090164871	0.06359890530449905	0.09241964265643869
ENSMUSG00000033697	-0.02095532445720372	0.043118838486173316	0.08882265507719629	0.016086522015549626	0.10058236978110081	0.8271063803318871	0.024998108981370542	0.15142554259197952
ENSMUSG00000073510	-0.2056392193287528	-0.35166928891222987	0.4953237939361965	0.4462974732922053	-0.3257942988173454	-1.4431369294533007	-0.0036618585299688024	-0.2074236960665855
ENSMUSG00000034438	0.0018861183454906235	0.1082133039796515	-0.09502656947354678	0.7820538464045967	-0.02737451180478924	-0.4348066445044554	0.021403929368742476	-0.04522739983580582
ENSMUSG00000027824	-0.01798632607030543	0.06268162795723974	-0.12073557454989765	0.023602335249337816	-0.05678061285361764	-0.712643430018995	0.05035449047313055	-0.16025501321102117
ENSMUSG00000035234	0.03886389678986494	0.054011909488742404	0.248209983446733	0.1250544040926408	0.059542782913130005	0.7867409482834643	0.10907348863007169	0.1483198552455828
ENSMUSG00000020156	-0.04712732156692385	0.03643532883496456	0.41272037283249247	0.36459094867890857	0.038545142316421074	0.36966541089212634	0.019514453568483858	0.05460484608982889
ENSMUSG00000097766	-0.019283433723727025	0.003070832884129361	-0.07504170430563266	-0.19422293182698402	0.07546760027585801	0.9597324891271585	0.02244928818475143	0.30999696704145335
ENSMUSG00000012443	0.03492167668591719	0.10865691181523808	0.412415787111552	0.35087089035847124	0.07589055547598816	0.4362135226038715	0.04900131138028233	0.019374788143821726
ENSMUSG00000050310	0.06452442215608503	0.0782902234901225	0.17640941190974055	0.1689378074912903	0.07331294408696912	0.8091966725208165	0.06988200181118114	0.14493923411064316
ENSMUSG00000093701	-0.0061973562044451164	0.028090870538965515	-0.08496544137051387	0.3856064216477015	0.08709834823525203	-0.3638756485691244	0.009989882286000855	-0.035555595813951055
ENSMUSG00000027291	0.015643822441273058	0.12843658304981156	0.40606597810302836	0.24508152926895752	0.0008822769334593821	0.3149955200412868	0.07658599057704772	-0.014277860042784595
ENSMUSG00000038122	0.08312018824908592	0.08499652018581401	0.022809230931254986	0.36972331587052654	-0.019085645512989555	0.7972456174803872	0.047470311066074695	-0.03213183465127908
ENSMUSG00000032497	0.04640578456923582	0.043774774814405	0.19927790744851726	0.007504837864481877	0.07722977648563756	0.7153234270517714	0.08842938330036045	0.16266366848592173
ENSMUSG00000027861	-0.018140054352936984	-0.1210229345629289	0.07110415955768466	-0.11636622560664754	-0.009024034635448125	-0.13882651844199115	0.009859746888553542	0.05033294796802303
ENSMUSG00000070880	0.09522210694090713	0.07007625233257256	-0.18115849908047363	0.11452608862210971	0.10795377819803044	0.05037721009617339	-0.06582189350740789	-0.056432268315360745
ENSMUSG00000109612	0.014158948600327546	0.0983851029694571	-0.1710273947290781	0.1235131429298365	-0.037755579666294836	-0.489057835452955	0.04725727470280877	-0.13112457635137875
ENSMUSG00000110719	0.004059747413001398	0.06058599177740689	-0.047977260700177535	0.06863828158051806	0.01434656711738041	-0.6449828217133992	0.009145564587431312	-0.04641844711337139
ENSMUSG00000024097	0.06164120126694408	0.11499325075559942	0.4285127898686499	0.4556087500406388	0.1272773627614827	0.5939061211116495	0.06989858920676723	0.03636734504159124
ENSMUSG00000111449	-0.034680175118228365	0.01478531675472498	0.08287365374755089	0.22174641113711654	0.017540611858917796	-0.035195657575241054	0.030303075142917024	-0.06659717696976648
ENSMUSG00000057789	-0.012328479882853571	0.07776849189337684	0.48697321147618433	0.4235355042660168	-0.0006303706815482915	0.19819395097594159	0.01567727100922249	-0.025001858352542122
ENSMUSG00000105157	-0.000677044122312509	0.07267871208605356	-0.13908002985112294	0.262502592054547	-0.05572293552889148	-0.6169157951607174	-0.005953476366006985	-0.14401869576400453
ENSMUSG00000045392	0.022370693190636563	0.09132752408648749	-0.13451209537852266	0.07611265506140107	0.017288784601519832	-0.28003611746223345	0.032627562136531195	0.011980854542707675
ENSMUSG00000024525	-0.06298828695755349	0.01678337811437294	0.21281714116869677	0.19328793403993977	0.07538603905609957	0.7143239232157222	0.030371030119515904	0.04532757366448225
ENSMUSG00000001870	-0.01879685909386483	0.005812279845174219	-0.018822196049482695	-0.2263064479443918	0.007945598108355106	0.9400181082247789	0.09148634047970908	0.15901085986811916
ENSMUSG00000055494	-0.009197365939741887	0.05480398982519026	0.09207726004356769	0.404507819992276	-0.09080776013433933	-0.16670016473716323	0.014084318158692051	-0.08894886146257965
ENSMUSG00000037979	-0.0035208710275453216	0.030952628087834454	0.001204152184488651	0.010885533191893566	0.12430781110545337	0.8862968319514558	0.027593555059294367	0.18587095218847804
ENSMUSG00000038909	0.04484500888824446	0.14066461640624248	0.393119889121486	0.5777762010924302	0.06295335510835035	0.5707496291908942	0.0565190885843614	-0.005375601788858019
ENSMUSG00000106756	0.006038231481449787	0.07036914311419033	-0.037794036646872496	0.08576695863271848	-0.05996774319807758	-0.6700602741911488	0.03383053006894313	-0.03830802984443186
ENSMUSG00000078591	-0.033927283936334006	-0.060851622755996815	-0.09245338172820214	-0.3757235661156821	-0.03957647869475685	0.9603744493412055	0.05678837243841761	0.11726777581373296
ENSMUSG00000040749	-0.008201539760297498	0.14623740615762862	0.4167650847828814	0.6278931966713571	-0.1292262989356199	0.5472379502417815	0.023110584073148338	-0.0475311738707595
ENSMUSG00000047324	-0.030152305624246114	0.07309815623619735	-0.12434208377671893	0.055910534982103854	-0.032509077695171334	-0.6529884981063723	0.030065228176889443	-0.09070780263983969
ENSMUSG00000050447	-0.011694072249468133	0.035158591319174905	-0.04602078377304549	-0.29924958863261314	-0.025809526839137627	0.8886972374957363	0.04974740107988639	0.2022938413432712
ENSMUSG00000086947	0.0008236415497906689	0.0744589526765984	0.11802300224883636	-0.010525265700458216	0.06496581526236177	-0.6613341410074229	0.0418021530538681	-0.10139914275948415
ENSMUSG00000086043	0.06282158790698823	0.06368170501446002	-0.12901591197228948	0.22854035056557873	0.12481532803483009	-0.6431788873592658	-0.007035341059203607	0.026283204131115262
ENSMUSG00000078653	-0.04571647640430976	0.05146409023267812	0.07806891768985744	0.012285874105821546	0.09355996988216637	0.886813848363194	0.01922972790442665	0.11917671875593701
ENSMUSG00000023106	0.04278820178707454	0.12272570473199136	0.4692587143051891	0.24604329212992784	-0.03180792378292868	0.42017866360261646	0.0601709753913188	-0.006998007375087972
ENSMUSG00000039461	-0.0034885623456960145	0.1250565845015704	0.26479357304508866	0.44965546940948115	0.08758178022419867	0.5439774284930277	0.021299391425814714	0.033635098221566295
ENSMUSG00000097006	0.0952932093518809	-0.15083487331350107	-0.25779425088450286	-0.7032938021307408	0.10282903469155176	0.7128685496041466	-0.03876020630193255	0.11081286323460518
ENSMUSG00000053979	0.004826680861827169	0.07202009924050279	-0.1530344329140332	0.1683491010074379	0.012732488416960612	-0.5406341802024794	0.037174550819015294	-0.054377072660593384
ENSMUSG00000000031	-0.01972795533318796	0.058615348220908865	-0.05789946273959815	-0.003498268426899033	0.024249893305594534	-0.1653344392067603	0.0042854175472192375	-0.09430747541960695
ENSMUSG00000093904	0.08774400216633305	0.07196627906596405	0.3747048375306934	0.5112440478358101	0.08853914403905166	0.7086884960427207	0.0567245225082518	-0.0045764848461008764
ENSMUSG00000099407	0.07247723652271816	0.06235526299029256	-0.14301905686645894	0.23427732276031749	0.18327606451951267	-0.5620876060786291	-0.06005212978824212	-0.0853980276269015
