	PolII mean gb	PolII mean promoter
ENSMUSG00000009093	-0.884933390190078	-0.957289324758018
ENSMUSG00000029231	-0.482559083007439	-0.3979096091222762
ENSMUSG00000043314	-0.8368734256545883	-0.840555433068522
ENSMUSG00000073963	-1.0686557184432717	-0.6006678501680296
ENSMUSG00000116615	-0.9211429068328936	-0.8825659572917864
ENSMUSG00000080727	0.2456985192406589	0.564162053419617
ENSMUSG00000085665	0.0096900743414843	0.8800158916611228
ENSMUSG00000096846	-0.8155385506732941	-0.8779138285283904
ENSMUSG00000101640	-0.3582493379305989	0.3509060702452946
ENSMUSG00000023284	-0.1917401745085571	0.3946121766806553
ENSMUSG00000038257	-0.7690965846518985	-0.6096666721393995
ENSMUSG00000113371	-0.6146744106393209	-0.8241442889288436
ENSMUSG00000113268	-0.7856260090028794	-0.8016832437033186
ENSMUSG00000114035	-0.778834498483015	-0.6824192504904223
ENSMUSG00000024013	-0.5314675676280931	-0.5761754524507238
ENSMUSG00000024327	0.7810846316986839	1.2231133094920354
ENSMUSG00000028640	0.2458842911681652	0.2078335640532372
ENSMUSG00000037736	-0.5749110617275994	-0.5967518985277949
ENSMUSG00000071722	-0.1359139285417397	0.586046162281778
ENSMUSG00000102110	-1.701274248005308	-1.2334282876765823
ENSMUSG00000020922	0.2639278669199117	0.9626590843828646
ENSMUSG00000046062	0.5926844332964255	0.8923090986104136
ENSMUSG00000097639	0.3483814583095612	0.879288983822515
ENSMUSG00000111938	-0.6059904270891575	-0.6082189020204131
ENSMUSG00000040441	-0.0373396535184099	-0.2372609342898058
ENSMUSG00000098781	-0.1670074589527	0.3844657223038086
ENSMUSG00000102085	-0.8383874639822917	-0.823962114190207
ENSMUSG00000109119	-0.6379584523450429	-0.748408820530618
ENSMUSG00000023277	0.322468081093152	0.4230825047854765
ENSMUSG00000117346	-0.938812249780488	-0.6903435770020305
ENSMUSG00000115992	-0.2171968835942579	-0.6713984805331114
ENSMUSG00000108228	-0.8343383026736289	-0.9670157208156936
ENSMUSG00000110592	-0.8302981418059666	-0.6623158290872169
ENSMUSG00000048174	0.739696523841788	0.5535347235587353
ENSMUSG00000018651	0.2468472222893836	1.0824792224117992
ENSMUSG00000063120	-0.7481136821546363	-0.810067382281114
ENSMUSG00000094081	-0.6785279205946957	-1.2861234955845675
ENSMUSG00000041084	-0.0568746428629498	0.9465807984675986
ENSMUSG00000110765	-0.7262396658554839	-0.739913658542951
ENSMUSG00000094484	-0.7626024754854955	-1.6066190297446556
ENSMUSG00000008822	0.1610224259513789	0.5939525076601958
ENSMUSG00000086786	-0.8922373353094877	-0.1132718877996424
ENSMUSG00000074248	-0.8423941607623386	-0.980451569573528
ENSMUSG00000055835	0.1124307126080765	1.135595440050704
ENSMUSG00000074292	-0.7189264642652002	-0.4240562630435653
ENSMUSG00000102122	-1.38823917510047	-1.4020511841339005
ENSMUSG00000024667	0.3644121490073222	0.6010639537381864
ENSMUSG00000087674	-0.7767420819777673	-0.3192932132358942
ENSMUSG00000020952	0.010393393414809	1.117655691596414
ENSMUSG00000063296	-0.7176936602014136	0.2261107800987181
ENSMUSG00000103161	-0.8627894110043834	-0.7680260645756191
ENSMUSG00000025332	0.3077227531852216	0.7190858910129876
ENSMUSG00000054618	-0.1534783622330018	-0.3583543869585119
ENSMUSG00000083847	-1.0002082217294546	-0.8665111235327769
ENSMUSG00000099668	-1.614661892190945	-1.25145692731821
ENSMUSG00000117890	-0.156076555679228	0.4998588423524612
ENSMUSG00000054364	1.0605583401874732	1.1720947896992182
ENSMUSG00000028841	-0.5825404860351698	0.1646957931597353
ENSMUSG00000089792	-0.8921661803192567	-1.2247590839607605
ENSMUSG00000035699	0.0251452285443512	-0.0539607731113459
ENSMUSG00000031085	-0.4464142878065225	-0.4837670408732412
ENSMUSG00000092473	-0.7916266417705412	-0.8750801556125716
ENSMUSG00000093661	-0.6129152361939861	-0.0926280571800588
ENSMUSG00000072479	-0.9426301184885416	-0.3631191096011608
ENSMUSG00000089943	-0.369960145949484	-0.7621388670468422
ENSMUSG00000042243	-0.7988132453335869	-0.8097079972254524
ENSMUSG00000093765	-0.7438934857115311	-1.03380333835166
ENSMUSG00000103553	-0.3772504356538737	-0.4317575871849545
ENSMUSG00000023336	-0.4258043105570142	-0.5977248579381235
ENSMUSG00000005447	0.4965865028913109	0.4467633679177041
ENSMUSG00000060565	-0.6048623956605306	-0.6763251585226784
ENSMUSG00000001095	-0.350089709213598	0.0316050305961115
ENSMUSG00000066704	-0.683075395699008	-0.8914158100073516
ENSMUSG00000029755	-0.672305341011119	-0.4932199564171381
ENSMUSG00000100586	-0.4957861201169471	-0.6814706054205262
ENSMUSG00000063652	-0.3877747296486132	0.4260398421717287
ENSMUSG00000078619	0.4641297219023683	0.8580288197037278
ENSMUSG00000022534	-0.8127622267472838	-0.995931680046483
ENSMUSG00000028128	0.2010464515969368	0.6645727210587763
ENSMUSG00000031202	-0.3498635079207155	0.2323844505930255
ENSMUSG00000084788	-0.6385460446707241	-0.6746259774975638
ENSMUSG00000024639	-0.1611278314251893	0.8915595713771396
ENSMUSG00000059169	-0.8336221901640449	-0.6278990689088715
ENSMUSG00000066240	-0.6510516376555492	-0.8190201449528184
ENSMUSG00000030047	-0.3125001710829188	-0.6699834968649236
ENSMUSG00000040322	-0.5666697483852045	-0.0250247853098738
ENSMUSG00000068227	-0.7301035205633343	-0.5274687988168573
ENSMUSG00000020598	-0.6781034439132678	0.1777374889552987
ENSMUSG00000104248	-0.7687232172641453	-0.7243247739128158
ENSMUSG00000002799	0.0453343250708509	0.5625299760640169
ENSMUSG00000087381	-0.0737694003197913	-0.0530364463423922
