	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000118462	0.14880933758976084	-0.1374639872767655	0.11706875173405408	-0.101724412431111	0.03552606642379997	0.21052176968037514	-0.037693514572980424	0.23378650272393448
ENSMUSG00000028643	-0.045455514886519895	-0.023133347851115982	0.04956455293204787	-0.11398286472951732	0.023560825875958872	0.16881877833209208	0.015970586105973777	0.20123092987980346
ENSMUSG00000110136	-0.07339799429405719	0.038270843447032264	0.0008802140829857752	0.33559313595268375	0.11710517089966198	0.8121070701018294	0.012139481861514284	0.20846960648616364
ENSMUSG00000037234	0.061017344556121574	0.024447135163597287	0.13039484120703088	-0.0253765519553264	0.05760533400101606	0.689553756657351	0.08248104790115018	0.4114048685466107
ENSMUSG00000055116	0.017751072481167505	-0.017500498226921596	0.11563530312706909	-0.2744266329328171	0.005691825522727401	0.8661475275096726	0.033667490996659374	0.21742956216504097
ENSMUSG00000041565	-0.13823191334912413	-0.11705352335853428	-0.030507251154387238	-0.6786363259336102	-0.1815209130402239	0.651755271846901	0.1555117713953348	0.2252691494900655
ENSMUSG00000086727	-0.01733868628069978	0.0689223437179394	-0.1452780686392637	0.04097624507935904	-0.07568262595142125	-0.5166919216772746	0.014687788638914734	-0.2453679299177373
ENSMUSG00000086368	-0.01600214917835389	-0.0317396945478595	-0.014634178237496109	0.2708920976220312	0.10888205964987265	0.9039779768526122	0.007053510643990846	0.1818652912766327
ENSMUSG00000086392	0.04992661793712617	0.10703945464984348	-0.1519268463196727	0.16922128812900042	-0.042383213446498896	0.08006344129192894	0.04533240116375875	-0.016778504687587348
ENSMUSG00000031659	0.02717907035183366	-0.03564059264417561	0.08487334669250116	-0.45285322913312037	0.04066989630303327	0.8985214085049397	0.013915171212256161	0.29249898367129923
ENSMUSG00000019726	-0.014159285346568674	0.007371982076504802	-0.044491080216586654	-0.3927917226572373	-0.03146370345731666	0.7781609225372391	0.08154379976229961	0.34473553278079105
ENSMUSG00000026999	0.008538406157653916	0.07612654343009821	0.09836626043525765	0.3333458595824031	0.02773063952639164	-0.08558601218501032	0.0502527563950674	-0.35279139944405313
ENSMUSG00000020327	0.05748059867479201	-0.03489239720625725	0.24983899232584234	-0.13511445596990418	0.038712502032502566	0.3286140291697851	-0.05904817023603556	0.2343346577256915
ENSMUSG00000029082	-0.0062492755812116885	0.038423576077954325	-0.04394840464860285	-0.039829405112088954	0.03021757263626513	-0.5380949606446962	0.025538588683149514	-0.1141013312444364
ENSMUSG00000029772	0.030670250765972188	0.014938669162160023	0.08965088853096749	0.15311046831126693	0.05200754108326834	0.8488370403003089	0.051996439399439286	0.2991987512649896
ENSMUSG00000020990	0.06082586630937684	-0.1831520776856268	-0.11614400415888461	-0.6079387661884507	0.06070037528347511	0.5117430574490569	-0.03777685815732004	0.18211904849490107
ENSMUSG00000020037	0.20037705607241985	-0.3232952506851025	-0.15475799418302583	-0.6626501955638275	0.21816517082233325	0.9343919330108408	-0.2058031978276004	0.2071536680601363
ENSMUSG00000085664	-0.1160672565026469	0.07389198009712815	-0.08471924849364208	0.13950712975890028	0.0034288123533909587	-0.03581548311831478	0.06123216400687459	0.11765775232392645
