	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000071178	-0.41008806269928455	-0.03600280194819572	0.3265535342287732	0.27295873493304906	-0.7657154474961712	-0.2654612822825506	-0.37962336180308737	-0.1636555751376108
ENSMUSG00000108550	0.02549631172840251	0.05293091415280497	-0.27038442195271106	-0.0072679549623503314	0.09931181613093626	-0.09051072276711422	-0.10668479022361141	0.022875981207444593
ENSMUSG00000024827	-0.05105785810152177	0.013290623724518502	0.7500038399826495	-0.04275652737132611	-0.08259421231319647	0.13832817386762436	0.04214248000906826	0.12235887425132914
ENSMUSG00000027070	0.04071844022167565	-0.04335615952911258	0.03250979256381093	-0.0010061731620408798	0.2193095960029952	-0.24187871888926482	0.029616901629124268	0.2158518258673992
ENSMUSG00000024384	0.023453770254703132	-0.03232061723790869	1.2310662446991665	0.09120240072467894	-0.09372144702282478	0.10265779937824744	-0.05693557809425463	0.06952690312547861
ENSMUSG00000017764	0.2175473123978653	0.0028819043118586407	0.5333679513394093	0.04034029525557708	0.9488134119746041	0.1671407758693015	-0.01511569614770125	0.0513970874501276
ENSMUSG00000063450	0.04807718525277676	-0.08978489877047638	-0.1777343921312122	0.05100925733206366	0.11155632627211325	-0.1325263854829454	-0.002586335851694266	0.009263087554675517
ENSMUSG00000027978	-0.020167613729200073	-0.13826787684372518	-0.517467782969933	0.05663788771150808	-0.008101782994771685	-0.23149735774003755	0.0017152977811261128	-0.014286598494841478
ENSMUSG00000021969	0.032166369905944	-0.014671442116327427	0.6853661726111647	0.08423345277360514	0.0923456108327301	0.13124052928930635	0.018395343733797493	0.061722064612480386
ENSMUSG00000104669	0.21932126940883837	-0.0698058497898767	-0.42706310099329897	-0.0853546595668057	0.8313622140994044	0.049287859151082955	0.1052643678836698	0.058371219927185
ENSMUSG00000064023	0.2306655021815543	-0.03841471306532497	0.19702475008722245	-0.027529329269247116	-0.10455989939591222	0.24073696789066398	0.06219937478126327	0.16959697251275022
ENSMUSG00000027004	0.21929490865202728	-0.11817839823758618	-0.7539900773366403	-0.023944989830719576	0.5815909480867714	-0.12949103761472122	-0.0873496051811849	-0.15919596247230997
ENSMUSG00000002489	-0.017840290529855585	-0.06574149913330272	0.2314853232733978	-0.029354555821545805	0.11482528925084609	0.20264453615497777	0.04372478757110244	0.22907142974718414
ENSMUSG00000027597	-0.032927043197573	0.022085080323988263	1.3894510050080329	0.03357879893521582	-0.11976127721584559	0.13107711299819375	0.02156084774960081	0.05549047002517706
ENSMUSG00000066122	0.006279057098493079	0.03222051846644477	-0.5409707935612909	-0.03979060585127684	-0.047007176744121054	-0.10078707572208166	0.04930704822602664	0.01549895592998674
ENSMUSG00000096323	0.022085302742605558	0.04093000787912644	-0.5364070734824545	-0.05602867990293565	-0.021793568329625146	-0.12514083339612087	0.05016053307113184	0.021172315598084523
ENSMUSG00000072966	-0.001895180215487069	-0.03016838956226823	1.055242855398709	0.06566982874756964	-0.3736310330926162	0.02427365532195643	-0.023644843941513737	0.037921667542649196
ENSMUSG00000115715	-0.015457679797998293	0.015112017563916183	-0.2779090770886902	-0.046920546387324236	-0.21462503025112864	-0.20230319592852983	0.025230733198908013	-0.002854685421022074
ENSMUSG00000049265	0.4856752862367113	0.0005442488528974998	-0.644255035218298	-0.085430723766727	0.9042963602693743	0.2509311884797381	-0.10847917301934885	-0.06763630677928245
ENSMUSG00000009079	0.11453253838161323	-0.04511994321382318	1.477768578640662	0.2709641038864167	0.2755111771578599	0.18152988151535335	0.025431562004083894	0.06500201272079378
ENSMUSG00000086748	0.7542016437675342	-0.14531952153274572	-1.3592320511578642	-0.21579593735642652	1.070953695744046	-0.08135357955052963	-0.28466194622952906	-0.06092109109143545
ENSMUSG00000091661	-0.04991606344421593	-0.00784227380998108	-0.3675094876162344	0.4523411975359212	-0.263997250534255	-0.08265024537626996	-0.017420383038701942	-0.0005359334753928802
ENSMUSG00000022555	0.1618793171890533	-0.05318000016126316	0.3578886558176937	0.015949933479765144	-0.0019387907538263027	0.1871363044795768	0.023646127910678733	0.12133545715435703
ENSMUSG00000029005	0.36630433505172566	-0.07365530802703983	-0.35982188823976335	0.025808555247557957	0.4864693884182906	0.1300823744198591	-0.01985349865096894	8.070058654030543e-05
ENSMUSG00000094840	0.2408221225125151	0.03262068006107469	-0.4237663002324924	0.2957256828033839	-0.18282535527297514	-0.1733762305621804	0.07325911450871356	0.012564834745495232
ENSMUSG00000085894	0.009325278578664609	0.06278224147835489	1.1164873125736383	0.12839738475114593	0.14133023492207616	-0.08377090233679353	0.0706288336623233	0.02075543651093008
ENSMUSG00000056643	0.34658090849021794	0.04080887134614346	-0.8923796478875201	-0.0787063091431805	0.9623547834624786	0.06444098270591249	-0.04161714630057903	-0.02174566155658214
