	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000028851	-0.0514718426034269	0.033154601963860844	0.4452348331767428	0.29330545189558044	0.007091138620806348	0.4893899622620161	0.0397039415413025	0.08342096781321318
ENSMUSG00000024990	0.41540774290344645	-0.1342349656812132	-0.20029765581548326	-0.7302614870383303	0.18666622409587694	0.9666483250296682	-0.38840313560268147	0.02656115317823976
ENSMUSG00000024538	0.056238897026053974	-0.04173152937808845	-0.038473355630876616	-0.2382830143288078	0.11338029997743947	0.8866718153644803	-0.05830562095391939	0.2513845127106554
ENSMUSG00000027439	0.028423690743960298	0.0375710143806086	0.3344912189862456	0.23811820263150993	-0.0032618578539858056	0.43908563221780805	0.04406328781132481	0.14656300679500034
ENSMUSG00000027954	0.3436169986008437	-0.19387631722031137	-0.17540538973800668	-0.5481203359895092	0.1575455892379144	0.8713904823474551	-0.21400298300092194	0.2377962985444719
ENSMUSG00000117185	0.03684702320534114	-0.15143525128481986	-0.1257071411712554	-0.40617444964238664	-0.08071008196801445	0.7900703469651083	0.01917938066415309	0.3191689717764508
ENSMUSG00000034601	0.04249873087537783	0.0	0.17322237919686354	0.2645034328657395	0.05137684099834113	0.8369490054549044	0.04230864341204388	0.12495415868361534
ENSMUSG00000011427	0.00354113987734872	0.08614356701720886	0.1429958893669757	-0.018912881431884052	0.04726832342968021	0.21342357915601007	0.05527318268364197	0.029273107580299013
ENSMUSG00000032449	0.11304352233757531	0.015105103868945369	0.4941584532774782	0.5028358214503565	0.07482385324969232	0.5257055246722885	0.05272208742227315	0.0999723480991796
ENSMUSG00000043154	0.01134984726809075	0.045014853514802014	-0.03363308435978667	-0.36634171765364953	-0.0026041596778421106	0.7192618757430969	0.08342909250574032	0.41126746007185294
ENSMUSG00000048217	0.6786511388237187	-0.18469453070166655	-0.4729203148698952	-0.6711529831458963	0.1893941604457878	0.8873202648750036	-0.15539024041011307	0.18420778504933763
ENSMUSG00000027510	0.062065204018482104	-0.10656214285157034	0.3028749223935218	-0.4424163306176014	0.054158825659346	0.7274262590471775	-0.07946905400372661	0.277519331707806
ENSMUSG00000020654	0.06216450423196473	-0.1083761617901011	-0.03265874279769427	-0.477378972020018	0.09181470757946507	0.9319530130405816	-0.01784177918669483	0.27185508573265116
ENSMUSG00000021036	0.048518645708072836	0.023300175391099742	0.2190718996606171	0.179487387350959	0.04986080503029111	0.5568877749796001	0.04646526437986471	0.23327443191150427
ENSMUSG00000038751	-0.08726838372461825	0.006969715655348329	-0.11018789149870346	0.04434739396668685	-0.008330367445728973	-0.3873526775798151	0.042283984456891875	0.00532499852183288
ENSMUSG00000108867	-0.09135987916216105	0.05279823856881134	-0.15704553791171486	-0.16545513422773733	-0.050684318536541026	-0.37943361828471167	0.017909404828591713	-0.25309272479732126
ENSMUSG00000039153	0.009577876027341281	0.05260977056898504	-0.12423982121636697	-0.12484289503905666	0.09841378147152378	-0.548453168952222	-0.09291126090002802	-0.06943908169348532
ENSMUSG00000117594	0.028250309203596873	-0.1003246323171924	-0.12833833958356078	-0.6338663610939698	-0.046636526580448714	0.7716328617689804	0.025622420928854972	0.19928893512067047
ENSMUSG00000107385	0.05616211536648367	0.0716672012043709	0.3681349931920684	0.28211045182482236	0.029728598479115773	-0.043409017388427736	0.037153858112169785	-0.0342910533750318
ENSMUSG00000026014	0.029853467727800072	0.004784290866855612	0.18350266704731402	-0.19349002024241796	0.07118394885378224	0.8002968216765044	0.08804897335449047	0.41874311654883684
ENSMUSG00000017288	0.02163194558558985	0.008010079462057416	0.15774229216218874	0.11475917677483985	0.004892641595307001	0.5798889052887429	0.04734395101145555	0.2762951597046042
ENSMUSG00000059654	-0.029920616093242494	0.060519101836144396	-0.19199778023326355	0.06383445990907428	-0.04824684687573893	-0.5512702814097188	-0.026374068132931285	-0.2099763985363987
ENSMUSG00000001707	0.019900193323532517	0.03527532063008477	0.7389159513318934	0.34269831586386074	-0.0031065923483080127	0.19243437803859473	0.026154061712980715	-0.07230338838506137
ENSMUSG00000031740	-0.042562926253491645	-0.08191032872214866	0.12031839387786952	-0.17402457481377562	-0.0401755682253558	0.42186494541436276	0.016991147076653557	0.2887335221001782
ENSMUSG00000090996	0.12705743742227515	0.0038069003446894456	-0.16081374592559627	-0.0203152720079682	0.09107039081705685	0.44932542949660753	-0.08535132124098131	0.26210610293270914
ENSMUSG00000037791	-0.0024800764027423927	0.02865703719941355	0.26331148048229436	0.518166459165353	0.02912542191374617	0.5615998687108098	0.03758187519563412	0.10813324604104368
ENSMUSG00000047747	0.028354720548133983	-0.07861471047249202	-0.05666165116435216	-0.5603819099672686	-0.018967021655243554	1.0335508529415751	0.02056313272855329	0.12682590542643607
ENSMUSG00000074652	0.075605887282133	0.04956717871796045	-0.21331700499818726	0.037491203469157686	0.04871833892040556	-0.4845349735412979	-0.1645130255618366	-0.00968147552719445
ENSMUSG00000026659	0.00885591574675848	0.05052921775617233	0.2742449085951411	0.4415101855057438	0.022712756383545224	0.5059210183615067	0.04018739943336547	0.12567645314850526
ENSMUSG00000045693	-0.031555166662074585	-0.06539330982201914	-0.11890075622861657	0.4563717045605963	-0.09755572949609906	-0.7669281759362007	0.014042867936244097	-0.48873588341800006
ENSMUSG00000085806	-0.03826160000691556	0.05232755298598867	-0.12538784067268985	-0.07505265319371514	-0.07125050715955535	-0.5772695868763568	0.017965392107959888	-0.2568501180342883
ENSMUSG00000038233	-0.0861402677821404	-0.014356787332497229	-0.06252029790195111	0.15379802924503314	-0.009179658117127091	-0.3050664117964114	0.026382986247194606	-0.0071339432805417324
ENSMUSG00000022021	0.05215783209673494	-0.002150436457968974	0.11127823041781536	0.10341418854340642	0.002828968108971627	0.78859257268659	0.05344915461522415	0.23191512106093656
ENSMUSG00000032013	0.01643164662655833	-0.14953154639182836	-0.1278811554172842	-0.2843384191429889	-0.004407170026726327	-0.10024923429741694	0.0016239490157063385	0.1987002614962773
ENSMUSG00000074863	0.08507252267646329	0.06344466012296145	0.04618744920693518	0.05246957718752994	0.049372031174255634	0.3278303372887406	0.05003299633304989	0.2393554732696628
ENSMUSG00000022209	-0.004608592841153114	0.04778063126667036	-0.1007835843107142	-0.02087077163330994	-0.013209467053958283	-0.6617982898315434	0.01731421009533003	-0.08265897370909123
ENSMUSG00000074212	0.019798709311495917	-0.009822283347750593	0.026827583030615432	0.1553953352528605	0.043353496342670376	0.6076160752851091	0.04217959877851509	0.32458421244171337
ENSMUSG00000086582	0.0005515799402173727	0.034191274837236246	0.1322312234912654	0.1408950271286812	0.03838531456232069	0.6867409066239557	0.04407802923023599	0.1891000982146393
ENSMUSG00000083282	0.0015298697710927067	-0.09544944926631273	0.2588046599152627	-0.11598319238433599	0.037823012467108945	0.5084245022470519	-0.013101472460586636	0.2563986360028382
ENSMUSG00000030516	0.016412505091840113	-0.0794864514647154	0.07662514188020088	-0.5412743943457363	0.04657502259660249	0.9008912335871482	0.03706765651163671	0.16869788143610784
ENSMUSG00000070003	0.026981373189508807	-0.096807470529336	0.03996416469137804	0.017015671004499078	0.257797187676112	0.9494255449679896	-0.08303276878961775	0.26365397426282977
ENSMUSG00000114575	-0.017536885935342868	0.07411655708147973	0.23775150556522975	0.6019564772716486	-0.04147879004316328	-0.37797199607791687	0.01676175920288364	-0.22867484935929663
ENSMUSG00000031521	0.0571732182316792	0.06493156936885691	0.3512710691159684	0.17266815290325896	-0.11017391972167512	0.2876609042253153	0.03715816728890825	0.15551991147969993
ENSMUSG00000011486	-0.0397980336270243	0.04701433590048087	-0.16774413408333932	0.010799710634205846	-0.00044478305942963203	-0.4607754852133532	0.018526191435674744	-0.07284889912263308
ENSMUSG00000010476	0.24570206307320583	-0.3495405601429418	-0.22726482097189768	-0.8055767398460973	0.2529307328455865	0.9316311823264661	-0.28412786679588514	0.18881091510378656
ENSMUSG00000002881	0.023589794906559214	-0.05747538549356944	-0.08553187244782294	-0.4012447601447478	0.09634824550823107	0.9735055359303394	-0.028619736573417334	0.27365326259060013
ENSMUSG00000107872	0.020901718740562954	0.07217062839920027	0.23034920613054444	0.1828395651546367	-0.0018636114744241712	-0.37442590567574086	0.024271701137556008	-0.16309165751313767
ENSMUSG00000003617	-0.006676777005742207	0.06950116034566982	-0.15218206297955686	-0.03929811507891615	-0.055044534966915304	-0.5859163775499067	0.019545655266909167	-0.16257909379631383
ENSMUSG00000062687	-0.05273414743181432	0.04620673445717597	-0.0621688788961538	-0.08778878867578	-0.10369963514458774	-0.5191778428753743	0.015191399893148105	-0.144453203499655
ENSMUSG00000026669	-0.013662393093395939	0.04004884874684286	0.4449054879542592	0.5171365565130831	0.0274807792167862	0.40878577751657597	0.03155990372241598	-0.0010838384799900513
ENSMUSG00000073274	-0.25285579603996294	-0.06544861932645112	0.1904463291326117	0.20868258392887684	-0.1418869091516048	-0.9271834624837857	-0.012210527343490707	-0.3449770780787875
