	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000112934	0.013834952259388019	-0.07082404035969868	-0.11703008875815553	-0.22257751282821686	0.013161910256289794	0.04060606090418942	0.02690553988353351	0.2872961799531748
ENSMUSG00000117427	-0.018588478974850355	-0.006550277204057542	0.14338299785228764	0.2742407814391459	0.09246303374119394	0.008313715748372367	0.003649448134128158	0.043290426491702685
ENSMUSG00000086245	0.17034612193987658	-0.15647849130939412	-0.10387353537146735	-0.42783744173611765	0.0833295200605021	0.6850557499347381	-0.07572102815739545	0.30460295853182456
ENSMUSG00000029012	0.04207057895888377	0.07960440331114946	0.7036633390744389	0.4791452527047699	0.026700718503007138	0.14725930732835582	0.04846811369946027	-0.016082885667006996
ENSMUSG00000007207	0.02750131726253709	-0.15751263107693675	-0.07543696643205433	-0.1866318979191177	0.06679819141871368	0.5899291613074753	0.016748188737175318	0.32091803733489854
ENSMUSG00000024302	-0.010921765665298455	0.06803723319446958	-0.09526177531838578	0.018811034506066627	-0.05977117481109362	-0.5235675509630284	0.019916585519008382	-0.14004232122261653
ENSMUSG00000041688	-0.09576844769374926	0.0678707715857005	0.305772940389281	-0.09651367760799709	-0.2827237872816395	0.3394864618776926	0.08164080878747601	0.35534459301202437
ENSMUSG00000026425	0.03004306209644721	-0.060540811511818095	0.17307536322749945	-0.044538042623990526	0.08999530886522289	0.9978872010519989	0.08502365683505819	0.4027566132598714
ENSMUSG00000091908	-0.029654538658289015	0.045115540664531155	0.25641858258609773	0.17961832313651677	0.030538319452553326	-0.40659824528027527	0.031132013492433015	-0.07661700628355878
ENSMUSG00000062691	-0.04368967116032407	0.042286111726641824	0.312048945854417	0.6804819665650921	0.023357378813504092	0.485232150621552	0.04578402837884426	0.044569378936486215
ENSMUSG00000093806	-1.1241214032119746	0.03130840598665985	0.8332374408719906	-0.1468820097055022	-0.028094527524315394	-0.4801896830145858	0.24256603677976565	-0.034508746457152156
ENSMUSG00000049659	0.05523992765312087	0.05051887719875214	0.14570260497358928	0.09548845056368518	0.06533406469365047	0.7582100706635337	0.07633918252166169	0.3947002993261904
ENSMUSG00000047126	0.04868665443348928	0.03415408789509877	0.30087155756360373	0.4250996276000079	0.06714611119274845	0.7194530957803534	0.050311452431836996	0.1623072658178779
ENSMUSG00000024366	0.09438009341653562	-0.14952885394065799	-0.1115172450887268	-0.5194061759567105	0.029119916170641382	0.48464254716429067	-0.018459607112108672	0.21169174732929785
ENSMUSG00000017376	0.04540450612001601	0.06501644107896165	0.20746998833094704	0.254633037904203	0.04240399843671927	0.7146682222240396	0.05536110574021649	0.21649084716950726
ENSMUSG00000048332	0.02650996809784361	-0.1554482590074501	-0.09211083260548882	-0.6072626444020293	0.03194765105568997	0.9607159510348368	0.02483677752140817	0.2038066810235235
ENSMUSG00000034533	-0.051209767809007274	0.04095112911524366	-0.11811984189039862	-0.05481211736534438	-0.017733486327856176	-0.3474541175397541	0.023716892702915215	0.09564724983512406
ENSMUSG00000066643	-0.0028580095246022452	0.05991760354117997	0.2173676738263746	-0.26773728570350697	-0.02647021871483031	0.7493316699242807	0.08381188057617124	0.37681809316385145
ENSMUSG00000022637	0.028225418618559765	0.036130949066471525	0.20039309845864992	0.009815036342372574	-0.06647681356607604	0.7714897789738147	0.09427799495260564	0.407972176865058
ENSMUSG00000118365	-0.002732851544133469	-0.35891229458006224	-0.1486008414556387	-0.7685429512473869	0.06696359416081799	0.9336506568916583	-0.0739125517851251	0.1866008450855834
ENSMUSG00000027439	0.02216001808678614	0.04514896445774784	0.3876113461954414	0.276867822778807	0.014625546116576071	0.5351060325230338	0.05338722194658432	0.18207418783586388
