	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000096743	-0.05182001471094281	0.03722207293046542	-0.3575437708276093	-0.04273599224654855	-0.08213479387542602	-0.056681417951508384	-0.02880556719225654	-0.01881761362985907
ENSMUSG00000110027	-0.011091250387355645	0.020357699192281642	-0.14910437821031183	-0.01877515697074833	-0.15750251973336976	-0.1185420349544111	-0.030403348938794483	-0.0142688838757928
ENSMUSG00000085683	-0.020193856297352823	0.043895565328372556	-0.2167638947749763	0.02297710040241152	-0.31867362836137525	-0.07067875692241118	-0.03206206257366094	-0.025353276546819375
ENSMUSG00000032116	0.06013537917686002	0.033086237256859885	1.4892569031394718	0.18047624708900067	-0.09469034131588924	0.13744707532738606	-0.1114492282528545	0.036756936647440785
ENSMUSG00000062757	-0.19088733719613596	0.01589659149103489	-0.2653996562464614	0.014120994492600958	-0.13240710526420038	-0.0926061581815451	-0.07397639117772935	-0.0595274501322475
ENSMUSG00000109419	-0.00793096397516471	0.033915216319101646	-0.04828919278361515	0.006870027208467355	-0.17491695256318834	-0.1299106281694747	-0.0921672326164746	-0.03314246068316357
ENSMUSG00000027225	0.4692887555439488	-0.009064420597371795	-1.2401361044962333	-0.385889466983474	1.4037011021675414	0.017978196428826015	-0.07929495635736021	-0.07576768014971719
ENSMUSG00000052310	-0.03284804824305576	0.007554183773050671	0.7890386010178962	0.01887695097631227	0.13346831447822385	0.19158419072086166	0.06359796415055285	0.04126234054739983
ENSMUSG00000055809	0.08211800382084974	0.009123952500590504	-0.3736492862737328	-0.05266206792674304	0.9184150155393977	0.0754390946212296	0.17619118176988208	0.04926790245729203
ENSMUSG00000112907	-0.11143417753787752	0.0023780183393740245	0.1064946491630446	0.007129737768285223	0.26074331777357357	-0.13189122542500728	-0.033141606773157695	-0.043838915985031195
ENSMUSG00000029405	0.04716721082595707	0.03166730332540256	1.3683954938065044	0.1031718505065015	0.1505773287680846	0.19605610906620427	-0.032033568483222474	0.021745463773900475
ENSMUSG00000031552	0.00024600336987246063	0.04318270620890385	-0.23952657381988715	-0.00971608787799102	-0.2270076837134453	-0.10460385309762207	-0.016171842923813608	-0.0049849042758011355
ENSMUSG00000050335	0.006481512709090563	-0.009626349181641514	-0.024258122068402933	0.03176204723901555	0.2435465388069417	0.06475858705292485	0.17144360941365033	0.036656537093309176
ENSMUSG00000038335	-0.00318038986785929	0.031199122161525393	1.6189259532197005	0.06223393588601947	0.4296015648222862	0.2348037728892194	0.04074850938619338	-0.0035804598987802046
