	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000096743	-0.007232451159975772	0.07761533764507415	-0.19889328542763685	-0.18989242333032302	-0.015497815775120393	-0.4389804497262552	0.01606393815686069	-0.12024649735266779
ENSMUSG00000110027	-0.005037035388183675	0.07115982969819049	-0.09773052484215958	-0.025796617664783226	-0.03728197584451019	-0.6225503732196686	0.022316638137152595	-0.08898677327088665
ENSMUSG00000085683	-0.019941154499659504	0.07795048168328789	-0.15539254008923106	0.09988607988382606	-0.07793966254727287	-0.45792780692919277	0.007324635583351169	-0.18481231340171064
ENSMUSG00000032116	0.12140768555167732	0.0719846956812983	0.5160347016026448	0.38778240679432974	-0.01156873905406508	0.5412972886096641	0.02611186620689131	0.008913661687808345
ENSMUSG00000062757	-0.025178747218449628	0.05253623836700372	-0.17411018068052728	0.05763851891917094	-0.030760244709495538	-0.5429671285700072	-0.006357274556641257	-0.2328335718453777
ENSMUSG00000109419	0.02544510292348314	0.07274815069916958	-0.06854620912854573	0.06424771751997299	-0.041847054840841946	-0.668891826319818	0.01974611766045864	-0.13939905803580294
ENSMUSG00000027225	0.28332638003724836	-0.27565314564636234	-0.3829569543443321	-0.7050089682063283	0.2568260070425729	1.0140904558179764	-0.4160477223430191	0.11304661692395465
ENSMUSG00000052310	-0.07360276464178302	-0.00631282352657081	0.15348190152529798	0.1537336834963835	0.035959647697375446	0.8268535444696191	0.005049282434317846	0.09216978611633136
ENSMUSG00000055809	-0.03219988626173207	0.008384535705037144	-0.14262252077717752	-0.27124870694105646	0.13392823827234374	0.1534442343439894	0.004681271683133578	0.10178981788958845
ENSMUSG00000112907	-0.006085322020881856	0.06278035948488178	-0.00863028844773331	0.046668428624591474	0.07402898995184862	-0.6861409802678994	0.02504119248049763	-0.14857039761732915
ENSMUSG00000029405	0.06411039331909343	0.013777825454935222	0.3392865496119649	0.26320143402356405	0.050810422136268685	0.7926974313181833	0.04383238832390418	0.09691502679248143
ENSMUSG00000031552	0.004910154691364799	0.07811070686152893	-0.13380466243894784	-0.032807102364127705	-0.054758766631722994	-0.6050469964020836	0.01713305220047962	-0.07543830421832276
ENSMUSG00000050335	-0.08582457990712826	0.012462656097566138	-0.04267283948293456	0.13494294121972605	0.03711678564752534	0.11695474441007842	0.03885418953430385	0.0989092406174777
ENSMUSG00000038335	-0.0072885254107337705	-0.021058827429832103	0.39474605451250183	0.13145223533715047	0.134387440024711	0.912629349739676	0.025814428679563132	0.12890124080506826
ENSMUSG00000046806	-0.10219219814499937	-0.06661560956074036	0.08767923799505846	0.1414763430849116	0.05537244448224904	0.4837862305599356	0.0029713329333224126	0.21863865114036252
ENSMUSG00000113361	-0.004003306608297841	0.05399515802852655	0.11877674908160543	0.431866664863039	0.2657298634706675	0.17039490398959775	0.024442250057235673	0.011999477709837619
ENSMUSG00000079389	-0.0006268415236998504	0.07521349217166629	-0.19228415846655578	-0.13104944696276183	0.029692765702246725	-0.4272732260488797	0.028635673614094696	-0.0426670600276881
ENSMUSG00000045013	0.013577018995375853	0.05770295777445754	-0.21348320074298388	-0.03291500614097265	-0.0008639532420915419	-0.4697188900138157	0.009185408495739027	-0.20960661494639984
ENSMUSG00000063049	0.017813224829411164	-0.06435458788352899	0.0336494483794741	0.1733256495107098	0.2192504132486462	0.941314597499336	-0.030786755107367947	0.1880542337309487
ENSMUSG00000025533	-0.006708989657172149	0.07341021054574537	0.07680082787874959	0.2318941180479322	0.06841727032369607	0.7639752276481198	0.028335569611458014	0.14829388056379997
ENSMUSG00000050211	-0.020968297862866445	-0.20689964019555054	0.07263142934707482	-0.28574963372993223	0.002793456191664989	0.5154123291781605	0.0353941196609403	0.3015670376717571
ENSMUSG00000108620	-0.023055785806671506	0.06108871172375286	0.007555513325886511	0.08321390114077741	0.0033919686752296174	-0.598405858584866	0.01980487593982112	-0.02523404743487754
ENSMUSG00000079227	-0.006466947137848789	0.056408053266062755	-0.07586851259918513	-0.07464677535034514	-0.10126749296651356	-0.4413934537063181	-0.01948399911047397	-0.19631971715747557
ENSMUSG00000030846	0.08429164945004992	0.01190140568889575	0.20003213783840867	0.3626040899504206	0.10850156913171682	0.9306349711770836	0.03678485430619516	0.07743924413647738
ENSMUSG00000090764	0.004591408265368524	0.08299638536651052	-0.1691622614670863	-0.12263790314657172	0.04446580451809592	-0.5360681784972954	0.0262232679841546	-0.03518112957268827
ENSMUSG00000060017	0.008599678946915714	0.02903209467313941	-0.14583145672883063	0.03340491728086739	-0.005212244099808361	-0.6605111962792801	0.014959754864693225	-0.2544475431542913
ENSMUSG00000049659	0.062364069885326945	0.07273160464209988	0.10769756585880318	0.06187255347477764	0.03184088116303241	0.8289794023553806	0.04808280097173184	0.22071877396469186
ENSMUSG00000031618	-0.03330900639620895	-0.3096958619986728	-0.05693521242628704	-0.6081369829449622	0.058573535396091385	1.091399927404077	0.02659682992388656	0.02477800561614482
ENSMUSG00000109202	0.008702433139201056	0.054696743637243146	-0.05571887557542906	-0.0379824408877453	-0.12228338666584829	-0.6546055328416962	0.007295162534830535	-0.13291990847557814
ENSMUSG00000067006	0.010031759475854551	0.07046031057876784	-0.16986492779730145	-0.10204035554521046	0.03388762202006465	-0.29501032985353	0.032860454959657816	-0.02591003807000493
ENSMUSG00000066235	0.006005982963174484	0.00596936039186674	-0.17176090557730894	-0.1403098337986179	0.08481505763945736	-0.24826911503885452	0.012628861709056038	0.12671642989056597
ENSMUSG00000116130	0.0032753444791628894	0.07126915139818756	-0.10207483078259548	0.07581490158994657	-0.04763484571815977	-0.7358208207528593	0.020178127835181064	-0.15026716721403705
