	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000096743	-0.042921409010887146	0.21143968403339386	-0.1646331399679184	-0.13646352291107178	0.021104104816913605	-0.6410233974456787	0.02740352414548397	-0.2094949334859848
ENSMUSG00000110027	-0.0013565082335844636	0.15392149984836578	-0.1088753193616867	0.07289733737707138	0.013747422955930233	-0.8206455111503601	0.025990331545472145	-0.1771114319562912
ENSMUSG00000085683	-0.003861395176500082	0.20674897730350494	-0.16623488068580627	0.26314792037010193	4.581905886880122e-05	-0.7544751763343811	-0.004055372439324856	-0.30969372391700745
ENSMUSG00000032116	0.18183980882167816	0.13815724849700928	0.37819331884384155	0.39068469405174255	-0.024717090651392937	0.4036523103713989	0.10445792973041534	0.032169584184885025
ENSMUSG00000062757	-0.04639056697487831	0.2448892444372177	-0.14804255962371826	0.1993165910243988	0.025671351701021194	-0.8418920040130615	-0.0020343619398772717	-0.3910759687423706
ENSMUSG00000109419	0.036114081740379333	0.19354601204395294	-0.06593220680952072	0.20646899938583374	0.0075214458629488945	-0.9328869581222534	0.02308492735028267	-0.2619388699531555
ENSMUSG00000027225	0.5928427577018738	-0.4520861804485321	-0.42109549045562744	-1.138491153717041	-0.12332998216152191	1.5481393337249756	-0.4262103736400604	0.2503279447555542
ENSMUSG00000052310	-0.07435604184865952	0.023107154294848442	0.0687350332736969	0.16983981430530548	0.05860195681452751	0.6785097718238831	0.06242746859788895	0.14294125139713287
ENSMUSG00000055809	-0.12222786247730255	0.06826493889093399	-0.164185032248497	-0.21747255325317383	0.2215123325586319	0.0010138890938833356	0.03252265602350235	0.07920284569263458
ENSMUSG00000112907	-0.011759720742702484	0.21355696022510529	-0.004023568704724312	0.17447753250598907	0.11201044172048569	-0.9594837427139282	0.05504994839429855	-0.2782614827156067
ENSMUSG00000029405	0.10209746658802032	0.04565482959151268	0.2707393169403076	0.25338685512542725	0.03365565463900566	0.6330922842025757	0.12982086837291718	0.13865841925144196
ENSMUSG00000031552	-0.005528430920094252	0.19273805618286133	-0.12442797422409058	0.07252977043390274	0.00021962955361232162	-0.8361750245094299	0.016202911734580994	-0.1747862845659256
ENSMUSG00000050335	-0.07171463966369629	0.08786684274673462	-0.11246488243341446	0.22673086822032928	0.11315363645553589	-0.08771129697561264	0.049435921013355255	0.04792095720767975
ENSMUSG00000038335	0.0012377272360026836	0.00342501699924469	0.35973766446113586	0.10633557289838791	0.14213690161705017	0.7725856304168701	0.11317073553800583	0.1434285044670105
ENSMUSG00000046806	-0.08296674489974976	-0.029533695429563522	0.004256381653249264	0.17235639691352844	0.0926983430981636	0.3576435446739197	0.03534741327166557	0.21378913521766663
ENSMUSG00000113361	-0.03407514840364456	0.12391107529401779	0.08035890758037567	0.5574454665184021	0.3017274737358093	-0.021085744723677635	0.05480268970131874	-0.047408685088157654
ENSMUSG00000079389	-0.04942893981933594	0.15831302106380463	-0.17104306817054749	-0.06276178359985352	0.07610073685646057	-0.6047888398170471	0.040464889258146286	-0.10474056005477905
ENSMUSG00000045013	-0.009442671202123165	0.19894634187221527	-0.19520992040634155	0.06726615130901337	0.05432447791099548	-0.7017568349838257	0.01251896657049656	-0.33029431104660034
ENSMUSG00000063049	-0.02964591234922409	-0.07120998203754425	0.0019443115452304482	0.18908126652240753	0.22016680240631104	0.8308186531066895	0.04141683503985405	0.23816867172718048
ENSMUSG00000025533	-0.023835038766264915	0.12700583040714264	-0.011699111200869083	0.25362491607666016	0.10820483416318893	0.5992492437362671	0.09159453213214874	0.1827474981546402
ENSMUSG00000050211	-0.054264187812805176	-0.15100882947444916	0.05437099561095238	-0.32689711451530457	0.01567050628364086	0.4007345139980316	0.08836408704519272	0.3296850323677063
ENSMUSG00000108620	0.004404257517307997	0.17645007371902466	-0.03003738820552826	0.23660777509212494	0.07341836392879486	-0.8957295417785645	0.02937880903482437	-0.12365882843732834
ENSMUSG00000079227	-0.023309340700507164	0.22368024289608002	-0.03026644140481949	0.037827394902706146	-0.0477641262114048	-0.7262426018714905	-0.025142021477222443	-0.325347363948822
ENSMUSG00000030846	0.09218277037143707	0.033848799765110016	0.14451386034488678	0.36883631348609924	0.11276652663946152	0.749443531036377	0.1182635948061943	0.13480906188488007
ENSMUSG00000090764	-0.04076780006289482	0.18108625710010529	-0.15745341777801514	-0.0541689358651638	0.08912280201911926	-0.7156571745872498	0.04319125786423683	-0.10765121132135391
