	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000096743	-0.04486782655073054	0.031905015147875915	-0.5086132089445254	-0.056027844938994584	-0.09374720854693011	-0.07581883593670787	-0.03213684416361549	-0.0253612538212296
ENSMUSG00000110027	-0.009331065583225974	0.01769202288760663	-0.2904433016605736	-0.03025136290429879	-0.1759943147981215	-0.1425146631416805	-0.03199116688165995	-0.01984693204772107
ENSMUSG00000085683	-0.020696451187578804	0.04226746803019519	-0.35132343259815446	0.009126958569802057	-0.34582112913327917	-0.09183078459261182	-0.03271433085565162	-0.029212018229705535
ENSMUSG00000032116	0.07816934663245764	0.02519112356098585	1.3596516027699537	0.16204262938981998	-0.1303643913518381	0.11498782579576376	-0.11840959682440477	0.036399758844365034
ENSMUSG00000062757	-0.1820415301362937	0.007662629366068319	-0.40658364498526833	-0.0038023457969999465	-0.14484207118547035	-0.1158819857514493	-0.07680123617297073	-0.06584723780347225
ENSMUSG00000109419	0.0013609037924638967	0.030588751075029542	-0.1847597410947857	-0.007912933358223545	-0.19593831755298788	-0.15844773681424124	-0.09596377413415885	-0.03785024942778057
ENSMUSG00000027225	0.4513640121150629	-0.010567720632239486	-1.3326154438386986	-0.4066097817101642	1.3798766333360968	0.0036670971441957606	-0.097649504705789	-0.09000077640347684
ENSMUSG00000052310	-0.046097960127119635	0.007030731997931482	0.6646863124073389	0.005777688857310448	0.11668114218953941	0.16739661829888425	0.061606710072918715	0.03210234347326572
ENSMUSG00000055809	0.06576578837295483	0.005968658648688563	-0.5099810113330905	-0.06845469549216275	0.9217393724692069	0.05340206627584898	0.17306115965124144	0.039391547664906094
ENSMUSG00000112907	-0.10160244692503104	-0.004331513068506487	-0.03646199536965736	-0.01220994350881955	0.2590664664061244	-0.1638998105437874	-0.036699084467402	-0.05077278545088919
ENSMUSG00000029405	0.05339008758726422	0.0286495118642907	1.2398416646324835	0.08701064723485372	0.1261930524104159	0.1714117428952828	-0.03759521425647305	0.0144947889700421
ENSMUSG00000031552	0.0030994725222154296	0.040832481943868806	-0.37999481732632295	-0.021198710337586937	-0.24949866621223032	-0.12722372355828188	-0.017678398282896593	-0.010270785129721953
ENSMUSG00000050335	-0.007629096293884197	-0.010303362376087189	-0.1545956312935809	0.014463790541239703	0.23855590949555464	0.037760086917231754	0.1724198429158636	0.02674191090737793
