	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000031278	-0.0037240724667624036	0.09023323336493506	0.40894548272628006	0.0375004732387814	-0.16447969878749324	0.3786893974068724	-0.0007657206410450661	0.10689221011790713
ENSMUSG00000027597	0.032545945025880686	0.0655735852876595	0.25766283201307616	0.2560875040593081	-0.016759477772523367	0.5951319913798735	0.03769236189740955	0.0440336054409272
ENSMUSG00000049115	-0.02814765138032921	0.006597923604723681	-0.17962181268115143	-0.4330694195475579	-0.030493846854057795	0.229575773889623	0.017640958878265726	0.13384398806436884
ENSMUSG00000037716	-0.04134874684132228	0.015524476615714126	-0.04162299344077058	0.006922016350602332	0.0325348056671958	-0.3932656549635534	0.0204020327917533	0.03482544281762655
ENSMUSG00000118280	0.02820836972626109	0.12334218262933844	-0.11507330472502092	0.17087031054252294	-0.10676866185364946	0.3380265213355805	0.014643184825659513	0.10840086469168975
ENSMUSG00000080317	0.01639531547823156	0.045657339034784986	-0.17568868782265262	0.007161332038854848	0.0011696306092939526	-0.7935928014048841	0.03343997148061005	-0.08747832448342316
ENSMUSG00000109160	-3.0689795429290307e-06	0.04362872090163624	-0.1228003161592304	0.224033134275669	-0.1050073965460602	-0.7739485724059965	0.003625207682697302	-0.1436498163095426
ENSMUSG00000087301	0.001962468520235104	-0.023951098663487106	-0.22464443305902282	-0.36212345224983955	-0.055309632175859796	-0.034076663069156764	0.025161252029127872	0.12010830140103021
ENSMUSG00000086408	0.015172692578302564	0.06172427609199076	-0.15283191187980785	-0.009880262275068422	0.03537552967557401	-0.7380718640604755	0.030524111384667256	-0.0435950145193991
ENSMUSG00000058019	0.005861254501879947	0.0659257457817148	-0.16051878118097582	0.011789416637579311	-0.04288978013144385	-0.7689749089741131	0.019379790366032726	-0.08577445898128125
ENSMUSG00000087306	0.02190784614046736	0.05814801685295866	-0.1815377994843792	-0.04803584081985589	-0.06289957586912871	-0.4493931954316005	0.022930063554563927	-0.06288606010680918
ENSMUSG00000005089	-0.03276754477530111	-0.032888541874282445	-0.15591118394430462	-0.6265038943183234	-0.05375074748413421	0.8266954652706252	0.00555648804656812	0.08171149980698829
ENSMUSG00000046337	-0.0735552365419218	0.033674323137373514	0.09991564335255784	-0.10786889978272873	0.052190535563776	0.8113500255657917	0.028924732805691227	0.09474317513751365
ENSMUSG00000023044	-0.050456247619929076	0.06629064185513665	0.2332220026351154	0.5690523396914224	0.04501128411991106	0.28274206770823057	0.03565279284113265	0.04086411141353372
ENSMUSG00000109716	-0.02379141748928565	0.047990558638152186	-0.147742777818816	-0.07713786606059979	-0.038335956597646666	-0.4796275576683651	0.0045476984079869	-0.057321878796418396
ENSMUSG00000026321	0.0019045050958603888	-0.06281072852070793	-0.20750210226604915	-0.7247001320495267	0.11208963720689229	0.7752374771006414	-0.010966887690145605	0.034019198309137466
ENSMUSG00000005483	-0.09154080747565396	0.07727017143520892	0.2241641127805321	0.14620881909174516	-0.0028620038173747682	0.6245825662251653	0.029406010405546114	0.04419063747918699
ENSMUSG00000073380	-0.04637620397651127	0.057324934247714864	-0.014904595199186587	0.021732237840063007	0.07464040529375779	-0.5290870361677142	0.014995807507407985	0.01244813717055097
ENSMUSG00000041750	-0.04354270939831752	0.05107756392462761	-0.17953277509742682	-0.11616251950721822	0.03534304706647942	0.12376489943884995	0.021822292533449528	0.10905069629142028
ENSMUSG00000017764	-0.057942827838737034	0.08573523405627514	0.18462261156549045	0.336223302010954	0.12386854266078444	0.5005657256374044	-0.014458098402558659	0.02922857891491211
ENSMUSG00000043925	-0.03276755152993636	0.04279415069405721	-0.1471578381353798	0.10804327245496097	0.02925281232614907	-0.7505150005801364	0.03135346269804618	-0.0451980569155629
ENSMUSG00000050035	0.04141228512494958	0.04887438469034221	0.013287409625731276	0.5525853704295254	0.09931051646874818	0.7836312156283903	0.038382560147433	0.047837181254596677
