	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000115992	-0.011285419032356003	0.021237327009190007	-0.2950749348200459	-0.006468336295906089	0.11135530522005865	-0.23406406628377485	0.07251045170160068	0.025710384612986154
ENSMUSG00000062444	0.1729716539034728	-0.017182613160652442	-0.4889194795599906	-0.09260752596653349	0.25316984840995116	0.2728240975615336	0.05681568757411567	0.0501360015200979
ENSMUSG00000032403	-0.035363885724031464	-0.025195464220347016	-0.5892093135727918	-0.02566734360568392	0.31862521523882087	0.2679531694740165	0.07182702301283175	0.04908937933209277
ENSMUSG00000037994	-0.03364902657122002	-0.007552428161683825	0.08562838644886922	-0.004679143211043473	0.15002004424251417	0.23790978008868738	0.05744089438937538	0.024421012397631003
ENSMUSG00000078786	-0.02881777035768859	-0.002120615795554061	1.0431974109445166	0.11263980583535158	-0.10467222362016661	0.15916303774044666	0.017267014869347414	0.008758438162372581
ENSMUSG00000022358	-0.04169254591054466	0.0026558015773064524	-0.22178478816141642	-0.136544141639024	-0.0335979991073795	0.17790135802933946	0.01773999309890704	-0.01742423573954771
ENSMUSG00000029613	-0.07071610520870308	0.02731448525581592	1.0326524334002378	-0.03984344009794378	-1.1346776026526122	0.24003262751295032	-0.09400593467119377	0.032650977879737704
ENSMUSG00000087306	-0.11402191732610975	0.01789239201170858	-0.3657723798416555	-0.03962135460902313	-0.2960926191999793	-0.10599431302268515	-0.035982574677473164	0.018675959433728295
ENSMUSG00000023151	0.0008800283917350628	-0.0018087093537490415	-0.45624726405990906	-0.028534104284127743	-0.16569412263571784	-0.1474068679796931	0.04162316736822374	0.017601381550152187
ENSMUSG00000003208	-0.0019012512888626329	0.027284091313777025	0.6037928899045385	0.18377867328526917	0.057444116089651026	0.11890261705411831	0.08213594015277133	0.009643905399466997
