	PolII mean gb	PolII mean promoter
ENSMUSG00000000001	0.09121777859656192	0.9027804418850434
ENSMUSG00000000003	-0.8620975635659223	-1.0735975247156195
ENSMUSG00000000028	0.3694515003042928	0.9885712929258621
ENSMUSG00000000031	-0.6594250216095378	-0.6179272775941946
ENSMUSG00000000037	-0.4016009357385913	-0.7640627008004229
ENSMUSG00000000049	-0.709908971138668	0.4193652792276006
ENSMUSG00000000056	0.04811148985565186	0.8335121654530934
ENSMUSG00000000058	-0.7439697494830517	-0.4042683236003753
ENSMUSG00000000078	0.4544301775352855	1.3070551015220526
ENSMUSG00000000085	-0.2162121527680216	0.554998869080829
ENSMUSG00000000088	0.4749913754244586	1.0700336776478694
ENSMUSG00000000093	-0.2192963400699063	0.38027819028374626
ENSMUSG00000000094	-0.5860735603354238	-0.4611310563551204
ENSMUSG00000000103	-1.2055231071144115	-1.159596528210818
ENSMUSG00000000120	0.027832975541538265	0.3272015379852291
ENSMUSG00000000125	-0.504918416340598	-0.380241817119399
ENSMUSG00000000126	-0.5646303059165999	0.6454635351899766
ENSMUSG00000000127	-0.20210490588706304	0.3018717107589656
ENSMUSG00000000131	0.2562188785998552	1.0361213898293928
ENSMUSG00000000134	0.31453571587812285	0.09770144457668024
ENSMUSG00000000142	0.021969363057573105	0.400829148242688
ENSMUSG00000000148	-0.13873708314429775	0.7471004130516541
ENSMUSG00000000149	-0.0808866771311097	0.6177462531062067
ENSMUSG00000000154	-0.381366610763886	-0.36050321794135176
ENSMUSG00000000157	-0.7654194497551885	-0.8970829847885119
ENSMUSG00000000159	-0.6341820517230907	-0.15057075786776247
ENSMUSG00000000167	0.01657513971021547	0.9677452670746772
ENSMUSG00000000168	0.04113203026479306	0.7811687408955549
ENSMUSG00000000171	0.20142716881138317	0.9900079011220433
ENSMUSG00000000182	0.19860027678768943	-0.4268865453224207
ENSMUSG00000000183	-0.855555529353829	-0.9298714646337375
ENSMUSG00000000184	-0.016129500300535823	0.09570389638906764
ENSMUSG00000000194	0.38600285533127443	0.5832191841957342
ENSMUSG00000000197	-0.6189619735178695	0.23732838058580982
ENSMUSG00000000202	-0.07859031289711946	-0.0028260086951749134
ENSMUSG00000000204	-0.822326932803997	-0.705266371927647
ENSMUSG00000000214	-0.6476090705520442	-0.771729709553359
ENSMUSG00000000215	-0.7247239741208547	-0.6660149096768222
ENSMUSG00000000216	-0.7233590001577719	-0.5205134675195963
ENSMUSG00000000223	-0.568881869332474	-0.414934639581076
ENSMUSG00000000244	0.15820865222215635	-0.3145069699203563
ENSMUSG00000000247	-0.5728629598262817	-0.9067400379177702
ENSMUSG00000000248	-0.5800497559111814	-0.8890299156030783
ENSMUSG00000000253	-0.24730865749683006	0.21313243198058235
ENSMUSG00000000263	-0.5905622886330987	-0.7652651175976118
ENSMUSG00000000266	-0.9835360709483012	-0.5000852931222938
ENSMUSG00000000275	0.43893559350421146	0.4721384440335182
ENSMUSG00000000276	0.5175873345515678	0.1539708775639968
ENSMUSG00000000278	0.5763444221276032	0.6698070063718082
ENSMUSG00000000282	0.6793076464168044	1.30395954255334
ENSMUSG00000000290	-0.6508455562681653	-0.6437650175553715
ENSMUSG00000000295	0.0621230064847343	0.9745984201613629
ENSMUSG00000000296	-0.2920887670269695	0.5685736494967161
ENSMUSG00000000301	-0.3139482470105308	0.6999940206373789
ENSMUSG00000000303	0.27143034169168545	0.8118401037257624
ENSMUSG00000000305	-0.5683291213222581	0.364213183631557
ENSMUSG00000000308	-0.3675379835808724	-0.02874858874719396
ENSMUSG00000000317	0.24716198963046782	0.7323318282312472
ENSMUSG00000000318	-0.08852455784636362	0.18481536210303715
ENSMUSG00000000320	-0.13287462183727727	0.010825259550771455
ENSMUSG00000000325	0.17500222837487067	0.2967763086396669
ENSMUSG00000000326	0.27817796993080984	0.5052702974141619
ENSMUSG00000000339	0.17778844268279487	0.5122328830294288
ENSMUSG00000000340	0.1957428723900682	0.6195990170161874
ENSMUSG00000000346	0.6713080178261422	1.1081979958297654
ENSMUSG00000000355	-0.2791854753776405	0.3823460926823908
ENSMUSG00000000359	0.021142420310134996	-0.2925425280079775
ENSMUSG00000000365	0.3279199188212466	0.937434468706626
ENSMUSG00000000374	-0.04556081578518629	0.35913131679056853
ENSMUSG00000000378	-0.10847332084370798	1.2941501270130658
ENSMUSG00000000381	-0.4608908492240504	-0.41521850400480775
ENSMUSG00000000384	1.1050966986056965	1.272620470177585
ENSMUSG00000000385	-0.8053728209630624	-0.5513199549331077
ENSMUSG00000000386	-0.6657828965716434	-0.5105515420447394
ENSMUSG00000000392	-0.8021903386557764	-0.7098154530089054
ENSMUSG00000000394	-0.7830911088307003	-0.8622808590843863
ENSMUSG00000000399	0.02391759380766775	0.5597746017813231
ENSMUSG00000000402	-0.6062440976343401	-0.2571945093998389
ENSMUSG00000000409	0.01605102992138265	-0.6448480746022783
ENSMUSG00000000411	0.45676572402300203	0.43175659613925765
ENSMUSG00000000416	-0.7035841985317144	-0.11327940400597676
ENSMUSG00000000420	-0.023025550834494556	0.9614345419569508
ENSMUSG00000000435	-0.747761076469165	-0.6075762517227931
ENSMUSG00000000439	0.5798060726794366	0.6298263625501479
ENSMUSG00000000440	-0.7620342362289517	-0.47185106022450646
ENSMUSG00000000441	0.3680878264010303	1.3263877546531262
ENSMUSG00000000486	0.36092270125244413	1.1677190436416034
ENSMUSG00000000489	0.13257237999206264	0.6384093793598006
ENSMUSG00000000530	-0.06253109006856879	-0.2518220549470097
ENSMUSG00000000531	0.37778509541501154	1.0682737016037267
ENSMUSG00000000532	0.2173961990914938	0.524752586289128
ENSMUSG00000000538	-0.28388197322234415	0.5083263272688384
ENSMUSG00000000544	0.26933545429479194	0.34767796211017804
ENSMUSG00000000552	0.04054551158689793	0.5761082047447019
ENSMUSG00000000555	0.36864756219820827	0.47402190538789024
ENSMUSG00000000560	-0.8298194778744652	-0.23431853330425043
ENSMUSG00000000561	1.0292422368571894	1.29434716465484
ENSMUSG00000000562	-0.7328720945123895	-0.761422859441561
ENSMUSG00000000563	0.7226103427741011	1.2923439553946097
ENSMUSG00000000567	-0.4845522739818631	-0.3110071332516806
ENSMUSG00000000568	1.0033148811657875	1.415635976474684
ENSMUSG00000000579	0.36057953005562776	0.4048473949708913
ENSMUSG00000000581	0.3037013599072494	0.863544115459181
ENSMUSG00000000594	-0.061030036170135936	0.740223166433032
ENSMUSG00000000600	-0.03161886574202917	1.0282188215425099
ENSMUSG00000000605	0.1338884386022407	0.18301773733241944
ENSMUSG00000000606	-0.44948343630874205	-0.6585333579439285
ENSMUSG00000000617	-0.701587989120461	-0.4310207635733806
ENSMUSG00000000627	-0.32350971825904223	-0.12443601816204275
ENSMUSG00000000628	0.6538486911352517	1.0558537815027003
ENSMUSG00000000631	0.12556692333031994	0.265942227428727
ENSMUSG00000000632	-0.4441070550468348	-0.28157637490023224
ENSMUSG00000000673	-0.5928006466178489	-0.3173763499011302
ENSMUSG00000000682	0.038676183516503225	0.36444467555631166
ENSMUSG00000000686	0.5911117458349963	0.07619657886203825
ENSMUSG00000000690	-0.5564032687766299	-0.506431820869361
ENSMUSG00000000693	-0.0691594287106753	0.2861374807737674
ENSMUSG00000000701	-0.769787024215669	-0.7566239949283275
ENSMUSG00000000706	-0.46142249629212917	-0.2621717588534315
ENSMUSG00000000708	0.136558865388319	0.9720844484457944
ENSMUSG00000000711	-0.02844600111816381	0.9639718914303173
ENSMUSG00000000724	0.9250133468422673	0.40379404199065233
ENSMUSG00000000730	0.3098862688739362	-0.2086914268547567
ENSMUSG00000000731	0.07975991966009317	0.1513024174995331
ENSMUSG00000000732	0.4069674522031445	0.7339362478320668
ENSMUSG00000000738	0.2836524429512525	0.10323797187653934
ENSMUSG00000000739	-0.2645088889619166	-0.18029071309154263
ENSMUSG00000000740	1.3820092336135639	1.4344704314996328
ENSMUSG00000000743	0.3246143955977266	0.9471766310511117
ENSMUSG00000000751	0.36123157570521564	0.8440548950933987
ENSMUSG00000000753	-0.17801226004565845	-0.3352937937185476
ENSMUSG00000000759	-0.035261699457132784	0.6146624367958838
ENSMUSG00000000766	-0.804514554016453	-0.9553919128485467
ENSMUSG00000000776	0.6163063844390109	1.1509756290789726
ENSMUSG00000000782	0.46435390237554774	0.48186525076464165
ENSMUSG00000000787	1.1405028054947561	1.4522363545041546
ENSMUSG00000000791	-0.12238699867279297	-0.769954563772133
ENSMUSG00000000792	-0.29901146063630624	0.9513459390398152
ENSMUSG00000000794	-0.5857059072694764	0.23419321336844265
ENSMUSG00000000804	-0.08142870569194291	0.9640028757453056
ENSMUSG00000000805	-0.6105657403630017	0.05295441484294722
ENSMUSG00000000811	-0.012268059701481007	1.0067921042114367
ENSMUSG00000000817	-0.701390691574204	-0.6360954555813018
ENSMUSG00000000823	0.4689491152703342	1.1038139797595599
ENSMUSG00000000826	0.3913444926259067	1.1684523035471732
ENSMUSG00000000827	0.33664448651374806	1.0801351629636697
ENSMUSG00000000838	0.11913266769052949	1.0031683190836584
ENSMUSG00000000861	-0.5910785915339682	-0.3121257618458373
ENSMUSG00000000869	-0.31113928445514066	-1.0012165687993613
ENSMUSG00000000876	-0.2896538369314596	0.14116516763139414
ENSMUSG00000000881	-0.1473242519916905	0.3053513694466238
ENSMUSG00000000884	-0.1929552391610233	0.7073788172917558
ENSMUSG00000000889	-0.8346211218116429	-1.231280349802091
ENSMUSG00000000901	0.2540071883996674	1.0597173688932366
ENSMUSG00000000902	0.31952938551352444	0.9631935704639719
ENSMUSG00000000903	0.3898857666070661	0.6074982717873559
ENSMUSG00000000915	0.13958001260836372	0.5199600551989518
ENSMUSG00000000916	0.4528072846951435	0.7347443728547407
ENSMUSG00000000934	-0.28103768849932076	0.5509263331374337
ENSMUSG00000000938	-0.49175676296901377	-0.031891577848110426
ENSMUSG00000000942	-0.10626837521611647	0.23627015375526728
ENSMUSG00000000948	0.24912821214835176	0.7795676335228789
ENSMUSG00000000957	0.02812113706165251	0.4781849376381052
ENSMUSG00000000958	0.28495908595303554	0.15547369408367084
ENSMUSG00000000959	0.7384367380429679	0.8616757675317819
