	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000114569	0.11591540714694896	-0.04143610077479147	-0.0403559018689025	-0.04970271084182575	-0.05616955084885036	0.04609152953902626
ENSMUSG00000027495	0.1243331761028624	0.19942914268761092	0.18083446626931335	0.07328116924444861	0.12669426623347196	0.008163261885618778
ENSMUSG00000043541	0.13911359141809984	0.24652899599828362	0.2100326272837606	0.08664593842575574	0.22070729519757878	0.021076815574920693
ENSMUSG00000073514	0.0837692230857306	-0.004185491659823293	-0.2388860021382556	-0.021093757596271637	-0.02167393628995077	-0.06304575299231878
ENSMUSG00000005374	0.14804311795308162	0.25888857393324066	0.29577845761388455	0.08358463553862104	0.1646578795242934	0.029462289599076597
ENSMUSG00000087236	0.13697442452925765	-0.005046818922055163	0.11334241862303451	0.1577246457042284	0.05644936623588189	0.06711717453216143
ENSMUSG00000022505	0.06854636363566446	-0.0686892433011365	-0.24008080956244457	-0.0247826980804141	-0.06765869800970493	-0.07594714907543894
ENSMUSG00000029438	0.18872905902436443	0.2400764411357518	0.49144428804865886	0.11178729027451988	0.23362143928420256	0.00946343833165697
ENSMUSG00000044501	0.13261525002784577	0.2003692379607526	0.08196268735922342	0.0382310598614899	0.01524816332382889	-0.0530286892005865
ENSMUSG00000041229	0.058068613823837614	0.2590425221250818	-0.23405436581834302	0.008386006737341925	0.039161118216899875	-0.020794303760127326
ENSMUSG00000030350	0.10604259230810173	0.0973588206244521	-0.05534419508252346	0.06832960379056918	0.13072603511203618	-0.05457184529327763
ENSMUSG00000055567	0.0962723920443041	0.05559778485837098	-0.2016727069068033	0.004341315525062839	-0.04368539416045918	-0.06987457254659257
ENSMUSG00000045667	0.16936373429252616	0.19292528706852893	0.3737771795117797	0.1188372754539715	0.21231422228769667	-0.015090247257836253
ENSMUSG00000048174	0.16499366218921657	-0.026290693703331702	0.7329728640763368	0.06053757733275674	0.008488483814045456	0.039297075400713005
ENSMUSG00000093616	0.14631826134304474	0.003257937729609306	0.36855376111696864	-0.014210841451685177	0.05365909558924749	-0.12923901691267517
ENSMUSG00000032565	0.033149763218953	0.1073666346046835	-0.014818104484415118	0.07151674231819741	0.12816697631536564	-0.06704811797748134
ENSMUSG00000073377	0.08854171374893657	-0.06661714237612816	-0.11747283470981895	-0.08986115011505029	0.011001542806506087	0.040612676281045375
ENSMUSG00000114777	0.1610776095017833	-0.04449120243954831	0.0733525673218843	-0.1278400463561825	-0.08890917080593787	0.011263187772228872
ENSMUSG00000030127	0.21823586546193396	0.3535818865363537	0.920003008720728	-0.04925480311620456	0.15774523306147006	0.03324488982641044
ENSMUSG00000043441	0.08207240754290095	-0.046906476115190956	-0.13520672571213596	-0.10451387183175793	0.09505219687530109	0.021403051860908046
ENSMUSG00000001334	0.11038473537038976	-0.031009974132339788	-0.10297939067002418	-0.037325638300442186	0.0796699870032759	-0.02926847564824516
ENSMUSG00000029106	0.12792770476066107	0.27009127116396503	0.18038978839212075	0.07383157498422534	0.138845283710993	0.02595259025926655
ENSMUSG00000061802	-0.014246608172356534	-0.045684622065775046	-0.3523453220194147	-0.05216663122388415	-0.07241481849418076	0.01277878776666519
ENSMUSG00000031360	0.09406532681595386	0.07081711815744003	-0.2745162267062704	0.046614427061944824	-0.0001605376264332825	-0.06650734917473722
ENSMUSG00000039997	0.11929838516882849	-0.04138719067681504	-0.03925524756676634	-0.08627523804511765	-0.04936080066894143	-0.03167874051573136
ENSMUSG00000025876	0.09708765668916017	0.11155550954676512	-0.09549488075531735	0.028423310927358218	0.16375850075678458	0.007176708075724514
ENSMUSG00000021975	0.12536444889808965	0.28289099589392425	0.2112366359808677	0.025278481699567305	0.08701268059200595	-0.011051408529512696
ENSMUSG00000092571	0.15287293071205438	-0.016647841610196057	0.0286801659520354	0.025111884107050494	-0.16006590433913317	0.07095743403196932
ENSMUSG00000018168	0.13145531704262667	0.023936537404616466	0.267636359447402	0.028324157054898092	0.08220372620770264	-0.04468320589139718
ENSMUSG00000021192	0.1176026114106242	0.2993283812101658	0.020726099396037798	0.018524546205497747	0.007932044183584008	-0.034047025938490905
ENSMUSG00000022948	0.16253689836110027	0.19977641240252195	0.30501790710429333	0.09702560515310804	0.23332300756233473	-0.008339620770851597
ENSMUSG00000045761	0.08242712628546664	-0.04011476921102688	-0.18800012328011306	-0.03225871144278469	0.09182309981982653	-0.0008588915669860697
ENSMUSG00000025602	0.17680448242021057	0.2504967095705765	0.7962560861525654	-0.007689043353197755	0.09976021756427221	-0.007824836862286003
ENSMUSG00000022197	0.14562992099866823	-0.04294802742505227	0.10850833123272982	-0.07183302374750826	0.10967270188035251	0.05742384196593213
ENSMUSG00000021537	0.16818719175780916	0.3218240797762707	0.465487545969823	0.017622447080856585	0.20193005356288993	0.03750781197381513
ENSMUSG00000034765	0.07477000712316731	0.1664052465260507	-0.27785009812630446	0.09438360867940182	0.16600087601432592	-0.0012933302376739453
ENSMUSG00000032750	-0.04330017378776889	-0.03698047058168082	-0.12737246426408785	-0.014706650176121772	-0.11130948061714763	-0.047406436705375136
ENSMUSG00000054520	0.10361701913243175	0.10252568379309326	-0.12476242971704284	0.00786606628607206	0.14088683967159732	-0.014520894482266945
ENSMUSG00000020283	0.17217869515433387	0.2978002787757916	0.3688826975559238	0.10443214785828582	0.23444664220490552	0.05733759130195826
ENSMUSG00000108596	0.08491399544879977	-0.06876679628608208	-0.12061851119341298	-0.10943746391023963	0.035826533278023535	0.02827262022834845
ENSMUSG00000121851	0.09205393564005121	0.22583817071222045	0.03192644102548414	0.11206204807081975	0.20727763024839205	0.03473858010423997
ENSMUSG00000067389	0.11346850642384172	0.06025536803363242	-0.032055307480083894	0.09415907753144248	0.18220797250446896	-0.08128660380474907
ENSMUSG00000032869	0.1624431906598663	-0.027481911466520775	0.21404514576333405	-0.07565340999565137	0.23126595767829355	0.015900420435306706
ENSMUSG00000020534	-0.3809542340114994	0.1908360127811874	-0.36570385277724854	0.07960640258782928	0.2127383483999823	0.03252907102423608
ENSMUSG00000030870	0.15030587219561206	0.3361782410425449	0.4635037000376958	0.057474557330367215	0.22562374127348156	0.06386575441662895
ENSMUSG00000027433	0.15066264416938732	0.3441078841894038	0.29981161070836027	-0.026959280027980537	0.1951302168512698	0.05911108907467981
ENSMUSG00000052698	0.08950129154394919	-0.060846333029859534	-0.115501747208909	-0.10084886785954267	0.031245419288525398	0.02924478608867262
ENSMUSG00000039050	0.1151491770606381	0.2621378708353128	-0.03725678541378424	0.02762580847518132	0.017089433575531776	-0.03876803238791272
ENSMUSG00000020014	0.09717401536621108	0.07307212638429289	-0.2276554652766304	0.020994688363560294	0.011214637776004469	-0.07861925500161174
ENSMUSG00000037418	0.16160293835687825	-0.024139672919024874	0.6786720800228023	-0.1476692579954254	0.13577454071822054	0.006332470923516853
ENSMUSG00000028252	0.15151737127555895	0.3035079787961579	0.337662363943411	-0.006257144061697528	0.11849027569964035	0.028413012689142144
ENSMUSG00000040613	0.1277979755249092	0.04767155082254078	0.25811138141573575	0.04252467345128405	0.07671772767376235	-0.1137444764243481
ENSMUSG00000099759	0.20084373405964387	0.18042124143810734	0.575176808783069	0.10667734800673123	0.1950330411355059	-0.028097121479300657
ENSMUSG00000004665	0.1624884327840573	0.1721352411645087	0.358274726430742	0.07898908871408845	0.1576355282627443	-0.0005791050063741476
ENSMUSG00000027296	0.1811248989935117	0.115422240931347	0.41734964583289375	0.1114712298349043	0.23268889060348288	-0.07385516435560546
ENSMUSG00000035486	0.10344537101803214	0.08422300718830429	-0.17823985983955656	0.06576698739134333	0.16290458918002687	-0.05351199932100903
ENSMUSG00000034987	0.1471571098461149	-0.058434604497989276	0.2176348388136833	0.0015915774164732555	0.09297689291693473	-0.04543369178106978
ENSMUSG00000000305	0.10080939046818191	0.10072985776960995	-0.13059780196918058	-0.0022383379849085783	0.0840502017032622	-0.01625123686742502
ENSMUSG00000097120	0.41395936629601077	0.21110352755352593	1.438809182266288	-0.10377613988964975	0.12822707184719365	-0.03327718318054895
ENSMUSG00000054640	0.06761800022616377	-0.05461373553819697	-0.18009938413998214	-0.06920186905531794	0.0605128985412025	0.04332085423107179
ENSMUSG00000021468	0.11788777460155532	0.29798658388388416	0.07200713729399182	0.05539811894405604	0.0954132984764897	0.007541864844415103
ENSMUSG00000079644	0.04294157418589364	-0.06907233527379611	-0.23109610751622847	-0.09308904009311803	-0.03280773103759429	0.028187627433643003
ENSMUSG00000003410	0.13211810293196863	0.14154449469013902	0.10735647399591348	0.09962714530332187	0.1811091311121249	-0.031257139388981114
ENSMUSG00000051518	0.26230391778848594	0.2412733038566309	1.0121597308530825	0.08249359604345616	0.08549731203813551	0.055269170778150745
ENSMUSG00000110803	0.12639722877068588	-0.06139342186780766	0.09353074728271225	-0.000691721167199677	0.05127836473998694	0.01836881469210961
ENSMUSG00000026171	0.1381156741401719	0.21708600672996137	0.48835180685112256	0.05743397572477573	0.09738727172281685	0.02329756221059953
ENSMUSG00000039691	-1.5792295181184324	-0.25678352978502	-0.7781319305554153	0.2522566040288702	-0.3643804553795124	0.007872580277807462
ENSMUSG00000003053	-0.014266679013490713	-0.1275171169275043	-0.3021938765667195	0.2789812836021533	-0.177105615992574	-0.0399891649282832
ENSMUSG00000035623	0.13990013086490222	0.31776138937740034	0.27624852040406456	0.06944370661573754	0.1771724554736018	0.06676161095340294
ENSMUSG00000023439	0.1357744219957494	-0.018574884071766995	0.5147870136688963	0.10983130485241697	0.062163529760977526	0.03329445075862973
ENSMUSG00000032343	0.0786727241865733	-0.037038359350237936	-0.1756129111877879	-0.0696231434727621	-0.06094821823882837	0.019170817276594865
ENSMUSG00000078945	0.06890309729642338	-0.06295129775365013	-0.12398560728244848	-0.11869190970104841	-0.08719128888205464	-0.012963854837079514
ENSMUSG00000018733	0.2426872656900511	0.2896511561593901	1.0640795434583317	-0.03665848675053009	0.1365073215128109	0.00502769876041298
ENSMUSG00000024170	0.1200294601573189	0.2614654433594308	0.09584242118958586	0.052311712188538396	0.06575292693823703	-0.027344140485082713
ENSMUSG00000022818	0.1382807087914406	-0.051197619940202846	0.07008919432653472	0.06770820064525983	0.09235502255927723	-0.02693038473248699
ENSMUSG00000037977	0.023020731672666973	-0.017560623679039565	-0.11754288311129377	0.27426108149559997	0.00256564748618196	-0.035846274091292506
ENSMUSG00000035914	0.13299312596935967	0.1822094212283786	0.10831900337307668	0.08734686910117384	0.15667931962822887	0.0014039828097158757
ENSMUSG00000031568	0.14376504909744697	0.24629171514577428	0.4530675453412332	0.050647921984156005	0.09766638082437194	-0.0128335141927165
ENSMUSG00000029475	0.17061856141056728	0.1320192572069061	0.3898186360774929	0.11068611414257092	0.20819064527993153	-0.05665828736719425
ENSMUSG00000051166	0.11911362349062256	0.29221037155361085	0.09830077421554842	0.02933340462206828	0.011363283972112573	-0.035176293196182096
ENSMUSG00000045664	0.13015402057209285	0.0831447727939388	0.22114264853251608	0.06900095684462798	0.1392820522555675	-0.04468400671366257
ENSMUSG00000044617	0.23224999423091974	0.0725442511774724	0.5049045013623497	0.015225643520591468	0.1312586938612018	0.0014257419754887257
ENSMUSG00000023072	0.12637736011019293	0.2601939995026581	0.1584168221818401	0.030334702717909872	0.11169444290432037	0.004090344092685827
ENSMUSG00000110419	0.1658843285637484	0.07833034301351909	0.2559962905557493	0.09398346375951434	0.1987672778189266	-0.05281785240602721
ENSMUSG00000118280	-0.9307837464299797	-0.2437540953740776	-0.6638212574767554	0.3495426087975241	-0.3325083285326563	0.019548629712274668
ENSMUSG00000087094	0.13713647435279105	-0.014231931808395843	0.006133191662679394	0.05491895726304852	0.19398450677249146	-0.08270820025679261
ENSMUSG00000031154	0.10280284144554024	0.3203903240407781	0.47018035379758083	0.06164918482640583	0.1362677546545326	0.02738247039755315
ENSMUSG00000055240	0.11607485501035	0.2524543507786755	0.39007185035560565	0.06434457245066313	0.10760928237240242	0.00462844033534604
ENSMUSG00000058831	0.13850404202399808	-0.03749753411003398	0.6919841043601741	-0.08270350468826843	0.05543776944823684	0.034028912580474815
ENSMUSG00000032563	0.10371332555320044	0.2780083801861889	0.0018422339852680603	0.04049150155521414	0.0061777631759583704	-0.019347063546588748
ENSMUSG00000062078	0.15667022002866302	0.20671618730255775	0.2555026782027033	0.08671876894893676	0.24716032368189925	-0.0016456871365477799
ENSMUSG00000039356	0.17640437693925368	0.2221414599283699	0.6905235012416379	0.06445284598748671	0.10478946711030361	-0.00877227045709339
ENSMUSG00000029580	0.5907968309843096	0.2659779179049229	1.262764783884288	0.09714350661791755	0.5164016520164894	0.018020230043698238
ENSMUSG00000000876	0.13257972314248628	0.12086736457209256	0.2797201845411905	0.04118400305053111	0.09106946751311154	-0.016489136982657637
ENSMUSG00000105195	0.1776135162507157	-0.05364085704636443	0.1977659415779386	-0.03997399474328883	0.07906527520629655	0.03462638079128528
ENSMUSG00000062210	0.11278329802347375	0.15636885859360614	-0.08912551462378825	0.0919742276991336	0.16150026170470427	-0.010476618252315495
ENSMUSG00000005836	0.041328589346729144	-0.0500532441907887	-0.20627450222309957	-0.059267539945307326	0.15427689515336113	-0.03500808335302628
ENSMUSG00000118120	0.04554864104720041	-0.03625207057786032	-0.2200913257367265	-0.09553891016688353	-0.10417855518991666	-0.013163591834798372
ENSMUSG00000022956	0.14628878762262937	0.3025709002244481	0.5029414054416528	0.09009899064928463	0.12532178441208974	0.05938046249043549
ENSMUSG00000081940	-0.1546037907159384	-0.20414074633797302	-0.18073693850649622	-0.08750229200237852	-0.11528925871909065	0.03827834646007877
ENSMUSG00000093910	0.14071596119953933	-0.0033524526744598826	-0.01826881139532965	-0.037474537796036954	0.1666358308205378	-0.04760724030077196
ENSMUSG00000113211	0.0425478530123636	-0.07417591711397985	-0.24319557550160245	-0.03458426087756463	-0.047836618119047124	0.013109923302592197
ENSMUSG00000061666	0.11517835343228466	0.18903534656829166	-0.02276387391547948	0.02056344551252373	-0.0317934003465585	-0.023758549764694884
