	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000028318	0.013722119548236598	0.15685344891673023	0.014214222059783952	0.19020007290125734	-0.013265474911590636	0.1326491213999199
ENSMUSG00000054362	0.022876685303403258	0.03479288489534918	0.06865274462650328	0.20163874621828384	-0.0223072305158642	0.0024373099882329385
ENSMUSG00000028494	0.028995554104976246	0.12159841684101202	0.004936023938508116	0.361573555671725	0.02394415064058371	0.13649971928799
ENSMUSG00000041620	-0.11073950396670162	-1.1619901228542344	0.07836058631775826	-0.8573566454389628	-0.01150740141957618	-0.33383624656993766
ENSMUSG00000121848	0.043620663828658916	-0.12420003377620449	0.12598922310148625	-0.1276626933157082	0.014886526786429155	-0.19473973205044723
ENSMUSG00000032253	0.016063898940577814	0.46513051770001096	-0.00018402066886324953	0.5962553234727513	0.013098516116507327	0.2816094208457438
ENSMUSG00000114832	0.011668738109389176	-0.10337605212612684	-0.08755962702411489	-0.3613412051847785	0.026141641674672592	-0.1944626054409094
ENSMUSG00000110162	0.00979606567210606	-0.183154505295551	-0.058978901183493616	-0.23430711160937895	0.008879272922266535	-0.16980163737684192
ENSMUSG00000020534	0.02950575081310926	0.35371458728918775	-0.04702845387878027	0.35209895348623776	0.009202476376068303	0.36705575343629465
ENSMUSG00000020721	0.014568958768218785	0.5066264542506114	0.004981273308882095	0.5608633354112217	0.013694131422255347	0.3345218748181915
ENSMUSG00000046480	0.00557744080957418	-0.015607767751543919	-0.08385509201737812	0.048204763669306795	-0.0008821311943234822	0.1408939184121911
ENSMUSG00000000916	0.019599530317296634	0.4672323129268383	0.05112211034495637	0.5852193141598618	0.0002578576805050137	0.2990803505826145
ENSMUSG00000090629	0.005397883308452256	-0.14451556353455655	-0.10186915688766579	-0.19375218755526494	-0.0033306546701918787	-0.2004774054430218
