	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000056423	0.006417918389807098	-0.1467339139698559	-0.388464140757109	-0.06342145558514453	-0.10194103767631951	0.04071819990086312
ENSMUSG00000094810	0.047184425751583034	-0.12450229119106437	-0.29065843576625044	-0.08544794269159259	-0.14462232852067267	0.042176886010185766
ENSMUSG00000100859	-1.3861421696523548	-0.46092799923769695	-0.8820038492899908	0.4242552261393597	-0.49045556661049816	0.025148922064079038
ENSMUSG00000024642	0.08826274390325735	0.37354816937611746	0.32064743174291915	-0.005564012003946704	0.1865251133388393	-0.004290696790876791
ENSMUSG00000066273	0.0847378535212725	-0.1322240707035885	-0.2452173983046078	-0.06403675961416438	-0.19359416414271377	0.09049031975493609
ENSMUSG00000038628	0.09991006053720923	0.16976394652828605	-0.012219696833862481	0.01651915579484387	0.0866643948784939	-0.035798554831550124
ENSMUSG00000033701	0.06697011981374328	0.3336948623344146	-0.02182719300949454	0.022292466333100367	-0.026265447634412055	-0.041993746078125005
ENSMUSG00000090252	-1.3861421696523548	-0.46092799923769695	-0.8820038492899908	0.4242552261393597	-0.49045556661049816	0.025148922064079038
ENSMUSG00000038046	0.09209813426650178	0.3147019879595124	0.5910650247700833	-0.015755548139600006	0.03533019016606951	-0.04643266821754863
ENSMUSG00000100235	0.08027912192231121	0.18198026495034847	0.43646577673047526	0.024996777150841507	0.19061719910696018	-0.06108713408811439
ENSMUSG00000110140	0.04923258252008565	-0.13259313653178054	-0.25463875631585536	-0.02050242304251093	-0.08272392823305408	0.04951446847571473
ENSMUSG00000113974	0.040838264625470515	-0.13492259613866425	-0.237323892947023	-0.10337475113356663	-0.11139271069668483	0.03456793225570376
ENSMUSG00000111221	0.08139459000002801	-0.09612372995505794	-0.5005173784521451	-0.016765979272613363	-0.049841600646549314	0.04559189625919398
ENSMUSG00000074219	0.07575864006067753	0.2576129640108022	0.1961866751848144	0.03929235873715387	0.045846473551821885	-0.040293157797289036
ENSMUSG00000093973	-0.2328794622295841	-0.22446162933423422	-0.4827046656790357	-0.047235246476482196	-0.28487247878149224	0.042721090576202325
ENSMUSG00000102930	0.2072945751112035	-0.11099304119217752	0.5324901157074806	0.005258210212812142	0.2170450895566635	-0.014645433380697839
ENSMUSG00000093732	0.06641641686529155	0.061880359346933374	-0.1379968153307619	0.06660055341637221	-0.06448214017808154	-0.015853299003364525
ENSMUSG00000112915	0.06852215604846451	-0.1576383475596405	-0.24668783435103817	-0.07765569219333401	-0.05367636636656102	0.07386035877632187
ENSMUSG00000086389	0.18107059515867013	0.07738960004667286	-0.18631397049136939	0.005484167009288027	0.24675273930161468	-0.0839145125554064
ENSMUSG00000042726	0.08931921817770423	0.06726421348331402	0.21783977938210894	0.013246148948414804	0.01579324794005844	-0.057022310370676996
ENSMUSG00000039205	0.13666997565719569	0.040220977968079386	0.0852376458509269	-0.02428684399218406	0.2122179644608539	-0.07745250649039373
ENSMUSG00000020251	0.04059678694480566	-0.017504613767864413	-0.07605207648391438	0.26062115854775236	0.055498189655854895	-0.04039359964055078
ENSMUSG00000073460	-1.3861421696523548	-0.46092799923769695	-0.8820038492899908	0.4242552261393597	-0.49045556661049816	0.025148922064079038
ENSMUSG00000020773	0.20245766710346624	0.018538689632903727	0.5990488627850062	0.03534150436509469	0.24859959978841117	-0.09952907622191445
ENSMUSG00000087043	0.06599599988662004	-0.11672344382198133	-0.24876279894282588	-0.06817149213444411	-0.11039175886757181	0.05375939188401285
ENSMUSG00000080781	0.07588610291910929	-0.1084419387764639	-0.3346623056738152	-0.06875991772703123	-0.11206642061398689	0.037916828376486134
ENSMUSG00000079491	0.10003805177706541	-0.05247900375666603	0.11129103224028017	-0.018164809845498384	-0.07406800497499219	0.020181537518769544
ENSMUSG00000079505	0.1034760323559574	0.1718033460369604	0.07583365663126236	0.038543123991373066	0.09904454114430965	-0.068895340123735
ENSMUSG00000027131	0.12856340608656125	0.3442401002729306	0.7751684243072222	-0.06644981118419821	0.10697715101249239	-0.023634396413164893
ENSMUSG00000030157	0.08533163404869974	-0.049981480455089794	0.09641227888407185	0.01797478189854934	0.05270592680351008	-0.07466594004673525
ENSMUSG00000115799	-0.08567116801508746	-0.13388888049663317	-0.26643469747133247	-0.028433868425369786	-0.05507700966395295	0.03135228583579863
