	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000056423	0.024429983004014555	-0.10648379807354194	-0.3218280125627201	-0.06243497808293708	-0.07994295753978098	0.03327356813336341
ENSMUSG00000094810	0.0677358740665621	-0.08634349166219714	-0.2291088901473618	-0.07797470442934569	-0.1223043350260863	0.03256409536677429
ENSMUSG00000100859	-1.3864594070595833	-0.4142658308176181	-0.8065683058480091	0.40910768506913225	-0.4540270808826774	0.022525737527810286
ENSMUSG00000024642	0.10662598797314549	0.4121471215342672	0.3797758990180555	-0.0016293877696382797	0.21141175422104036	-0.008764390834403486
ENSMUSG00000066273	0.10842287342634074	-0.09410162545016362	-0.1842025532231203	-0.05845353914105683	-0.1676656027765488	0.07659446225183952
ENSMUSG00000038628	0.11812889410699792	0.21421654450027455	0.04920787077407715	0.017520741014281065	0.1078656122612953	-0.04166212200734887
ENSMUSG00000033701	0.08452065556722273	0.37472035926700403	0.03988195736152414	0.020811507223746833	0.0005064497091802345	-0.047131632793294465
ENSMUSG00000090252	-1.3864594070595833	-0.4142658308176181	-0.8065683058480091	0.40910768506913225	-0.4540270808826774	0.022525737527810286
ENSMUSG00000038046	0.11016106902313497	0.3563923844888424	0.6572340195506293	-0.017739224383781504	0.05997062845705969	-0.05457352175470961
ENSMUSG00000100235	0.09895642196521133	0.2254196397398605	0.496244427758349	0.029624164987207238	0.21180007587338726	-0.06835448997503646
ENSMUSG00000110140	0.07081881813571536	-0.08906065215024607	-0.1899438771349115	-0.029635775613862922	-0.06101665028921338	0.047565178501274785
ENSMUSG00000113974	0.061168749862655324	-0.0958298104421705	-0.17892696126633126	-0.09339217713297343	-0.08955883061620071	0.025369510136412976
ENSMUSG00000111221	0.10233906213729131	-0.06036077952479929	-0.42354746420550987	-0.027513261183147876	-0.029996409994928572	0.04325488528010751
ENSMUSG00000074219	0.09446258853534945	0.3004201588333625	0.2576374004851915	0.039171564663289006	0.06765138706544263	-0.0445009112584972
ENSMUSG00000093973	-0.22228141870916224	-0.18115541603743157	-0.4121821533280134	-0.04677894299595092	-0.2567478962511736	0.03015166997326202
ENSMUSG00000102930	0.2301248425425991	-0.067093510538563	0.5961621354598392	0.00024248144525162996	0.23824665917973473	-0.020794857497420355
ENSMUSG00000093732	0.08816835296643627	0.08828012890743533	-0.07120585936374911	0.06454449491031293	-0.04228519136227375	-0.010498616365615693
ENSMUSG00000112915	0.09147067047120436	-0.11505537026379928	-0.188306120432563	-0.07681815784638286	-0.030555474174958686	0.06642696117686893
ENSMUSG00000086389	0.19944061345485523	0.11466838137956828	-0.12285703681757075	0.00976751840350426	0.269421489325701	-0.08953411270043128
