	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000056423	-0.0012540528550744057	-0.2063734084367752	-0.1328909695148468	-0.2458122968673706	0.013379281386733055	-0.23616278171539307
ENSMUSG00000094810	0.009202091954648495	-0.15204285085201263	-0.13665783405303955	-0.21767564117908478	0.0029977657832205296	-0.24751950800418854
ENSMUSG00000100859	-0.33722397685050964	-1.0412819385528564	0.37017491459846497	-0.9722049236297607	-0.002012938028201461	-0.3201903998851776
ENSMUSG00000024642	-0.0022417905274778605	0.4865606725215912	0.034482602030038834	0.5666813850402832	-0.001441960223019123	0.3507498502731323
ENSMUSG00000066273	0.020328233018517494	-0.18146584928035736	-0.13369527459144592	-0.17676115036010742	-0.01761377789080143	-0.20205700397491455
ENSMUSG00000038628	-0.006403911858797073	0.2724309265613556	-0.04650261253118515	0.13120365142822266	0.00669605378061533	0.321509450674057
ENSMUSG00000033701	0.009852472692728043	0.4596267640590668	-0.0361185297369957	0.32770010828971863	0.016258960589766502	0.3246692419052124
ENSMUSG00000090252	-0.33722397685050964	-1.0412819385528564	0.37017491459846497	-0.9722049236297607	-0.002012938028201461	-0.3201903998851776
ENSMUSG00000038046	-0.004821635317057371	0.4248628318309784	0.07856474071741104	0.4088445007801056	0.0030051670037209988	0.3189699649810791
ENSMUSG00000100235	0.0036780068185180426	0.28748875856399536	0.05280616879463196	0.4745253026485443	-0.0076982323080301285	0.2675398588180542
ENSMUSG00000110140	0.013454619795084	-0.1746435910463333	-0.127153679728508	-0.13217996060848236	0.017221329733729362	-0.10716546326875687
ENSMUSG00000113974	0.006455679424107075	-0.17434276640415192	-0.12334689497947693	-0.24290432035923004	0.01584566943347454	-0.2393132597208023
ENSMUSG00000111221	0.023068152368068695	-0.12862378358840942	-0.13220366835594177	-0.19915832579135895	0.017080990597605705	-0.21239063143730164
ENSMUSG00000074219	0.009083963930606842	0.36943018436431885	0.007559291552752256	0.2098645567893982	0.01302411686629057	0.3010893166065216
ENSMUSG00000093973	-0.07410100102424622	-0.34756505489349365	-0.0944155603647232	-0.3568170964717865	-0.018717847764492035	-0.2859525978565216
ENSMUSG00000102930	0.05753612145781517	-0.11820179969072342	0.09370341897010803	-0.017902148887515068	-0.04484844580292702	-0.007294375915080309
ENSMUSG00000093732	0.014581217430531979	0.14134439826011658	-0.07054765522480011	0.28253257274627686	0.013270956464111805	-0.18180440366268158
ENSMUSG00000112915	0.01729203388094902	-0.3115192651748657	-0.11934913694858551	-0.30806687474250793	0.026614634320139885	-0.14258341491222382
ENSMUSG00000086389	-0.008077848702669144	0.18672271072864532	-0.09226029366254807	0.13030928373336792	-0.013721165247261524	0.16383203864097595
ENSMUSG00000042726	0.012361867353320122	0.131684347987175	0.009902493096888065	0.053007420152425766	0.018564391881227493	0.20727704465389252
ENSMUSG00000039205	0.005962043534964323	0.1359582394361496	-0.030746400356292725	0.01065910141915083	-0.024299385026097298	0.16181619465351105
ENSMUSG00000020251	0.001097248401492834	-0.8211290240287781	-0.06641889363527298	-1.2646950483322144	0.012991392984986305	-0.20695558190345764
ENSMUSG00000073460	-0.33722397685050964	-1.0412819385528564	0.37017491459846497	-0.9722049236297607	-0.002012938028201461	-0.3201903998851776
ENSMUSG00000020773	0.023663677275180817	0.09941206872463226	0.09705894440412521	0.2103651463985443	-0.03462400659918785	0.12496630847454071
ENSMUSG00000087043	0.01735285483300686	-0.14514924585819244	-0.1262158453464508	-0.24243488907814026	0.015253736637532711	-0.173076331615448
ENSMUSG00000080781	0.016755230724811554	-0.1189054548740387	-0.15242527425289154	-0.14589440822601318	0.006197809707373381	-0.2727678120136261
ENSMUSG00000079491	0.02519945055246353	-0.03265908360481262	-0.02495645545423031	-0.16377945244312286	0.025899915024638176	-0.04438333958387375
ENSMUSG00000079505	-0.0035149091854691505	0.28215208649635315	-0.01931111514568329	0.22418008744716644	0.00580230075865984	0.22157087922096252
ENSMUSG00000027131	-0.013319989666342735	0.4430859088897705	0.08687303215265274	0.47676509618759155	-0.0020838361233472824	0.35998764634132385
ENSMUSG00000030157	0.020046964287757874	-0.01740426942706108	-0.016014164313673973	0.08188179135322571	0.017740726470947266	0.03160499408841133
ENSMUSG00000115799	-0.04429413750767708	-0.14619578421115875	-0.1329498440027237	-0.02202867902815342	0.019292492419481277	-0.2762881815433502
ENSMUSG00000074753	0.006288551259785891	-0.13726626336574554	-0.1293683648109436	-0.12032545357942581	0.013070260174572468	-0.18493208289146423
ENSMUSG00000062797	-4.143940896028653e-05	0.4167679250240326	0.04460145905613899	0.4724121391773224	-0.0076492177322506905	0.3416458070278168
ENSMUSG00000017756	0.00640592398121953	0.35847413539886475	0.05243664234876633	0.45386868715286255	-0.006754883099347353	0.3458167314529419
ENSMUSG00000043157	0.05197054520249367	-0.12215860188007355	0.14152689278125763	-0.18764688074588776	-0.03351716697216034	-0.11688996106386185
ENSMUSG00000097352	0.021175049245357513	-0.08791036903858185	-0.13624946773052216	-0.12642411887645721	-0.01228287722915411	-0.15986387431621552
ENSMUSG00000082173	0.023607440292835236	-0.10722079128026962	-0.137595534324646	-0.16245099902153015	0.020887644961476326	-0.19050857424736023
