	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000056423	0.011265510640832786	-0.16030275725214263	-0.09695417821356167	-0.17759296880013223	0.006812222336340601	-0.17038083690471958
ENSMUSG00000094810	0.020484710191198574	-0.1081263860797149	-0.09727921875029946	-0.15047883793634603	-0.007545866469283911	-0.1767892510945851
ENSMUSG00000100859	-0.3130840236786342	-0.981454454837621	0.27809689922390435	-0.7386685921624497	-0.07058265835604027	-0.25508587885632744
ENSMUSG00000024642	0.013129481656291348	0.5727466523189017	0.054204067123697894	0.6430773392181859	0.00951473586659346	0.3640794850435711
ENSMUSG00000066273	0.030432788057112303	-0.13182366741031004	-0.09136280189109619	-0.11010461174590327	-0.03227821373540991	-0.13416727070147927
ENSMUSG00000038628	0.005130414013126416	0.3539877796152544	-0.018746111487377166	0.21033753852317896	0.012056662446760933	0.338128368092799
ENSMUSG00000033701	0.02288572564688018	0.5424747981140554	-0.012698960574887286	0.41026690144157746	0.019644112158243788	0.34137748480300484
ENSMUSG00000090252	-0.3130840236786342	-0.981454454837621	0.27809689922390435	-0.7386685921624497	-0.07058265835604027	-0.25508587885632744
ENSMUSG00000038046	0.009271513780925389	0.5038987306162145	0.1125413783974851	0.48707244789037624	0.012483614306150857	0.3261190144761404
ENSMUSG00000100235	0.014484565216115958	0.3724402836325412	0.077361643285551	0.5601375114943853	0.0021249422453815114	0.2737520192259467
ENSMUSG00000110140	0.019013954647649312	-0.10748672724497492	-0.09287189776666331	-0.0622851505112664	0.011977774280702402	-0.056853617486433576
ENSMUSG00000113974	0.01824179521438996	-0.131826829032597	-0.08478996911986204	-0.17434387245168562	0.006327460713267952	-0.1692533456645705
ENSMUSG00000111221	0.02960466287535546	-0.07466838999515002	-0.09894792818599031	-0.13506353901835044	0.016136398282337816	-0.1473274152002913
ENSMUSG00000074219	0.021695540091584826	0.4508401123356355	0.03568015265150642	0.28933032658893926	0.017847313531088593	0.31661922940052634
ENSMUSG00000093973	-0.05397318554379229	-0.3101724746812617	-0.038401152674507166	-0.2723331595633358	-0.0545293382167571	-0.22619857107558775
ENSMUSG00000102930	0.05762464153379064	-0.04450602379088575	0.13547363402904192	0.048189556609500396	-0.05107639314578588	0.03924841777750659
ENSMUSG00000093732	0.019700099749185872	0.20943018826733883	-0.04505529742292917	0.35376605493606694	0.01310368353028557	-0.1296067426806913
ENSMUSG00000112915	0.02722097248831606	-0.255597262596671	-0.08307680007628424	-0.2352096867962946	0.01913800299599855	-0.08812628775916767
ENSMUSG00000086389	-0.007330951536158484	0.2676056801473879	-0.06558769128530859	0.20781755719750478	-0.004136004582636632	0.1903971597813252
ENSMUSG00000042726	0.01785604129022933	0.22223337522083977	0.037703072593062936	0.1276302495724238	0.01934714604161304	0.22998866738546073
ENSMUSG00000039205	0.008073818312827611	0.2199541243939304	-0.0017510791663110647	0.08547580575825478	-0.02060783603025194	0.19016603538161997
ENSMUSG00000020251	0.016558305029808935	-0.8663226137516539	-0.04529046948855505	-1.036776414911606	0.0013337726751267986	-0.19265136916816483
ENSMUSG00000073460	-0.3130840236786342	-0.981454454837621	0.27809689922390435	-0.7386685921624497	-0.07058265835604027	-0.25508587885632744
ENSMUSG00000020773	0.014970950094023466	0.18753927532367198	0.13795148997195272	0.28010752348403317	-0.0330788944354522	0.15531288086982248
ENSMUSG00000087043	0.024773177263700354	-0.08877050286504878	-0.088131622854613	-0.17519793574442324	0.006522936982528704	-0.11150465770862006
