	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000032936	0.0494411713597531	0.2003977899842929	0.2062446582065864	0.08898517818187039	0.11773182068604261	-0.046057795380953136
ENSMUSG00000063975	0.04993919284097501	-0.067916429977257	-0.1260488922272738	0.010965980477911736	-0.08798932910701426	0.10517905854524412
ENSMUSG00000113736	-0.007298986217418652	-0.08698112000253916	-0.30429433310216286	-0.08884145360690517	-0.025900328815727593	0.031580349577208316
ENSMUSG00000010914	0.047060320904295495	0.1957561482748133	0.10097267547186806	0.08555256554188548	0.08423424147736763	-0.04376431509049975
ENSMUSG00000097798	0.05379956632761085	-0.08005566641659242	-0.19062412353352037	-0.04275601871200446	-0.05059806241957371	0.06854100901130421
ENSMUSG00000053091	0.048694271976377684	0.2305852053961384	-0.2490422278278337	0.1072530982830358	0.04877219422944888	-0.03265603434847435
ENSMUSG00000035914	0.0751778088838494	0.1505636245147408	0.05323406555744441	0.08983668551970497	0.1368228051396727	-0.028658637704523114
ENSMUSG00000100807	-0.0044167137727656935	-0.07306691726428523	-0.2921488353073593	-0.09920810878263313	-0.1575681028323223	0.04052041698388556
ENSMUSG00000025170	0.08006079809378466	0.00952115581063221	-0.12778897785418458	0.10929391265043316	-0.06150299559771416	-0.06795021680133817
ENSMUSG00000078898	-1.1817857204891749	-0.1140400165232547	-2.1404679803884004	-0.01897290831782032	-0.25647794529005685	0.016630462892187226
ENSMUSG00000001334	0.07486803180571379	-0.09809905864635117	-0.18798903045023638	-0.04184140615133011	0.03681497915999249	-0.022345948254743623
ENSMUSG00000025103	0.05898635369251549	0.2523759246976364	0.18474473757661533	0.08236533848841125	0.11582715713271423	-0.01700635628440068
ENSMUSG00000032808	-0.48289862004437184	-0.06507367933726138	-0.4510824187928457	-0.11719059425683684	-0.25509960938132803	0.03900136367582101
ENSMUSG00000117063	0.06633942593013802	0.22435423042417305	-0.1350556604130491	0.10388481464194359	0.16709735248015412	-0.03046890094639301
ENSMUSG00000120731	0.07532099969100403	-0.10735435647324526	0.1430725389527392	-0.0952620178296846	0.05992811150645139	0.027068881224009342
