	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000036678	0.015559244574978948	0.575645904267107	0.022193857284478976	0.5728423856776707	-0.0041456151492768965	0.1538148092746269
ENSMUSG00000116610	-0.02214299169073846	-0.138516512825819	-0.0882622112916059	-0.18641636992875388	-0.0018151720146436544	-0.08018859402977146
ENSMUSG00000098760	-0.001841634654088661	0.4205537430854747	-0.025726569857215508	0.24670205951967675	0.0034192121964484352	0.2613454875983215
ENSMUSG00000025393	0.016343161495959584	0.6963307943265785	0.07769385970958476	0.7020746950532287	-0.008177568927723249	0.1608476073590282
ENSMUSG00000071379	-0.007224033433989721	0.4409994904340627	-0.04558594892561294	0.08567168167210185	0.021425708937749734	0.29036786797400316
ENSMUSG00000020783	0.01028531374260118	0.49649612954651406	0.021298147059652755	0.31575613099807276	0.027635462011260513	0.18198075406689895
ENSMUSG00000023443	-0.022182000416276944	-0.11341890185431111	-0.07259664242124668	-0.14018515491978698	-0.012180314781029924	0.09169649072365636
ENSMUSG00000048109	0.03407298670624316	0.7952762238167842	0.07297626566432883	0.8243791954516252	-0.01040719078321542	0.20273725100196316
ENSMUSG00000097217	0.02311502395345347	0.6389166372275212	0.05685176726235243	0.5964802720534342	-0.005523616559574813	0.18985234849824337
ENSMUSG00000027425	0.012924490962489342	0.6963987782472811	0.02433004954967016	0.6963856713397295	-0.014260259084715341	0.19873220730525126
ENSMUSG00000020205	0.001011166716281358	0.5053911937548297	0.061822558180262735	0.4985832276887127	0.01692752511974374	0.1928279018043083
ENSMUSG00000034023	0.020159946484532804	0.5438455292151567	0.021513697797906517	0.5739716412676249	0.023383026463229078	0.19186250312964798
ENSMUSG00000020493	0.015544298561871983	0.616516436474298	-0.019936470401132413	0.5449907895175524	0.021093684309224564	0.16498833082119485
ENSMUSG00000061376	-0.010826580328076879	-0.11637857662145897	-0.03709223937715121	-0.23705844191572395	0.005769827516269288	-0.10462525178663781
ENSMUSG00000044477	0.013438444032726694	0.6454222774945915	-0.019532893265464476	0.6375714641764976	0.01719023737563735	0.2566735501983203
ENSMUSG00000003423	0.0017150510286488238	0.7762455328151451	0.013322304347405277	0.8748473468105138	-0.017214395955150914	0.21115439303321182
ENSMUSG00000017715	0.012759766820922128	0.4785791738611546	0.0671642652958066	0.3720130775577023	-0.022771469914213024	0.16441453605189704
ENSMUSG00000066438	-0.020588031726323865	0.28817133967220016	-0.038563379793153475	-0.014959431046736426	-0.009434250235218704	0.27592069336273456
ENSMUSG00000022243	-0.020165548469646768	-0.09422509828727925	-0.10444952377469495	-0.0647726578242977	-0.0010128856921905287	-0.02256299088070851
ENSMUSG00000120532	0.016553747385894116	0.3962492196211575	-0.009943022419923052	0.5919410649863753	0.028980442243170857	0.09796787097875495
