	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000032492	0.12533584499178688	-0.10743291449367202	0.06201191882973944	0.01196667958522864	0.14930512651616093	0.035405670881716235
ENSMUSG00000017400	0.0931850941504568	0.10504972724177475	0.270793594436535	0.06974038685309226	0.207061448301725	-0.04402048696876071
ENSMUSG00000117433	-0.008147112215998018	-0.08018713009888805	-0.297625910962805	-0.14006271429737224	-0.1822037692273235	0.036396615025919996
ENSMUSG00000087293	0.044895825583911836	0.05793044455209123	0.22769212403072742	0.09723674224832003	0.07593158288145788	-0.05058822932374564
ENSMUSG00000041974	0.04536789447073326	0.08736566714152494	-0.14821050166018332	0.0955778768134873	0.05785398382088585	-0.030361048323642795
ENSMUSG00000085043	0.02780558861891872	-0.10769824883962949	0.49608244143050145	0.11843891018693935	0.1430526376909776	0.014207661475977927
ENSMUSG00000021280	-0.4446219721025305	-0.08577677370651925	-0.6004652758583688	-0.058474538476054605	-0.30850189744731843	-0.013991404908613602
ENSMUSG00000091264	0.046299901595921254	0.19301392059548692	-0.22292569414982738	0.09016308170128988	0.08581302598779855	-0.03543462352536153
ENSMUSG00000090100	0.010443493260286882	0.15773584803765905	-0.38765476078317856	0.10387881466922408	-0.13634122347066296	-0.04393232887294809
ENSMUSG00000026672	0.03981402586193456	0.03201690632184701	0.18771009363429456	0.09762709232698918	0.07414602733946854	-0.056167901565744874
ENSMUSG00000040367	0.006070014633171792	-0.1022689142985785	-0.34713609532393874	0.08209421036522795	-0.09947858922948528	-0.07132740402906035
ENSMUSG00000121017	0.24926410303804525	-0.008234369757909527	1.030269616928334	0.07529265828842265	0.05880218204038101	-0.08309251605283602
ENSMUSG00000026697	0.017375745525558678	-0.09058688124392315	-0.34543657498158736	-0.1402514750709088	-0.09648323939181865	0.04629632243200571
ENSMUSG00000029368	0.006382237341962796	-0.08518631976704845	-0.31915883212698515	-0.10846980904269522	-0.1319915783201785	0.040966319407535985
ENSMUSG00000060787	0.039850563221677605	-0.15651461476289633	0.1862963240982416	-0.15546337437928223	0.01671980936745448	0.03678437384566808
ENSMUSG00000042726	0.04080099317444755	-0.052614469605448126	0.18433815330588135	0.08359044857783633	0.045282429834229074	-0.03639435073419008
ENSMUSG00000117977	0.04915539886301953	-0.0812314434041452	-0.3765511024154486	-0.07858833424350971	-0.17780413536727013	0.07223911301823266
ENSMUSG00000031976	0.07573058430072187	-0.09373300312976686	0.4083893220036511	0.13938330018115397	-0.008848200246679231	-0.10520246584533847
ENSMUSG00000086796	0.09161960839410313	-0.10382810232903077	0.24563119630786656	0.10999764918763373	0.139712012317094	-0.06870361779199032
ENSMUSG00000097039	0.024117085768271602	0.1025900554825057	0.10042572205524526	0.06327445167802839	0.12944830663888882	0.04531749618462137
ENSMUSG00000099411	-0.00024166860330296914	-0.08560889781115942	-0.37923976061569453	-0.10835914816598233	-0.1382224927777965	0.04688984400813102
ENSMUSG00000022871	0.08299493901369195	-0.11746683247412355	0.19501500085669768	0.09357627170341272	0.035725588369885895	-0.1169617857659302
ENSMUSG00000052962	0.06906470625898302	0.2568683897049466	0.5451769730789757	0.088918059478965	0.04891547226049754	-0.033801303072998834
ENSMUSG00000055567	-0.005105352673438444	-0.06291484107142813	-0.33448655693142165	0.06500564742028862	-0.08239859884748252	-0.05201687253595862
ENSMUSG00000044098	0.0461608432693278	0.29378452185420817	0.014158313122295242	0.06306662497398585	0.145663245117508	-0.03133612312459653
ENSMUSG00000061731	0.03652882447911127	0.14141790517278424	0.015953037226531058	0.06491505123766339	0.12204128408546759	-0.012277135789502479
ENSMUSG00000029775	0.03579444147554958	0.3673094355322454	0.1040919315390056	0.051545285061729375	0.08870888898808127	-0.014190639839424486
ENSMUSG00000017412	0.0056795578761791275	-0.11592915496938595	-0.3389789083766248	0.021999740063568293	-0.010871252299382052	-0.019393015583669435
ENSMUSG00000093575	0.05620960835346653	0.15360598915950893	-0.16654239797436665	0.0812009034514631	0.1743391654388688	-0.015609626296126018
ENSMUSG00000049305	0.13664138083508337	0.3049440509749859	0.8995804130144799	0.04078172826287171	0.25436528746691434	-0.04912125402042875
ENSMUSG00000020608	0.03934873410866463	0.25867191501945075	-0.1337763771468677	0.034628087012918383	0.10392563933762305	-0.01887123239430366
ENSMUSG00000073491	-0.01724389151809841	-0.08129157469208752	-0.3583652207984934	-0.09553064179485123	-0.1713685505232466	0.045604484797721466
ENSMUSG00000024927	0.08330271000512376	0.2765832611625748	0.24276647853611003	0.04331676139855907	0.14200475599552323	0.014077726088206483
ENSMUSG00000108545	-0.22525297592609214	-0.11789635940824934	-0.3960496365622281	-0.012511423871235041	-0.2016272309950312	0.07724867719911604
ENSMUSG00000068036	0.04137784654636302	0.21188008606155304	0.016966110649809706	0.076320600424255	0.10239503550359846	-0.020285903154789203
ENSMUSG00000022604	0.01975871880547077	0.11449836089408823	0.026909623579246856	0.07363319804410691	0.10056048462969816	-0.039358909718326424
ENSMUSG00000026667	0.030388558979445535	0.20731124607783777	-0.05173055463798976	0.08712847430210137	0.07981816727478871	-0.038699255439028746
ENSMUSG00000041324	-0.01754714324696189	-0.13989824266547138	-0.3199231158472165	-0.011696056671280531	0.07315747472862963	-0.02911270316253649
ENSMUSG00000036402	0.07651770379826693	-0.029379125412378925	0.5163212032155571	0.10115908983794465	0.033467655608650865	-0.02789548739799232
ENSMUSG00000020799	0.09504125378506224	-0.10574318827961439	0.49940206475361526	0.10962217307148552	0.042174403138155216	-0.08908549789859015
ENSMUSG00000033701	0.03882518987790848	0.23344614082140783	-0.18241752593993235	0.09441144673406338	0.015984438793176587	-0.03206571216308345
ENSMUSG00000049907	0.05072629465700759	0.1748309588637702	0.4333513738317249	0.08503520978104331	0.12647726986501118	-0.009492097319369869
ENSMUSG00000038641	0.063414184485321	-0.10815930439566727	-0.21659472187555887	-0.11047820202178887	-0.10153616550440867	0.044903130210669974
ENSMUSG00000056427	0.04455069505347638	-0.035826911788483684	-0.21055230361629843	0.050013958563327576	0.05067203153417462	-0.008877058790364703
ENSMUSG00000001175	0.10647069807808814	0.16924008711794158	0.6052009157721451	0.08379569442788903	0.17751105091031474	-0.047919061729252074
ENSMUSG00000024682	-0.08402901916789622	-0.11429347819087395	-0.3932761540263787	-0.10459184630573352	-0.09556775084971118	0.0674840179136871
ENSMUSG00000044501	0.04455315109891152	0.0644401960914755	-0.00866892294948879	0.07656560585398568	0.016080702847414485	-0.0268750839045554
ENSMUSG00000024098	0.05045401270638519	0.15592692548587886	0.18367447299575101	0.08799839211865869	0.055802725147077584	-0.046301318509046854
ENSMUSG00000042477	0.04935006376597032	-0.13110686979302305	-0.21684667044693404	0.049841226856733555	0.1237779569590722	-0.04819658108961968
ENSMUSG00000109482	0.040017848133460834	0.06459054467975095	-0.11666594121629065	0.03210524550294005	0.0137725212370112	-0.08600763030262897
ENSMUSG00000061666	0.05380106724416172	0.0498225904350485	-0.18921594089120586	0.07194912595789771	-0.08673912365889659	-0.014125969943415839
ENSMUSG00000011254	0.043852388734896004	0.18529141372273444	0.5428706341860171	0.07618372615709501	-0.017118224919457654	-0.08434118187682803
ENSMUSG00000038665	0.0007935035395868388	-0.029175793858926876	0.00411718223086999	0.0692960439061218	0.03393437677036023	-0.04969261244966349
ENSMUSG00000053593	-0.3513575777330386	-0.12462367059883296	-0.35539343527473516	-0.11399541245497988	-0.2509742368188329	0.03384995093147154
ENSMUSG00000046916	-0.007933913397677576	-0.12614858280222896	-0.3672702755287901	-0.0736386365549801	0.022865603996615393	0.08540038271000543
ENSMUSG00000020866	0.06301460916895718	0.09820417409230556	-0.24590771654350516	0.07977126201507677	0.1174891157071605	-0.02582991217433508
ENSMUSG00000054640	-0.026641971030247596	-0.12520877813803963	-0.3344035587871726	-0.10565325634686035	0.01314021619327832	0.06581036615721782
ENSMUSG00000003033	0.008764226174389479	0.2787903513223033	0.3734464247457903	0.07301259726264106	-0.05707471323174624	-0.06180590123071202
ENSMUSG00000057337	0.07476475280002758	-0.06478065054148568	0.09536903070901255	0.07362186048074883	0.14716589880886854	-0.052970673660872436
ENSMUSG00000022787	0.05591127257316007	0.2885709796062396	0.5671841599945765	0.0747788656742549	0.011216128888190725	-0.05490901335662264
ENSMUSG00000070810	-0.003898094642292043	-0.08418586128287384	-0.3854563945442351	-0.11961211535791726	-0.14656417212650663	0.048267813693382774
ENSMUSG00000032077	0.04193406728674225	0.19589522226430875	-0.11816534103688485	0.10071998232176287	0.06508028406481442	-0.025884255338418632
ENSMUSG00000116611	-0.010127711173845455	-0.07991683156578802	-0.37385277201179373	-0.08469602244206596	-0.21472946531762968	0.05756069221533835
ENSMUSG00000053153	-0.016809627861948683	-0.047259403011620245	-0.34404870457276826	0.0901545119514984	-0.056700665115308115	-0.06382273424366888
ENSMUSG00000030518	0.009700353949197701	-0.0076990965969993596	-0.30489048235509214	0.05691640375282857	0.08871612126136565	-0.028900299643698547
ENSMUSG00000095125	-0.019440012364897744	-0.09987934199286558	-0.33757809585133924	-0.1335170130109743	-0.1004849035733579	0.05137514991864529
ENSMUSG00000112314	-0.006612585563353994	-0.10336378817280223	-0.3051488586480575	0.13249885254725605	0.043649505790796995	0.03230514528529186
ENSMUSG00000029522	0.14304793069542418	-0.07498686497981127	0.5389843034893212	-0.0053705617188825275	0.013308505569849721	-0.12542591914742454
ENSMUSG00000085735	0.08526685014574988	0.18567043598689323	0.5230313087782893	0.04298952208513843	-0.014099922637979035	-0.04645269150995383
ENSMUSG00000058831	0.039284723875503656	-0.13220002661712768	0.5790273801382552	-0.16816619114522058	-0.016391943333188205	0.06513363200335465
ENSMUSG00000027751	0.04517335008276859	0.21059679873225312	0.10884852781995764	0.0773541026206658	0.05385635745884169	-0.018087079608397158
ENSMUSG00000048174	0.052556959034284645	-0.0937207785917313	0.6119459434077206	0.03619496283645276	-0.030472891941774702	0.08658158015844362
ENSMUSG00000040548	0.05347306187011002	0.30623672413930764	0.46707038455523225	0.086615210493775	0.06913099304770835	-0.03460883862654945
ENSMUSG00000116162	0.06874472728068212	-0.07860027343953593	-0.2699011147616277	-0.12177462055380082	-0.13028533646117596	0.03835353624308482
ENSMUSG00000024818	0.10360212990240793	-0.06237336240550836	0.003743642268610919	0.0822400007818942	0.01957216247309199	-0.0755899853669689
ENSMUSG00000026815	0.11728015643665068	-0.12428538839864944	0.24747763691853575	-0.06364600300803432	0.1243725023760427	0.016232691876939497
ENSMUSG00000060260	0.06076934598926787	0.13739870898342424	0.19650341235433838	0.06876363721312373	0.10309436023682272	0.0010355515322381897
ENSMUSG00000031491	-0.016153559657868754	-0.0819011930956289	-0.3065920764621426	-0.08033264300398255	-0.17237480763797067	0.054277310864251506
ENSMUSG00000029580	0.5258640012385772	0.30704241135078647	1.3311382617502074	0.04967026258075618	0.3936809577471909	-0.03817195949065665
ENSMUSG00000100106	0.016013688948753824	-0.1379175251655397	0.5713374676143887	-0.11217651012723634	-0.021588432863687296	0.07232245341542044
ENSMUSG00000036718	0.0286406646636481	-0.007954814371519856	-0.12648274088335582	0.05991923134112897	0.034111011043049595	-0.07434585934035047
ENSMUSG00000067562	-0.01660323094298032	-0.10272915204882987	-0.19241609918218663	0.056575777031321196	-0.022721029325995394	-0.052195291057120945
ENSMUSG00000032827	0.0711935145148995	0.003501928713688228	0.47447787872006303	0.020651619258673495	0.027803738686842345	-0.014760647844897383
ENSMUSG00000032624	0.04709724264581122	0.22140544700814643	0.1347169124833142	0.07453332792912469	0.09120527613558807	-0.019914163465104398
ENSMUSG00000023186	0.03135319941918299	-0.08749056780465513	-0.3429173606485814	0.013137514770590185	-0.07822413010830392	-0.02284241700815203
ENSMUSG00000038371	0.03876024698526765	0.2216806702728458	-0.12652857003428966	0.023189892063757205	-0.0028091921369195914	-0.011190613102267629
ENSMUSG00000115778	0.08898720597353531	-0.09667952117576663	0.6758096684043786	0.18965044852624746	0.21060955559805733	-0.038777939672373966
ENSMUSG00000084828	0.013214220311160067	0.17734741270770818	-0.3563690778401776	0.09188598829033644	-0.058434114986344605	-0.03500737448131466
ENSMUSG00000031883	0.04614018419337559	0.20011376410485746	-0.02021191566683618	0.08459811469037959	0.16570845113050642	-0.026386238146057752
ENSMUSG00000038883	-0.01659112101998679	-0.0892236685026936	-0.3969478920540236	-0.11790396666718672	-0.18574639749713243	0.04724848334049706
ENSMUSG00000092346	0.07351106299049986	-0.12512031776215216	0.09569346787528567	0.023773977610523744	0.11106168184009481	-0.02579698997869855
ENSMUSG00000037279	0.061361623109717454	0.012141232433454467	0.20752129659293653	0.06860914582310736	0.17807290201807127	-0.039637777226120566
ENSMUSG00000052675	0.032953431656018696	0.053407220825153805	-0.07229958036186872	0.08619995479649722	0.07335300342238042	-0.04070230042374793
ENSMUSG00000006920	0.03412506263703108	0.11356469712960202	0.039714875487022384	0.085196659488169	0.06685747237321006	-0.04619886263722687
ENSMUSG00000056426	-0.0069398847353503304	-0.08732075601417039	-0.2796078149072855	0.01336165829483694	-0.13643299320766736	0.05538616319993577
ENSMUSG00000118454	0.07696786579596976	-0.1374524752243555	-0.09852753348615287	-0.06908145123150981	0.06526106025069436	0.08764172980965149
