	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000040446	0.07179272061766824	0.2340901908021936	0.47318246921705787	0.06792919383593211	0.12179630618556984	-0.0187350706437428
ENSMUSG00000035355	0.06945885775265716	-0.034009098062649304	-0.08219934270216202	0.08322908192078882	0.1209163004686291	-0.06498803698497276
ENSMUSG00000078942	0.08214293514237007	-0.07477091971793146	-0.17127426250075847	0.04548415489719316	-0.10573443234607112	0.10239900667438633
ENSMUSG00000026959	0.0963783092615943	-0.020427901809411456	0.2617304485146243	0.0989443861852903	0.12204086920942896	-0.06938132575128943
ENSMUSG00000114832	0.0331304734080082	-0.09457723559358523	-0.3405394084229296	-0.1332969183159938	-0.12712292776788153	0.04140655674210783
ENSMUSG00000035824	0.03341313403652748	0.06828092175897577	0.17412309053142963	0.08224363804505888	0.019996967255636783	-0.05423519634641707
ENSMUSG00000038094	-0.0028978915404877627	-0.13422767569843147	-0.2921869644378603	-0.05118416415804989	0.0421098686519794	0.03592486274989954
ENSMUSG00000109233	0.07075276768654086	-0.16103653591645914	0.3784794637646493	-0.0909296453360834	0.028238106126497898	0.07464117328719502
ENSMUSG00000047714	0.07458060669637884	0.19482646392404734	0.5415523294715188	0.07536738040549348	0.08661914122962376	-0.027038228463477157
ENSMUSG00000096433	0.012699979553040716	-0.051748034454483005	-0.4008560599679705	0.06626124826049948	-0.05010302037688754	-0.03601035765646624
ENSMUSG00000113628	-0.14734636473502696	-0.11520014626793064	-0.439488414076238	-0.08142879279605819	-0.24129222503802988	0.05240971453500346
ENSMUSG00000090417	-0.0006030582338488394	-0.08386973154826721	-0.33275222671150656	-0.11896612865285923	-0.17830538721308195	0.0485102788844545
ENSMUSG00000019923	0.032973111421285596	0.1783746725900398	0.26894010573892696	0.01604858739421096	0.0363955691117943	0.0010102532806091143
ENSMUSG00000001034	0.0734530745275801	0.25665818141985386	0.44849517017812884	0.05164040175955701	0.1547878963065159	-0.014846734453645436
ENSMUSG00000062464	0.1032645932835294	-0.15209696933348563	0.1706309344374209	-0.12802728001235145	0.07500163677842855	0.05084631237644187
ENSMUSG00000009418	0.07412883389978171	0.19695209514445325	0.14400563615106096	0.06976659896063211	0.14709852394600084	-0.011554124490170839
ENSMUSG00000050936	0.2212855823468999	0.22321834073622346	1.031298681814847	-0.11676485437778215	0.25474902635718794	-0.016581057178700575
ENSMUSG00000108322	0.09369679194850115	-0.11069884699162295	0.033920627479061036	-0.04723524794410748	0.03003306780758846	0.06627061526451143
ENSMUSG00000050541	-0.010997764843965082	-0.12598551420087462	-0.34435915062032496	-0.140980801888041	0.01960971179401635	0.051830397512821945
ENSMUSG00000022129	0.020232106440406433	-0.12905460530081264	-0.3096134526151478	-0.03298843210853063	0.007698031345041402	-0.020323922919591755
ENSMUSG00000029026	0.06358963810240052	-0.14931934527059118	-0.1752730512025924	-0.045145041753962036	0.09363911856728789	-0.023867693790400935
ENSMUSG00000050074	0.05074548706376975	-0.13252064016269288	-0.07551061812571008	-0.08106557085266104	-0.12297917200630763	0.04041564103297008
ENSMUSG00000035486	0.07731929538796456	0.026639812082326637	-0.28712313281731827	0.08757164804124581	0.12319994197439103	-0.05764361776070603
ENSMUSG00000109190	0.028373688998129053	-0.09880669045461608	-0.31357780116621664	-0.09208950452214465	-0.15303234723344628	0.047493963376577346
ENSMUSG00000030630	0.041131549900247984	0.12999159805393512	-0.0909677245722248	0.036391017510011024	0.0030579069538881802	-0.027626019842240827
ENSMUSG00000020865	0.038388882544989296	-0.12636519377629157	-0.29482394741410517	0.025035683510161888	0.027110543441293496	-0.029713914102259358
ENSMUSG00000118094	-0.011737419452063996	-0.1073993328056531	-0.3358993155644254	-0.05716861817756061	-0.059854853822408974	0.022015622201641754
ENSMUSG00000033985	0.0738659051101422	0.1743908578852175	0.5293630604200319	0.07254233974916653	0.03391205890397292	-0.03191186037137023
ENSMUSG00000108545	-0.20464202044963065	-0.11855499145811856	-0.38379072796061725	-0.013527777630900215	-0.20115515406578197	0.07661800440421628
ENSMUSG00000078619	0.0855279492952312	0.3551176283666531	0.35760859899918224	0.024373013739646662	0.19980203940514393	0.01678256324074547
ENSMUSG00000026796	0.09799212149248758	0.021559663215053402	0.2505580955680281	0.07333808288822183	0.18373107081861234	-0.03436931357667033
ENSMUSG00000117486	0.12945880614923747	-0.08223265385874713	0.8623216151437061	-0.020742768527582355	0.025466516738587026	-0.09357738689879105
ENSMUSG00000041329	0.14971870668024556	0.07757822596447243	0.6349331658113702	0.09619105638682543	0.1358279834298758	-0.051808224269085
ENSMUSG00000000420	0.05800565239042044	0.16684450789803773	0.15385802962420192	0.047582627183718224	0.11460113075299887	-0.026072842709774186
ENSMUSG00000037686	0.051424142595247496	-0.12268172290995218	-0.23050997729286402	0.047683137654062846	0.0672535625920448	-0.05100824597549425
ENSMUSG00000018921	0.11869718280358939	0.3500852606598138	0.6262825131896275	0.012555899208278529	0.13173222494234713	-0.0026624607892050075
ENSMUSG00000120096	0.0692947752919281	-0.12068506578839983	0.10058516120069336	0.0636594840541615	0.03779180131511696	0.06020929052070382
ENSMUSG00000094802	-0.0030613881610666535	-0.095905847927913	-0.3882818025881404	-0.11402404135676208	-0.19831927030453309	0.053242489648982885
ENSMUSG00000073794	0.07708687481146106	-0.13894734952981316	-0.16442254376192328	-0.13386047598848694	0.08162942729135726	0.026671512615368036
ENSMUSG00000112954	0.04332688447216892	-0.14495305884567122	-0.29009572218835405	-0.015104194654590434	0.08146017486932189	0.017558525301449534
ENSMUSG00000021785	-1.17946278258548	-0.13246804554759625	-2.208482554203355	-0.03368948232304579	-0.27566528520099903	0.02693820892340487
ENSMUSG00000096199	0.06095168940020293	0.22917916794789822	0.7352284759663754	-0.022138868606530845	0.04781620015315379	-0.027014860379547048
ENSMUSG00000079553	0.0972208731878449	0.1466403289217851	0.43522015132709513	0.06737706823249547	0.17746604950277417	-0.048569821356691786
