	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000085582	0.04998975545989067	-0.05892075991973148	-0.28994653948897653	-0.09770381726271547	-0.12394205569861307	0.02566542776600857
ENSMUSG00000032786	0.08726371537299461	0.055034661531057544	-0.0879811931867932	0.11240856099882096	0.18202809616912938	-0.06482556939206136
ENSMUSG00000092392	0.1339714486108278	-0.07010349670703622	0.35089233559374405	0.05705481357061737	0.15512682165738495	-0.06431569041513804
ENSMUSG00000029064	0.07017885143972567	0.20571744571186304	0.2462459941688264	0.04819894213921673	0.18256106595290475	-0.001814393155135414
ENSMUSG00000097183	0.06352739851884377	0.16830641774556301	0.056603464204415234	0.07958062546131259	0.15121254039653909	-0.05136145754201737
ENSMUSG00000027642	0.07496666726074182	0.43100711874763614	0.3174233897140247	0.08711692032333564	0.09789599382264506	-0.035622200910126724
ENSMUSG00000066894	0.1193861569292494	0.12238534636666633	0.6307444601519819	0.1489910609978584	0.0628630064704339	-0.0691118670772994
ENSMUSG00000028850	0.13425110493491438	0.2866380520389482	0.7274292352736665	0.08797974373134951	0.250903336346216	-0.05248394662318918
ENSMUSG00000037408	0.040628509057153546	0.01594516445308857	-0.266758548191813	0.08296812244817764	0.06369052371498712	-0.04606966806895798
ENSMUSG00000085522	0.0048530181591299225	-0.06859945215234932	-0.357482694374994	-0.10407110199973561	-0.15054830859485913	0.028444535313714627
ENSMUSG00000029561	0.12670311874639342	-0.10067730139105281	0.2750419572360053	-0.009434956988531798	0.15860922706903824	-0.006143240691536838
ENSMUSG00000030871	0.04177011505401294	0.3840015714748006	0.513802801951845	-0.011701683339405073	0.04114249062497818	-0.026774949948802324
ENSMUSG00000108941	0.04241915619557923	-0.06490098937585052	0.009082448710367836	0.09663641100217189	0.07560682762123179	-0.09356139153096592
ENSMUSG00000041805	0.015177634262363427	-0.05657836959788776	-0.3272780719106647	0.048610224675368435	-0.06972193800860883	-0.03739292666432448
ENSMUSG00000118008	0.0891877627975191	-0.10170326505571471	-0.15623100404854995	-0.08825010855450403	0.07160607526841756	0.06094477978580731
ENSMUSG00000086594	0.032813659094348885	-0.11246549397307848	-0.17931133145589878	-0.0726237465407134	0.09688609720116281	0.03786515820497048
ENSMUSG00000087022	0.06582975111461045	-0.02724265969071504	-0.19640525689172655	0.0974209056408394	0.1445379469891902	-0.06995565739323086
ENSMUSG00000020936	0.07887783067937042	0.34586797497509647	0.5835687640331474	0.06790364067590937	0.115399582729151	-0.020949624172603112
ENSMUSG00000028332	0.03073233044020266	-0.0524723615493193	-0.27314966689045833	-0.09855795624633694	-0.1407393193806846	0.032515176349053425
ENSMUSG00000113262	0.10836713146002563	-0.07501961707577201	0.9039342294720493	0.18383984489295732	0.022528627224632405	-0.08388279512167043
ENSMUSG00000093575	0.06673094480439822	0.18373583997578993	-0.12753626208971452	0.09429758890821956	0.19904530387565111	-0.025114587855309116
ENSMUSG00000030245	0.08111865857437286	0.33320075694303214	0.5856707441299347	0.07501229379163955	0.05023851357150956	-0.06617951167073832
ENSMUSG00000085721	0.06312466047820635	-0.1091051364134598	-0.06906147181620587	-0.09760091358631533	0.13353797233493034	0.008324547813390381
ENSMUSG00000024759	0.05962579021496432	0.3645845683150193	0.49954541171531935	0.0007749785805312318	0.09041538399001833	-0.03158837253327614
ENSMUSG00000057173	-0.0031965550621472563	-0.06452748732242201	-0.3067612318695735	-0.0014785387661894285	-0.06752973761218267	-0.024803805492618788
ENSMUSG00000120731	0.0625610921630401	-0.10936691156696594	0.12548580404713253	-0.09301793725524996	0.0641074807196024	0.02220770005286405
ENSMUSG00000075704	0.06961335520068783	0.1138235726867736	-0.1337794119728642	0.09918211423428147	0.06913162046475918	-0.04851581422533075
ENSMUSG00000045631	0.06921290663511692	0.025942659376492625	0.5084189055700595	-0.03486256741172318	0.01788390825989024	-0.14169787421290364
ENSMUSG00000112884	0.012930795070756826	-0.06260805481454423	-0.3200024764381461	-0.0777923171585696	-0.15247385892227092	0.042180067810737194
ENSMUSG00000097343	0.060902920695662034	0.11868246355567992	0.2782756062216712	0.1203525866603221	-0.023811657951695712	-0.0546398569091772
ENSMUSG00000030774	0.06952259426548803	0.3066782976687786	-0.13550809214522294	0.1016538355405958	0.08487647115876566	-0.06501546294946041
ENSMUSG00000020875	0.05347286353353411	-0.1050132124458157	0.03795409577143281	0.09781881462903194	0.12448928994521598	-0.06958389291560577
ENSMUSG00000105274	-0.00402726935946183	-0.0761993935710052	-0.2906600821457167	-0.11418846431339001	-0.0597207729101813	0.02526554656402108
ENSMUSG00000097744	0.0697126457858498	0.22655254355631768	-0.20400787961111097	0.08424578850437163	0.03041478645339209	-0.04770774813618378
ENSMUSG00000028788	0.1009417686355716	0.2831979861381114	0.33278032720767703	0.028500806556881537	0.22192018026398727	-0.015498007720660617
ENSMUSG00000028309	0.03969910014732574	0.28956627624699777	-0.19931578823572116	0.0854807641980837	0.012192231228151025	-0.0549891194821352
ENSMUSG00000053111	0.03912092980400692	0.2204527927903525	-0.2644516900106412	0.10341612495145196	0.005453002634853224	-0.04860594717964497
ENSMUSG00000030127	0.1814002777510073	0.3368249570560043	0.916729588627069	-0.01433835960165847	0.1211965445397904	0.026512422426562158
ENSMUSG00000027863	0.17390983365995843	-0.08008447838614562	0.6096498550808195	0.04799499882148146	0.03437909842219337	-0.003425107428172071
ENSMUSG00000018449	0.2165768959318354	0.21961913781181336	0.966232001008549	-0.07266277205885022	-0.11506855622553433	-0.07569597997977066
ENSMUSG00000020396	0.06219899563875515	0.1896720122298575	0.034475294846730065	0.0697952962261687	0.17853474202940042	-0.026588207479965473
ENSMUSG00000021238	0.07530013467476238	0.23846649498300393	0.2968188034921955	0.04933881224819093	0.0042262603549586076	-0.03683642653278574
ENSMUSG00000029449	0.05852673935483576	0.07670977743774919	0.19522429432588198	0.09475671323478829	0.12449546480430788	-0.041545078528413014
ENSMUSG00000035824	0.030082696278363335	0.1043032115495797	0.19860277837480161	0.09114669022601447	0.03344560845809091	-0.05683952542021871
ENSMUSG00000106906	-0.011214716666186827	-0.09191619045408775	-0.28744108160125115	-0.07011120253825669	-0.007063753633493823	0.05082018448904689
ENSMUSG00000022216	0.0797969821366548	-0.0002539007253030182	0.6618243518029235	0.14715430115881775	0.0806112118069515	-0.1004271953694115
ENSMUSG00000018217	0.08233858764267227	-0.09033928518349837	-0.22814187123032234	-0.08462290389091193	0.19508007661601628	0.022857308425591326
ENSMUSG00000106245	0.0031379872334322757	-0.08864725927955337	-0.28792823757160346	-0.09733723553576315	-0.011331914090052513	0.027211944382413224
ENSMUSG00000003410	0.06656844249456688	0.10798705348736673	0.028825222051416077	0.08466854706145699	0.16844516699950743	-0.03920455032535496
ENSMUSG00000039629	0.041440881444058116	0.09680831580106834	0.027204555024062365	0.10540334601901122	-0.06374999982747664	-0.06496393235179962
ENSMUSG00000003423	0.0908537237312495	0.34790323972099163	0.4301662642244732	0.011108993333930681	0.20571390167252893	-0.017567934070289733
ENSMUSG00000002109	0.04978937308935981	0.26083983133971095	0.28331756093107935	0.05195987942975729	-0.024700344674056397	-0.04312056115408528
ENSMUSG00000096175	-1.1980485862790893	-0.11041853739401891	-2.151328334101241	-0.01538586998872883	-0.26455123059069074	0.013821521420322825
ENSMUSG00000078485	-1.1980485862790893	-0.11041853739401891	-2.151328334101241	-0.01538586998872883	-0.26455123059069074	0.013821521420322825
ENSMUSG00000030165	-0.04579631581343294	-0.09113902345125098	-0.06653898166316918	-0.10497912413182868	-0.1807065259422026	0.012488296113276322
ENSMUSG00000024831	-0.01802694288469086	0.35209358241315514	-0.32357509872448903	0.12508931195136808	0.022900049796693824	-0.09188332526370817
ENSMUSG00000038085	-0.07031464614597747	0.20921758662900955	-0.35243349793355655	0.12619705177982854	-0.20583360545414117	-0.06045710816480485
ENSMUSG00000086816	0.05161450542395219	-0.043242184257334365	-0.2737874527465465	-0.09427592458487197	-0.2613330103064072	0.1141872900263739
ENSMUSG00000035355	0.06586295514654401	0.005123058190760536	-0.05902351409499066	0.09621211593725353	0.135862855515422	-0.07471080410697531
ENSMUSG00000086163	0.10865958664237821	-0.09818875837372616	0.5483946810711391	0.015895411345055826	-0.009578429372361695	0.052786702148608
ENSMUSG00000021537	0.08525885987723346	0.35399529486832243	0.5975212613743289	-0.012529152868072352	0.09673423490707396	-0.05219369461078064
ENSMUSG00000003032	0.22276423987495947	0.16679089098054517	1.0701200242108566	0.013049421638528916	0.3043126413609051	-0.05106755233334427
ENSMUSG00000091960	-1.1980485862790893	-0.11041853739401891	-2.151328334101241	-0.01538586998872883	-0.26455123059069074	0.013821521420322825
ENSMUSG00000010914	0.035701671918754334	0.19643243570982513	0.08528790388045308	0.08769404816370557	0.07987274751056768	-0.0459740987746045
ENSMUSG00000027281	0.06329699722388926	0.30557786091324357	-0.06036685282592121	0.04083724283118499	0.071100553569808	-0.02009065706432531
ENSMUSG00000022313	0.10084585355341136	0.24642693770625296	0.619250604741371	0.017934582376723743	0.11207565679755395	-0.017329335515803124
ENSMUSG00000017723	0.12452356908033835	0.005892161409636693	0.08828683021591652	0.08297731382330571	0.20523453899430544	-0.06402928410534514
ENSMUSG00000021944	0.06271233269508229	-0.12347903642034258	-0.16693077496642478	0.06355562622110093	0.07329683703127167	-0.06224830083603072
ENSMUSG00000028081	0.38717770352689385	0.3007004349074123	1.1292900052359982	0.02225435156823161	0.2992378943826355	-0.03163939836231293
ENSMUSG00000081355	-0.007599571961743225	-0.07234382228863459	-0.2880075138425517	-0.03588562482416039	-0.008988035417860373	-0.03555723017936024
ENSMUSG00000042446	0.07998641423847792	0.3552138587351822	0.34095659787190014	0.006905401786103279	0.07488769046924842	-0.03204198272308401
ENSMUSG00000033985	0.0739721586252147	0.2101980007151724	0.5585913281127433	0.08446450467168429	0.04216902586839361	-0.040313754158809646
ENSMUSG00000108289	0.00423667391150957	-0.10492485846667218	-0.1978395135199597	-0.07006998730591607	0.01970117542389614	0.03959927307275523
ENSMUSG00000021697	0.049305714624019205	0.1637152215684182	-0.03976521913883906	0.09948115290784959	0.09406210687042663	-0.0362480036386322
ENSMUSG00000051592	-0.25631753418939685	-0.09680509168662996	-0.28870045534209304	-0.03818622270529366	-0.2155723544394797	0.05204429574857516
