	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000028458	-0.031851496509494925	0.34121539971984977	0.08745859588851736	0.5683414536196028	0.038482663019361686	0.21625933896248975
ENSMUSG00000098212	-0.005025490315104741	-0.03977984023605558	-0.08912564596976433	-0.09975624202868213	-0.026784051009419958	-0.1094573833171064
ENSMUSG00000108276	0.00922730855988519	-0.021225393969794955	0.11997864461377614	0.11487844542824381	-0.005932796091264708	-0.010170163969250839
ENSMUSG00000053799	0.0048035919107677905	-0.05706884902861152	-0.028468396651280307	-0.18873358911036336	0.03562232118665409	-0.10828294065029355
ENSMUSG00000029055	-0.005725936717176264	0.09285924729253703	-0.06965726854534239	0.040321981611422385	0.02847149308106559	-0.04288212236958518
ENSMUSG00000070332	0.0001619009829321172	0.10614549118376135	0.08153324995007362	0.18748866220105945	0.020829624110764958	0.023033315174424047
ENSMUSG00000051413	-0.006579140855489453	0.5038264904056704	0.07170216774504089	0.25557414325634215	-0.0014270458653899976	0.40674859113399753
ENSMUSG00000103392	0.015673702703396235	-0.007370954249261263	0.04343820717814767	-0.11264926757987576	0.012066417605563455	-0.15249868830255642
ENSMUSG00000057572	0.025152319316176022	0.5997839371062683	0.07705814468855926	0.7569776357998887	-0.01379882128318144	0.35467118642628215
ENSMUSG00000115200	-0.0038491014309688376	-0.03755259156684679	-0.09509978129128376	-0.16154983977785145	-0.015056303047596756	-0.12584929715974133
ENSMUSG00000054863	0.056083422820075	-0.03814213882079612	-0.06101996098330003	-0.10725994506312735	0.019688511557289123	0.22375146002876928
ENSMUSG00000078349	-0.0842074874299817	-1.1156538514490293	0.11630263588356726	-0.547476738588583	-0.0672334885751793	-0.36957644650167704
ENSMUSG00000021112	0.020467669978756278	0.5314126171060802	0.009634529205508446	0.4579387999532091	0.01246808513309531	0.387655949135585
ENSMUSG00000059049	0.011408882934277836	-0.03653939345812006	-0.06479828496480249	0.029509108250042146	0.00014924446844952893	0.08617101224563456
ENSMUSG00000009090	0.004146562953051269	0.47773503839469755	0.014356941530688946	0.13296892516016562	0.02535914364726498	0.30214696744721675
ENSMUSG00000020700	0.010141410012923083	0.5633556217212402	0.002047512714217571	0.5159805083349555	5.808876344493008e-05	0.41205486365187727
ENSMUSG00000009687	-0.010856269739034962	-0.024279854557496282	-0.00135480930032858	0.00904979501907078	0.0180444547154821	0.11550433637554944
ENSMUSG00000086275	0.0012099098115451734	-0.10280829559887279	-0.053414099886322786	-0.18521632806169142	0.03457947923241082	-0.11866622415931428
ENSMUSG00000026977	0.02276853669393718	0.5666370258496992	0.12188543635209294	0.6247324612583106	-0.003952031876405249	0.3616045445084612
ENSMUSG00000074247	-0.008847556941079082	0.4954183705229098	0.1758669701998579	0.20994842505504577	-0.01760489221195236	0.261334021357887
ENSMUSG00000050373	-0.009787133806129073	0.34476147871069057	0.1631582603262028	0.18677384027523405	0.0028650763813734548	0.2983889863535721
ENSMUSG00000119978	-0.0036097422074595764	-0.025633924772571728	-0.06902220479602691	-0.19180371309553615	-0.008974189929129605	-0.13560647870429768
ENSMUSG00000040424	0.039123811266398384	0.0012046201404341539	0.1587780392847359	0.1607623135432973	0.012485893353042994	0.001874702533014822
ENSMUSG00000089857	0.018404395136832646	0.5314866834299963	0.06441060641244785	0.47261531284965014	0.01070261538403261	0.3126821176504692
ENSMUSG00000003402	-0.0842074874299817	-1.1156538514490293	0.11630263588356726	-0.547476738588583	-0.0672334885751793	-0.36957644650167704
ENSMUSG00000030134	-0.0066832066083589	0.0197339503226829	0.05802196230569327	0.09912881822434229	-0.0015171904250231294	0.12487757876440433
ENSMUSG00000079009	0.017331070135084385	0.42643869088107494	0.13476298003259152	0.48750032470231497	-0.011680044739453166	0.3191758336004222
ENSMUSG00000036743	0.026067750460703407	0.31921007324459094	-0.008326514251269623	0.49307260129812036	0.01714407310696276	0.20516362549409944
ENSMUSG00000112286	0.001009586814725627	0.07557719778488654	0.1470197645990413	0.4321100527366696	-0.025764504745451607	0.020386033260886983
ENSMUSG00000113418	0.0016937439604254312	-0.059838838984094596	-0.09863442923820279	-0.1492801898070485	0.038186153912164955	-0.08448967141562086
ENSMUSG00000038663	0.0047629759872862	-0.041258962661349756	-0.018197588474032966	-0.13385948031413247	0.04353563209542374	-0.050172240114715945
ENSMUSG00000024806	-0.007105863341128643	-0.013784303926745987	0.027884983781180716	-0.15620346759324846	0.01568832273348966	-0.0447021495349328
ENSMUSG00000021754	0.01112231851647145	0.48286931704230873	0.03677079535242644	0.6798929836019892	0.005906001279083917	0.3665402952365745
ENSMUSG00000041035	-0.003297588380410721	0.4138912265963388	0.0240558420301498	0.2363231933237647	0.015214629576294145	0.3575967797144562
ENSMUSG00000057842	0.017280919136789696	0.2271132726874638	0.03273967365236651	0.21282121039132892	-0.0023831267552570923	0.12116772843902845
ENSMUSG00000033063	0.015432656021687597	0.0365391694775943	-0.07501584693339788	0.05027764385201742	-0.0071843690538029165	0.08734003210828815
ENSMUSG00000120580	0.00945521798816098	0.5047875310969017	0.03942184688364399	0.4550059495471264	0.005144625595811414	0.3746876855619665
ENSMUSG00000053367	0.027531123404213386	0.03845766210889213	0.18778580755712102	0.011459412371034441	-0.07570218308003485	-0.10173690945489922
ENSMUSG00000006567	0.006841323319518867	0.4538817469814771	-0.007893553110450258	0.37139994637039364	0.015371700376669286	0.4231617923587947
ENSMUSG00000098318	0.026626456765447958	0.4475356638536965	0.07235651589341613	0.783487289796501	0.006414125655205494	0.30314967549051147
ENSMUSG00000087601	0.009778144206600607	0.562310951357136	-0.019039917704343236	0.6732815176871512	-0.003704990239058681	0.38099674457212485
ENSMUSG00000087124	0.029163641099272358	-0.012840494549771994	-0.0880294727171367	-0.09870300263379625	-0.01967930308517478	-0.05388754342959669
ENSMUSG00000059401	0.058198944109549615	-0.17246170684571627	-0.05751714864672032	-0.025447702028400035	-0.0009954495505116734	0.13472049760006843
ENSMUSG00000016481	0.023303751087480593	0.42052409839930377	0.05549733304236669	0.5104703377951438	0.020007515052924196	0.25648476512852375
