	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000113856	0.008357785247109728	-0.08768470244320616	-0.2786777059443496	-0.08053119367722661	-0.1295608152965955	0.040458499935299146
ENSMUSG00000058230	0.11319275931637703	0.4318113473122131	0.1469504712015774	-0.04437720862110511	0.1426350135386548	-0.037517571053513166
ENSMUSG00000049303	0.07762492740038011	0.11435188757557964	-0.09949349025700459	0.030767115359502342	0.0667222736065152	-0.03567215752642061
ENSMUSG00000113174	-1.3581777245468025	-0.5196226822094611	-0.712856167245608	0.4546371871456283	-0.5069972982806101	-0.03269736462544559
ENSMUSG00000092541	0.1663250006601427	-0.03175210779164006	0.5137860439358642	0.08728055958972224	0.13620979315702209	-0.04975604672000746
ENSMUSG00000024539	0.11478473524261774	0.336172529576517	0.1333790264793187	-0.01766334317395113	0.08325303772258524	-0.01851626627260808
ENSMUSG00000029311	0.10787900683020817	0.09765115922309962	0.22466931158588951	0.06707969453069584	0.19090318234111583	-0.042873699933822285
ENSMUSG00000038696	0.08968366500282209	0.33169465667315207	-0.078782705388054	0.03759703892059468	-0.03593582145547646	-0.03243031747327563
ENSMUSG00000029134	0.03467693475022938	-0.07467507415919533	-0.27099714140234066	-0.022735579388642742	0.014318922494679198	0.018925634196737488
ENSMUSG00000015812	0.0830158062997228	-0.04287015177760207	-0.05813026970736102	0.006013348250301004	-0.038066602809191614	0.10943323357526952
ENSMUSG00000026036	0.11525297227714046	0.280522939337619	0.4466854102398201	0.01356877700278769	0.10575667461062138	0.04110324516163423
ENSMUSG00000090247	0.19193353641135633	0.15331175707106082	0.8720097643003095	-0.0032561909179742443	0.14760256837549554	-0.05045354751097432
ENSMUSG00000030492	0.10650883089599368	0.07935038818481356	0.46263482282933027	0.04350132584382208	0.017233149828168592	-0.10748540475903082
ENSMUSG00000034543	0.10854141364139903	0.3898945658100764	0.25346630553806637	-0.05309077315985838	0.03550022396372294	-0.011984829872243252
ENSMUSG00000115212	0.14512722002205275	-0.04712431342145085	0.6870349464862806	-0.19209343505919024	0.05973776548405383	-0.0858673234486668
ENSMUSG00000032086	0.0982335536495921	0.06790535771263496	0.6239075120453212	0.05126778198726505	0.10285180423259173	0.04235748273198192
ENSMUSG00000101386	0.21769750271544908	-0.008045887591665135	0.5957194813333765	0.15319785049363427	0.029693521700985513	0.013201671685187023
ENSMUSG00000031636	0.06369544995504355	-0.03466819129804944	-0.0936092728152239	0.015855569138244402	0.08919969462995128	-0.06062403944671407
ENSMUSG00000024104	0.10693455232716412	0.2986721354606087	0.41477867064995544	-0.12983449968230196	-0.0286883393868691	-0.07618089217227551
ENSMUSG00000100512	0.3178640380772413	-0.034111847256024896	0.8054457951750145	0.02293925028332901	0.3262573699339689	0.06008064756210144
ENSMUSG00000067274	0.4686780771466092	0.2508814831927678	0.931264546816505	0.06124591740555767	0.3939832912276156	-0.05550095232230401
ENSMUSG00000026980	0.09435829383334579	0.06488264308117504	0.030949504637995288	0.013892085716957634	0.011254575522274463	-0.11608079329290336
ENSMUSG00000016503	0.1325022801924797	0.2581401868879405	0.6407364740660864	-0.002257538479071064	0.14119370651461713	-0.0028918286114978245
ENSMUSG00000033596	0.13491725909637808	0.3465239439113319	0.4544722799397211	-0.02402411338792687	0.1434199179339099	0.03088547929192906
ENSMUSG00000044876	0.19113722002860387	0.28517419987811193	0.6821519966803116	-0.013097069860984245	0.22662499179052278	-0.013186373019767321
ENSMUSG00000030203	0.11352024382395487	0.19534299401584806	0.24267515544993581	0.008755777272656973	0.1036571130090261	-0.03280210612330142
ENSMUSG00000075054	0.1445089599449403	0.30610942313114103	0.6734928811824198	-0.04491658956054323	0.11524087721956436	0.025689032367954383
ENSMUSG00000118259	0.020507967078697235	-0.06586152298428596	-0.32794908526040245	-0.015718111241986455	-0.025456655464077983	0.017851434006089184
ENSMUSG00000096574	0.10990788048098832	0.15029464454630315	0.16434017254157104	0.03513620179509765	0.14374337783951288	-0.05149329100059108
ENSMUSG00000026632	0.10541538486763331	0.3495118869351599	0.2791888534613889	-0.07385049454872974	-0.09635471465172829	-0.0562554279477403
ENSMUSG00000012535	0.11894764528588116	0.37391216566855073	0.18249227772755006	0.011005552425982557	0.16457876697562396	0.014961043662689372
ENSMUSG00000022911	0.09144588234481948	0.25664636601711993	-0.08790961795773525	0.040766966726929574	0.0	-0.038255541067252485
ENSMUSG00000024277	0.0752990188309012	0.06864873319384271	-0.17014570501002324	0.05995190534769906	0.18258039028766393	-0.030342695397871794
ENSMUSG00000028423	0.1284980437452607	0.42788012678890436	0.5668488615027776	-0.09488265205137575	0.11542896739783463	0.016328818913099008
ENSMUSG00000052459	0.11998419827413102	0.4680182445166974	0.23543461903994578	-0.07986381776995316	0.10640159349713817	-0.0325710486497387
ENSMUSG00000045215	0.02825781692394285	0.04455498137809723	-0.3791888839383345	0.024405432276641947	-0.01888435423607382	-0.050070749871618685
ENSMUSG00000120204	0.2719000688958392	0.068471978214565	1.2182972429157493	-0.10303121069222233	0.1478394897032427	-0.0848858701442523
ENSMUSG00000026787	-1.3581777245468025	-0.5196226822094611	-0.712856167245608	0.4546371871456283	-0.5069972982806101	-0.03269736462544559
ENSMUSG00000044641	0.12057723263775885	0.23672995792034277	0.15713608644457788	0.04980538046224275	0.2059523501158514	-0.006912878635599529
ENSMUSG00000038195	0.10974526785062347	0.23106304311800638	-0.008376358799917822	0.00807359183329929	0.0010657630846742094	-0.08881100442970548
ENSMUSG00000107352	0.1079639356668596	-0.04332043757107533	0.13042567465638316	-0.07493515955864725	0.03603427091439303	0.010353146927935514
ENSMUSG00000021666	0.12294737544637599	0.40961281100808794	0.3101226865289073	-0.05508185897092209	0.024793470352834676	-0.010794280765770381
ENSMUSG00000031371	0.01904654479976733	0.02475136624271019	-0.23140498311136992	0.002042294726570859	-0.07794593983436086	-0.023118308921233614
ENSMUSG00000039194	0.10060593719269699	0.03554407193917557	-0.002312914018694462	0.04953540254894636	0.12268477338086789	-0.11548735690614545
ENSMUSG00000116894	0.11208604507310058	-0.055477893065662254	0.07360317600090027	-0.05914406613099254	0.17906486089376764	0.0443860748126185
ENSMUSG00000027108	0.10664650176349602	0.331540538029033	0.1032468050042196	-0.0203855898051597	0.013039906529703521	-0.028826780166567163
ENSMUSG00000109493	0.35281657854993786	0.2645654491425689	1.2976416451712063	-0.1408402739461825	0.24365428725981073	-0.06868857469250744
ENSMUSG00000031239	0.01726074141836183	-0.08783199956936114	-0.3404313498463765	0.003302786406788716	-0.06798474739095041	-0.04577997672096738
ENSMUSG00000028879	0.1119130105152541	0.32097026304085124	0.27487878840048385	-0.011734523173550948	0.09332940726448319	0.008614519323503626
ENSMUSG00000100345	0.05476425793528729	-0.07301557790864256	-0.1048038651608596	-0.07231743052689743	0.1889317728453156	0.033511595831628764
ENSMUSG00000032968	0.19369758344930446	-0.017550166974958592	0.45608495086844497	0.02175887586396691	0.1967932389068399	-0.06614405249703308
ENSMUSG00000086035	0.07624625993576022	0.2963118258801438	-0.19133339895965365	0.03800626509012242	0.08128001698037875	-0.020295218478090016
ENSMUSG00000113772	0.05208674425497449	-0.071578571710827	-0.1690705112875641	-0.11489821952079578	0.037912675850516296	0.01868849675187026
ENSMUSG00000119990	0.0914197987519263	0.20571264206098733	-0.08659878397736841	0.03889126837416619	-0.02140892452232865	-0.045883906218106695
